mjd,night,band,n,flux,err,snr
58449.2641551798,58449,o,4,-5.875793156387861,6.174709350064124,-0.9515902406526779
58450.293396585905,58450,o,4,-6.180002645152758,6.440185963054564,-0.9596000302794981
58451.259019016565,58451,o,4,-4.566936577746722,7.693414237607873,-0.5936163628655368
58452.28674229951,58452,o,4,-8.569658690635247,7.935118901966095,-1.0799660088914271
58454.286765614466,58454,c,4,2.4830507155788175,5.329466578343406,0.46590980149286176
58455.232254927985,58455,o,4,-19.443875044498093,7.18515872568264,-2.7061162859211283
58456.27293593855,58456,o,4,0.1543427200221996,9.199234775016738,0.016777778130129175
58461.24390469567,58461,c,4,3.330675184649769,7.689363804337775,0.4331535442205045
58462.26285664925,58462,c,3,0.4776119402985078,7.256494774883425,0.06581854671096081
58463.20059350892,58463,o,4,-8.203137533334278,17.842337542663184,-0.4597568852018176
58464.256121972816,58464,o,4,-22.355657702975112,12.98556536646188,-1.721577541838385
58469.21698682536,58469,o,4,-12.726883259813354,9.505939840082574,-1.338834820534989
58473.211950143406,58473,o,4,-14.509603905620446,14.007208658006295,-1.0358669068106579
58474.272737302665,58474,o,3,-31.9664660361135,23.39984787304211,-1.3660971733470368
58476.25599957992,58476,o,3,-34.48549438731896,42.3270866219272,-0.8147382005132863
58485.21850262671,58485,c,4,-13.270598982498836,9.708008665913873,-1.36697436510267
58487.21252796443,58487,o,3,-14.664181326029071,17.22272097939739,-0.8514439352278329
58489.21888627796,58489,c,4,2.1870955005049306,16.790586748625742,0.1302572407533011
58490.21898148159,58490,c,4,3.0493166116553505,13.151458894958308,0.23186147149228628
58618.60531303396,58618,o,5,-1.9875316393353495,5.12397075386681,-0.38788895073912294
58620.572510016995,58620,o,5,9.093870422653486,17.968633499811773,0.5060969395780012
58621.58389595032,58621,o,4,10.216703172472268,12.481881166343364,0.8185227079409304
58624.5776871281,58624,o,4,14.309267977396114,15.96952672671514,0.896035820113466
58625.56902175242,58625,o,4,-21.404695748292852,10.130327933585997,-2.112932166522262
58626.58634405434,58626,o,10,-11.166667455203774,6.210416470076002,-1.7980545280672808
58630.53094317898,58630,o,4,-26.921409165971202,9.026091058529389,-2.982621047295027
58632.56792185334,58632,o,4,0.003107409840723054,9.026091058529389,0.000344269719923404
58634.546281327624,58634,c,3,16.748166259168702,6.526979928930764,2.565990158010544
58636.517270918186,58636,o,4,-12.047320524610328,8.802249489180252,-1.368663832968939
58642.535851498666,58642,c,5,9.811901851132918,5.5536620915733845,1.7667444812713027
58646.47507362322,58646,o,4,4.753589448647857,10.83213807708761,0.43884129013299417
58647.59863707201,58647,o,3,-3.820182868446249,7.493012917346287,-0.5098326815375621
58649.535991313416,58649,o,4,-8.539499618232504,9.026091058529389,-0.9460905682048188
58650.532055116055,58650,o,5,-1.0112948653351634,10.163655022584116,-0.0995011010397361
58651.51063491999,58651,o,4,-22.097680955727338,22.403729951760948,-0.9863393731002568
58652.45900046159,58652,o,4,-5.954389984361632,24.383431353695272,-0.24419819745588242
58660.52054699552,58660,o,8,1.8560658867279964,5.682418173261513,0.32663310410023527
58664.59021826836,58664,o,5,-9.331374631925087,5.3477833237787165,-1.7449051442367685
58665.59798864904,58665,c,4,-5.783198763099124,4.7184971940742075,-1.22564420942372
58666.49473245497,58666,c,4,0.8747702487440264,4.870583437000865,0.17960276423940688
58668.55854520817,58668,o,4,-3.3664360712153663,6.4710614021883845,-0.5202293506405153
58670.46533950584,58670,o,4,4.044374079813758,7.689363804337775,0.5259699219241283
58673.56661827305,58673,o,4,8.468354430379746,5.613210973425821,1.5086470953026356
58674.57416289597,58674,o,4,2.2446421929096685,5.4088341226311645,0.4149955687340892
58676.434917829254,58676,o,4,10.027110528215195,9.078520067831022,1.1044873452166972
58678.42879483198,58678,o,4,8.191382862838417,10.88029789069219,0.7528638411496003
58679.42491332164,58679,o,4,-17.499061723067815,14.582289128360786,-1.2000215857079846
58680.464224236144,58680,o,4,-57.620984660211775,21.085341063520445,-2.732750894881246
58686.593380036065,58686,o,2,-19.26360655737705,17.51544517482017,-1.0998068484762238
58688.52742203572,58688,o,4,17.079693901683356,6.174709350064124,2.766072528013968
58690.51276457602,58690,o,4,-15.589603911659504,4.536987427157621,-3.436113536119328
58691.53885259495,58691,o,4,-0.2830006302179608,6.174709350064124,-0.045832218842012676
58692.459522499994,58692,o,4,-7.75,6.5,-1.1923076923076923
58694.555017186816,58694,c,4,5.560439560439561,4.193139346887673,1.326080318453227
58695.50874189348,58695,o,4,-4.405171773333493,6.762023111641695,-0.651457662980983
58696.49459075731,58696,o,4,9.524909798668322,9.443713385717986,1.0085979327870254
58699.55795352366,58699,o,4,7.23659305993691,6.11612132507944,1.1831997233709088
58700.47406005207,58700,o,4,-3.31023450281767,6.584409210128721,-0.5027382711459631
58702.43027575,58702,c,4,2.75,4.0,0.6875
58703.52625608132,58703,o,4,-6.266952026405824,5.5516086867399,-1.1288533432434695
58704.45612037631,58704,o,4,-2.5577970645319406,6.174709350064124,-0.41423764577767175
58705.42070176988,58705,c,4,27.71379935222923,22.465746111753834,1.2336024458911548
58707.377170072825,58707,o,4,19.389512014821168,12.688126918547045,1.5281618901902914
58715.48132900664,58715,o,4,1.1361805194418417,12.61944457720632,0.09003411461500062
58717.47007294177,58717,o,4,-5.821963394342762,6.363372728294433,-0.9149178655613995
58718.456105274745,58718,o,4,-16.889925245182088,5.465756508003906,-3.090134955783145
58719.48152156001,58719,o,4,2.14,5.091168824543142,0.42033569770533663
58720.56408923917,58720,o,8,-6.9852675260996335,4.717169717351637,-1.4808175123326655
58721.43518146492,58721,c,4,-4.177814029363784,4.846754350332116,-0.8619817980000382
58723.481393918904,58723,o,4,-6.727903966105684,4.773312495612421,-1.4094832408919178
58724.458140054914,58724,o,8,-3.9022372014733326,4.06148863123855,-0.9607898866094686
58726.406205620464,58726,c,4,7.558725158621751,4.7734008110948025,1.5835094218472137
58730.394014,58730,c,4,-3.0,5.0,-0.6
58735.331308070396,58735,o,2,-69.32786885245902,46.021293968700185,-1.5064302385676076
58744.416015967356,58744,o,4,-15.921001173249904,5.8731207313946605,-2.7108247729600516
58745.40738124659,58745,o,4,-3.7715565939759084,10.58482210083329,-0.35631742867733157
58749.3969655,58749,c,2,-7.500000000000001,7.0710678118654755,-1.0606601717798214
58751.22493017392,58751,o,3,2.5159420289855077,7.5373466288143165,0.3337967792760627
58753.43424643847,58753,c,4,7.681087263674897,5.1675812117108775,1.48639894546173
58755.415011137724,58755,o,4,-4.5490553152743,4.224520575775596,-1.0768216732946367
58759.25723000704,58759,o,4,-1.5403706224173879,12.166458833980741,-0.12660796731709273
58760.384097357826,58760,o,4,-10.448881789137381,6.235013982423966,-1.675839351538263
58761.23782746912,58761,o,4,14.904988123515441,7.237077926353565,2.0595312466153572
58762.21801490327,58762,o,8,-3.1505848110321897,7.055205836088029,-0.446561714034856
58763.307735970535,58763,o,4,-9.522740655251196,7.066212978145338,-1.3476441602741813
