mjd,night,band,n,flux,err,snr
58717.377152800094,58717,ZTF_g,1,-3.852404585732571,6.527301729478783,-0.5901986372614327
58720.39887729986,58720,ZTF_g,1,-2.7456175645489003,4.732854234989841,-0.5801187672864795
58723.416516200174,58723,ZTF_g,1,-4.513164939707226,3.640461804156945,-1.239723195159956
58725.30530089978,58725,ZTF_i,1,-3.583896036054544,4.872013259941058,-0.7356088427595746
58733.313796299975,58733,ZTF_g,1,-1.5640799123283904,3.892444107264918,-0.40182462977674294
58743.38280089991,58743,ZTF_g,1,-0.20760716661983955,16.21255418163955,-0.012805333712003951
58747.298472200055,58747,ZTF_g,1,3.4415364576524405,5.399381820287036,0.6373945337078395
58747.336041700095,58747,ZTF_i,1,-10.593919541028555,6.953448559968688,-1.5235489915059155
58750.27251160005,58750,ZTF_r,1,0.7696144958559845,6.136275212309863,0.12542046587351163
58751.3354282002,58751,ZTF_i,1,9.88283609789559,8.971369257937477,1.101597293986276
58758.25952549978,58758,ZTF_i,1,-6.903146052160977,6.894236404217991,-1.0012923328155001
58758.27340279985,58758,ZTF_r,1,3.80091655472684,5.8419127690786485,0.6506287760483451
58758.35241900012,58758,ZTF_g,1,3.698289073980982,5.7319113159326305,0.6452104490348765
58761.25106480019,58761,ZTF_g,1,5.718262708730747,5.2139026491276335,1.0967336932705296
58762.205023100134,58762,ZTF_i,1,-5.249495578160865,7.258665247792004,-0.7232039774471893
58768.18432869995,58768,ZTF_r,1,3.140669128801167,15.241539678648062,0.20605983352199936
58768.2389814998,58768,ZTF_g,1,5.787037615406074,14.117500886980748,0.4099194086641013
58769.27262730012,58769,ZTF_i,1,-8.39891839304265,14.679828204807755,-0.5721401010872824
58771.25231479993,58771,ZTF_r,1,-16.422289331950363,13.082044040239115,-1.2553305340845033
58774.190196800046,58774,ZTF_r,1,1.9606378685089911,7.951433161523495,0.24657666469441
58777.1825116002,58777,ZTF_g,1,6.864171553471335,5.365114786099458,1.27940814449223
58777.20758099994,58777,ZTF_r,1,1.172173704059421,6.362496308490607,0.1842317303186772
58785.2292940002,58785,ZTF_g,1,-1.2554981441982493,5.152023839839865,-0.24369028234878523
58785.231678199954,58785,ZTF_r,1,-7.6215068961311605,6.2867980548343265,-1.2123034380387787
58789.2254745001,58789,ZTF_r,1,-0.2083520054505135,7.015377843163592,-0.029699327692456395
58795.146909699775,58795,ZTF_g,1,-0.7274285596812498,11.742840149103793,-0.06194656066545934
58798.18986110017,58798,ZTF_r,1,-12.718039284419287,11.755475666180407,-1.0818821496954054
58804.1907060002,58804,ZTF_g,1,0.3924304491968791,8.772106092911,0.044736172253321674
58812.1384721999,58812,ZTF_g,1,4.743602323353381,6.411876301837973,0.7398150089067721
58830.10726850014,58830,ZTF_g,1,14.001602869546893,13.859643902861208,1.010242612846379
58837.08640050003,58837,ZTF_r,1,-7.610911745312485,7.6974191915440215,-0.9887614999158979
58837.12156250002,58837,ZTF_g,1,-8.092828119291289,8.162858831959017,-0.9914208105138917
58852.09211538224,58852,ZTF_r,2,13.192860876031647,8.641484267396507,1.5266892200228899
58854.088353350446,58854,ZTF_r,4,-0.2071639332018139,6.290695893396885,-0.03293179907476792
