object_id,object_id_local,image_id,ccd,filter,ra_img,decl_img,x_img,y_img,flags,nimaflags,imaflags,background,flux_max,mu_max,class_star,a,e_a,b,e_b,pa,e_pa,elong,fwhm,radius_petro,radius_kron,radius_frac20,radius_frac50,radius_frac90,chi2_psf,flux_psf,e_flux_psf,mag_psf,e_mag_psf,flux_petro,e_flux_petro,mag_petro,e_mag_petro,flux_kron,e_flux_kron,mag_kron,e_mag_kron,flux_ap02,e_flux_ap02,mag_apc02,e_mag_apc02,flux_ap03,e_flux_ap03,mag_apc03,e_mag_apc03,flux_ap04,e_flux_ap04,mag_apc04,e_mag_apc04,flux_ap05,e_flux_ap05,mag_apc05,e_mag_apc05,flux_ap06,e_flux_ap06,mag_apc06,e_mag_apc06,flux_ap08,e_flux_ap08,mag_apc08,e_mag_apc08,flux_ap10,e_flux_ap10,mag_apc10,e_mag_apc10,flux_ap15,e_flux_ap15,mag_apr15,e_mag_apr15,flux_ap20,e_flux_ap20,mag_apr20,e_mag_apr20,flux_ap30,e_flux_ap30,mag_apr30,e_mag_apr30,use_in_clipped,img_qual,x_mosaic,y_mosaic,date,night_mjd
462388594,61,20191211143313,13,g,113.7669256,-79.7363154,1640.882,1156.7,0,0,0,235.8922,163.0393,18.648071,0.92,2.246,0.11,2.061,0.1,-7.39,5.55,1.09,5.64,5.28,4.18,1.552,2.861,6.82,1.3518,5022.602,200.2757,16.44207,0.0433,5427.654,323.5691,16.35787,0.0647,4979.723,259.5442,16.45137,0.0566,1516.97,73.25396,16.472971,0.0532,2632.985,100.3483,16.45887,0.0439,3477.146,126.6715,16.44157,0.0404,3971.323,152.2922,16.45487,0.0425,4221.501,178.7877,16.483171,0.0472,4851.529,232.3985,16.42237,0.0533,5158.846,286.7005,16.39027,0.0611,5180.553,423.2972,16.408371,0.0887,5050.449,561.4813,16.436071,0.1207,5164.079,838.6404,16.411871,0.1764,1,2,1688.8816,-2974.3003,58828.60643519,58828
462388594,67,20190914182053,13,g,113.7670038,-79.7363214,1641.396,1361.207,0,0,0,225.2936,132.6835,18.904215,0.846,2.234,0.126,2.125,0.119,-64.38,6.43,1.051,6.44,6.6,3.5,1.711,3.103,6.64,0.2317,5181.047,91.53386,16.440815,0.0192,5173.606,398.0804,16.442314,0.0836,4706.218,218.5248,16.545115,0.0504,1240.784,69.87097,16.467915,0.0636,2304.769,96.69543,16.434414,0.0468,3101.231,122.8963,16.450815,0.0439,3704.516,148.7379,16.450415,0.0444,4195.723,175.1453,16.434114,0.0459,4715.628,227.4953,16.436115,0.0527,4950.084,280.4904,16.441315,0.0617,5346.364,415.6231,16.406715,0.0844,6473.328,551.67,16.199015,0.0926,8062.989,824.2794,15.960614,0.111,1,2,1689.3965,-2769.7927,58740.76451389,58740
462388594,606,20210908163309,22,g,113.7669763,-79.736344,470.355,1800.227,0,0,0,158.0503,1555.989,19.058733,0.983,3.595,0.024,3.422,0.023,82.65,0.77,1.051,6.34,3.96,3.5,1.794,3.23,6.554,0.4188,67765.47,233.4272,16.476831,0.0037,67643.45,431.0112,16.478832,0.0069,67264.54,399.319,16.484932,0.0064,16108.74,167.924,16.485332,0.0179,30433.01,212.5156,16.486132,0.0125,43317.37,245.4164,16.481632,0.009,52595.17,268.9065,16.478931,0.007,58478.62,288.2089,16.477732,0.0064,64165.35,322.683,16.477133,0.0059,66212.75,357.2657,16.478333,0.0062,67733.22,454.616,16.477333,0.0073,67995.02,562.4905,16.473232,0.009,68196.83,793.4424,16.469933,0.0126,1,1,-3781.6445,6318.2275,59465.68972184,59465
462388594,81,20180214120753,22,g,113.7672205,-79.736258,1739.413,1177.529,0,0,0,7.728973,126.2995,18.824947,0.973,2.831,0.092,2.597,0.085,15.63,3.72,1.09,6.08,4.62,3.5,1.693,3.193,9.718,3.64,4622.15,217.3494,16.431946,0.0511,5044.198,175.2404,16.337046,0.0377,4719.886,138.3681,16.409246,0.0318,1279.225,49.05817,16.444746,0.0484,2233.9,64.98407,16.464447,0.0379,3024.599,76.56732,16.464746,0.0316,3595.878,87.87985,16.448046,0.0279,3971.391,98.79538,16.437946,0.0278,4364.022,121.0433,16.432747,0.0312,4739.123,144.5728,16.379847,0.0338,5267.547,205.3517,16.290047,0.0423,5501.044,267.8683,16.242947,0.0529,6660.303,395.5821,16.035347,0.0645,1,2,-2512.587,5695.5293,58163.50549769,58163
462388594,25,20180502091759,9,g,113.7672256,-79.7362659,14.938,294.207,16,0,0,13.47288,86.52057,18.609808,0.86,2.459,0.105,2.387,0.103,-59.3,4.91,1.03,6.43,6.6,4.77,1.721,3.342,8.126,4.3819,2737.527,195.1506,16.374807,0.0774,3208.143,201.8721,16.202507,0.0683,3049.75,151.1263,16.257507,0.0538,752.7156,41.62121,16.462008,0.0639,1323.659,54.91521,16.464308,0.0473,1839.293,66.00633,16.423807,0.041,2148.075,77.15804,16.417707,0.0406,2433.51,88.36382,16.376108,0.0415,2729.834,110.5507,16.330008,0.0451,2944.721,133.4832,16.273708,0.0499,3208.783,191.92,16.202307,0.065,3585.684,242.2542,16.081707,0.0734,4484.222,334.7769,15.839007,0.0811,-1,2,2212.9377,-3832.793,58240.38751157,58240
462388594,113,20150108114132,22,g,113.7672853,-79.7363146,428.087,1136.206,0,0,0,57.49952,175.5699,18.368227,0.974,2.154,0.078,1.94,0.069,-34.47,4.08,1.111,4.47,5.28,4.18,1.298,2.354,5.34,0.7473,3978.487,100.9585,16.495628,0.0276,3996.484,190.898,16.490728,0.0519,3845.797,155.0999,16.532528,0.0438,1516.391,57.63803,16.473228,0.0535,2465.305,73.0598,16.481628,0.0402,3041.651,87.34272,16.499727,0.0357,3353.901,101.5542,16.514927,0.0351,3521.986,116.1594,16.528427,0.0373,3756.997,147.0453,16.520227,0.0432,3939.473,178.5614,16.491127,0.0496,4177.624,259.1912,16.442627,0.0674,4188.561,341.2067,16.439827,0.0885,4015.691,507.3163,16.485527,0.1372,1,2,-3823.913,5654.206,57030.48719907,57030
462388594,99,20150116110007,22,g,113.7672851,-79.7363468,1765.164,1192.373,0,0,0,7.988711,159.0027,18.552752,0.979,2.724,0.079,2.233,0.065,-48.66,3.27,1.22,5.88,4.62,3.5,1.428,2.615,5.127,1.1308,4206.092,105.6133,16.51225,0.0273,3938.074,147.5211,16.583652,0.0407,4042.835,118.103,16.555151,0.0317,1418.348,51.49643,16.550251,0.0448,2374.691,63.97355,16.548851,0.0325,3122.739,74.83067,16.523151,0.0285,3609.92,84.1688,16.503653,0.0272,3867.956,93.48445,16.501652,0.0274,4024.148,112.7003,16.523651,0.0313,3977.026,133.2306,16.559052,0.0369,3664.015,187.2771,16.662052,0.0555,3623.727,243.9426,16.674051,0.0731,3486.552,359.7123,16.715952,0.112,1,2,-2486.8362,5710.373,57038.4584375,57038
462388594,45,20180427105459,22,g,113.7673785,-79.7363379,870.152,775.097,0,0,0,137.078,124.8939,18.95423,0.91,2.431,0.116,2.375,0.113,-52.99,5.45,1.024,6.9,5.28,4.24,1.619,2.88,5.339,0.4422,4675.289,108.2072,16.53673,0.0251,4274.138,301.678,16.63413,0.0767,4290.533,247.2236,16.62993,0.0626,1204.082,63.40637,16.58063,0.0623,2233.464,87.97324,16.54063,0.0471,3088.094,109.7334,16.521229,0.0411,3616.23,131.4648,16.53323,0.0409,3956.592,153.3016,16.54373,0.0425,4250.13,197.2605,16.56983,0.0506,4282.146,242.0857,16.60243,0.0615,4271.53,356.4576,16.63473,0.0906,4491.59,472.2891,16.580229,0.1142,3086.149,704.0997,16.98773,0.2478,1,2,-3381.8481,5293.097,58235.45486111,58235
462388594,190,20191024151517,18,r,113.7653963,-79.736318,8.698,550.662,16,0,0,274.4514,1380.551,19.340841,0.983,3.218,0.035,2.246,0.025,-3.24,1.19,1.433,8.57,5.94,3.87,2.011,3.605,6.731,124.5876,56612.75,4064.993,16.824242,0.078,55376.26,546.185,16.848242,0.0107,54397.83,414.0604,16.867641,0.0083,10758.87,144.364,17.093943,0.0181,21023.6,192.2973,17.018742,0.0122,31161.36,232.7548,16.942642,0.0095,39601.71,265.9136,16.879642,0.0086,45771.14,296.3104,16.839941,0.0079,52260.07,350.6821,16.81664,0.0079,54150.13,398.5316,16.830442,0.0083,55284.64,510.7416,16.850042,0.01,55380.06,623.0233,16.848143,0.0122,53818.49,850.8188,16.879242,0.0172,-1,1,-2092.3025,5065.6616,58780.63563657,58780
462388594,548,20190429085631,18,r,113.7668755,-79.736343,900.093,1211.345,0,0,0,321.9221,3008.023,18.566704,0.987,2.769,0.021,2.433,0.019,50.64,0.88,1.138,4.12,3.96,3.5,1.243,2.317,5.494,1.1212,63587.88,359.747,16.769604,0.0061,62190.94,406.8916,16.793705,0.0071,61644.13,377.2412,16.803305,0.0066,25563.53,201.6986,16.777704,0.0137,40048.62,235.8101,16.775904,0.0086,48849.52,261.3436,16.771404,0.007,53871.47,283.6524,16.768705,0.0066,57132.68,305.9212,16.766605,0.0065,60595.02,350.9233,16.770205,0.0068,62014.43,399.1963,16.773205,0.0074,63568.12,532.7496,16.769905,0.0091,64095.47,676.1832,16.760904,0.0115,65254.48,975.9238,16.741505,0.0162,1,1,-1200.9072,5726.345,58602.37260417,58602
