###MJD          m      dm   uJy   duJy F err chi/N     RA       Dec        x        y     maj  min   phi  apfit mag5sig Sky   Obs
57322.302668 -19.989  2.848   -37  104 o  0   0.80 306.74802 -11.81856  2436.90  8029.39 4.67 3.63 -62.7 -0.486 17.81 18.54 02a57322o0261o
57322.322765  23.635 291.000     1  372 o  0   1.02 306.74802 -11.81856  2437.24  8029.06 4.67 3.48 -62.6 -0.530 17.32 17.88 02a57322o0292o
57325.200237 -22.229 10.400    -5   48 o  0   0.69 306.74802 -11.81856  3908.57  6586.88 4.28 3.02 -76.9 -0.466 18.38 19.57 02a57325o0034o
57325.214891 -21.002  3.267   -14   47 o  0   0.53 306.74802 -11.81856  3913.06  6586.45 4.33 3.06 -74.6 -0.455 18.65 20.13 02a57325o0057o
57325.233985 -19.899  1.139   -40   45 o  0   1.00 306.74802 -11.81856  2467.13  8038.22 4.83 3.24 -70.1 -0.443 18.61 20.10 02a57325o0087o
57325.251747  18.953  1.423    95  136 o  0   0.93 306.74802 -11.81856  2471.47  8036.95 4.82 3.44 -69.7 -0.422 17.29 18.78 02a57325o0115o
57329.208706  23.239 21.500     2   40 o  0   0.91 306.74802 -11.81856  3923.54  6595.26 4.16 2.95 -74.1 -0.457 18.69 20.13 02a57329o0018o
57329.225797  20.166  1.778    31   55 o  0   0.74 306.74802 -11.81856  2473.04  8042.17 4.61 3.06 -71.7 -0.452 18.57 20.01 02a57329o0045o
57329.244753 -20.100  1.567   -33   52 o  0   0.66 306.74802 -11.81856  2473.73  8042.10 4.61 3.06 -71.5 -0.465 18.58 20.04 02a57329o0075o
57333.205763  23.465 16.000     2   24 c  0   0.72 306.74802 -11.81856  3927.88  6592.58 4.01 3.76 -87.3 -0.402 19.18 20.84 02a57333o0043c
57333.219629  20.382  0.871    26   22 c  0   0.72 306.74802 -11.81856  3928.25  6591.39 4.25 4.02 -86.1 -0.369 19.17 20.99 02a57333o0063c
57333.237657  21.340  2.083    11   22 c  0   0.80 306.74802 -11.81856  2478.29  8042.66 4.34 4.12 -77.8 -0.373 19.18 21.04 02a57333o0089c
57333.259171 -20.291  0.839   -28   23 c  0   0.92 306.74802 -11.81856  2480.15  8042.51 4.35 4.08 -79.9 -0.370 19.16 21.01 02a57333o0120c
57337.202898 -14.588  0.335 -5305 1778 o  0   1.07 306.74802 -11.81856  3924.59  6596.60 4.09 3.76  86.7 -0.458 14.69 15.90 02a57337o0033o
57354.220597 -18.504  1.029  -144  148 o  0   0.67 306.74802 -11.81856  3932.70  6598.68 4.25 3.86 -83.4 -0.443 17.19 18.56 02a57354o0078o
57354.225686 -20.706  1.944   -19   37 o  0   0.92 306.74802 -11.81856  3933.16  6598.69 4.05 3.74 -79.4 -0.457 18.50 19.90 02a57354o0086o
57354.228875 -20.196  1.355   -30   41 o  0   0.67 306.74802 -11.81856  3933.67  6598.49 3.80 3.60 -77.3 -0.449 18.55 19.89 02a57354o0091o
57354.233334 -19.408  1.760   -63  110 o  0   1.00 306.74802 -11.81856  3934.04  6597.51 3.90 3.66 -79.2 -0.454 17.42 18.76 02a57354o0098o
57355.225434 -19.069  0.474   -86   40 o  0   1.11 306.74802 -11.81856  3931.35  6596.06 4.73 4.37 -65.0 -0.401 18.56 20.17 02a57355o0047o
57357.208659 -21.859  4.625    -7   30 o  0   1.04 306.74802 -11.81856  3939.93  6307.21 3.71 3.40 -84.6 -0.445 18.75 20.06 02a57357o0058o
57357.222016 -21.072  2.375   -14   32 o  0   1.01 306.74802 -11.81856  4242.49  6306.17 3.77 3.47 -84.9 -0.449 18.74 20.08 02a57357o0079o
57358.206333  19.435  0.583    61   36 o  0   0.99 306.74802 -11.81856  4240.12  6307.36 4.01 3.67 -89.5 -0.519 18.58 19.89 02a57358o0061o
57358.218587 -20.233  1.327   -29   39 o  0   1.07 306.74802 -11.81856  4524.97  6886.62 4.20 3.84 -80.8 -0.502 18.52 19.88 02a57358o0081o
57495.573721  22.736 11.143     3   33 o  0   0.81 306.74802 -11.81856  6710.58  3939.14 3.66 3.51  56.1 -0.485 18.75 20.11 02a57495o0713o
57495.581106  19.440  0.654    61   40 o  0   1.14 306.74802 -11.81856  6689.93  4055.61 4.19 3.62  41.8 -0.411 18.47 20.02 02a57495o0727o
57530.568807  22.729 15.286     3   45 o  0   1.03 306.74802 -11.81856  7644.43  5771.36 4.05 3.45  83.1 -0.463 18.23 19.10 02a57530o0463o
57530.581499  19.162  0.621    79   49 o  0   1.02 306.74802 -11.81856  7680.67  5711.84 4.18 3.56  80.5 -0.470 18.23 19.14 02a57530o0489o
57538.553782  21.303  1.862    11   20 c  0   1.14 306.74802 -11.81856  7500.07  4500.49 3.87 3.55  76.5 -0.432 19.15 20.76 02a57538o0609c
57538.566039  20.959  1.357    15   20 c  0   1.08 306.74802 -11.81856  7521.01  4536.83 3.81 3.52  75.4 -0.447 19.18 20.77 02a57538o0632c
57538.579076 -19.980  0.528   -37   20 c  0   0.96 306.74802 -11.81856  7445.21  4459.05 3.76 3.47  73.4 -0.452 19.20 20.77 02a57538o0656c
57538.592110  20.052  0.600    35   21 c  0   0.99 306.74802 -11.81856  7426.54  4575.05 3.75 3.45  76.1 -0.454 19.19 20.75 02a57538o0680c
57538.604184  20.906  1.356    16   21 c  0   0.92 306.74802 -11.81856  7467.45  4517.02 3.80 3.47  73.6 -0.444 19.16 20.70 02a57538o0703c
57539.543098  20.714  1.042    19   20 c  0   1.01 306.74802 -11.81856  7710.85  3672.71 3.94 3.71  57.8 -0.445 19.36 21.17 02a57539o0288c
57539.557101 -20.233  0.638   -29   19 c  0   0.95 306.74802 -11.81856  7731.71  3709.42 3.85 3.60  63.5 -0.457 19.40 21.18 02a57539o0314c
57539.571069  20.143  0.621    32   20 c  0   0.86 306.74802 -11.81856  7674.44  3630.41 3.88 3.60  57.9 -0.450 19.41 21.19 02a57539o0340c
57539.585037  21.314  1.600    11   17 c  0   1.12 306.74802 -11.81856  7655.98  3744.79 3.86 3.59  56.3 -0.445 19.40 21.18 02a57539o0366c
57539.598752  21.171  1.600    12   20 c  0   0.73 306.74802 -11.81856  7697.08  3686.01 3.81 3.53  63.0 -0.449 19.40 21.15 02a57539o0392c
57540.541411  21.472  1.760     9   16 c  0   0.95 306.74802 -11.81856  5377.53  4229.21 3.82 3.67 -13.9 -0.466 19.45 21.34 02a57540o0593c
57540.555366 -21.004  1.100   -14   16 c  0   1.05 306.74802 -11.81856  5399.39  4266.31 3.75 3.66 -26.9 -0.455 19.45 21.33 02a57540o0619c
57540.569297 -20.884  1.130   -16   18 c  0   0.70 306.74802 -11.81856  5342.30  4187.04 3.72 3.63 -17.7 -0.448 19.46 21.32 02a57540o0645c
57540.583254  19.639  0.369    51   19 c  0   0.76 306.74802 -11.81856  5323.62  4301.12 3.79 3.70 -24.0 -0.435 19.41 21.26 02a57540o0671c
57540.596216 -20.613  0.800   -21   16 c  0   0.95 306.74802 -11.81856  5362.35  4242.03 3.68 3.63 -33.3 -0.441 19.40 21.18 02a57540o0697c
57548.522888  22.557  5.250     3   18 c  0   1.05 306.74802 -11.81856  7585.53  4520.28 4.24 4.02  63.5 -0.404 19.42 21.46 02a57548o0572c
