mjd,source,band,mag_AB,mag_err,flux,flux_err,flux_unit,meta,note
58078.23652,ATLAS,c,,,1.3,6.8,uJy,nightly_stack_n4,nondet_3sig_limit_20.55
58080.24296,ATLAS,o,,,27.9,11.4,uJy,nightly_stack_n4,nondet_3sig_limit_19.42
58082.24668,ATLAS,c,,,7.2,10.1,uJy,nightly_stack_n4,nondet_3sig_limit_19.97
58092.24206,ATLAS,o,,,-3.7,49.4,uJy,nightly_stack_n4,nondet_3sig_limit_18.47
58095.20528,ATLAS,o,,,-1281.0,35.0,uJy,nightly_stack_n1,nondet_3sig_limit_18.85
58096.23875,ATLAS,o,,,15.0,13.5,uJy,nightly_stack_n3,nondet_3sig_limit_19.54
58098.23502,ATLAS,o,,,11.8,14.9,uJy,nightly_stack_n2,nondet_3sig_limit_19.52
58099.20024,ATLAS,o,,,-2.1,21.3,uJy,nightly_stack_n3,nondet_3sig_limit_19.39
58100.23098,ATLAS,o,,,-15.3,18.7,uJy,nightly_stack_n2,nondet_3sig_limit_19.53
58206.64537,ATLAS,o,,,20.1,23.1,uJy,nightly_stack_n3,nondet_3sig_limit_19.02
58209.63451,ATLAS,o,,,17252.0,78789.0,uJy,nightly_stack_n1,nondet_3sig_limit_10.39
58258.50275,ATLAS,c,,,-1.9,7.4,uJy,nightly_stack_n4,nondet_3sig_limit_20.53
58264.60657,ATLAS,o,,,4.0,8.3,uJy,nightly_stack_n4,nondet_3sig_limit_20.25
58269.53639,ATLAS,o,,,-18.6,20.5,uJy,nightly_stack_n4,nondet_3sig_limit_19.43
58276.62382,ATLAS,o,,,145.0,769.0,uJy,nightly_stack_n1,nondet_3sig_limit_15.43
58280.60867,ATLAS,o,,,21.6,120.9,uJy,nightly_stack_n3,nondet_3sig_limit_17.44
58284.60917,ATLAS,o,,,-1.1,11.6,uJy,nightly_stack_n3,nondet_3sig_limit_20.05
58286.61258,ATLAS,c,,,-9.9,8.3,uJy,nightly_stack_n3,nondet_3sig_limit_20.41
58290.57861,ATLAS,o,,,-0.7,5.9,uJy,nightly_stack_n6,nondet_3sig_limit_20.77
58292.55038,ATLAS,o,,,-5.6,7.3,uJy,nightly_stack_n5,nondet_3sig_limit_20.55
58293.55858,ATLAS,o,,,-0.1,6.2,uJy,nightly_stack_n4,nondet_3sig_limit_20.73
58294.54351,ATLAS,o,,,-2.3,8.5,uJy,nightly_stack_n4,nondet_3sig_limit_20.38
58295.45964,ATLAS,o,,,8.1,14.5,uJy,nightly_stack_n4,nondet_3sig_limit_19.62
58306.56161,ATLAS,o,,,5.8,6.1,uJy,nightly_stack_n4,nondet_3sig_limit_20.45
58310.57014,ATLAS,c,,,2.0,6.0,uJy,nightly_stack_n4,nondet_3sig_limit_20.65
58312.55382,ATLAS,o,,,-11.3,8.2,uJy,nightly_stack_n4,nondet_3sig_limit_20.43
58316.52613,ATLAS,o,,,-6.5,6.7,uJy,nightly_stack_n8,nondet_3sig_limit_20.64
58320.51409,ATLAS,o,,,-15.8,13.1,uJy,nightly_stack_n4,nondet_3sig_limit_19.91
58322.51506,ATLAS,o,,,-4.2,7.4,uJy,nightly_stack_n7,nondet_3sig_limit_20.53
58323.40876,ATLAS,o,,,-35.7,69.5,uJy,nightly_stack_n4,nondet_3sig_limit_18.10
58324.46956,ATLAS,o,,,-1.5,13.4,uJy,nightly_stack_n6,nondet_3sig_limit_19.89
58329.50939,ATLAS,o,,,-28.0,23.4,uJy,nightly_stack_n7,nondet_3sig_limit_19.28
58330.5109,ATLAS,o,,,-1.5,44.8,uJy,nightly_stack_n3,nondet_3sig_limit_18.58
58333.5065,ATLAS,c,,,-4.8,7.0,uJy,nightly_stack_n8,nondet_3sig_limit_20.60
58336.49665,ATLAS,o,,,5.5,7.6,uJy,nightly_stack_n4,nondet_3sig_limit_20.27
58338.50162,ATLAS,c,,,0.8,4.5,uJy,nightly_stack_n4,nondet_3sig_limit_21.02
58340.4875,ATLAS,o,,,-0.2,10.9,uJy,nightly_stack_n4,nondet_3sig_limit_20.11
58342.49052,ATLAS,c,,,1.0,4.0,uJy,nightly_stack_n8,nondet_3sig_limit_21.12
58344.47324,ATLAS,o,,,0.6,8.1,uJy,nightly_stack_n8,nondet_3sig_limit_20.40
58348.44895,ATLAS,o,,,-2.0,5.7,uJy,nightly_stack_n8,nondet_3sig_limit_20.83
58350.458,ATLAS,o,,,-32.5,20.3,uJy,nightly_stack_n5,nondet_3sig_limit_19.44
58351.41455,ATLAS,o,,,-11.2,45.4,uJy,nightly_stack_n4,nondet_3sig_limit_18.57
58360.4384,ATLAS,o,,,4.0,11.2,uJy,nightly_stack_n4,nondet_3sig_limit_19.96
