source_id,ra,dec,parallax,parallax_over_error,phot_g_mean_mag,bp_rp,pmra,pmdec,ruwe,num_obs_g_fov,gls_freq_g_fov,gls_freq_ampl_g_fov,gls_freq_fap_g_fov,nhm_fund_freq_g_fov,spearman_corr_ipd_g_fov,spearman_corr_exf_g_fov,scan_angle_model_ampl_sig_g_fov,M_G,jestin_var
366784816895496064,7.49632154198856,36.80948188824728,17.010284681684393,251.40643,16.427374,-0.3517208,90.93895368312992,-45.87015494428811,1.0261524,39,16.233779332571,0.57535595,0.0252171099931086,16.23373330175791,-0.20890689,0.36113256,0.8587618,12.58093190981771,
385304093105943168,5.063657409370158,43.43517596928722,10.187032904892002,6.1852427,20.69076,1.0666313,-19.193540285066188,9.237978669051357,1.3798443,35,0.055418980366,0.66872406,0.0031106546091993,0.0554274890003508,0.37002802,0.2950739,3.4753351,15.730998544824317,
376009818237170176,12.156152135201518,44.416383489698624,3.353331159589134,6.4180264,20.012838,-0.06671524,5.058300267518644,-13.932223849326784,1.0348133,35,9.164626272289,0.6092883,0.0359968202756336,9.1646444602094,0.019887956,0.099802375,3.1768153,12.640220222378838,
6916066196140198784,316.8371718807023,-2.3627084335109125,4.577605029820538,18.118845,18.612041,0.17462158,27.41964474887136,-24.933020764557146,0.94480795,30,0.696048445208,0.671497,0.0393401762239481,0.6960698035576874,-0.02647386,0.08260869,1.046362,11.91523258829653,
374097080320875904,13.467805860303592,39.93515298233447,2.2049866266765887,8.812353,19.217697,-0.06995773,11.732097459757336,-16.00423266875181,1.0444778,46,13.741865412453,0.55748636,0.0032323195819687,13.741898484843038,0.17693494,-0.034139402,0.9553635,10.934726799000751,
381302012516395136,11.105042074531736,41.65276178292769,3.61266276919678,5.0349326,20.235727,0.5962753,-0.5195711442293115,-0.4963235545167728,1.1082945,32,12.241393699069,0.65955263,0.0236097232050334,12.241374981359591,0.17155425,0.2474001,2.6403372,13.024864117122664,
382377742907738752,7.572414941100357,43.17933445279572,3.859051153054383,14.141562,19.110485,0.20205307,-34.906196488580086,7.943881945091567,0.95330065,38,1.503705235058,0.58597106,0.0272091905162654,1.5037486034641931,0.071233176,0.067350425,0.36811164,12.042887676663687,
1702977798702921856,246.66462839588084,74.50559015224704,14.66677625535883,538.9263,15.594691,-0.09888744,-18.42262763782417,170.55678077417906,1.0263925,36,22.789761479065,0.5941852,0.0457976725308265,22.789759495363583,0.046074647,0.47250733,1.4795233,11.426364333918922,
1865447821587751680,315.75715250348713,33.07659892256381,2.1429781829345877,9.004743,19.36728,0.06026268,0.6457518250853642,-15.32189791779708,0.9849827,60,16.186010732635,0.40980056,0.0301385971642882,16.18605256413343,0.07296471,-0.024350911,2.171361,11.022368748164462,
2216598403463898112,328.63486072576325,63.69841379675355,4.966615590987016,31.51022,18.880486,-0.10464668,43.46392582896619,11.239582385359077,1.0768514,38,15.621472820733,0.6102519,0.0095778668914373,15.621450250438238,0.34194112,0.28846154,3.125305,12.360788737590688,
368299252428837888,9.689103830806316,38.360456291886074,5.064381320048068,7.0474105,20.38,0.41685295,50.06071881266567,6.533421175525023,1.0135134,33,7.712384484028,0.6315863,0.0382789089472471,7.712334880744291,-0.042446524,-0.15461539,1.3060969,13.902631991126645,
380248332481982336,6.480457613041481,40.588051590319616,3.788098945629746,32.013123,17.887224,-0.22551346,23.172078224016506,-2.431374156979337,1.0502414,52,16.069586644665,0.46881363,0.0191372612087538,16.069582100226224,0.0379066,-0.0133826705,3.1681905,10.779330571534468,
