recno,WDJname,GaiaDR3,RA_ICRS,e_RA_ICRS,DE_ICRS,e_DE_ICRS,plx,e_plx,Gmag,RPmag,BPmag,gmag,rmag,Variable,Periodic,Freq,gAmp,rAmp,Class,Note,Simbad
499,WDJ015434.52+470047.68,356186555597277440,28.64365475647,0.103816,47.01313376529,0.090062,10.2193,0.1293,17.9331,17.9698,17.9552,17.87777,18.07455,False,False,0.0000000000,0.000000000,0.000000000,---,---,Simbad
500,WDJ105532.15-141302.12,3563873702267790080,163.88392742414,0.087730,-14.21724006999,0.072328,3.0057,0.0932,17.4349,17.7184,17.2982,17.25580,17.69365,False,False,0.0000000000,0.000000000,0.000000000,---,---,Simbad
501,WDJ110053.18-135020.76,3564317698806660480,165.22145087971,0.049052,-13.83909996549,0.043009,6.7609,0.0542,16.5004,16.6030,16.4820,16.39939,16.68082,False,False,0.0000000000,0.000000000,0.000000000,---,---,Simbad
502,WDJ114711.38-124336.23,3573543666515688576,176.79710229317,0.103381,-12.72681986205,0.080683,5.9126,0.1363,17.9963,18.0067,18.0266,17.96862,18.12313,False,False,0.0000000000,0.000000000,0.000000000,---,---,Simbad
503,WDJ014635.73+491443.10,357457350520905216,26.64890701693,0.042238,49.24526434957,0.058975,17.6436,0.0822,16.9922,16.8002,17.1137,17.20752,16.98104,False,False,0.0000000000,0.000000000,0.000000000,---,in_SIMBAD_(V*),Simbad
504,WDJ122023.65-135321.11,3575948126647132416,185.09847037255,0.104898,-13.88917886397,0.085709,4.1710,0.1245,17.5320,17.6053,17.4864,17.39980,17.65957,False,False,0.0000000000,0.000000000,0.000000000,---,---,Simbad
505,WDJ121924.49-083752.07,3582916865703969024,184.85177700313,0.072089,-8.63114251355,0.057246,8.0076,0.0879,17.1967,17.1749,17.2490,17.16230,17.32653,False,False,0.0000000000,0.000000000,0.000000000,---,---,Simbad
506,WDJ113133.14-122541.21,3586103254697530240,172.88751301697,0.035923,-12.42861231903,0.023767,19.1905,0.0375,15.4408,15.4166,15.4692,15.39807,15.56304,False,False,0.0000000000,0.000000000,0.000000000,---,---,Simbad
507,WDJ114319.10-080115.41,3592210698192077568,175.82920045649,0.072147,-8.02091400084,0.049016,8.7970,0.0859,17.1352,17.1314,17.1728,17.10234,17.25915,False,False,0.0000000000,0.000000000,0.000000000,---,---,Simbad
508,WDJ120401.91-065328.98,3594834132936380032,181.00769920649,0.076708,-6.89152215930,0.062328,9.4364,0.0935,17.2318,17.2491,17.2508,17.19940,17.36053,False,False,0.0000000000,0.000000000,0.000000000,---,---,Simbad
509,WDJ120421.65-051326.53,3597350571454888448,181.09018289575,0.065362,-5.22405548814,0.052152,1.6424,0.0801,16.5107,16.9150,16.3093,16.31139,16.88209,True,True,1.2956514211,0.078702950,0.087554480,Unknown_type,---,Simbad
510,WDJ115033.35-063618.07,3598424931753893888,177.63756681181,0.049432,-6.60536495114,0.031550,24.0989,0.0529,16.4273,16.2493,16.5293,16.50877,16.49578,False,False,0.0000000000,0.000000000,0.000000000,---,---,Simbad
511,WDJ115057.40-055305.82,3598603632456807552,177.73930786198,0.089806,-5.88516811476,0.064054,6.2710,0.1113,17.4178,17.3580,17.4855,17.40905,17.50560,False,False,0.0000000000,0.000000000,0.000000000,---,---,Simbad
512,WDJ030012.87+185444.98,35994372856799744,45.05391922266,0.066276,18.91255590866,0.072787,5.5960,0.0877,16.8457,16.9777,16.7705,16.73975,17.06249,False,False,0.0000000000,0.000000000,0.000000000,---,---,Simbad
513,WDJ004711.37+305609.18,360447124498490240,11.79746468170,0.074654,30.93550637769,0.047039,5.8323,0.0962,17.5188,17.4887,17.5602,17.49546,17.63520,False,False,0.0000000000,0.000000000,0.000000000,---,---,Simbad
514,WDJ132714.97-110847.76,3611613878670271232,201.81234104929,0.123004,-11.14685635255,0.070952,6.1130,0.1403,17.8396,17.8447,17.8832,17.81406,17.97648,False,False,0.0000000000,0.000000000,0.000000000,---,---,Simbad
