ra,dec,rmag,imag,ndet
247.05115779992474,-29.17775404023898,99.99,99.99,4
247.05231269873823,-29.17821729424739,99.99,99.99,1
247.05508580650087,-29.179277419058984,23.640625,99.99,1
247.0545515066375,-29.178414411792165,99.99,99.99,1
247.05298225706696,-29.176675957755123,99.99,22.078125,2
247.0549014074071,-29.1769210438197,99.99,21.609375,3
247.04485920865596,-29.174043286249542,19.610285,19.234375,8
247.0458209633358,-29.171846322556895,21.560555,21.15625,8
247.04577241531283,-29.171149493422433,21.005863,20.640625,8
247.04687609825524,-29.171221304632823,22.5,22.1875,3
247.0484637421598,-29.171215959774813,19.140625,18.765625,8
247.05123115179742,-29.175736208635715,99.99,22.640625,3
247.05393471940658,-29.176437904901185,22.421875,21.96875,6
247.05066327849593,-29.17194960956582,21.25447,21.109375,8
247.0512575069578,-29.17169893014802,99.99,21.453125,3
247.053578928462,-29.171681294850266,21.163164,20.1875,7
247.05508840614627,-29.17281632877356,21.951649,20.765625,5
247.0322016869073,-29.1666811843267,22.158405,21.209095,8
247.03507903755755,-29.166450829304036,20.374065,20.022593,10
247.03148662488803,-29.163321758078983,21.684885,20.75,10
247.0331229968421,-29.16371924137567,22.417807,22.3125,4
247.0336195761713,-29.163600804196037,99.99,99.99,1
247.03557748268605,-29.165743468727534,99.99,21.365189,2
247.03523876310317,-29.164831503885516,17.792128,99.99,8
247.03453200575797,-29.164415338140504,19.895609,19.125,10
247.03816819519636,-29.167306715948783,20.31498,19.583704,9
247.03970226468624,-29.167917303577457,22.734375,21.405865,4
247.04165066624267,-29.16887630982855,21.630852,20.967499,8
247.04093090210256,-29.16530133368655,22.96875,22.372438,4
247.03264971473925,-29.162961003460488,20.728615,20.288633,13
247.031735001485,-29.1620792535631,99.99,22.84375,1
247.03523011582703,-29.162576852102116,99.99,22.591763,2
247.0343131379796,-29.16039102362715,21.289093,19.71875,14
247.03573451320057,-29.16052836717625,21.142311,20.74714,15
247.03706871874084,-29.16077946952383,17.374449,17.054617,14
247.03673119434532,-29.158943542825757,18.95495,18.6875,17
247.0374860554461,-29.16357098178931,22.103556,99.99,9
247.0378212944181,-29.162001493736906,20.86556,20.341787,13
247.0393924889434,-29.162092527160297,22.793049,21.383442,5
247.0406070171467,-29.16381574511632,22.924124,99.99,3
247.0428675223266,-29.164359355152037,20.765554,99.99,10
247.04184162247765,-29.163036063188727,20.458923,20.09375,12
247.0391861356308,-29.16084406619151,19.993416,19.741907,14
247.03737121991287,-29.159270454706327,21.453125,20.959997,6
247.04184095669535,-29.160455473136253,22.010181,21.466507,15
247.0432737259479,-29.168303980266998,19.877396,19.451666,10
247.0465359844209,-29.170232620686285,22.172428,21.9375,7
247.04700423796112,-29.169449210546734,99.99,22.828125,2
247.04841115802887,-29.168653306665874,22.319674,21.15458,6
247.04520162541468,-29.16605798324929,99.99,22.03125,2
247.04589363056232,-29.166345041777422,21.094326,20.515625,8
247.04668074318815,-29.166963836110995,19.909697,19.5625,8
247.04880690861137,-29.16822934858582,22.390625,21.691849,5
247.0493715981015,-29.16935405485012,22.75,20.89306,5
247.05174187994078,-29.169191983064042,16.976112,16.53049,9
247.05329390689644,-29.17115698530817,99.99,22.609375,2
247.05491199148727,-29.16955590807016,21.584858,21.061535,9
247.0502037633563,-29.16781491325637,20.33024,20.059214,9
247.04574172020136,-29.164929013894316,20.794588,99.99,10
247.04732015914806,-29.16408591795664,22.142677,99.99,11
247.04422833714423,-29.160436384833588,23.039133,22.295958,9
247.04611178445364,-29.160525085374825,99.99,22.79931,2
247.04789232165527,-29.16152782614677,22.057848,21.468195,14
247.04865784772113,-29.162047699056814,99.99,22.859375,1
247.05033544051892,-29.1654148269282,22.885977,20.96875,6
247.05454474921498,-29.166494114917004,23.125,22.671875,3
247.0548374316015,-29.165630516129156,21.40813,20.859375,10
247.05032067185633,-29.16262805776052,20.92722,20.217344,14
247.05439591771275,-29.163034978209996,22.709383,21.545292,6
247.056843876832,-29.181309771839825,23.328125,99.99,1
247.05886441862725,-29.18063021301242,17.414543,17.046875,8
247.0568829779965,-29.17811898129646,99.99,99.99,3
247.0611372799716,-29.18204873286119,17.224627,99.99,7
247.06109604820335,-29.180988926228554,20.607626,20.296875,8
247.06462784930866,-29.18285117055919,23.3125,99.99,1
247.06676117009533,-29.18280534651722,21.503263,20.796875,7
247.0640675892812,-29.179731778424724,23.359375,99.99,2
247.05528823964818,-29.176056171257553,99.99,22.328125,3
247.05692278090874,-29.176768668150057,21.015625,20.859375,7
247.0573849951483,-29.176103144898587,99.99,20.984375,4
247.05790715100508,-29.17561001472217,18.5,17.984375,7
247.05820950429904,-29.176372208138698,99.99,21.84375,3
247.06035035890136,-29.17743517287334,99.99,22.625,2
247.05652084605782,-29.173201095281804,19.783373,19,7
247.05641300700879,-29.172502637983595,99.99,21.796875,3
247.05722049502234,-29.17264100084826,99.99,21.78125,2
247.06012369723055,-29.17521756371149,20.628372,20.3125,8
247.05865229196112,-29.17283868802407,19.13527,18.75,8
247.0601987440423,-29.173635241653443,21.618553,21.171875,6
247.06344664196462,-29.177754279371136,21.65625,99.99,5
247.0617374865659,-29.176390880420197,20.25,19.828125,8
247.0647585498586,-29.17711337681639,17.484375,99.99,6
247.0610562938728,-29.173371857952418,21.087114,20.8125,7
247.06281171325324,-29.174038673194516,17.396757,16.984375,8
247.06444195661518,-29.173976253254512,19.147816,18.84375,8
247.0671269448328,-29.18357386287849,18.862185,18.453125,8
247.06905445142445,-29.18294083714336,21.46008,20.5,8
247.07075511529132,-29.183893961546715,21.015425,20.609375,11
247.0704780642523,-29.182581856860192,22.067713,99.99,8
247.06951686604435,-29.181900881988202,99.99,99.99,2
247.07205749635528,-29.180726450013694,21.4292,20.328125,8
247.07375486954845,-29.184064399008193,22.085014,21.546875,10
247.07721855357798,-29.184032485460484,22.229168,20.59375,8
247.07300979368773,-29.182088212401954,23.119299,99.99,3
247.07307288305552,-29.180857812904836,21.621468,21.046875,6
247.07870744856876,-29.183053695222803,21.23199,20.671875,9
247.07772448070978,-29.1809432623605,22.831083,22.328125,5
247.06836816978966,-29.178592708565652,22.734375,99.99,5
247.06701353208985,-29.17749781346056,99.99,99.99,3
247.0681839352118,-29.176786088377877,20.796875,19.296875,8
247.07209850352714,-29.17900865866158,23.046875,21.796875,4
247.06748788894743,-29.175908709113187,16,15.390625,5
247.06983015603555,-29.175544827033455,99.99,99.99,1
247.07064636459887,-29.17643647289917,20.609375,20.1875,8
247.0722323340409,-29.175360532612316,18.542717,18.171875,9
247.0733244719456,-29.179917080719875,21.472187,20.90625,9
247.07568264947687,-29.180547223337364,22.881863,22.609375,5
247.07819960612602,-29.180459373378877,22.275242,21.734375,5
247.0775007259836,-29.180218585197952,22.127182,21.828125,8
247.0737123511326,-29.176912336371682,21.0625,20.015625,7
247.07457513604675,-29.177562303806837,99.99,22.28125,2
247.07466879806515,-29.176815972999513,20.203125,19.609375,8
247.0752141511328,-29.1772081466526,99.99,22.703125,2
247.07567206926538,-29.175733401905845,99.99,21.0625,4
247.07625413313605,-29.177325010492538,99.99,22.015625,3
247.07771139806025,-29.17815727797095,99.99,99.99,4
247.0763488692827,-29.17644678383143,18.765625,18.28125,8
247.0574195820704,-29.17146871605302,23.15625,22.578125,3
247.05843316382948,-29.172015594602552,21.253658,20.9375,8
247.06060980016014,-29.17065458585406,18.32376,17.96875,8
247.0570946925148,-29.169556076418043,99.99,22.280354,3
247.05948024342237,-29.16917393572259,99.99,21.0625,1
247.05967483228238,-29.169742419132323,19.090683,18.820673,9
247.0621882733069,-29.172944800764725,99.99,22.078125,1
247.0616119536115,-29.172419740515974,19.59813,19.265625,9
247.06370209485473,-29.171915727531786,99.99,22.390625,2
247.06539935421017,-29.173022202958865,22.46875,21.796875,4
247.0668630290742,-29.173923267679957,20.67085,20.3125,8
247.056840611879,-29.16514472483798,20.436192,99.99,9
247.05802086914096,-29.165111416587838,22.021725,99.99,6
247.05650780236704,-29.163405867450535,99.99,99.99,1
247.05668687083528,-29.163394730368655,21.328941,99.99,9
247.0576252419074,-29.16280980585671,20.226662,19.884739,14
247.05923142001467,-29.165040560963686,21.979282,99.99,8
247.06224950023193,-29.168222445462632,18.46875,18.17901,9
247.06673330382952,-29.167197043324926,19.370514,18.849045,9
247.06226928944432,-29.165855013654877,22.65381,21.703125,5
247.06182679737503,-29.16470741237783,22.867296,99.99,2
247.06316048247493,-29.164808051749585,21.837904,99.99,7
247.06480182624298,-29.166235467073815,99.99,99.99,1
247.06528893254867,-29.164237646427235,99.99,99.99,5
247.06661447834398,-29.164276567233795,99.99,99.99,1
247.06791181064273,-29.17365175067711,21.554012,20.078125,6
247.07001982980296,-29.173519854766006,21.91603,21.25,7
247.07176938350838,-29.174126902417424,19.900633,19.390625,8
247.07197787193297,-29.172957218085244,22.08898,21.8125,8
247.0671069298596,-29.171203115980255,22.125498,21.859375,7
247.06769897940526,-29.171449627525867,99.99,22.15625,1
247.07186088179708,-29.171427067395943,19.8125,19.421875,8
247.07288354847606,-29.170664217563164,99.99,20.328125,4
247.07350557948405,-29.174921833612935,22.53125,21.65625,4
247.07533132184304,-29.17530405754575,21.946333,21.375,7
247.07694324894345,-29.175388506973437,99.99,22.203125,1
247.07848923945866,-29.176042834739548,21.25,20.625,8
247.07759265530217,-29.173847226907668,20.166204,19.734375,8
247.0786413187832,-29.17327684346848,21.99791,21.671875,9
247.07776559734702,-29.172575858220487,99.99,21.296875,4
247.07819332380953,-29.17134585578464,21.88646,21.328125,8
247.06761978555116,-29.16721108449734,18.043827,15.122684,9
247.07099852758432,-29.16913063160721,21.05858,19.203125,8
247.07013070720666,-29.167879794142447,99.99,19.40625,1
247.07036953334762,-29.16726189092897,16.207653,19.62286,10
247.07243071316944,-29.16723561893175,16.0625,15.664062,6
247.07711837406347,-29.169335255497952,21.931208,20.767134,7
247.0739740087619,-29.16591598975327,99.99,21.15625,2
247.07495108577078,-29.166245195743944,20.829405,20.117321,11
247.07606042253207,-29.168261629078632,21.4375,20.799393,10
247.07693079882807,-29.168051438998454,22.234375,21.553062,8
247.03155777701866,-29.156179228673125,22.263968,21.453125,11
