ra,dec,rmag,imag,ndet
247.04895469982662,-29.16070586976767,22.616823,21.75,10
247.04725803952007,-29.159008110534035,21.47129,20.600527,17
247.04852571319253,-29.159686476563913,22.534563,21.739544,13
247.04586395858584,-29.15730271691349,22.866804,21.859375,7
247.0443065043985,-29.15590881195336,99.99,22.515625,2
247.0487931040339,-29.156984349628285,19.612415,19.21875,15
247.04968453708983,-29.160196841824117,21.465694,20.91129,17
247.0493141487888,-29.15931563048625,22.82353,21.711073,9
247.05294192800005,-29.161266810809355,22.188911,21.703762,13
247.05389551060756,-29.16105034073619,22.9375,22.522099,4
247.05310629652587,-29.160519222866878,20.66762,20.247189,15
247.05476897764888,-29.160701955169742,23.28125,22.000181,5
247.05389781283398,-29.159954794456247,20.667921,20.311243,17
247.04981390423558,-29.157308255932364,16.93834,16.640625,15
247.05174036708394,-29.157205255631975,21.65876,20.921875,12
247.05278810419114,-29.157599357223503,21.93375,20.953125,8
247.05393847991542,-29.157095988091847,20.620792,19.296875,15
247.05481340811892,-29.157421035955647,21.235706,20.828125,15
247.0449683229622,-29.154844348060706,21.840487,21.296875,15
247.04545420964467,-29.153663971195225,19.96139,19.578125,16
247.04645922566277,-29.15329548531472,23.171875,22,4
247.0445650657914,-29.15178917188364,20.028214,19.6875,15
247.04613914130235,-29.150773182630626,19.505552,19.125,15
247.0505213022328,-29.154900364873104,18.742891,17.390625,16
247.05240282375124,-29.154838056594976,19.057756,18.6875,15
247.05497002136678,-29.155572527344823,20.008505,19.671875,15
247.05023904528977,-29.152343956765588,23.671875,22.71875,2
247.0511179794922,-29.152540708535994,22.256496,20.984375,9
247.05350172427933,-29.154259500013048,22.671875,21.953125,3
247.05246773876422,-29.153223946434846,18.857412,18.515625,14
247.05348322609527,-29.15343164175711,19.96917,19.671875,14
247.0320320676005,-29.147805172608006,99.99,99.99,1
247.03249178608635,-29.147663398507206,99.99,99.99,1
247.03328029821205,-29.148284839547685,23.359375,22.984375,2
247.0325088489534,-29.146160233311814,23.140625,21.953125,3
247.03344187082064,-29.147020816632587,23.3125,23.015625,2
247.03707931822674,-29.147830823570686,22.144314,21.65625,12
247.03550644772,-29.146516054356113,23.375,21.671875,3
247.0365441126573,-29.147637465293002,22.828125,21.71875,3
247.031810917278,-29.145576749717474,23.53125,23.046875,2
247.0339238804178,-29.145278689199476,99.99,22.703125,1
247.03708928667783,-29.14512884425321,23.4375,22.796875,2
247.0397873379245,-29.149507737962796,21.756723,21.34375,14
247.03951185519384,-29.147626789475364,22.503326,21.703125,8
247.04056802108047,-29.148963400970082,21.400616,21.0625,14
