ra,dec,gmag,rmag,imag,ndet,class_star
247.13671441678167,-29.170795374022653,99.99,99.99,22.640625,3,0.545492
247.13613065979789,-29.170068955977825,99.99,99.99,99.99,1,0.811523
247.13591078035398,-29.16962373787051,22.873928,21.15698,20.445116,8,0.88501
247.13671632529665,-29.16952025763187,22.282978,21.185673,20.58085,9,0.891222
247.13802783328634,-29.17039995078913,21.067825,19.527756,18.71875,8,0.979675
247.133699103797,-29.16878712889312,99.99,21.609375,20.84242,6,0.496399
247.1360129089154,-29.168374623320872,23.000227,21.479336,19.951256,10,0.841968
247.1379900884254,-29.167487137468648,99.99,23.265625,22.14086,6,0.69812
247.1422606262651,-29.17711357482508,19.114006,99.99,17.625,7,0.986816
247.1391581696388,-29.174761389705708,22.08014,21.466793,21.03125,9,0.892524
247.13897879131653,-29.172864809675968,99.99,99.99,99.99,1,0.377197
247.14208117672527,-29.175048889053304,19.313843,18.515625,18.125,9,0.983507
247.14164471507695,-29.17412270358026,99.99,99.99,22.171875,3,0.675944
247.14336201259462,-29.174516025415063,21.64373,20.921766,20.4375,9,0.960883
247.14266881138045,-29.173037578317626,99.99,99.99,22.328125,3,0.514242
247.14457745470642,-29.17602903931088,21.305817,20.4375,19.84375,9,0.970757
247.14835666160877,-29.178672712203298,20.381432,99.99,19.234375,5,0.286169
247.14957173269008,-29.17837882991283,99.99,99.99,99.99,1,0.956543
247.14749479421053,-29.17717180597057,21.96401,20.34375,18.65625,7,0.950823
247.14922159187176,-29.177318481230525,21.053383,99.99,18.546875,7,0.981236
247.14607481896357,-29.175879723620707,99.99,99.99,23.109375,1,0.505859
247.14695123403632,-29.17573346444988,99.99,22.90625,22.34375,5,0.593506
247.14557313878714,-29.17370839197907,20.341627,19.711632,19.34375,9,0.981934
247.14874021722707,-29.174600602046766,99.99,99.99,22.171875,3,0.748047
247.13928238884822,-29.1695717005479,99.99,99.99,99.99,1,0.943848
247.1407031106805,-29.16944470992948,99.99,99.99,99.99,1,0.916016
247.14168208843543,-29.169842786352138,22.186052,20.62743,19.98001,7,0.197115
247.1417285292232,-29.169742421022697,99.99,99.99,99.99,1,0.012741
247.14751696978834,-29.173520592484838,21.597004,20.465305,19.984375,9,0.975966
247.14847098442704,-29.173482145297854,99.99,99.99,22.109375,4,0.604004
247.14994186146836,-29.173786747568567,99.99,99.99,22.296875,3,0.654053
247.14785822109368,-29.170589696957244,99.99,99.99,22.734375,3,0.52832
247.1493700522818,-29.169401620045146,99.99,23.15625,21.830242,5,0.710254
247.13182050503747,-29.164521678451987,19.266384,18.546143,18.251583,14,0.979527
247.13082446755558,-29.161390160741227,99.99,22.904545,22.1875,6,0.717814
247.13373089299512,-29.164000066783352,17.311295,16.234375,99.99,10,0.985937
247.13699034255512,-29.1667137128109,99.99,23.03125,22.234375,5,0.64082
247.1358320257929,-29.165260907184965,99.99,99.99,22.678545,2,0.620605
247.1351795919418,-29.1639577272047,20.360985,19.09767,18.71003,15,0.921126
247.13380015369668,-29.162292070118056,15.577229,99.99,99.99,4,0.995239
247.13684982848937,-29.163926434334645,99.99,22.459312,21.704054,7,0.603132
247.13619485794348,-29.16282727265226,21.555033,20.237425,20.187185,14,0.671701
247.1319851619039,-29.16005255021643,18.902512,17.976252,17.546875,15,0.981771
247.131474580051,-29.157324938796712,99.99,23.25,22.25,5,0.575098
247.13471081577944,-29.159710123563393,21.670107,20.930725,20.623362,24,0.548249
247.1373388391334,-29.161595583294094,20.273033,19.248352,18.785221,14,0.965785
247.13710333132303,-29.161064767802415,99.99,99.99,21.4375,1,0.958008
247.13619647148934,-29.16038491145892,99.99,99.99,22.620419,3,0.762533
247.13278770783378,-29.158231552037005,99.99,99.99,22.46875,2,0.581787
247.1370135779374,-29.1594586571986,21.691973,21.073837,20.660616,18,0.961263
247.1365467311617,-29.158336903490095,20.529991,19.891033,19.515625,17,0.98179
247.1354114192973,-29.156943163855747,99.99,22.69698,21.65625,10,0.612671
247.13932129686094,-29.1668288760102,99.99,99.99,22.140625,5,0.653125
247.1408800916892,-29.166560840573386,99.99,99.99,22.21875,1,0.291992
247.14017644563043,-29.165691693310617,99.99,99.99,22.140205,5,0.655322
247.14237070961553,-29.166850825102003,99.99,99.99,22.90628,2,0.509277
247.1438493689412,-29.16809397272337,99.99,99.99,22.116835,5,0.674902
247.1419261522668,-29.165857900135514,21.503551,20.888227,20.46875,11,0.969238
247.14344117045002,-29.166024883863738,20.681332,19.812977,19.359375,11,0.980558
247.1384665573643,-29.163902353511872,99.99,99.99,22.777472,2,0.702881
247.1422771496211,-29.163637967125627,21.015524,19.991337,19.444197,15,0.980241
247.14370229405262,-29.163537238668518,99.99,22.362963,21.038216,10,0.755566
247.14427321049462,-29.16606304367207,99.99,99.99,21.96875,3,0.704753
247.1461371770609,-29.16672584418007,99.99,99.99,22.609375,1,0.437256
247.14736557679626,-29.16755560680945,21.258694,20.756605,20.370747,10,0.972754
247.14920546957407,-29.167450719015385,22.682407,21.16792,20.085936,9,0.916178
247.1496347640629,-29.166941669481997,21.55236,20.531271,20.09375,9,0.192668
247.1466272251055,-29.16609958939389,99.99,99.99,21.828125,4,0.689209
247.14794829167522,-29.166127967881213,20.170954,19.631823,19.25,11,0.982777
247.1388128315882,-29.16162416917868,20.321611,19.628206,19.30553,14,0.980573
247.14040266284678,-29.16206827875354,99.99,99.99,21.984375,5,0.831445
247.14022115855784,-29.161489502053364,99.99,99.99,22.06983,3,0.587891
247.14100506767454,-29.162036711971133,99.99,22.892855,21.468987,7,0.775007
247.13951426885754,-29.161041710869316,99.99,22.546875,22.59346,3,0.704427
247.14027719334345,-29.160418892939305,18.817484,18.080479,17.781528,16,0.978088
247.14187139373308,-29.161258189360385,99.99,22.796875,21.97346,6,0.677205
247.14373193854354,-29.160904453061114,21.784744,21.009003,20.5,16,0.946136
247.13847169617262,-29.15972842667032,99.99,99.99,22.703125,1,0.911621
247.13945979457645,-29.159963238460126,99.99,22.265625,21.495462,5,0.917676
247.1408156509468,-29.159373236939153,22.75899,21.907417,20.985672,12,0.287657
247.13882273773984,-29.157747283229632,23.60478,22.262081,21.796875,11,0.645841
247.14123839183537,-29.16008951216213,20.13011,19.279976,18.851627,18,0.744283
247.1417687854104,-29.158964143132415,22.29543,21.302588,21.015625,17,0.764239
247.14132017637883,-29.158084654787032,99.99,99.99,22.625,1,0.577148
247.1454717950524,-29.162926862181052,99.99,99.99,22.453125,1,0.746582
247.14620724827196,-29.163022830884646,20.303144,19.649956,19.272964,15,0.982096
247.1448726121983,-29.16141512513849,22.292688,21.61473,21.269258,15,0.86888
247.14825245413357,-29.163122221609523,21.838634,21.03297,20.523212,14,0.955462
247.14785675922474,-29.16038919131889,99.99,99.99,22.804646,2,0.644531
247.14877132587984,-29.16140274387567,20.451977,19.68158,19.233664,14,0.979876
247.14737748840673,-29.159329391804178,23.238493,21.65625,21.140625,5,0.737207
247.15144510727964,-29.178779349547476,22.294128,99.99,20.765625,7,0.75361
247.15304902578146,-29.17963838963154,99.99,99.99,22.1875,3,0.740641
247.15190553770066,-29.177506531159338,99.99,99.99,22.625,3,0.633301
247.15414257085416,-29.17918279566567,23.546875,99.99,21.65625,4,0.761902
247.15554483937578,-29.180131721691147,19.462786,99.99,18.109375,6,0.983561
247.15132619465118,-29.17683135413181,20.975428,20.1875,19.765625,8,0.979431
247.15274687551357,-29.176357024654568,19.70656,19.265625,19.015625,8,0.98291
247.155012028996,-29.17577979688715,21.084017,20.49595,19.9375,9,0.977214
247.1565305098265,-29.18000989115581,22.127888,99.99,19.109375,6,0.938232
247.15904472388453,-29.180411962822348,21.503109,99.99,19.34375,6,0.975505
247.1609727563829,-29.18111712775352,99.99,99.99,22.78125,2,0.540405
247.15933704283086,-29.177218891325808,99.99,99.99,22.140625,4,0.637573
247.1607165629548,-29.178635472775166,99.99,99.99,99.99,2,0.516602
247.1616429476067,-29.17764853177327,99.99,99.99,99.99,2,0.491089
247.15380918550497,-29.17313403065746,99.99,99.99,22.78125,1,0.541016
247.15113600547582,-29.171650631169403,21.846577,21.134733,20.75,9,0.924696
247.15276457193923,-29.172062955534923,99.99,23.078125,21.375,5,0.739307
247.15286731293102,-29.170010781786537,99.99,99.99,22.141827,4,0.673462
247.15528530426755,-29.17224195209509,21.075819,20.487698,20.0625,9,0.970161
247.1585789154106,-29.1745232556721,99.99,99.99,22.609375,3,0.527018
247.16098346052343,-29.175126728180196,16.581121,15.84375,99.99,5,0.992285
247.16011943638995,-29.17435332232912,21.12268,99.99,19.59375,5,0.974512
247.16099083674374,-29.171340494624868,18.4172,17.509846,17.0625,9,0.985297
247.16282674289505,-29.180765296788607,99.99,99.99,99.99,1,0.603516
247.16345111645123,-29.1800398525396,99.99,99.99,21.6875,3,0.833659
247.16472495153363,-29.180415785393887,20.09375,99.99,99.99,1,0.976074
247.16460349872537,-29.17961125054398,22.300638,99.99,19.421875,6,0.885661
247.165740968953,-29.181970070481178,23.640625,99.99,22.140625,3,0.7889
