Image	MJD	Filter	Exptime	Object_RA	Object_Dec	Image_target	Telescope/Instrument	Datalink
VCAM.2015-05-24T01:59:51.723	57166.083526647	HOJOANY	50	245.353082367396	-29.5203950761881	OBJECT,PSF-CALIBRATOR	ESO-VISTA/VIRCAM	http://archive.eso.org/datalink/links?ID=ivo://eso.org/ID?VCAM.2015-05-24T01:59:51.723&amp;eso_download=file
c4d_150620_050628_ori.fits.fz 92cf793d92c0d59678a0ceeb5a1cc93a	57193.211378042	r	150	244.744078675955	-29.3947294702251	kp1516	CTIO-4m/DECam	https://astroarchive.noirlab.edu/api/retrieve/92cf793d92c0d59678a0ceeb5a1cc93a
c4d_150620_050628_ooi_r_v2.fits.fz 17e56a18393cda7d57fa5861bd9c4bd8	57193.211378042	r	150	244.744078675955	-29.3947294702251	kp1516	CTIO-4m/DECam	https://astroarchive.noirlab.edu/api/retrieve/17e56a18393cda7d57fa5861bd9c4bd8
c4d_150620_050628_opi_r_v2.fits.fz 8d581eb367c7850911ffd2c80f7d90ea	57193.211378042	r	150	244.744078675955	-29.3947294702251	kp1516	CTIO-4m/DECam	https://astroarchive.noirlab.edu/api/retrieve/8d581eb367c7850911ffd2c80f7d90ea
c4d_150620_050928_ori.fits.fz 25fc40d9cc8b78edf0a9b420a7fd4a4d	57193.2134303218	r	150	244.744035749102	-29.3947187527639	kp1516	CTIO-4m/DECam	https://astroarchive.noirlab.edu/api/retrieve/25fc40d9cc8b78edf0a9b420a7fd4a4d
c4d_150620_050928_ooi_r_v2.fits.fz 15a45b6f62a8c29727dd8cb7e84a9221	57193.2134303218	r	150	244.744035749102	-29.3947187527639	kp1516	CTIO-4m/DECam	https://astroarchive.noirlab.edu/api/retrieve/15a45b6f62a8c29727dd8cb7e84a9221
c4d_150620_050928_opi_r_v2.fits.fz 2d424f3c30509d8a9aa21fa470998add	57193.2134303218	r	150	244.744035749102	-29.3947187527639	kp1516	CTIO-4m/DECam	https://astroarchive.noirlab.edu/api/retrieve/2d424f3c30509d8a9aa21fa470998add
20150809114523-31	57243.48986111	u	40	244.049858547459	-29.1312825810236	1404207216	Skymapper	CTIO
20150809114625-31	57243.49059028	v	20	244.049855235812	-29.1312792389944	1404207729	Skymapper	CTIO
20150809114705-31	57243.49106481	g	5	244.049853080655	-29.1312770640653	1404208242	Skymapper	CTIO
20150809114730-31	57243.49134259	r	5	244.04985181907	-29.1312757909069	1404208755	Skymapper	CTIO
20150809114756-31	57243.49164352	i	10	244.049850452347	-29.1312744116444	1404209268	Skymapper	CTIO
20150809114826-31	57243.49199074	z	20	244.049848875389	-29.1312728202194	1404209781	Skymapper	CTIO
20150814110723-27	57248.4634838	v	20	244.032751871133	-29.1090600003056	1404207680	Skymapper	CTIO
20150814110836-27	57248.4643287	r	5	244.0327498997	-29.1090563625417	1404208706	Skymapper	CTIO
20150814110901-27	57248.46461806	i	10	244.032749224526	-29.1090551166861	1404209219	Skymapper	CTIO
20150814110931-27	57248.4649537	z	20	244.032748441366	-29.1090536715695	1404209732	Skymapper	CTIO
c4d_160308_082444_ori.fits.fz ac08ff94f837fc12cbf72b959db8e64f	57455.3490717124	VR	150	247.962132869189	-29.4666200562179	kp1716	CTIO-4m/DECam	https://astroarchive.noirlab.edu/api/retrieve/ac08ff94f837fc12cbf72b959db8e64f
c4d_160308_082444_oki_VR_v1.fits.fz a46f5987b59186a81666079db15a24c5	57455.3490717124	VR	150	247.962132869189	-29.4666200562179	kp1716	CTIO-4m/DECam	https://astroarchive.noirlab.edu/api/retrieve/a46f5987b59186a81666079db15a24c5
c4d_160308_082444_ooi_VR_v1.fits.fz 2bf0c6f60295f9d70b4598fd5156575b	57455.3490717124	VR	150	247.962132869189	-29.4666200562179	kp1716	CTIO-4m/DECam	https://astroarchive.noirlab.edu/api/retrieve/2bf0c6f60295f9d70b4598fd5156575b
c4d_160308_082444_opi_VR_v1.fits.fz be474f017256c27b0474556498fd1046	57455.3490717124	VR	150	247.962132869189	-29.4666200562179	kp1716	CTIO-4m/DECam	https://astroarchive.noirlab.edu/api/retrieve/be474f017256c27b0474556498fd1046
c4d_160308_082745_ori.fits.fz c9c234cd7ca1d6be9177d83bc97427c2	57455.3511426855	VR	150	247.962133904676	-29.4666248884884	kp1716	CTIO-4m/DECam	https://astroarchive.noirlab.edu/api/retrieve/c9c234cd7ca1d6be9177d83bc97427c2
c4d_160308_082745_oki_VR_v1.fits.fz 874c5daaf496b92fe7b3bfbc8e87a44e	57455.3511426855	VR	150	247.962133904676	-29.4666248884884	kp1716	CTIO-4m/DECam	https://astroarchive.noirlab.edu/api/retrieve/874c5daaf496b92fe7b3bfbc8e87a44e
c4d_160308_082745_ooi_VR_v1.fits.fz 79c7b6e14a22749043756da254e39e41	57455.3511426855	VR	150	247.962133904676	-29.4666248884884	kp1716	CTIO-4m/DECam	https://astroarchive.noirlab.edu/api/retrieve/79c7b6e14a22749043756da254e39e41
c4d_160308_082745_opi_VR_v1.fits.fz 1dc2042e2b6ab18c7b44d40d053f147c	57455.3511426855	VR	150	247.962133904676	-29.4666248884884	kp1716	CTIO-4m/DECam	https://astroarchive.noirlab.edu/api/retrieve/1dc2042e2b6ab18c7b44d40d053f147c
20160412180127-07	57490.75103009	u	100	247.705933194964	-29.5027079327428	0330498293	Skymapper	CTIO
20160412180328-07	57490.75243056	v	100	247.705913179913	-29.5027073881155	0330498806	Skymapper	CTIO
20160412180529-07	57490.75381944	g	100	247.705893330503	-29.5027068479955	0330499319	Skymapper	CTIO
20160412180729-07	57490.75521991	r	100	247.705873315453	-29.5027063033683	0330499832	Skymapper	CTIO
20160412180930-11	57490.7566088	u	100	247.7058534659	-29.5027057632444	0330500345	Skymapper	CTIO
20160412181130-11	57490.75800926	v	100	247.705833450993	-29.5027052186211	0330500858	Skymapper	CTIO
20160412181330-07	57490.75939815	i	100	247.70581360144	-29.5027046784972	0330501371	Skymapper	CTIO
20160412181531-07	57490.76079861	z	100	247.705793586532	-29.5027041338739	0330501884	Skymapper	CTIO
20160412181731-07	57490.76217593	u	100	247.705773902334	-29.5027035982494	0330502397	Skymapper	CTIO
20160412181931-07	57490.76357639	v	100	247.705753887426	-29.5027030536261	0330502910	Skymapper	CTIO
c4d_160522_051530_ori.fits.fz bbab0ec155587a0f08db92bedf47b5cc	57530.2183578914	r	30	246.935657357971	-29.4223963485498	AMapx8_20160518-209	CTIO-4m/DECam	https://astroarchive.noirlab.edu/api/retrieve/bbab0ec155587a0f08db92bedf47b5cc
c4d_160522_051624_ori.fits.fz 240133b8c9b045f972ef9a19bb9deba5	57530.2189920906	r	30	246.935642929939	-29.422394111236	AMapx8_20160518-210	CTIO-4m/DECam	https://astroarchive.noirlab.edu/api/retrieve/240133b8c9b045f972ef9a19bb9deba5
c4d_160522_051717_ori.fits.fz b539ff99a187be9b7325923b814e956c	57530.2196205599	r	30	246.935628632262	-29.4223918941359	AMapx8_20160518-211	CTIO-4m/DECam	https://astroarchive.noirlab.edu/api/retrieve/b539ff99a187be9b7325923b814e956c
VCAM.2016-06-14T01:58:59.803	57553.0827234144	KS	15	246.415853645168	-29.3264126193372	STR21	ESO-VISTA/VIRCAM	http://archive.eso.org/datalink/links?ID=ivo://eso.org/ID?VCAM.2016-06-14T01:58:59.803&amp;eso_download=file
VCAM.2016-06-14T01:59:29.316	57553.083065	KS	15	246.41584615875	-29.3264109968056	STR21	ESO-VISTA/VIRCAM	http://archive.eso.org/datalink/links?ID=ivo://eso.org/ID?VCAM.2016-06-14T01:59:29.316&amp;eso_download=file
VCAM.2016-06-14T02:00:01.147	57553.0834334144	KS	15	246.415838084335	-29.3264092468372	STR21	ESO-VISTA/VIRCAM	http://archive.eso.org/datalink/links?ID=ivo://eso.org/ID?VCAM.2016-06-14T02:00:01.147&amp;eso_download=file
VCAM.2016-06-14T02:00:27.373	57553.0837369561	KS	15	246.415831431712	-29.3264078050141	STR21	ESO-VISTA/VIRCAM	http://archive.eso.org/datalink/links?ID=ivo://eso.org/ID?VCAM.2016-06-14T02:00:27.373&amp;eso_download=file
VCAM.2016-06-14T02:00:57.939	57553.0840907292	KS	15	246.415823678185	-29.3264061245919	STR21	ESO-VISTA/VIRCAM	http://archive.eso.org/datalink/links?ID=ivo://eso.org/ID?VCAM.2016-06-14T02:00:57.939&amp;eso_download=file
VCAM.2016-06-14T02:01:28.987	57553.0844500811	KS	15	246.41581580239	-29.3264044176704	STR21	ESO-VISTA/VIRCAM	http://archive.eso.org/datalink/links?ID=ivo://eso.org/ID?VCAM.2016-06-14T02:01:28.987&amp;eso_download=file
VCAM.2016-06-14T02:01:59.538	57553.0848036806	KS	15	246.415808052667	-29.3264027380728	STR21	ESO-VISTA/VIRCAM	http://archive.eso.org/datalink/links?ID=ivo://eso.org/ID?VCAM.2016-06-14T02:01:59.538&amp;eso_download=file
VCAM.2016-06-14T02:02:26.096	57553.0851110649	KS	15	246.415801315828	-29.3264012779973	STR21	ESO-VISTA/VIRCAM	http://archive.eso.org/datalink/links?ID=ivo://eso.org/ID?VCAM.2016-06-14T02:02:26.096&amp;eso_download=file
VCAM.2016-06-14T02:02:55.660	57553.0854532408	KS	15	246.415793816473	-29.3263996526618	STR21	ESO-VISTA/VIRCAM	http://archive.eso.org/datalink/links?ID=ivo://eso.org/ID?VCAM.2016-06-14T02:02:55.660&amp;eso_download=file
VCAM.2016-06-14T02:03:21.867	57553.0857565625	KS	15	246.415787168672	-29.3263982118837	STR21	ESO-VISTA/VIRCAM	http://archive.eso.org/datalink/links?ID=ivo://eso.org/ID?VCAM.2016-06-14T02:03:21.867&amp;eso_download=file
VCAM.2016-06-14T02:03:52.396	57553.0861099075	KS	15	246.415779424528	-29.326396533495	STR21	ESO-VISTA/VIRCAM	http://archive.eso.org/datalink/links?ID=ivo://eso.org/ID?VCAM.2016-06-14T02:03:52.396&amp;eso_download=file
VCAM.2016-06-14T02:04:16.793	57553.0863922801	KS	15	246.415773235861	-29.3263951922251	STR21	ESO-VISTA/VIRCAM	http://archive.eso.org/datalink/links?ID=ivo://eso.org/ID?VCAM.2016-06-14T02:04:16.793&amp;eso_download=file
VCAM.2016-06-14T02:05:11.962	57553.0870308102	J	15	246.41575924141	-29.3263921592071	STR21	ESO-VISTA/VIRCAM	http://archive.eso.org/datalink/links?ID=ivo://eso.org/ID?VCAM.2016-06-14T02:05:11.962&amp;eso_download=file
VCAM.2016-06-14T02:05:38.584	57553.0873389352	J	15	246.415752488337	-29.3263906956134	STR21	ESO-VISTA/VIRCAM	http://archive.eso.org/datalink/links?ID=ivo://eso.org/ID?VCAM.2016-06-14T02:05:38.584&amp;eso_download=file
VCAM.2016-06-14T02:06:06.625	57553.0876634838	J	15	246.415745375314	-29.3263891540076	STR21	ESO-VISTA/VIRCAM	http://archive.eso.org/datalink/links?ID=ivo://eso.org/ID?VCAM.2016-06-14T02:06:06.625&amp;eso_download=file
VCAM.2016-06-14T02:06:30.602	57553.0879409954	J	15	246.415739293184	-29.3263878358275	STR21	ESO-VISTA/VIRCAM	http://archive.eso.org/datalink/links?ID=ivo://eso.org/ID?VCAM.2016-06-14T02:06:30.602&amp;eso_download=file
VCAM.2016-06-14T02:07:56.626	57553.0889366436	J	15	246.415717471895	-29.3263831064985	STR21	ESO-VISTA/VIRCAM	http://archive.eso.org/datalink/links?ID=ivo://eso.org/ID?VCAM.2016-06-14T02:07:56.626&amp;eso_download=file
VCAM.2016-06-14T02:08:22.082	57553.0892312732	J	15	246.415711014596	-29.3263817070079	STR21	ESO-VISTA/VIRCAM	http://archive.eso.org/datalink/links?ID=ivo://eso.org/ID?VCAM.2016-06-14T02:08:22.082&amp;eso_download=file
VCAM.2016-06-14T02:08:48.727	57553.0895396644	J	15	246.415704255689	-29.3263802421497	STR21	ESO-VISTA/VIRCAM	http://archive.eso.org/datalink/links?ID=ivo://eso.org/ID?VCAM.2016-06-14T02:08:48.727&amp;eso_download=file
VCAM.2016-06-14T02:09:10.741	57553.0897944561	J	15	246.415698671504	-29.3263790318891	STR21	ESO-VISTA/VIRCAM	http://archive.eso.org/datalink/links?ID=ivo://eso.org/ID?VCAM.2016-06-14T02:09:10.741&amp;eso_download=file
VCAM.2016-06-14T02:09:40.764	57553.0901419445	J	15	246.415691055717	-29.3263773813192	STR21	ESO-VISTA/VIRCAM	http://archive.eso.org/datalink/links?ID=ivo://eso.org/ID?VCAM.2016-06-14T02:09:40.764&amp;eso_download=file
VCAM.2016-06-14T02:10:05.865	57553.0904324653	J	15	246.415684688469	-29.3263760013454	STR21	ESO-VISTA/VIRCAM	http://archive.eso.org/datalink/links?ID=ivo://eso.org/ID?VCAM.2016-06-14T02:10:05.865&amp;eso_download=file
VCAM.2016-06-14T02:10:32.400	57553.0907395834	J	15	246.415677957464	-29.3263745425345	STR21	ESO-VISTA/VIRCAM	http://archive.eso.org/datalink/links?ID=ivo://eso.org/ID?VCAM.2016-06-14T02:10:32.400&amp;eso_download=file
VCAM.2016-06-14T02:10:56.893	57553.0910230672	J	15	246.415671744444	-29.3263731959864	STR21	ESO-VISTA/VIRCAM	http://archive.eso.org/datalink/links?ID=ivo://eso.org/ID?VCAM.2016-06-14T02:10:56.893&amp;eso_download=file
c4d_160822_230827_ori.fits.fz 23b6384b81b2e98d9afec34fdd128df8	57622.9636069965	r	5	245.552509822789	-28.9881652624577	pointing	CTIO-4m/DECam	https://astroarchive.noirlab.edu/api/retrieve/23b6384b81b2e98d9afec34fdd128df8
2015.1.00601.S A001/X2fe/X43c A002/Xb62a5b/X1548	57624.4869279745	Band-3	307	245.554727123955	-28.9825614565372	Mars	ALMA	
20170403191929-31	57846.80521991	i	100	249.350079829256	-29.3747413538464	0330538124	Skymapper	
20170403192130-31	57846.8066088	z	100	249.350065593133	-29.3747420097111	0330538637	Skymapper	
VCAM.2017-05-21T07:26:01.635	57894.309775868	H	6	248.508642135642	-29.3070382159772	OPHIUCHUS_WIDE_1_6_1	ESO-VISTA/VIRCAM	http://archive.eso.org/datalink/links?ID=ivo://eso.org/ID?VCAM.2017-05-21T07:26:01.635&amp;eso_download=file
VCAM.2017-05-21T07:26:19.801	57894.3099861227	H	6	248.508637396151	-29.3070375443303	OPHIUCHUS_WIDE_1_6_1	ESO-VISTA/VIRCAM	http://archive.eso.org/datalink/links?ID=ivo://eso.org/ID?VCAM.2017-05-21T07:26:19.801&amp;eso_download=file
VCAM.2017-05-21T07:26:45.252	57894.3102806944	H	6	248.508630756014	-29.3070366033373	OPHIUCHUS_WIDE_1_6_1	ESO-VISTA/VIRCAM	http://archive.eso.org/datalink/links?ID=ivo://eso.org/ID?VCAM.2017-05-21T07:26:45.252&amp;eso_download=file
VCAM.2017-05-21T07:27:05.661	57894.3105169097	H	6	248.508625431327	-29.3070358487607	OPHIUCHUS_WIDE_1_6_1	ESO-VISTA/VIRCAM	http://archive.eso.org/datalink/links?ID=ivo://eso.org/ID?VCAM.2017-05-21T07:27:05.661&amp;eso_download=file
