exposure,pred_ra,pred_dec,jd,midmjd,vmag_pred,smaa,smia,theta,meas_ra,meas_dec,sep_arcsec,mag_auto,magerr,filt,fwhm,class_star,dmjd_s,measid
c4d_190428_083626_ooi_Y_v1,252.041899697,-29.064239406,2458601.858990549,58601.358990548906,21.656,6.672,0.788,6.373,252.04205670345445,-29.062565085172412,6.048,18.89019,0.077006,Y,1.353433,0.851554,-30.0,c4d.851209.34.7702
c4d_190428_083626_ooi_Y_v1,252.041899697,-29.064239406,2458601.858990549,58601.358990548906,21.656,6.672,0.788,6.373,252.03993874196098,-29.06468423924408,6.375,19.913944,0.172724,Y,1.109462,0.745665,-30.0,c4d.851209.34.7789
c4d_190428_083626_ooi_Y_v1,252.041899697,-29.064239406,2458601.858990549,58601.358990548906,21.656,6.672,0.788,6.373,252.04013322428344,-29.065607206054526,7.426,17.9048,0.029043,Y,0.909145,0.98292,-30.0,c4d.851209.34.7716
c4d_190429_082142_ooi_i_v1,252.024361661,-29.063095234,2458602.848756217,58602.34875621681,21.654,6.668,0.788,6.381,252.02449056393513,-29.062627384339173,1.732,21.595816,0.111495,i,0.864156,0.863872,-30.0,c4d.851839.26.10617
c4d_190429_082142_ooi_i_v1,252.024361661,-29.063095234,2458602.848756217,58602.34875621681,21.654,6.668,0.788,6.381,252.02403739107302,-29.063614554411515,2.13,21.080011,0.082087,i,0.930527,0.97501,-30.0,c4d.851839.26.10650
c4d_190429_082142_ooi_i_v1,252.024361661,-29.063095234,2458602.848756217,58602.34875621681,21.654,6.668,0.788,6.381,252.02521416245466,-29.063139249880557,2.687,21.244993,0.088766,i,1.034949,0.956982,-30.0,c4d.851839.26.10571
c4d_190429_082142_ooi_i_v1,252.024361661,-29.063095234,2458602.848756217,58602.34875621681,21.654,6.668,0.788,6.381,252.02499685403455,-29.064011704292767,3.858,20.749386,0.066674,i,0.878659,0.974326,-30.0,c4d.851839.26.10581
c4d_190429_082142_ooi_i_v1,252.024361661,-29.063095234,2458602.848756217,58602.34875621681,21.654,6.668,0.788,6.381,252.0231192734282,-29.06250106446314,4.456,20.059668,0.051623,i,2.71386,0.032181,-30.0,c4d.851839.26.10687
c4d_190429_082241_ooi_z_v1,252.024349178,-29.063094381,2458602.8494417113,58602.349441711405,21.654,6.668,0.788,6.381,252.02449273736525,-29.062631602619565,1.726,21.087202,0.123223,z,1.073415,0.903079,-30.0,c4d.851840.26.9977
c4d_190429_082241_ooi_z_v1,252.024349178,-29.063094381,2458602.8494417113,58602.349441711405,21.654,6.668,0.788,6.381,252.02406555896266,-29.063604782816196,2.043,20.919308,0.107277,z,0.887337,0.891364,-30.0,c4d.851840.26.10008
c4d_190429_082241_ooi_z_v1,252.024349178,-29.063094381,2458602.8494417113,58602.349441711405,21.654,6.668,0.788,6.381,252.02518386425493,-29.063134247012208,2.63,21.426159,0.182843,z,1.088496,0.664871,-30.0,c4d.851840.26.9932
c4d_190429_082241_ooi_z_v1,252.024349178,-29.063094381,2458602.8494417113,58602.349441711405,21.654,6.668,0.788,6.381,252.02500253209166,-29.064010210939994,3.885,20.498663,0.091483,z,0.955933,0.940637,-30.0,c4d.851840.26.9955
c4d_190429_082241_ooi_z_v1,252.024349178,-29.063094381,2458602.8494417113,58602.349441711405,21.654,6.668,0.788,6.381,252.02309960163154,-29.06252862160086,4.428,19.733429,0.064665,z,2.488271,0.067602,-30.0,c4d.851840.26.10046
c4d_190429_082340_ooi_Y_v1,252.024336715,-29.063093529,2458602.850126111,58602.350126110905,21.654,6.668,0.788,6.381,252.02498607269172,-29.06398466359128,3.804,20.69588,0.159886,Y,1.112381,0.534525,-30.0,c4d.851841.26.6985
c4d_190429_082340_ooi_Y_v1,252.024336715,-29.063093529,2458602.850126111,58602.350126110905,21.654,6.668,0.788,6.381,252.02312131862115,-29.062486554706325,4.405,19.768261,0.138874,Y,2.162964,0.646018,-30.0,c4d.851841.26.7041
c4d_190429_082340_ooi_Y_v1,252.024336715,-29.063093529,2458602.850126111,58602.350126110905,21.654,6.668,0.788,6.381,252.02250055764225,-29.062239307261375,6.545,19.172146,0.076269,Y,1.130326,0.962798,-30.0,c4d.851841.26.7062
