ra,dec,mjd,mag_auto,magerr_auto,filter,fwhm,class_star,exposure
247.3442992782132,-29.052061087269568,58617.20971358009,18.503592,0.007304,i,0.823918,0.990936,c4d_190514_050159_ooi_i_v1
247.34353687488934,-29.053452898743785,58617.20971358009,19.03466,0.012153,i,2.883156,0.107706,c4d_190514_050159_ooi_i_v1
247.34234728313402,-29.05478631666363,58617.20971358009,22.037497,0.151685,i,1.54318,0.052367,c4d_190514_050159_ooi_i_v1
247.3418163904951,-29.059778262558936,58617.20971358009,18.059488,0.005704,i,0.823138,0.985295,c4d_190514_050159_ooi_i_v1
247.34159061365358,-29.058751261627386,58617.20971358009,20.272686,0.028279,i,0.847215,0.982613,c4d_190514_050159_ooi_i_v1
247.3420745970099,-29.050124769567507,58617.20971358009,21.237062,0.067173,i,0.941862,0.956746,c4d_190514_050159_ooi_i_v1
247.34082115541148,-29.057382558205397,58617.20971358009,19.96844,0.02132,i,0.821884,0.982338,c4d_190514_050159_ooi_i_v1
247.3405035793759,-29.05426087084844,58617.20971358009,21.732168,0.081639,i,1.002787,0.954011,c4d_190514_050159_ooi_i_v1
247.34008238916365,-29.052731775953994,58617.20971358009,20.172552,0.02583,i,0.860967,0.981214,c4d_190514_050159_ooi_i_v1
247.34139042559244,-29.050946694677677,58617.20971358009,20.063679,0.040161,i,1.635166,0.026231,c4d_190514_050159_ooi_i_v1
247.34013540791193,-29.05105747262075,58617.20971358009,22.708359,0.193607,i,0.976171,0.695409,c4d_190514_050159_ooi_i_v1
247.33840058915024,-29.058118802282376,58617.20971358009,16.727692,0.003393,i,0.889183,0.985024,c4d_190514_050159_ooi_i_v1
247.33763715777437,-29.056638757263677,58617.20971358009,21.131506,0.075433,i,2.115878,0.031858,c4d_190514_050159_ooi_i_v1
247.33754192821578,-29.05406962636586,58617.20971358009,21.540657,0.072165,i,1.105157,0.975348,c4d_190514_050159_ooi_i_v1
247.33704070994193,-29.053350679544522,58617.20971358009,20.707972,0.037772,i,0.864242,0.976935,c4d_190514_050159_ooi_i_v1
247.33653417876408,-29.049890724527128,58617.20971358009,21.431362,0.094005,i,1.150982,0.6424,c4d_190514_050159_ooi_i_v1
247.33605626340565,-29.05859746692795,58617.20971358009,21.016003,0.051356,i,0.874001,0.977495,c4d_190514_050159_ooi_i_v1
247.34737698813763,-29.059314168595222,58640.2439069543,19.15539,0.010125,g,0.984673,0.989532,c4d_190606_055113_ooi_g_v1
247.33703990234358,-29.053361825297163,58640.2439069543,22.464867,0.080299,g,1.180629,0.940212,c4d_190606_055113_ooi_g_v1
247.33606667546997,-29.058587017167714,58640.2439069543,22.817888,0.130618,g,1.182817,0.898053,c4d_190606_055113_ooi_g_v1
247.33731830244562,-29.052388321425408,58640.2439069543,20.522017,0.021108,g,0.958969,0.982483,c4d_190606_055113_ooi_g_v1
247.33753816588015,-29.05407705986383,58640.2439069543,22.837343,0.098419,g,1.250607,0.725862,c4d_190606_055113_ooi_g_v1
247.3383996817355,-29.058127516165353,58640.2439069543,18.412304,0.007923,g,1.007947,0.983841,c4d_190606_055113_ooi_g_v1
247.3400700687012,-29.052747178882033,58640.2439069543,22.344069,0.076856,g,1.232804,0.952326,c4d_190606_055113_ooi_g_v1
247.3407839584598,-29.057375020573172,58640.2439069543,23.07967,0.120959,g,1.25073,0.713811,c4d_190606_055113_ooi_g_v1
247.3413711972478,-29.050954648112377,58640.2439069543,21.724974,0.065689,g,1.758049,0.138292,c4d_190606_055113_ooi_g_v1
247.34157643823565,-29.058764158065753,58640.2439069543,22.313183,0.077755,g,1.253304,0.962723,c4d_190606_055113_ooi_g_v1
247.3418164895787,-29.059788783767512,58640.2439069543,19.454882,0.011522,g,0.990798,0.984459,c4d_190606_055113_ooi_g_v1
247.34341904854125,-29.053545120624417,58640.2439069543,21.738283,0.051827,g,1.336214,0.956742,c4d_190606_055113_ooi_g_v1
