night,band,mjd,flux,err,n,snr
58336.0,o,58336.49664899999,5.510940115116136,7.589931088288642,4,0.7260856588829357
58338.0,c,58338.501623749995,0.75,4.5,4,0.16666666666666666
58340.0,o,58340.4874955,-0.17851097296130228,10.887619576109866,4,-0.016395776111887632
58342.0,c,58342.490517875005,1.0173356441827515,3.966126318438271,8,0.256506112640241
58344.0,o,58344.473243375,0.6323378896265778,8.14422260707368,8,0.07764251054205708
58348.0,o,58348.448951,-1.9668825825479064,5.65466130408479,8,-0.34783384481880075
58350.0,o,58350.45563425,-32.59213066935957,20.31789498285082,4,-1.6041096135632522
58351.0,o,58351.41455175,-11.21765450522862,45.375463922657765,4,-0.24721850831870396
58360.0,o,58360.438395499994,4.010858835143139,11.241669066284325,4,0.356784994425106
58362.0,o,58362.43447125,-3.2337814028071987,7.474939820375472,4,-0.43261637959845983
58364.0,o,58364.427847499996,16.48036590371572,8.553258209153702,4,1.9267939188458527
58370.0,o,58370.416389,1.8049809125613527,6.584409210128721,4,0.27412951640137606
58372.0,o,58372.407910249996,9.819537676912416,8.01800152394349,4,1.224686431848279
58376.0,o,58376.381372749995,-1.2958904109589042,6.736122212798208,4,-0.19237929034256446
58377.0,o,58377.36624424999,-0.2879516803034028,6.4710614021883845,4,-0.04449836934108263
58378.0,o,58378.38522825,11.602642420798409,7.509051222546123,4,1.5451542514400716
58379.0,o,58379.355984,-6.776695877961701,13.619963582345608,4,-0.4975560938170019
58380.0,o,58380.3794375,3.285667386345439,18.889159550744242,4,0.17394460444461554
58383.0,o,58383.36657025,3.9090352693025157,21.206997992951187,8,0.1843276106595477
58384.0,o,58384.380522750005,-92.84054361549224,30.440226724547177,4,-3.0499294389494502
58385.0,o,58385.41900675,18.99231341433176,15.620594593437112,4,1.215850862828951
58386.0,o,58386.39228,-34.0,36.0,1,-0.9444444444444444
58387.0,o,58387.3765465,19.460184906818306,15.169848301524489,4,1.282820007162673
58390.0,o,58390.36229225,10.119047619047619,7.71665104152723,4,1.3113263207824053
58392.0,o,58392.36625975001,-0.7846225680933856,9.444687222535086,4,-0.08307554814745702
58394.0,o,58394.35294125001,0.6196722934508195,6.299305001569371,4,0.09837153357337644
58396.0,o,58396.3434826,-28.538376186640214,44.07877715060702,5,-0.6474402883077078
58398.0,c,58398.36041766667,0.2572968516986631,6.867214250814814,3,0.03746742744601774
58402.0,c,58402.34902266667,-6.961187214611873,6.211640273377455,3,-1.1206681179602287
58403.0,o,58403.31933025,-9.913755885837785,9.199234775016738,4,-1.0776717986110695
58405.0,c,58405.30628424999,-11.79034941763727,6.363372728294433,4,-1.85284595466364
58406.0,o,58406.31377775,23.15493268774639,6.606312718846392,4,3.50497072621015
58413.0,o,58413.29867075,7.919347400456311,11.436673784024215,4,0.692451979483648
58415.0,o,58415.314887,117.99999999999999,151.0,1,0.781456953642384
58416.0,o,58416.321219,-8.934877786921055,19.733905916056596,4,-0.45276783141299687
58417.0,o,58417.318031625,9.316533262013104,9.757357244108013,8,0.9548213751873131
58424.0,o,58424.28638675,5.208384113954718,10.161711606727335,4,0.5125498848546954
58425.0,c,58425.28265225,-2.1187737912706917,4.528623954943441,8,-0.4678626029343506
58427.0,o,58427.251342714284,-0.5009167141196542,7.310707188056354,7,-0.06851822966429454
58428.0,o,58428.284918749996,8.465526498780907,9.078520067831022,4,0.9324786898668422
58429.0,c,58429.2728995,-1.4579955963125169,5.968632468497335,4,-0.24427632359805568
58430.0,c,58430.295167250006,-2.6778728194168506,5.329466578343406,4,-0.5024654494126186
58431.0,o,58431.24144025,3.804218186718776,7.814706681044686,4,0.48680242803562535
58432.0,o,58432.269371,9.198451855074206,11.552660152008686,3,0.7962193758010662
58433.0,c,58433.25687325,47.06828516822202,69.97375342079592,4,0.672656287067681
