###MJD          m      dm   uJy   duJy F err chi/N     RA       Dec        x        y     maj  min   phi  apfit mag5sig Sky   Obs
57428.527920 -15.508  0.004 -2274    9 c  0  81.31 112.33509   9.86854  9322.71  9024.61 3.94 3.58  82.4 -0.433 19.39 21.27 02a57428o0538c
57434.385009 -17.753  0.126  -288   36 c  0  11.05 112.33509   9.86854  1388.61   285.52 5.99 4.09 -20.3 -0.443 18.78 20.15 02a57434o0341c
57434.397303  18.747  0.287   115   33 c  0   2.88 112.33509   9.86854  8044.49  9976.29 4.39 4.11  68.4 -0.378 18.76 20.11 02a57434o0361c
57434.420002 -18.775  0.275  -112   31 c  0   4.43 112.33509   9.86854  7795.40  9393.95 4.65 4.35  78.9 -0.382 18.68 20.17 02a57434o0398c
57437.396375 -18.607  0.671  -131   88 o  0   3.89 112.33509   9.86854  8010.59 10296.77 3.76 3.51  72.6 -0.482 17.70 18.05 02a57437o0373o
57437.417914  18.472  0.848   148  126 o  0   2.25 112.33509   9.86854  7720.54  9708.38 3.84 3.52  84.2 -0.479 17.57 17.87 02a57437o0411o
57437.440103 -18.476  2.074  -148  306 o  0   1.55 112.33509   9.86854  8876.29  9135.08 3.98 3.37  81.4 -0.519 17.52 17.80 02a57437o0450o
57437.461270  18.138  1.978   202  399 o  0   1.43 112.33509   9.86854  9163.15  9064.27 4.10 3.40  80.5 -0.548 17.44 17.69 02a57437o0488o
57444.439823 -17.944  0.168  -241   40 o  0  16.56 112.33509   9.86854  9430.07  8908.06 3.98 3.38  79.6 -0.466 18.63 19.79 02a57444o0180o
57445.369062 -15.328  0.003 -2685    8 o  0 1382.40 112.33509   9.86854  1383.09   655.17 5.52 3.49 -21.1 -0.529 18.95 20.37 02a57445o0334o
57445.383787 -16.937  0.042  -610   25 o  0  38.02 112.33509   9.86854  8023.29 10329.06 3.71 3.55  67.3 -0.471 18.94 20.31 02a57445o0362o
57445.390551 -13.832  0.001 -10648   10 o  0 1142.84 112.33509   9.86854  1068.12    66.13 5.84 3.45 -18.8 -0.507 18.93 20.27 02a57445o0375o
57445.405016 -17.811  0.111  -273   30 o  0  18.72 112.33509   9.86854  7713.24  9739.63 3.64 3.35  81.1 -0.478 18.92 20.23 02a57445o0403o
57445.426433 -14.419  0.002 -6199   12 o  0 255.08 112.33509   9.86854  8886.54  9172.67 3.82 3.23  86.5 -0.482 18.85 20.14 02a57445o0444o
57445.447818 -16.115  0.021 -1300   27 o  0  53.24 112.33509   9.86854  9158.22  9060.99 3.82 3.15  85.1 -0.482 18.79 20.02 02a57445o0485o
57452.370186 -15.304  0.004 -2745   11 c  0 146.79 112.33509   9.86854  1532.26   772.65 5.52 3.81 -19.4 -0.465 19.55 21.55 02a57452o0226c
57452.380270 -16.364  0.013 -1033   13 c  0  38.19 112.33509   9.86854  8151.04 10450.47 4.13 3.89  61.2 -0.407 19.57 21.56 02a57452o0246c
57452.391990 -15.629  0.003 -2034    6 c  0 570.86 112.33509   9.86854  1216.42   183.77 5.70 3.72 -19.7 -0.466 19.54 21.50 02a57452o0269c
57452.401992 -14.826  0.004 -4262   16 c  0 400.10 112.33509   9.86854  7858.76  9859.10 3.95 3.71  70.0 -0.421 19.58 21.58 02a57452o0289c
57452.423873 -15.339  0.004 -2658   12 c  0 142.74 112.33509   9.86854  9035.48  9290.24 4.01 3.55  79.2 -0.429 19.58 21.56 02a57452o0332c
57452.446066 -16.014  0.008 -1426   11 c  0  41.26 112.33509   9.86854  9155.59  9059.34 4.05 3.52  79.0 -0.429 19.52 21.46 02a57452o0375c
57460.342585 -17.828  0.091  -268   24 c  0  30.30 112.33509   9.86854  1667.61   554.89 5.64 3.82 -16.8 -0.480 19.36 21.19 02a57460o0271c
57460.352770  19.009  0.238    90   22 c  0   6.97 112.33509   9.86854  8286.79 10212.48 4.17 3.88  71.9 -0.412 19.40 21.26 02a57460o0291c
57460.374372 -18.087  0.086  -211   18 c  0  19.34 112.33509   9.86854  7995.29  9622.14 4.10 3.73  77.8 -0.423 19.46 21.37 02a57460o0334c
57460.396114 -15.691  0.003 -1921    6 c  0 247.51 112.33509   9.86854  9169.71  9055.42 4.09 3.46  79.2 -0.439 19.47 21.32 02a57460o0377c
57460.417704 -14.838  0.004 -4214   16 c  0 179.60 112.33509   9.86854  9155.31  9057.44 4.39 3.90  74.7 -0.411 19.34 21.22 02a57460o0420c
57464.331467 -17.787  0.225  -279   63 o  0   9.53 112.33509   9.86854  8058.01  9925.52 3.98 3.46  77.2 -0.523 18.13 18.90 02a57464o0258o
57464.352040  20.842  3.927    17   66 o  0   6.24 112.33509   9.86854  7764.20  9335.94 3.87 3.17  85.7 -0.525 18.10 18.82 02a57464o0299o
57464.373705 -17.156  0.180  -499   90 o  0   9.13 112.33509   9.86854  8916.04  8768.99 3.99 2.99  86.5 -0.526 18.09 18.76 02a57464o0342o
57464.395519 -18.174  0.641  -195  125 o  0   3.66 112.33509   9.86854  9157.40  9046.95 3.99 3.03  85.6 -0.530 18.05 18.69 02a57464o0385o
