###MJD          m      dm   uJy   duJy F err chi/N     RA       Dec        x        y     maj  min   phi  apfit mag5sig Sky   Obs
57427.272269 -18.734  0.237  -116   28 c  0   1.53  32.31460  38.07367    54.03  5409.41 4.58 3.77 -49.4 -0.424 19.33 21.14 02a57427o0130c
57427.287070  19.452  0.308    60   18 c  0   1.09  32.31460  38.07367  9696.30  5392.81 4.02 3.38  82.5 -0.448 19.36 21.14 02a57427o0154c
57427.291381  19.626  0.673    51   34 c  0   1.79  32.31460  38.07367    39.36  5480.64 4.63 3.77 -49.1 -0.408 19.26 21.02 02a57427o0161c
57427.306185  19.582  0.361    53   19 c  0   1.34  32.31460  38.07367  9695.58  5464.76 4.16 3.62  78.2 -0.434 19.25 21.02 02a57427o0185c
57432.253853  19.909  0.716    40   28 c  0   0.95  32.31460  38.07367  8618.72  5948.88 4.19 3.48  80.7 -0.465 18.92 20.32 02a57432o0109c
57432.260621  19.321  0.353    68   24 c  0   1.44  32.31460  38.07367   178.01  5428.60 4.34 3.74 -44.0 -0.401 18.88 20.24 02a57432o0120c
57432.272911 -21.664  3.105    -8   24 c  0   1.88  32.31460  38.07367  9815.37  5421.82 4.20 3.37  79.0 -0.475 18.90 20.26 02a57432o0140c
57432.291926  22.589  9.125     3   30 c  0   1.00  32.31460  38.07367  9662.49  5451.46 4.20 3.48  80.0 -0.453 18.84 20.19 02a57432o0171c
57433.252517 -22.044  5.769    -6   32 c  0   1.16  32.31460  38.07367  8376.19  5676.31 4.17 3.51  81.7 -0.482 18.72 19.94 02a57433o0106c
57433.271650 -19.299  0.485   -69   34 c  0   1.02  32.31460  38.07367  9574.35  5145.07 4.26 3.38  80.2 -0.476 18.70 19.89 02a57433o0137c
57433.290131  19.250  0.590    72   43 c  0   1.09  32.31460  38.07367  9663.29  5454.30 4.23 3.27  80.4 -0.484 18.66 19.81 02a57433o0167c
57442.305697  19.943  2.051    38   78 o  0   1.25  32.31460  38.07367  8505.60  6660.19 4.16 3.20  85.1 -0.502 17.97 18.70 02a57442o0166o
57442.321302  18.580  0.580   134   78 o  0   1.11  32.31460  38.07367  8216.84  6070.99 4.07 3.18  84.7 -0.511 17.87 18.53 02a57442o0194o
57443.273001  19.722  0.807    47   38 o  0   1.15  32.31460  38.07367  8573.62  6878.54 3.93 2.91  83.5 -0.483 18.61 19.77 02a57443o0156o
57443.289229  19.385  0.653    64   42 o  0   1.55  32.31460  38.07367  8280.77  6293.67 3.88 2.82  85.9 -0.518 18.38 19.34 02a57443o0186o
57443.307784 -18.876  0.578  -102   59 o  0   1.24  32.31460  38.07367  9428.60  5755.00 4.20 2.92  83.6 -0.517 18.21 19.05 02a57443o0219o
57450.226586  20.456  1.556    24   37 c  0   1.19  32.31460  38.07367  8807.17  6608.45 4.28 3.49  83.2 -0.487 18.71 19.95 02a57450o0050c
57450.238957 -20.751  1.341   -18   24 c  0   0.99  32.31460  38.07367  8520.18  6021.65 4.17 3.40  84.5 -0.513 19.12 20.75 02a57450o0074c
57450.241382 -23.948 38.500    -1   37 c  0   1.07  32.31460  38.07367    46.64  5486.72 4.45 3.64 -38.8 -0.436 19.07 20.70 02a57450o0079c
57450.253620  19.650  0.485    50   24 c  0   1.21  32.31460  38.07367  9692.14  5496.41 4.56 3.54  78.7 -0.513 19.11 20.78 02a57450o0104c
57450.270327  20.527  1.116    22   25 c  0   1.03  32.31460  38.07367  9556.59  5534.26 4.56 3.54  79.8 -0.500 19.08 20.76 02a57450o0138c
57451.224893  21.316  4.920    11   53 c  0   1.06  32.31460  38.07367  8583.77  6739.16 4.20 3.60  77.8 -0.470 18.51 19.57 02a57451o0052c
57451.236242 -20.611  1.106   -21   23 c  0   1.00  32.31460  38.07367  8292.53  6152.08 4.22 3.55  82.7 -0.472 19.13 20.79 02a57451o0074c
57451.250063  19.527  0.437    56   24 c  0   1.33  32.31460  38.07367  9463.44  5603.97 4.27 3.37  81.5 -0.497 19.16 20.83 02a57451o0102c
57451.266923  20.538  1.064    22   24 c  0   1.27  32.31460  38.07367  9558.87  5535.17 4.37 3.42  81.6 -0.493 19.10 20.78 02a57451o0136c
57455.235049 -18.767  0.265  -113   30 c  0   1.45  32.31460  38.07367  8318.12  6000.43 4.20 3.61  82.8 -0.451 18.42 20.00 02a57455o0045c
