source_id,name,G,ra,dec,southern,bridge,asas_sn_id,asassn_coverage,n_epochs_g,n_epochs_V,baseline_yr,quiescent_mag_g,quiescent_mag_V,mag_floor_mmag,n_outbursts,outburst_amplitudes,outburst_dates,outburst_tier,n_dips,dip_tier,period_verdict,best_period_d,period_evidence,n_neighbors_15as,nearest_neighbor_sep,nearest_neighbor_G,blend_flag,classification_guess,evidence_oneliner
5695452953235104512,eRASS1 1eRASS J082942.9-252443,13.395,127.42870664660104,-25.41,False,False,,no_asassn_counterpart,NO_LC_DATA,,,,,,,,,NO_LC_DATA,,,NO_LC_DATA,,,3,7.05,20.524478912353516,False,coronal_rotator_expected,no ASAS-SN counterpart
5696392314122348160,eRASS1 1eRASS J082219.4-240404,15.724,125.57851254856529,-24.067,False,False,,no_asassn_counterpart,NO_LC_DATA,,,,,,,,,NO_LC_DATA,,,NO_LC_DATA,,,5,8.867,19.848495483398438,False,coronal_rotator_expected,no ASAS-SN counterpart
5698053847990609920,eRASS1 1eRASS J080939.0-241518,14.749,122.41264837119695,-24.257,False,True,472446718247,matched,NO_LC_DATA,,,,,,,,,NO_LC_DATA,,,NO_LC_DATA,,,3,5.965,20.57503318786621,False,unclassified_no_lc,ASAS-SN lightcurve fetch failed/unavailable
5700916082915916032,eRASS1 1eRASS J081057.7-211610,14.117,122.7421314564067,-21.267,False,True,360778284344,matched,935,290,13.32,14.169,13.923,38.0,0,,,none,0,none,MARGINAL,0.997,"[outburst-masked, 0 pts removed] FAP=0.000 redNoiseRank=100.0 coherent=False alias=True",3,10.311,19.947498321533203,False,marginal_period_followup,"marginal period signal 0.997 d, [outburst-masked, 0 pts removed] FAP=0.000 redNoiseRank=100.0 coherent=False alias=True"
5713277789070104960,eRASS1 1eRASS J080530.3-201237,15.459,121.3753996217509,-20.21,False,True,429496809434,matched,1821,594,13.33,14.624,14.311,118.2,0,,,none,0,none,MARGINAL,0.9974,"[outburst-masked, 0 pts removed] FAP=0.000 redNoiseRank=100.0 coherent=False alias=True",3,5.022,14.956259727478027,True,marginal_period_followup,"marginal period signal 0.9974 d, [outburst-masked, 0 pts removed] FAP=0.000 redNoiseRank=100.0 coherent=False alias=True [BLEND CAUTION: neighbor at 5.02as G=14.96 within 10as and <=1 mag fainter; ASAS-SN match (sep=5.02as) coincides with bright neighbour G=14.96 at 5.02as -- light curve may BE the neighbour -- downgrade to ambiguous]"
5736085920829020288,eRASS1 1eRASS J091049.7-115922,13.125,137.7046127297594,-11.989,False,False,292059076356,matched,1847,923,13.37,13.05,12.88,26.2,0,,,none,0,none,not_screened,,,0,,,False,coronal_rotator,"quiet: 1847 epochs, 13.37 yr baseline, floor 26.2 mmag"
5750042155062643072,eRASS1 1eRASS J084153.9-102441,15.309,130.47352092413024,-10.412,False,False,283468718168,matched,973,501,11.6,15.556,15.306,64.0,0,,,none,0,none,not_screened,,,1,0.829,15.584728240966797,True,coronal_rotator,"quiet: 973 epochs, 11.6 yr baseline, floor 64.0 mmag [BLEND CAUTION: neighbor at 0.83as G=15.58 within 10as and <=1 mag fainter; ASAS-SN match (sep=0.01as) coincides with bright neighbour G=15.58 at 0.83as -- light curve may BE the neighbour -- downgrade to ambiguous]"
5775630852955787904,eRASS1 1eRASS J164048.2-794814,14.208,250.19281795415714,-79.804,True,False,207618,matched,1479,636,11.13,13.9,13.898,32.4,0,,,none,0,none,not_screened,,,3,0.805,14.261138916015625,True,coronal_rotator,"quiet: 1479 epochs, 11.13 yr baseline, floor 32.4 mmag [BLEND CAUTION: neighbor at 0.81as G=14.26 within 10as and <=1 mag fainter; ASAS-SN match (sep=0.02as) coincides with bright neighbour G=14.26 at 0.81as -- light curve may BE the neighbour -- downgrade to ambiguous]"
5808732887468490368,eRASS1 1eRASS J163428.7-693348,15.8,248.62477005789097,-69.565,True,True,283468998871,matched,NO_LC_DATA,,,,,,,,,NO_LC_DATA,,,NO_LC_DATA,,,3,6.851,14.560269355773926,True,unclassified_no_lc,ASAS-SN lightcurve fetch failed/unavailable
5810090337647902208,eRASS1 1eRASS J174056.4-702907,15.196,265.2339113992517,-70.486,True,False,549756397957,matched,1675,753,11.13,15.471,15.223,67.4,0,,,none,0,none,not_screened,,,2,3.177,19.718082427978516,False,coronal_rotator,"quiet: 1675 epochs, 11.13 yr baseline, floor 67.4 mmag"
5820554321108749312,eRASS1 1eRASS J155127.9-680652,14.53,237.86816668011483,-68.116,True,False,463856474984,matched,1128,236,9.26,14.778,14.35,52.2,0,,,none,0,none,not_screened,,,8,7.722,17.062639236450195,False,coronal_rotator,"quiet: 1128 epochs, 9.26 yr baseline, floor 52.2 mmag"
5823346737050402944,eRASS1 1eRASS J153401.4-675218,14.233,233.5130140756017,-67.872,True,False,566936617033,matched,1271,201,9.26,14.144,13.736,29.8,0,,,none,0,none,not_screened,,,11,7.933,20.635774612426758,False,coronal_rotator,"quiet: 1271 epochs, 9.26 yr baseline, floor 29.8 mmag"
5828100784781312640,eRASS1 1eRASS J162302.8-643411,13.806,245.76839794234573,-64.571,True,False,,no_asassn_counterpart,NO_LC_DATA,,,,,,,,,NO_LC_DATA,,,NO_LC_DATA,,,13,1.122,14.041380882263184,True,coronal_rotator_expected,no ASAS-SN counterpart
5844937331491560704,eRASS1 1eRASS J125956.6-691259,15.554,194.99019349117881,-69.214,True,False,,no_asassn_counterpart,NO_LC_DATA,,,,,,,,,NO_LC_DATA,,,NO_LC_DATA,,,13,0.616,15.379364013671875,True,coronal_rotator_expected,no ASAS-SN counterpart
5858347387650755840,eRASS1 1eRASS J124829.8-665053,14.775,192.12219953162864,-66.849,True,False,652835208574,matched,NO_LC_DATA,,,,,,,,,NO_LC_DATA,,,NO_LC_DATA,,,23,2.835,16.915664672851562,False,coronal_rotator_expected,ASAS-SN lightcurve fetch failed/unavailable
