source_id,nss_solution_type,goodness_of_fit,ipd_frac_multi_peak
1013853697674257152,AstroSpectroSB1,5.363664,1
3027091751936371968,Orbital,6.4467263,0
2127900555635640832,AstroSpectroSB1,2.1900053,0
3089271397923439488,Orbital,-1.0281278,0
2676923480599520384,Orbital,-0.68841,0
2894748931772617600,AstroSpectroSB1,0.97733575,0
206194787111431296,Orbital,-0.7423903,0
3051929376008065024,Orbital,0.60507995,2
1119191515819727872,Orbital,0.2666467,0
1957648056321419776,OrbitalAlternative,-3.4081242,0
1843411615695680512,Orbital,0.33450082,0
407572673901190912,AstroSpectroSB1,3.5580137,0
959518336994919936,AstroSpectroSB1,2.7425332,1
541803119301355392,Orbital,14.237735,0
1223683087970668928,OrbitalAlternative,-0.56454134,0
429540508212301952,Orbital,-2.0612338,0
2139246764018598912,Orbital,4.543532,1
926054120783153792,Orbital,1.466477,0
1973163711581271936,AstroSpectroSB1,2.6349359,0
2057453230740584704,Orbital,7.245423,0
180388802529353600,Orbital,7.794633,0
476165779819020288,Orbital,6.072538,0
424434204415164544,Orbital,-2.4225159,0
613434923164051712,Orbital,3.5719914,0
693994976196519296,Orbital,3.3998752,0
418659294466730368,Orbital,-1.4538163,0
1533365584518328576,OrbitalAlternative,-0.38075998,0
2912474227443068544,Orbital,24.827496,0
2917460993713363968,Orbital,16.920082,0
566317830553571712,Orbital,-2.1940708,0
370121010052326400,AstroSpectroSB1,3.7724762,0
2035995715876366208,Orbital,0.74231344,0
2510891211851068288,Orbital,-0.8515621,0
2674130235733600128,AstroSpectroSB1,6.581152,0
2044959072109459968,Orbital,-0.30166215,0
1100973226624010240,Orbital,-0.5247452,0
2105475264373092864,Orbital,4.6435575,0
2105760140964159360,AstroSpectroSB1,2.2165768,0
2920753378204723840,Orbital,0.5152086,0
2181686401031897088,Orbital,-0.6770397,0
2182400190235793536,AstroSpectroSB1,10.510359,0
462345330975784064,Orbital,0.95005286,0
1109169536053325056,Orbital,2.8466423,0
2795650945190158336,Orbital,0.001764445,0
3035830361110781696,Orbital,5.7195344,0
1935291823832449792,AstroSpectroSB1,1.4386666,1
514137860566052224,OrbitalAlternative,-0.82189643,0
335335863764417152,Orbital,1.7948921,0
927234343436710400,Orbital,3.4578204,1
281701720922348544,Orbital,22.412025,0
1991315342883161088,Orbital,-1.3904929,0
1885789297791001472,Orbital,3.267391,0
2034009963546174464,Orbital,-0.22298227,0
986903323351400704,AstroSpectroSB1,1.9705409,0
150223078247389568,Orbital,10.283295,0
2517785287196145408,Orbital,-0.33160985,0
1611431292343086592,AstroSpectroSB1,3.2675226,0
428751471179313792,OrbitalAlternative,-2.8001232,1
1773015173268329856,AstroSpectroSB1,1.8261411,0
1260782225197846144,Orbital,3.0275786,0
1110748812707249280,Orbital,-0.9968206,0
1343329435043819776,Orbital,0.1814834,0
1929262720537663616,Orbital,9.456561,0
455662327507228416,Orbital,-4.3239813,0
2208943221256515712,AstroSpectroSB1,2.6060555,0
2254048422341783296,Orbital,23.630932,0
1593152388271709824,Orbital,9.700254,0
1707430477197956480,Orbital,4.323246,0
2239853349269030016,Orbital,-0.004052752,1
1311999572765077632,Orbital,1.3291668,0
2070296939604131968,Orbital,0.10679423,0
3059546517688033024,AstroSpectroSB1,4.6589065,0
2839407213009948288,Orbital,1.896341,1
2011447710026857856,Orbital,10.007479,0
350365844119482368,AstroSpectroSB1,3.0179856,0
1975078476725185536,Orbital,-0.67729837,1
471967157230679552,Orbital,0.17401277,1
1968531778335346304,Orbital,-0.3284791,0
3028255310115675136,Orbital,-0.0033710182,0
2990956061763538176,Orbital,7.8172665,0
680160749097524608,AstroSpectroSB1,2.3241577,0
1888050310311886592,Orbital,-0.46703315,0
1867414877942520448,Orbital,5.898818,0
1816864281101789824,Orbital,5.305018,0
823243942431149568,AstroSpectroSB1,4.76413,0
1979712437208258944,Orbital,4.0705667,0
322080220298467200,Orbital,4.8283234,0
1813820562333805952,AstroSpectroSB1,9.365289,0
1624818705404775936,AstroSpectroSB1,3.1756196,0
2893415327246145152,AstroSpectroSB1,3.9447956,2
1990044410525244160,Orbital,-2.4954839,0
2922155564767516160,Orbital,-0.65718883,0
1302183648348499968,Orbital,1.400032,0
2181232818124950400,Orbital,-1.83704,0
544894602402169984,AstroSpectroSB1,3.8777409,0
1346877421627422848,OrbitalAlternative,-1.0407588,0
2085011291403328512,Orbital,-0.850224,1
2032579979951732736,Orbital,-1.0385154,0
1563556769364048000,Orbital,1.1975623,0
1579254496872812032,Orbital,-0.3984322,1
246576619386109312,OrbitalAlternative,-0.16670136,0
1934163450024116480,Orbital,-0.7753181,0
2094298934835631616,Orbital,0.49736798,0
567412222580423296,AstroSpectroSB1,4.396495,0
2132670722412809856,Orbital,5.2948236,0
2925508491116317696,Orbital,2.9658165,0
2145894170800250624,Orbital,-0.30963743,1
3031329097951246464,Orbital,4.927842,0
1379150557507688960,AstroSpectroSB1,2.5923765,0
1155001299570277248,AstroSpectroSB1,1.2082309,0
441256285637824512,Orbital,0.22848684,0
2069307585295009792,Orbital,-1.1273044,0
901402863930249600,Orbital,-0.6346625,0
1848264718281682688,Orbital,-1.6668088,0
888167320912610560,Orbital,0.19131304,0
2076066725646925824,OrbitalAlternative,-0.477721,0
2076368064858958592,Orbital,3.4016023,0
1019371940375858816,Orbital,2.213592,0
1368134314287069056,Orbital,-0.42046085,0
192450337708214400,Orbital,0.57571477,0
1694708646628402048,Orbital,0.7743981,0
3114258422440872576,Orbital,-2.033882,0
2243348593657305344,Orbital,-3.8229754,0
333405808540590208,AstroSpectroSB1,2.18854,0
1313122998770521728,Orbital,1.1745254,0
2839042553106029952,Orbital,-0.66347,0
2059858176237826560,AstroSpectroSB1,1.650942,0
2115283006871569664,AstroSpectroSB1,1.0090802,1
2852726284550996352,OrbitalAlternative,1.4511595,2
2062857884449076608,Orbital,20.008854,0
1985832181476519936,AstroSpectroSB1,0.5624973,0
1962476183678332672,Orbital,0.06664043,0
479672397275709952,AstroSpectroSB1,5.265513,0
1027268735965143296,Orbital,1.6463207,0
464059091648943744,Orbital,-3.1697085,1
1949641515727780864,Orbital,5.0933256,0
2026156014550401664,Orbital,6.771506,0
1910066724986806016,Orbital,-1.0104892,0
2017496845043608064,AstroSpectroSB1,3.4973323,0
1859981393375786624,Orbital,0.79672265,0
1005730299611297920,Orbital,-1.8674827,0
2827263347598709632,Orbital,0.007628738,0
1765282312286903168,AstroSpectroSB1,1.7706906,0
2048407759043278848,Orbital,-0.20293541,0
1989288599361317632,Orbital,6.07497,0
1308841500493146112,AstroSpectroSB1,14.768666,0
1121443762310292096,OrbitalAlternative,-0.084073834,0
1830052996113356800,Orbital,0.919353,1
958445080504103296,Orbital,16.88545,0
278601888406641408,AstroSpectroSB1,0.51855433,0
1861297371357023232,Orbital,-0.7310254,0
2965731959354604160,Orbital,-0.620459,0
1827302018034513920,AstroSpectroSB1,4.6263456,0
2045748796342697728,Orbital,-0.2770098,0
2847870566324824320,AstroSpectroSB1,3.378569,0
1928070540697841664,AstroSpectroSB1,3.9570315,0
1985672305613442688,Orbital,-1.1113617,0
3083622729954355072,AstroSpectroSB1,0.7764976,0
1997780265099210752,Orbital,5.6154747,0
1683575679079854848,Orbital,0.13199575,0
2180088295239113600,Orbital,-1.5664413,0
1989001931759285120,Orbital,-0.436195,0
345412574298262656,AstroSpectroSB1,2.6754825,0
2884502582911422336,Orbital,-1.1086613,0
837604457643226880,Orbital,5.476534,0
2186209551344032384,Orbital,1.1802243,0
3111209476696494592,Orbital,6.510428,1
1294990883796971776,Orbital,-0.045290615,0
1144019690966028928,Orbital,-1.6483699,0
2044925365204974720,Orbital,1.8125603,0
1098635596184083840,Orbital,1.1747484,0
2899685738980957568,AstroSpectroSB1,2.549195,0
2256492980286409728,Orbital,-1.2020134,0
413578038919144576,Orbital,-2.32893,0
1931216861940838912,AstroSpectroSB1,2.7991338,0
960388359929227776,AstroSpectroSB1,3.8392448,0
2779717990911540608,Orbital,0.51728296,0
1043525457762566784,AstroSpectroSB1,5.2760572,0
1710791615524901376,Orbital,-0.5606314,1
2995655851198400640,Orbital,8.13578,0
2047586526960816000,AstroSpectroSB1,1.3047967,0
348572609373952768,AstroSpectroSB1,2.943279,1
479408411409219840,Orbital,0.9241004,0
220012968211559296,Orbital,0.09140298,0
2012894255019600256,OrbitalAlternative,-1.2071793,0
1996182532963972992,Orbital,13.103732,0
1802061010599279616,Orbital,0.8727228,1
1684313210864177920,Orbital,0.43518203,0
2927776027695681792,Orbital,-1.2961024,0
1998953821962845696,Orbital,7.309843,0
1080565569256845568,Orbital,3.5568726,0
809741149368202752,Orbital,1.1861644,1
976146530514822656,Orbital,-0.6660602,0
2031103129670302336,Orbital,-1.9201155,0
2933937175458047744,Orbital,4.237248,0
2203091555965789568,Orbital,1.6478313,1
2208772384639469184,Orbital,0.25018618,0
415550730274080128,Orbital,-3.2375007,0
2242184932396243584,AstroSpectroSB1,1.896005,0
766249382814904448,Orbital,10.07629,0
2074844038668311936,Orbital,-0.9924152,0
3127750181728255104,Orbital,3.2443004,0
169521744997530496,AstroSpectroSB1,2.8442795,0
538295058735377792,Orbital,-2.8111112,0
1963449835588103040,Orbital,-2.2870364,0
2101876975134753024,AstroSpectroSB1,3.0657904,1
1755164430192928128,Orbital,10.599972,0
1755164430192928128,SB1,1.1184552,0
341835935989384192,Orbital,-0.0029290437,0
1998896819156212352,Orbital,1.3837985,0
2003343209827151616,Orbital,-0.6556783,0
3020944382416549632,Orbital,5.673789,0
3020944382416549632,SB1,1.0739026,0
1141991435610545792,AstroSpectroSB1,3.0765846,0
319869338637148928,Orbital,4.7492723,0
1813978101734370944,Orbital,0.12804255,0
1096043325723506560,Orbital,0.39981687,0
1804611190379812608,AstroSpectroSB1,1.1824417,0
1986524633283356800,Orbital,1.7203048,1
2049317879788873216,Orbital,-1.8543103,0
2058418915499902720,Orbital,0.019791111,0
2900153168861598080,OrbitalAlternative,-0.106538154,0
2921495273676931968,Orbital,-0.88707983,0
1058875159778407808,Orbital,-0.0090919,0
1587711248823230848,AstroSpectroSB1,4.6785755,1
1841935590054051328,AstroSpectroSB1,3.6676571,0
2133587229775941504,AstroSpectroSB1,5.382234,0
2114826232807272832,Orbital,0.25760096,0
3082412751767070720,AstroSpectroSB1,1.2581018,0
3031140737865177344,AstroSpectroSB1,1.5668156,0
412019549906425216,Orbital,8.447219,0
1041396979345990656,Orbital,1.5185922,0
1816374178100349696,Orbital,-1.4642278,0
2025838736707895040,Orbital,7.0593557,0
2031261218864506112,Orbital,-0.9729875,0
2974659444013613824,Orbital,-1.487111,1
1909474878495102592,Orbital,-1.4665798,0
2036326840681797504,Orbital,4.324581,0
2003314210206895744,OrbitalAlternative,-2.9968746,0
1875243748625934464,Orbital,1.0514783,1
811261052394634240,SB1,0.6268027,0
811261052394634240,Orbital,7.8278317,0
859597679495341440,AstroSpectroSB1,2.6006165,0
28923104340937600,AstroSpectroSB1,3.7930562,0
1871419337958702720,Orbital,-0.71193373,0
2183320996854402688,Orbital,17.475546,1
2054560488670315392,Orbital,-0.2292922,0
1854900378340719488,Orbital,1.4741328,0
2897576841319009280,Orbital,0.64643794,0
337516710718623744,Orbital,2.8863444,0
1789714693310050432,Orbital,1.3275368,0
559070193501006848,Orbital,0.18004018,0
1932224323829988224,Orbital,-2.3274126,0
1503707843203401728,Orbital,0.52900875,0
2080038269025445760,Orbital,0.56125045,0
2198472159708722560,SB1,0.5846209,0
2198472159708722560,Orbital,3.8643508,0
2059123938654428544,AstroSpectroSB1,3.1925693,0
2930237795567903104,Orbital,0.40304357,0
1203462107062861440,AstroSpectroSB1,4.480666,0
1824720296024987776,Orbital,5.9486256,2
1337662174157075072,AstroSpectroSB1,2.9460688,0
2848074457012169344,AstroSpectroSB1,4.637712,0
1926064687890481792,Orbital,4.664427,0
2002170511954036096,Orbital,-0.9689772,0
2991519698913021440,Orbital,-0.21921542,0
1028887114002082432,Orbital,-0.41922662,0
361366938989639040,Orbital,-0.57519466,0
2883882355274369024,Orbital,5.4971824,0
404048601694851456,Orbital,-1.8888534,0
1736313273270398720,AstroSpectroSB1,2.9931486,0
1979289743703847936,Orbital,-0.16101158,0
2071789664106469888,Orbital,-0.26909348,0
1871669854810907648,Orbital,-0.4016242,0
1617973455247820288,Orbital,0.37960145,0
2895701241983200640,Orbital,-2.3861263,0
1952048174883558528,OrbitalAlternative,-2.0105543,0
1350295047363872512,Orbital,3.5324702,1
1808409590741378944,Orbital,5.88166,0
992617901894452480,Orbital,-0.31741342,0
1834725439489240064,Orbital,0.8818784,0
2881729820743690880,Orbital,0.6178588,0
1872571248189070208,Orbital,-1.7402217,0
1315399022199887616,AstroSpectroSB1,8.451498,0
2059705378487905408,Orbital,3.4319952,0
1434445448240677376,Orbital,-2.974286,2
498070113026597888,Orbital,4.5195074,0
1990898181299430016,Orbital,13.310178,0
1799040342916892928,Orbital,1.8510172,0
1951624965986689920,Orbital,1.1799003,0
1757595867015437952,Orbital,-0.1598852,0
2415864751190124928,Orbital,-0.73072785,0
2102252286555969792,Orbital,3.7747405,0
1747349449435567744,Orbital,1.0232562,0
289534676115750272,Orbital,0.7963936,0
2036335430613656704,Orbital,0.15632105,0
2081035045039839488,Orbital,2.5193405,0
891070821884554240,Orbital,-0.40571585,0
2084569871842983296,Orbital,-0.62651855,0
1976272237115747072,SB1,-1.4904957,0
1976272237115747072,Orbital,5.7061067,0
2035726026292834816,Orbital,-0.5213906,0
2026597537180427264,Orbital,0.7630286,0
84173628060473600,Orbital,6.079542,0
84173628060473600,SB1,-2.6958966,0
1695294922548180224,Orbital,-2.7382119,0
720485063167745792,OrbitalAlternative,1.3302232,0
3058276856635899904,Orbital,0.25347224,0
582621109795427200,Orbital,-0.5013923,0
386937834242057344,Orbital,-0.56059986,0
1862004838374674688,Orbital,5.831669,1
1862004838374674688,SB1,-0.018379498,1
3040194047884039808,Orbital,1.6698643,0
1353107082711787776,Orbital,-0.19914357,0
2959037101769592704,Orbital,7.2958703,0
2959037101769592704,SB1,-1.0917615,0
950934969408153088,AstroSpectroSB1,1.975623,0
2062090081741204992,Orbital,3.6437306,0
1951161693635015040,Orbital,-0.7219228,0
430786770285530752,Orbital,1.0868217,0
2041215509881789312,Orbital,0.5575433,0
1684284726641054208,Orbital,-0.242471,0
1999129572026152960,Orbital,0.035652824,0
2912554526151419520,Orbital,22.263409,0
747174436620510976,Orbital,-0.96057904,0
2455538566694394880,Orbital,1.1617535,0
101296258216144640,Orbital,1.7498237,0
1114090365983444480,Orbital,15.192031,0
2923937082840609280,Orbital,0.9294123,0
2077070858944807040,Orbital,0.18674739,0
2007282931791340544,AstroSpectroSB1,0.8041097,1
2043382234984191104,Orbital,-3.1666,0
1584092141876808960,AstroSpectroSB1,2.1676962,0
1714530637958169600,AstroSpectroSB1,4.1268487,0
2995961897685517312,Orbital,0.40979177,0
1763766669867101056,Orbital,12.157108,0
503643915425347072,Orbital,-0.79089516,0
1918534716868913792,AstroSpectroSB1,3.276867,0
2686562211845481088,AstroSpectroSB1,6.2662663,0
2495295842001998080,AstroSpectroSB1,1.6872846,0
2114007543321042944,OrbitalAlternative,-1.1208391,0
2095211151528372736,OrbitalAlternative,-0.9611425,0
2072071791909542400,Orbital,-2.458088,0
412130738012608000,Orbital,-0.96186393,0
1386262374810968064,Orbital,1.7112353,0
1816335523391496192,Orbital,0.26141468,0
2100191011491364352,AstroSpectroSB1,5.6026535,0
1981811611048491904,Orbital,-1.1296066,0
1832527653184689408,Orbital,0.6385615,0
563027022315237632,AstroSpectroSB1,3.7824564,0
3026427028434667648,Orbital,2.710272,0
2105779412477348736,AstroSpectroSB1,0.6808929,0
191967037927434880,Orbital,1.0278298,0
2029703485715058304,AstroSpectroSB1,2.5902019,0
2092181138005105024,Orbital,8.1952095,0
2565373864137735040,Orbital,9.217913,0
2397135910639986304,Orbital,2.102728,0
1850112108272596352,Orbital,2.7658548,0
1106033144775779200,Orbital,2.074971,0
2876896608146488320,Orbital,-0.8867574,0
3069243935359033856,Orbital,-1.485205,0
2284972289950843904,Orbital,-0.11586356,0
2925667164388959488,Orbital,0.4770231,0
1869476019882209152,Orbital,1.9793365,0
2015415332102153216,Orbital,2.6815546,0
1919775721898098688,Orbital,-1.8976429,1
1968043732612646144,Orbital,-3.1955101,0
547785081032121472,Orbital,-1.8348051,0
2426116249713980416,Orbital,-0.3034614,0
2431897795386163328,Orbital,0.99844533,0
411532290151732992,Orbital,6.0217547,0
411532290151732992,SB1,-0.57413256,0
2928048019384079360,OrbitalAlternative,0.63753206,0
394364416814138112,AstroSpectroSB1,2.6285396,0
2081152898941465472,Orbital,2.157755,0
1896822317156469760,Orbital,-0.79925734,1
1816930389236035072,Orbital,1.3349751,0
1870496744624940672,Orbital,2.1200294,0
1367630085126769408,AstroSpectroSB1,2.3924818,0
40067788561683456,AstroSpectroSB1,3.795378,0
2025645527584130432,AstroSpectroSB1,2.9957464,0
3064939244256749696,Orbital,1.098384,0
3007275043405150720,Orbital,2.8961635,0
2896994752990389504,Orbital,0.7330356,0
2796598243177037696,Orbital,1.5022774,0
2229295357584263424,Orbital,0.8357069,0
573277395560747136,AstroSpectroSB1,1.3721876,0
504135672000072064,AstroSpectroSB1,2.2660675,0
1984582105473550208,Orbital,2.375365,0
1858991076995241984,Orbital,0.7573636,1
537447438350003456,Orbital,2.1159887,0
1334956997595864960,OrbitalAlternative,0.13596737,0
2266793995488510336,Orbital,-0.99876386,0
1864406790238257536,AstroSpectroSB1,3.2701888,0
692716278533984000,Orbital,0.3507718,0
2339693506195297664,Orbital,3.6358554,0
395205611931130368,Orbital,-1.0206723,0
465093354131112960,Orbital,-0.86362505,0
3027191085939200512,Orbital,-2.366953,0
1974188731304157824,Orbital,2.4252458,0
2000837903865553408,Orbital,-2.7045681,0
1145510250776063872,Orbital,-0.5722715,0
2013931919117717376,Orbital,-1.504604,0
2071631746720983680,Orbital,3.8737628,0
1961556751439984384,Orbital,4.6350985,0
555331235490968704,Orbital,0.5570642,0
1804826694658294528,Orbital,1.3739274,0
2920686170555769600,Orbital,0.43897697,1
1277223188209612544,AstroSpectroSB1,4.324628,0
2257896300721009792,Orbital,-1.6635234,0
2259381809648968320,AstroSpectroSB1,1.4596599,0
897510244874198656,AstroSpectroSB1,2.113224,0
1937156458113888768,Orbital,2.7083516,0
3352969578014176768,Orbital,1.2549329,0
5310642781398595200,Orbital,-1.5170047,0
5529065022539001216,Orbital,-0.89753836,0
5215630202034594432,Orbital,1.0122446,0
5340545752464076288,Orbital,-2.1172254,0
5349585078043270656,Orbital,0.3061023,0
5575434318390245504,AstroSpectroSB1,42.095383,1
5355744267329828352,Orbital,3.2017372,1
5355526598388635520,Orbital,2.4961135,0
4062535794928746496,Orbital,-1.0408326,0
5307607682620027776,Orbital,-1.8031327,0
4550300975742142976,AstroSpectroSB1,2.551499,0
5720875345695069056,Orbital,-0.27538422,0
5342344927115049600,AstroSpectroSB1,5.1138535,0
4147462558398071424,Orbital,-1.5165927,0
4041662567493962240,Orbital,-1.3123897,0
5425884278701654144,Orbital,3.206809,0
5222514965894930432,Orbital,0.8176988,0
5539729980386209536,Orbital,2.6052208,0
5039979680444075392,Orbital,3.1984422,0
4688631736221576448,AstroSpectroSB1,5.1116815,0
5290157986387145472,Orbital,-1.4072264,0
4910857123687639680,AstroSpectroSB1,2.0397558,0
5406907085973524224,OrbitalAlternative,1.0633283,0
3134220910735657472,Orbital,-2.6675935,0
5344465648834938752,Orbital,-1.9127364,0
4185680929747634304,Orbital,-1.8636112,0
5328650033061827584,Orbital,-3.4765503,0
4934036581148964608,AstroSpectroSB1,18.376648,0
5361311060317366144,Orbital,-1.4206928,0
5331686334409329664,Orbital,6.1014123,0
3585582120545634432,Orbital,0.89112276,0
5695996764814511360,Orbital,-0.55547553,0
4825953626065320064,Orbital,1.0686641,0
5496522918619570560,Orbital,4.474297,0
5792188467283413632,Orbital,-3.6889186,0
5547001085149495296,Orbital,0.64385027,0
5330832048240834816,OrbitalAlternative,-0.69896024,2
4476037933179174144,Orbital,1.7676967,0
5341695601100252800,Orbital,-1.0192323,1
5587310487085010816,Orbital,3.7390134,0
3236163097674579072,Orbital,1.7383927,0
5587952223919904768,Orbital,0.54480106,0
4298656402347923712,Orbital,5.955912,0
3155543945892767232,AstroSpectroSB1,2.4068205,0
4471861575703848320,Orbital,-0.0695548,0
5595037167610920704,Orbital,0.76455045,0
5192002208254064768,AstroSpectroSB1,4.7473483,0
5811241217086218624,Orbital,1.9596629,0
5226674761983825792,AstroSpectroSB1,1.4705391,0
4521832695560897664,Orbital,-1.8527412,0
5701185875580406144,Orbital,-2.598883,0
3810834051205268608,Orbital,1.1700579,0
5337911356971992832,Orbital,0.0993438,0
4240540718818313984,Orbital,0.40554786,0
5396859095870109952,Orbital,-0.9283499,0
5643961827278816256,Orbital,10.832596,0
5360086066927179136,Orbital,-1.276949,0
5379091400284775680,SB1,0.7224773,0
5379091400284775680,Orbital,5.2421627,0
5621231692112676992,Orbital,-2.0561028,0
4792407075328607488,Orbital,7.35972,0
4792407075328607488,SB1,1.1837891,0
4310180899102145536,Orbital,-2.1466267,0
5386546260920364032,Orbital,-1.1412746,1
5152756278867291392,Orbital,9.425068,0
4845954532847810560,Orbital,-0.2466906,0
3228032896381628800,Orbital,-2.5026333,0
5781411775860001408,OrbitalAlternative,-0.05869186,0
4384513795007410048,Orbital,8.891478,0
5061125762950929920,Orbital,6.887597,1
5395941759575400448,Orbital,-0.9557923,0
4248199573219059584,Orbital,-1.0953761,1
5252663780908129152,Orbital,3.7082274,0
5710953073587699840,AstroSpectroSB1,5.7897897,0
5613866716561410944,Orbital,1.7643964,0
5322968547241217280,Orbital,-1.4599223,0
4316999383068993792,Orbital,0.089386486,0
5236596514417398528,Orbital,-1.6406766,0
5255838380217835904,Orbital,-0.4148277,0
4299244434901041024,OrbitalAlternative,0.6135145,2
4553909985222272000,Orbital,1.4848444,0
5520067139072803456,Orbital,1.2865267,0
5136025521527939072,AstroSpectroSB1,4.6775546,0
5450402597723423232,Orbital,22.894592,1
5645494855722670592,Orbital,0.13702135,0
5576736311956320768,Orbital,0.80357826,0
4806212891221048064,Orbital,3.9006839,0
4579092203114464768,Orbital,3.9902225,0
4478882610297970944,Orbital,6.431841,0
4514684358186112000,OrbitalAlternative,0.29162222,0
4516965982242220160,Orbital,-1.8207148,0
5370081104356941184,Orbital,3.685134,0
4874727068520140160,AstroSpectroSB1,3.0439758,0
5337140839827127424,Orbital,-0.6031974,0
5531520786059106688,Orbital,0.06296067,0
4051579505158405248,Orbital,-1.523998,0
4706401867055378048,Orbital,0.40250126,0
4710916328654876288,Orbital,1.5487386,0
4583779215022603776,Orbital,1.373355,0
5342446876783248000,Orbital,-0.38482732,0
3239757057588784512,Orbital,-0.51546526,0
4577091401193797760,Orbital,-1.4692338,0
5602261611848872960,Orbital,-0.33367664,0
5547464151340232832,Orbital,5.1083565,0
4524807699152454144,Orbital,0.5976942,1
5306042768343157120,Orbital,1.3192682,0
4539354822095560960,Orbital,1.3230655,0
5351774995980250880,Orbital,-0.0047225356,0
5368605220458177280,Orbital,1.0711567,0
5359545480859232000,OrbitalAlternative,-0.5334348,0
5350704312177459456,Orbital,1.7308033,0
4734885372903246848,Orbital,4.6178036,0
5193281150732958464,Orbital,-3.6902246,0
5198165731140928896,Orbital,-1.1714202,0
5799175039058415104,Orbital,-2.5577242,0
