source_id,name,group,G,dec,B_MG,nb5,ztf_status,ztf_n,ztf_bands,ztf_span_d,ztf_best_f,ztf_best_P_h,ztf_best_amp_pct,ztf_best_fap_baluev,ztf_best_sysflag,ztf_1to5d_P_d,ztf_1to5d_fapw,zg_best_f,zg_best_fap,zr_best_f,zr_best_fap,tess_sectors,tess_n,tess_best_P_h,tess_fap,tess_amp_pct,tess_crowdsap,tess_A90_5_60min,tess_A90_1_24h,ztf_1to5d_masked_P_d,ztf_1to5d_masked_fapw,verdict,evidence_files,perm_K,masked_best_f,masked_best_P_h,masked_fap_baluev,masked_fap_perm_emp,masked_fap_perm_gumbel,A90_5_60min,A90_1_24h,A90_1_5d,A50_5_60min,A50_1_24h,A50_1_5d
6465559379883395328,GALEX J213436.2-521245,no_label_22,19.09,-52.21,4.33,,no ZTF DR24 (dec<-31),,,,,,,,,,,,,,,,,,,,,,,,,NO_DATA: no usable ZTF or TESS light curve,,,,,,,,,,,,,
4198738558061020928,,second_look_5,17.86,-11.73,,"2.6""/G19.7;3.0""/G18.8;3.2""/G20.6;3.7""/G20.3;4.9""/G17.8",TOO_FEW_POINTS,,,,,,,,,,,,,,,,,,,,,,,,,NO_DATA: no usable ZTF or TESS light curve,,,,,,,,,,,,,
5807585134758743040,,second_look_5,17.69,-70.76,,"4.5""/G18.3;4.7""/G19.4",no ZTF DR24 (dec<-31),,,,,,,,,,,,,,,66+101+102,43966,28.5456,0.08,4.42,0.06;0.05;0.05,0.05,0.08,,,NULL: no significant period (see A90 limits),plots/5807585134758743040_tess.png,,,,,,,,,,,,
50526755482496000,,second_look_5,18.33,19.59,,,OK,1493,g446+r1020+i27,2652,20.70874,1.15893,0.77,0.99,,1.235,0.81,202.13496,1,0.18744,0.16,70+71,30531,21.65512,0.083,2.94,0.21;0.16,0.05,0.05,1.2351,0.81,NULL: no significant period (see A90 limits),plots/50526755482496000_ls.png;plots/50526755482496000_tess.png,40,20.70876,1.15893,0.99,1.000,1,0.015,0.015,0.015,0.01,0.01,0.015
2833867392391927936,,second_look_5,17.69,20.44,,,OK,3091,g1269+r1541+i281,2715,283.84533,0.08455,0.31,0.79,,1.0353,0.02,213.0758,0.14,88.29018,0.17,56+83,33901,0.10536,1,1.87,0.16;0.23,0.05,0.03,2.2334,0.29,NULL: no significant period (see A90 limits),plots/2833867392391927936_ls.png;plots/2833867392391927936_tess.png,40,283.84532,0.08455,0.34,0.390,0.26,0.005,0.005,0.005,0.005,0.005,0.005
4241409569220727424,,second_look_5,18.23,1.96,,"4.9""/G20.2",OK,1533,g477+r1056,2763,58.6481,0.40922,0.82,0.027,,2.0493,0.12,145.05147,0.81,58.64807,0.015,81,14448,0.92699,0.23,8.18,0.04,0.2,0.12,2.0493,0.12,"NOT_SIGNIFICANT: ZTF 24.55 min peak, Baluev FAP 0.043 but permutation FAP 0.098; zr only, stronger in shallow epochs; TESS S81 CROWDSAP 0.045",plots/4241409569220727424_ls.png;plots/4241409569220727424_tess.png,40,58.64813,0.40922,0.043,0.098,0.031,0.015,0.01,0.015,0.01,0.01,0.01
2712240064671438720,EGGR 156 = SDSS J2257+0755,pos_ctrl,17.16,7.93,,,OK,1280,g509+r623+i148,2537,2.00295,11.98234,0.6,2.9e-08,f0 ~ 1x window peak 2.0028 c/d (W=0.92); f0 ~ 2 x sidereal day; f0 ~ 2 x sidereal day +- 1/yr; f0 ~ 2 x solar day; f0 ~ 2 x solar day +- 1/yr; f0 ~ 2x window peak 1.0028 c/d (W=0.97),1.0002,0.00028,63.14782,2.4e-08,21.1204,0.56,56+83,35745,0.25882,0.74,0.93,0.76;0.72,0.02,0.02,1.6269,0.38,CONTROL_RECOVERED: 64.15 c/d = 22.45 min after masking the 2.00 c/d window peak (published 22.4 min),plots/2712240064671438720_ls.png;plots/2712240064671438720_tess.png,40,64.15049,0.37412,0.066,0.098,0.06,0.0075,0.0075,0.0075,0.005,0.005,0.0075
1878189370339859328,SDSS J222348.52+231909.2,pos_ctrl,17.84,23.32,,,OK,3299,g1308+r1650+i341,2717,35.79067,0.67057,0.94,1.5e-34,,1.1379,0.27,35.7907,6.8e-26,36.79333,2.7e-09,56+83,34619,41.71655,0.91,1.75,0.02;0.02,0.03,0.03,1.1379,0.23,CONTROL_RECOVERED: 16.893 c/d = 1.421 h candidate (published 1.42 h); global ZTF maximum at 35.79 c/d = 2 x the 1-c/d alias 17.895,plots/1878189370339859328_ls.png;plots/1878189370339859328_tess.png,40,35.79066,0.67057,1.8e-34,0.024,3.1e-28,0.0075,0.0075,0.0075,0.005,0.005,0.005
1304733106575117056,SDSS J1630+2724,pos_ctrl,17.96,27.41,,,OK,3250,g1415+r1577+i258,2767,1.61567,14.85451,1.65,3.1e-115,,1.6315,3.5e-89,1.61567,7.6e-125,1.61569,4.3e-18,51+78+79,25628,22.14009,2.4e-10,3.28,0.14;0.11;0.16,0.03,0.03,1.6314,3.9e-88,CONTROL_RECOVERED: 14.855 h (published 14.86 h),plots/1304733106575117056_ls.png;plots/1304733106575117056_tess.png,40,1.61566,14.85461,9.5e-115,0.024,1.6e-91,0.0075,0.0075,0.0075,0.0075,0.005,0.0075
1273088783971336576,SDSS J1543+3021,pos_ctrl,16.88,30.36,,,OK,3013,g1190+r1392+i431,2760,18.38451,1.30545,2.45,0,,1.5879,0.12,18.38452,5.2e-17,18.38451,0,24+51+78,31985,1.30554,3.9e-218,6.93,0.66;0.65;0.67,0.02,0.02,1.5879,0.11,"CONTROL_RECOVERED: 1.3054 h ZTF and TESS S24/S51/S78, pixel fit on target (published 1.31 h)",plots/1273088783971336576_ls.png;plots/1273088783971336576_tess.png,40,18.38448,1.30545,0,0.024,1.4e-280,0.0075,0.0075,0.0075,0.005,0.005,0.005
1355633897871121280,SDSS J164255.17+393105.2,neg_ctrl,17.58,39.52,,,OK,4099,g1821+r1943+i335,2750,227.87648,0.10532,0.23,0.71,,2.2403,0.62,291.41196,0.69,208.03607,0.7,51+52+78+79,54526,23.68898,0.51,1.87,0.22;0.14;0.16;0.04,0.03,0.03,2.2404,0.63,NEG_CONTROL_CLEAN: no significant period,plots/1355633897871121280_ls.png;plots/1355633897871121280_tess.png,40,227.8765,0.10532,0.51,0.610,0.55,0.005,0.005,0.005,0.003,0.003,0.003
3620237490101826688,Gaia DR3 3620237490101826688,neg_ctrl,17.76,-6.58,,,OK,791,g263+r434+i94,2654,249.22045,0.0963,0.77,0.18,,1.1729,0.17,258.74555,0.12,299.73515,0.63,91,11201,5.0629,0.16,5.43,0.21,0.08,0.08,1.1728,0.18,NEG_CONTROL_CLEAN: no significant period,plots/3620237490101826688_ls.png;plots/3620237490101826688_tess.png,40,249.22046,0.0963,0.078,0.317,0.29,0.015,0.015,0.015,0.01,0.01,0.01
1016882298157369984,Gaia DR3 1016882298157369984,neg_ctrl,18.38,51.13,,,OK,4364,g1644+r2487+i233,2766,205.83839,0.1166,0.58,0.072,,1.035,0.01,252.43462,0.69,273.96704,0.84,,,,,,,,,1.0862,0.69,NEG_CONTROL_CLEAN: no significant period,plots/1016882298157369984_ls.png,40,205.83838,0.1166,0.039,0.073,0.067,0.0075,0.01,0.0075,0.0075,0.0075,0.0075
