rank,desig,lane,opp_type,arc_status,final_score,rule_v3_pass,arc_start,arc_end,n_nights,H,a,best_overlap_epoch,best_V,best_SMIA_as,best_SMAA_as,best_gal_b_deg,n_deep_overlap_frames,overlap_surveys,n_searchable_epochs,all_searchable_epochs,deep_fp_wholearc,total_ssois_frames,best_ra_deg,best_dec_deg
,2011 SR250,,,MIRAGE_no_deep_overlap,0.0,False,,,,,,,,,,,0,,0,NO_DEEP_OVERLAP_AT_ANY_SMIA-PASSING_DEEP-ERA_EPOCH,,,,
,2013 SO107,,,MIRAGE_no_deep_overlap,0.0,False,,,,,,,,,,,0,,0,NO_DEEP_OVERLAP_AT_ANY_SMIA-PASSING_DEEP-ERA_EPOCH,,,,
,2014 JU80,,,MIRAGE_no_deep_overlap,0.0,False,,,,,,,,,,,0,,0,NO_DEEP_OVERLAP_AT_ANY_SMIA-PASSING_DEEP-ERA_EPOCH,,,,
,2005 JJ186,,,MIRAGE_no_deep_overlap,0.0,False,,,,,,,,,,,0,,0,NO_DEEP_OVERLAP_AT_ANY_SMIA-PASSING_DEEP-ERA_EPOCH,,,,
,2013 LY35,,,MIRAGE_no_deep_overlap,0.0,False,,,,,,,,,,,0,,0,NO_DEEP_OVERLAP_AT_ANY_SMIA-PASSING_DEEP-ERA_EPOCH,,,,
,2014 KT101,,,MIRAGE_no_deep_overlap,0.0,False,,,,,,,,,,,0,,0,NO_DEEP_OVERLAP_AT_ANY_SMIA-PASSING_DEEP-ERA_EPOCH,,,,
,2001 KA77,,,MIRAGE_no_deep_overlap,0.0,False,,,,,,,,,,,0,,0,NO_DEEP_OVERLAP_AT_ANY_SMIA-PASSING_DEEP-ERA_EPOCH,,,,
,2015 BW524,,,MIRAGE_no_deep_overlap,0.0,False,,,,,,,,,,,0,,0,NO_DEEP_OVERLAP_AT_ANY_SMIA-PASSING_DEEP-ERA_EPOCH,,,,
,05145,,,MIRAGE_no_deep_overlap,0.0,False,,,,,,,,,,,0,,0,NO_DEEP_OVERLAP_AT_ANY_SMIA-PASSING_DEEP-ERA_EPOCH,,,,
,2014 KC102,,,MIRAGE_no_deep_overlap,0.0,False,,,,,,,,,,,0,,0,NO_DEEP_OVERLAP_AT_ANY_SMIA-PASSING_DEEP-ERA_EPOCH,,,,
,2008 SO218,,,MIRAGE_no_deep_overlap,0.0,False,,,,,,,,,,,0,,0,NO_DEEP_OVERLAP_AT_ANY_SMIA-PASSING_DEEP-ERA_EPOCH,,,,
,2000 KK4,,,MIRAGE_no_deep_overlap,0.0,False,,,,,,,,,,,0,,0,NO_DEEP_OVERLAP_AT_ANY_SMIA-PASSING_DEEP-ERA_EPOCH,,,,
,2002 GD32,,,MIRAGE_no_deep_overlap,0.0,False,,,,,,,,,,,0,,0,NO_DEEP_OVERLAP_AT_ANY_SMIA-PASSING_DEEP-ERA_EPOCH,,,,
,2025 OF345,,,MIRAGE_no_deep_overlap,0.0,False,,,,,,,,,,,0,,0,NO_DEEP_OVERLAP_AT_ANY_SMIA-PASSING_DEEP-ERA_EPOCH,,,,
,2025 NZ189,,,MIRAGE_no_deep_overlap,0.0,False,,,,,,,,,,,0,,0,NO_DEEP_OVERLAP_AT_ANY_SMIA-PASSING_DEEP-ERA_EPOCH,,,,
,2025 NB192,,,MIRAGE_no_deep_overlap,0.0,False,,,,,,,,,,,0,,0,NO_DEEP_OVERLAP_AT_ANY_SMIA-PASSING_DEEP-ERA_EPOCH,,,,
,2025 NO193,,,MIRAGE_no_deep_overlap,0.0,False,,,,,,,,,,,0,,0,NO_DEEP_OVERLAP_AT_ANY_SMIA-PASSING_DEEP-ERA_EPOCH,,,,
,2003 KO20,,,MIRAGE_no_deep_overlap,0.0,False,,,,,,,,,,,0,,0,NO_DEEP_OVERLAP_AT_ANY_SMIA-PASSING_DEEP-ERA_EPOCH,,,,
,2025 NA189,,,MIRAGE_no_deep_overlap,0.0,False,,,,,,,,,,,0,,0,NO_DEEP_OVERLAP_AT_ANY_SMIA-PASSING_DEEP-ERA_EPOCH,,,,
,2025 LW3,,,MIRAGE_no_deep_overlap,0.0,False,,,,,,,,,,,0,,0,NO_DEEP_OVERLAP_AT_ANY_SMIA-PASSING_DEEP-ERA_EPOCH,,,,
,2025 LU2,,,MIRAGE_no_deep_overlap,0.0,False,,,,,,,,,,,0,,0,NO_DEEP_OVERLAP_AT_ANY_SMIA-PASSING_DEEP-ERA_EPOCH,,,,
,2025 LK2,,,MIRAGE_no_deep_overlap,0.0,False,,,,,,,,,,,0,,0,NO_DEEP_OVERLAP_AT_ANY_SMIA-PASSING_DEEP-ERA_EPOCH,,,,
,2025 ND193,,,MIRAGE_no_deep_overlap,0.0,False,,,,,,,,,,,0,,0,NO_DEEP_OVERLAP_AT_ANY_SMIA-PASSING_DEEP-ERA_EPOCH,,,,
,2025 LM3,,,MIRAGE_no_deep_overlap,0.0,False,,,,,,,,,,,0,,0,NO_DEEP_OVERLAP_AT_ANY_SMIA-PASSING_DEEP-ERA_EPOCH,,,,
,2025 LY2,,,MIRAGE_no_deep_overlap,0.0,False,,,,,,,,,,,0,,0,NO_DEEP_OVERLAP_AT_ANY_SMIA-PASSING_DEEP-ERA_EPOCH,,,,
,2025 NJ190,,,MIRAGE_no_deep_overlap,0.0,False,,,,,,,,,,,0,,0,NO_DEEP_OVERLAP_AT_ANY_SMIA-PASSING_DEEP-ERA_EPOCH,,,,
,2025 MZ348,,,MIRAGE_no_deep_overlap,0.0,False,,,,,,,,,,,0,,0,NO_DEEP_OVERLAP_AT_ANY_SMIA-PASSING_DEEP-ERA_EPOCH,,,,
,2025 ND189,,,MIRAGE_no_deep_overlap,0.0,False,,,,,,,,,,,0,,0,NO_DEEP_OVERLAP_AT_ANY_SMIA-PASSING_DEEP-ERA_EPOCH,,,,
,2025 LC3,,,MIRAGE_no_deep_overlap,0.0,False,,,,,,,,,,,0,,0,NO_DEEP_OVERLAP_AT_ANY_SMIA-PASSING_DEEP-ERA_EPOCH,,,,
,2025 MR349,,,MIRAGE_no_deep_overlap,0.0,False,,,,,,,,,,,0,,0,NO_DEEP_OVERLAP_AT_ANY_SMIA-PASSING_DEEP-ERA_EPOCH,,,,
,2025 NO191,,,MIRAGE_no_deep_overlap,0.0,False,,,,,,,,,,,0,,0,NO_DEEP_OVERLAP_AT_ANY_SMIA-PASSING_DEEP-ERA_EPOCH,,,,
,2025 NK192,,,MIRAGE_no_deep_overlap,0.0,False,,,,,,,,,,,0,,0,NO_DEEP_OVERLAP_AT_ANY_SMIA-PASSING_DEEP-ERA_EPOCH,,,,
,2025 LR3,,,MIRAGE_no_deep_overlap,0.0,False,,,,,,,,,,,0,,0,NO_DEEP_OVERLAP_AT_ANY_SMIA-PASSING_DEEP-ERA_EPOCH,,,,
,2015 KU178,,,MIRAGE_no_deep_overlap,0.0,False,,,,,,,,,,,0,,0,NO_DEEP_OVERLAP_AT_ANY_SMIA-PASSING_DEEP-ERA_EPOCH,,,,
,2025 NN191,,,MIRAGE_no_deep_overlap,0.0,False,,,,,,,,,,,0,,0,NO_DEEP_OVERLAP_AT_ANY_SMIA-PASSING_DEEP-ERA_EPOCH,,,,
,2025 NU189,,,MIRAGE_no_deep_overlap,0.0,False,,,,,,,,,,,0,,0,NO_DEEP_OVERLAP_AT_ANY_SMIA-PASSING_DEEP-ERA_EPOCH,,,,
,2025 LL3,,,MIRAGE_no_deep_overlap,0.0,False,,,,,,,,,,,0,,0,NO_DEEP_OVERLAP_AT_ANY_SMIA-PASSING_DEEP-ERA_EPOCH,,,,
,2025 LG3,,,MIRAGE_no_deep_overlap,0.0,False,,,,,,,,,,,0,,0,NO_DEEP_OVERLAP_AT_ANY_SMIA-PASSING_DEEP-ERA_EPOCH,,,,
