sdss_id,gaia,cls,n,n_rv,rv_mean,rv_chi2,drv_max,drv_sig,med_erv,ew_ha_mean,ew_ha_chi2r,ew_ha_range,ew_he_mean,ew_he_chi2r,ew_he_range,plx,e_plx,g_mag,bp_mag,rp_mag,bprp,MG,dr19,chi2r,n_edge
57748290,895811052733403008,DA,12,12.0,6.8,233.2,858.1,9.7,33.2,18.34,60.3,11.42,1.51,5.3,3.48,3.860659,0.2425318,19.00132,19.00533,19.14584,-0.140509999999999,11.934627217187202,False,21.2,0
56453841,681902749176213888,DA,3,3.0,5.2,101.0,314.1,9.7,16.7,20.86,23.54,6.79,1.13,0.63,0.67,2.31682,0.4604223,19.7425,19.7947,19.53199,0.2627099999999984,11.566961467949875,False,50.5,0
57843030,908859545631201792,DA,3,3.0,-53.5,95.9,572.3,9.7,27.2,13.29,610.35,4.55,0.46,4.77,0.54,5.030282,0.08868943,16.88671,16.79177,17.07132,-0.2795500000000004,10.394671662467452,False,47.95,0
75538685,3169048113344282368,DA,3,3.0,-65.4,96.2,454.4,9.6,22.2,12.77,3.31,2.14,0.08,7.09,2.09,1.957318,0.3487283,19.26913,19.16239,19.50833,-0.3459400000000023,10.727436950021785,False,48.1,0
57336261,845486680407936512,DA,13,13.0,14.5,186.9,257.8,9.6,16.0,18.56,11.84,7.02,0.91,6.98,4.46,4.537892,0.16534,18.93684,19.00917,18.91762,0.0915500000000015,12.221110778191711,False,15.575,0
57748962,895908947924014464,DA,8,8.0,-63.8,151.5,459.6,9.6,32.4,15.8,11.28,7.65,0.61,4.67,2.97,1.86594,0.4578667,19.67767,19.65616,19.70784,-0.051680000000001,11.032158373665863,False,21.642857142857142,0
104455449,5923963561484530944,DA,3,3.0,52.6,92.6,365.8,9.5,34.7,16.74,1.99,2.07,1.06,20.44,5.72,5.453626,0.1896315,18.18923,18.21133,17.91477,0.2965599999999995,11.8726567574069,False,46.3,0
63298167,1778435976047175808,DA,5,5.0,-6.1,99.1,758.1,9.5,38.0,10.31,4.5,2.89,0.1,2.77,1.78,1.732768,0.207945,18.59572,18.54079,18.90969,-0.3689,9.78942209497575,False,24.775,0
60770429,1355639979544952832,DA,6,6.0,-42.4,104.3,309.4,9.4,29.0,6.11,5.39,2.82,0.28,3.78,2.72,1.302381,0.1923608,19.2384,19.14867,19.59556,-0.4468899999999998,9.812090259073347,False,20.86,0
60452783,1316374323373624448,DA/DC,3,3.0,104.0,91.1,450.7,9.4,34.3,0.28,64.58,9.71,2.91,4.2,1.71,3.182433,0.2263452,19.36003,19.40097,19.40607,-0.0050999999999987,11.87382634593862,False,45.55,0
78937310,3646912496889350784,DA:,6,6.0,16.1,94.7,487.3,9.3,39.3,7.62,6.73,3.69,-0.36,7.39,3.0,7.463676,0.2319681,18.69085,18.84531,18.58521,0.2601000000000013,13.05561389158996,False,18.94,0
68014290,2162899728735019520,DA,4,4.0,-16.1,117.8,257.2,9.2,6.9,-0.9,119.31,62.39,-1.04,1.72,1.78,3.355719,0.1451346,18.54373,18.43637,18.81456,-0.37819,11.172657934414412,False,39.266666666666666,0
62266137,1612918549322905344,DA,8,8.0,12.2,101.0,184.8,9.2,12.6,15.82,6.84,3.17,0.6,5.61,1.44,2.835326,0.1307728,18.45584,18.44726,18.60305,-0.1557899999999996,10.718855001967372,False,14.428571428571429,0
79882793,3821816828041213696,DA,6,6.0,-47.2,119.0,301.9,9.2,22.0,19.8,11.97,4.99,0.92,6.56,3.02,3.678999,0.2357436,18.79015,18.84142,18.86897,-0.0275500000000015,11.618798348921144,False,23.8,0
64421124,1875458187752854656,DA,4,4.0,-12.0,85.8,366.8,9.1,18.1,17.82,55.7,4.44,0.86,1.58,0.65,7.402551,0.08863986,17.25146,17.27087,17.40903,-0.1381600000000027,11.59836704075402,False,28.6,0
100027843,5616326495865283072,DA,4,4.0,17.6,91.5,273.3,9.1,14.9,7.39,7.57,3.7,-1.14,21.59,5.07,0.9179737,0.09191236,17.81207,17.67139,18.13322,-0.4618300000000026,7.62622119408632,False,30.5,0
56293703,662798086105290112,DA,3,3.0,-6.9,95.1,449.5,9.1,12.6,18.44,83.53,4.76,1.11,10.88,1.14,5.131048,0.1462889,17.93008,17.90579,18.05388,-0.1480899999999998,11.481110387092578,False,47.55,0
62008468,1564823819076206720,DA,10,10.0,0.1,96.2,436.6,9.1,38.4,5.97,7.68,4.09,1.99,10.57,6.69,4.99895,0.2298922,19.39178,19.53101,19.30533,0.225679999999997,12.886173964586424,False,10.68888888888889,0
57406575,857971944178748032,DA,10,10.0,-24.2,228.6,325.7,9.1,26.2,19.89,4.9,4.42,1.35,7.59,3.47,4.37053,0.2378687,19.13725,19.13911,19.25478,-0.1156700000000015,12.339920528237112,False,25.4,0
116703665,315548051782005504,DA,5,5.0,-62.5,113.9,278.0,9.1,18.4,17.93,25.08,7.34,0.8,17.15,4.21,7.306686,0.1077022,17.34813,17.30429,17.45585,-0.1515599999999999,11.66673222114004,False,28.475,0
57577580,878799511907697152,DA,4,4.0,4.4,85.5,239.3,9.0,17.6,20.17,13.3,5.36,0.8,16.06,4.67,1.646764,0.4814829,19.83464,19.79489,20.10678,-0.3118900000000018,10.917796821466196,False,28.5,0
101590042,5760874440540631680,DA,3,3.0,39.3,127.0,366.3,9.0,28.7,9.18,9.49,2.5,0.49,5.62,1.47,2.423973,0.1064334,17.3959,17.25817,17.72342,-0.465250000000001,9.318538890143858,False,63.5,0
78719846,3608497690919045376,DA,6,6.0,-42.6,170.9,407.6,9.0,23.6,8.48,17.16,9.21,0.13,5.14,3.17,1.084425,0.2002863,18.80791,18.71118,19.06787,-0.3566900000000004,8.983907605575508,False,34.18,0
61917388,1548054716267995520,DA,10,10.0,-25.6,277.7,576.8,9.0,29.6,10.61,8.96,3.94,0.31,5.51,3.49,0.8789935,0.1644924,18.62371,18.48752,18.84725,-0.359729999999999,8.343638317777451,False,30.85555555555555,0
110833883,6493699696366931200,DA,3,3.0,58.0,85.6,348.8,9.0,21.7,21.47,4.32,2.96,1.41,12.79,3.57,3.506001,0.1589389,18.70598,18.75114,19.03547,-0.2843300000000006,11.430040178147722,False,42.8,0
71688753,2802299210966915840,DA,5,5.0,6.5,101.3,501.2,8.9,29.1,15.26,39.86,10.05,1.2,2.45,1.22,4.775786,0.2028766,18.44733,18.5485,18.25425,0.2942500000000017,11.842554290458567,False,25.325,0
56180722,648717804623037952,DA,3,3.0,-122.2,86.1,320.9,8.9,26.5,16.93,4.61,2.69,0.33,8.93,2.77,3.772626,0.1439607,18.35533,18.30829,18.50531,-0.1970200000000019,11.238548767342056,False,43.05,0
71865529,2833313337315476992,DA,3,3.0,-50.8,79.1,495.3,8.9,25.1,6.4,0.6,1.33,-0.48,0.32,0.53,0.6365127,0.1633233,18.16968,18.05145,18.44774,-0.3962900000000005,7.188715366616833,False,39.55,0
110663463,6473396458246166016,DA,4,4.0,2.7,84.5,279.7,8.9,22.2,16.05,9.17,4.54,1.64,2.68,2.7,2.491846,0.1492796,18.44775,18.35481,18.6731,-0.318290000000001,10.430355993673908,False,28.166666666666668,0
57593157,880579659889351552,DA,6,6.0,11.2,90.9,460.9,8.9,17.2,19.82,7.43,4.07,1.09,3.96,1.48,3.675699,0.2480796,18.80585,18.82143,18.80365,0.0177799999999983,11.632549700742167,False,18.18,0
70175111,2511332111718779264,DA,3,3.0,-29.4,88.9,154.4,8.8,12.1,19.18,27.93,2.86,1.32,0.11,0.21,5.247159,0.1770951,18.27631,18.37088,18.26611,0.1047699999999984,11.875931122188938,False,44.45,0
70071251,2491241938334981888,DA,4,4.0,13.1,97.8,276.8,8.7,21.5,16.18,9.82,5.99,0.44,8.7,3.98,1.987014,0.3915458,19.37636,19.3779,19.6036,-0.2256999999999998,10.86736463525045,False,32.6,0
70361395,2546923818506210176,DA,5,5.0,44.6,89.8,163.0,8.7,16.1,20.2,8.18,3.38,0.79,17.63,4.5,3.356885,0.3144278,19.20087,19.26423,19.25519,0.0090400000000023,11.830552317320048,False,22.45,0
57407895,858181985259426176,DA,4,4.0,-11.3,75.1,181.7,8.7,17.3,19.77,28.52,7.53,1.36,12.67,3.97,1.92106,0.3467825,19.90757,20.013,19.92723,0.0857700000000001,11.325274646437524,False,25.03333333333333,0
60440857,1314688664672259968,DA,8,8.0,0.3,98.1,358.8,8.6,24.4,9.94,2.43,2.52,-1.04,4.79,3.06,0.9671117,0.2274248,19.45928,19.33249,19.74344,-0.4109499999999997,9.386663186816577,False,14.014285714285714,0
59485314,1163030689391544320,DA,4,4.0,58.0,102.9,409.1,8.6,33.2,12.84,0.36,1.1,0.05,4.9,3.06,1.510619,0.4098787,19.64104,19.5789,19.78845,-0.2095500000000001,10.536814713944176,False,34.300000000000004,0
60777818,1356732752368007040,DA,7,7.0,-23.0,88.4,339.6,8.6,27.1,15.5,5.19,4.22,0.78,1.48,1.74,1.848457,0.346061,19.8584,19.85191,19.91961,-0.0676999999999985,11.192446760940188,False,14.733333333333334,0
