sdss_id,gaia,cls,n,n_rv,rv_mean,rv_chi2,drv_max,drv_sig,med_erv,ew_ha_mean,ew_ha_chi2r,ew_ha_range,ew_he_mean,ew_he_chi2r,ew_he_range
95650106,5253908462454705664,DA/DZ,3,3.0,26.6,24.2,156.3,4.6,25.9,5.11,2.99,0.65,0.61,99.43,2.42
95787906,5260736567053591680,DA_MS:,2,2.0,-17.4,86.5,599.9,9.3,37.9,-11.79,885.14,19.5,-2.67,45.74,3.7
96021506,5283451171616379136,DA:,2,2.0,-5.7,0.0,0.1,0.0,11.8,2.59,1.73,2.04,0.12,0.07,0.08
96411206,5312960792406646784,DA:,2,2.0,2.5,4.8,20.5,2.2,6.6,4.83,0.08,0.12,-0.74,7.07,0.82
96770406,5335529123251714944,DA,2,2.0,-88.2,70.0,191.2,8.4,16.2,3.31,4.54,0.63,0.51,3.15,0.42
97627206,5404611030820827264,DA,3,3.0,2.6,28.3,41.0,5.0,5.1,8.34,2.63,0.57,0.16,1.27,0.3
98434406,5489989410073535360,DZ:,2,2.0,8.0,2.5,36.7,1.6,16.2,-6.14,3.64,1.67,-2.2,2.52,1.05
98556806,5503096314525851520,DA,2,2.0,1.1,0.4,8.0,0.7,8.5,18.49,0.15,0.26,1.67,2.08,0.8
101572907,5758717443539547520,DA,2,2.0,-1.3,6.0,24.3,2.4,7.0,20.14,33.62,1.16,1.2,2.35,0.3
102046407,5803987459698827392,DA,2,2.0,5.6,8.6,73.2,2.9,17.7,3.27,0.19,0.47,-1.18,1.75,1.1
103256107,5867313630052470272,DA/DB,2,2.0,-6.6,0.7,4.9,0.8,4.1,-15.26,2.52,2.16,3.15,0.86,0.79
103681107,5882345465909344000,DA,2,2.0,4.3,3.3,25.8,1.8,10.0,5.07,0.61,0.23,1.05,4.7,0.51
103829207,5887554642725932032,DA/DA_MS,2,2.0,0.1,0.0,0.6,0.1,4.2,2.83,0.08,0.06,-0.03,0.3,0.1
103950707,5892465542676716544,DC:,2,2.0,-36.1,506.4,479.9,22.5,13.2,-0.82,86.55,6.13,3.07,5.96,1.22
106121807,5981852058427466368,DA,2,2.0,-1.8,1.1,14.9,1.1,9.6,20.06,0.51,0.65,0.2,5.12,1.73
106255107,5989991261976860288,DC,2,2.0,-0.5,1.2,26.2,1.1,16.5,0.68,3.72,0.88,1.37,0.11,0.11
109510907,6317435956526270336,DA,2,2.0,-1.2,3.4,30.9,1.8,11.9,17.01,0.29,0.3,0.93,0.0,0.01
109606907,6334550507847433856,DA,3,3.0,4.4,16.3,96.5,3.4,16.2,13.56,5.12,2.48,-0.15,3.91,2.04
110073107,6407182223049921664,DA,3,3.0,-3.0,15.6,56.6,3.7,11.2,19.19,1.76,0.8,1.41,3.8,0.99
110113907,6412222758012929920,DA,2,2.0,-0.4,0.2,12.8,0.5,18.3,14.41,12.34,3.76,1.67,0.76,0.78
110547607,6459789245938055296,DA,2,2.0,-2.5,0.3,15.8,0.6,18.4,19.86,8.57,3.11,1.92,4.24,1.7
110576207,6463647638398827136,DA,2,2.0,2.0,0.6,14.3,0.8,12.2,8.73,6.23,1.25,1.56,5.82,1.0
110957507,6511183069416152192,DC:,2,2.0,-2.8,0.5,24.4,0.7,23.4,-2.87,9.92,3.22,0.26,0.35,0.45
112034907,6663550465920378496,DA,2,2.0,-10.8,2.2,34.9,1.5,16.1,18.74,29.61,3.61,1.27,9.15,1.6
112057307,6665642561669848192,DA,2,2.0,-6.1,2.4,27.3,1.5,12.2,18.55,33.06,2.24,0.86,27.09,1.69
112069707,6666795159092946944,DA_MS,4,4.0,-4.0,15.6,127.0,3.8,23.6,12.85,4.76,2.98,0.57,9.8,5.26
112083707,6668207619217777664,DA,2,2.0,1.4,0.3,8.2,0.6,9.6,19.16,0.29,0.46,0.53,7.85,1.99
112252107,6685390756871844864,DA,2,2.0,-0.3,1.1,42.2,1.1,26.8,20.61,4.95,14.57,0.15,7.02,1.85
112404107,6702239840559638784,DA,2,2.0,2.6,1.0,19.4,1.0,13.5,15.22,1.42,1.18,2.91,0.0,0.02
112540307,6708713391362588800,DA_MS:,2,2.0,-0.1,3.3,34.1,1.8,13.4,-6.34,3.06,1.63,-0.17,1.01,0.71
114478407,6875612380215387776,DA,2,2.0,3.5,0.3,15.5,0.6,19.1,9.7,1.59,1.54,2.94,10.04,3.13
115349707,136372221035148416,DA,2,2.0,4.5,1.5,33.7,1.2,19.7,17.7,13.06,3.64,-1.59,3.62,1.51
116393807,266016770938622848,DA,2,2.0,1.6,4.0,21.2,2.0,7.4,9.09,4.35,0.77,0.23,2.47,0.49
116916007,346941690031483776,DA,2,2.0,2.0,0.4,12.2,0.6,13.5,19.09,0.45,0.21,0.53,0.92,0.28
116965507,353049202246380672,DA/DZ,2,2.0,0.3,0.9,11.8,1.0,8.6,-0.12,0.11,0.1,-0.15,3.78,0.43
117115007,373405521867198336,DA,2,2.0,0.2,0.1,7.1,0.3,17.8,9.24,23.07,4.24,-1.4,57.96,5.3
54398707,423018617543503744,DA,3,3.0,-1.3,7.1,58.8,2.6,13.4,8.45,4.89,3.36,0.06,5.48,2.76
54794907,458558784733311232,DA,7,7.0,1.2,44.1,28.6,3.0,3.4,14.68,8.88,1.26,0.53,4.36,0.6
55597807,544199504894224640,DA,3,3.0,7.1,0.4,10.1,0.6,9.5,8.23,13.88,2.2,0.25,0.06,0.11
55759807,576652307845164288,DA,4,4.0,-1.5,7.9,71.7,2.7,19.1,19.08,3.21,2.15,1.66,6.9,2.46
55809607,584171356766917120,DB/DC,3,3.0,146.7,376.7,598.1,17.4,23.8,-1.87,8.29,3.85,4.48,9.38,3.8
55880807,596474372190008832,DB,2,2.0,-0.3,0.1,6.3,0.4,11.7,-0.88,0.73,0.71,5.04,15.51,2.36
55952707,607102766980567936,DA,2,2.0,-3.0,2.2,23.8,1.5,11.3,16.41,1.99,0.45,0.27,24.53,1.38
57012407,784902902522308736,DA,6,6.0,-13.2,32.8,95.9,3.4,14.8,17.52,6.29,2.41,0.75,4.08,1.99
57192507,818826340932337536,DA,3,3.0,-3.3,5.7,70.4,2.3,20.6,14.91,3.22,1.54,-0.18,2.41,1.38
57396507,856281445051365888,DA,2,2.0,-0.4,2.7,40.3,1.6,16.7,17.91,3.32,0.88,0.34,11.62,1.4
57488707,869336565082977408,DA,2,2.0,-1.8,0.4,10.2,0.6,11.0,7.04,18.25,5.31,0.13,13.99,3.39
57552807,875636938508630272,DA,6,6.0,7.8,31.9,106.1,2.4,15.5,20.17,18.23,5.33,1.09,3.41,1.35
57566607,877465357625872128,DA,5,5.0,-15.3,54.5,170.6,7.0,15.8,18.66,25.0,7.61,1.68,10.03,2.85
57588307,880037699440688128,DA,11,11.0,0.6,148.6,440.5,10.5,25.2,19.25,5.66,4.91,0.66,8.77,3.39
57600207,881611512895124480,DA,4,4.0,-3.5,1.5,29.0,1.0,19.5,19.98,7.3,2.07,1.04,17.82,3.28
