sdss_id,snr,uniqueness,worst_region,nearest,gaia,cls,G,plx,e_plx,g_mag,bp_mag,rp_mag,bprp,MG
114981621,21.3,1.04,8250,72166485,50526755482496000,DAH,18.33319,8.626994,0.1946433,18.33319,18.37456,18.40753,-0.0329700000000023,13.012487479949574
66973839,24.8,1.04,8250,54603061,2069622487994113408,DAH/DA,17.58028,5.950499,0.07610516,17.58028,17.53299,17.75522,-0.2222299999999997,11.453046932726446
105178854,32.4,1.04,8250,96114555,5951009314186867456,DA_MS,17.43876,2.469368,0.1399805,17.43876,17.21826,16.98265,0.2356100000000012,9.401689079590916
94878358,23.2,1.04,4780,63379837,5175440642561752320,DB/DBA,18.3516,3.580392,0.1749053,18.3516,18.2955,18.47182,-0.1763200000000004,11.121252890366016
107075714,27.7,1.04,6400,55927625,6050397365632814976,DA,16.51732,2.53064,0.06627976,16.51732,16.40674,16.6614,-0.2546600000000012,8.533471841687012
92211093,44.4,1.04,8250,75246901,4718021471576976512,DA,17.50584,4.600995,0.06515791,17.50584,17.45674,17.66002,-0.2032799999999994,10.820098806539598
70339239,19.0,1.03,8250,71066683,2543138955885378560,DA,19.89554,3.573512,0.4810037,19.89554,19.95972,19.82113,0.1385900000000006,12.66101622409167
91718265,16.9,1.03,8250,55759087,4664898640298611584,DA,18.04663,4.161755,0.09837287,18.04663,17.98666,18.23427,-0.2476099999999981,11.143012549873092
93170630,38.7,1.03,6400,110663012,4861004510568793344,DA_MS:,18.78748,10.89752,0.1936773,18.78748,18.04488,16.76082,1.2840600000000002,13.974118373712049
57408486,131.0,1.03,8250,67636607,858271565392726784,DA_MS/DA,16.37428,6.054877,0.06181363,16.37428,16.08751,15.9947,0.0928100000000018,10.284806626112246
90883366,37.6,1.03,8250,65837747,4629638848581058944,DC:,16.33279,18.16845,0.06768394,16.33279,16.19357,15.42853,0.7650400000000008,12.629379390210907
66852747,57.5,1.03,6400,64657277,2061416695278519808,DB,17.39076,3.063927,0.06743195,17.39076,17.25596,17.66856,-0.4125999999999976,9.822152068714624
70140481,45.8,1.03,6400,99364641,2504833276444399616,DA,19.25257,7.441089,0.4071085,19.25257,19.36225,18.89025,0.4719999999999977,13.610752494988354
59304330,36.5,1.03,8250,111674264,1132527457993881216,DA_MS,16.46869,22.66417,0.04433416,16.46869,16.60861,15.91612,0.6924899999999994,13.245389095460116
94033991,10.4,1.03,8250,71789148,5009677208703121408,DA,19.52492,4.726212,0.2998394,19.52492,19.68341,19.30483,0.3785799999999995,12.897485992708123
115902789,18.2,1.03,8250,57223778,205655854611354368,DA_MS:,18.67182,4.571469,0.282973,18.67182,17.09284,16.6208,0.4720399999999998,11.97209889540245
60439770,62.7,1.03,4780,109505170,1314547446147752064,DA,18.57256,6.869035,0.123761,18.57256,18.6871,18.41978,0.2673200000000015,12.757038646278836
68985239,37.1,1.03,4780,93307679,2253826832091026560,DC/DA,17.51878,11.59602,0.06430343,17.51878,17.47808,17.58509,-0.1070100000000024,12.840324778620968
92254588,31.9,1.03,6400,71751564,4725208704209795712,DA:,17.2306,29.86294,0.05941458,17.2306,17.60425,16.71049,0.8937600000000003,14.606262808459284
74989266,20.2,1.03,6400,75031960,3126996569585711744,DA,19.16082,2.285262,0.322574,19.16082,19.12721,19.37757,-0.250359999999997,10.955499990588224
56014205,25.4,1.03,8250,57710375,617184292174676480,DA,18.19613,8.363191,0.1575116,18.19613,18.311,18.0205,0.2905000000000015,12.807990076952064
