sdss_id,n_vis,chi2r,dv,dv_sig,vis,gaia,cls,g_mag,MG,bprp,dr19
70073082,8,3.39,162.2,2.8,59200:+26±18 59883:-32±34 59885:+30±25 59941:-68±18 59956:+9±29 60228:-58±37 60565:-10±17 60637:+94±55,2491608865980916992,DA,19.57543,11.681006176175751,0.0889299999999977,False
70077402,10,14.4,134.6,9.5,59169:+67±10 59200:+1±14 59201:-21±14 59202:-23±10 59223:-67±10 59226:-52±19 59883:+13±12 59885:+17±10 59941:+22±13 59956:-59±13,2492423226139988864,DA,17.76342,9.772267671455635,-0.2645999999999979,True
70083988,8,1.37,60.4,2.8,59228:-14±27 59229:-18±31 59230:-12±14 59906:-22±24 60210:-31±13 60562:+6±12 60691:-6±17 60697:+30±17,2493618021617765504,DA,18.67755,10.99618276083714,-0.30518,False
70086934,11,7.88,224.7,3.3,59169:-60±10 59200:+20±10 59201:+134±56 59202:+7±23 59223:+55±16 59226:+51±19 59883:-72±32 59885:+17±14 59956:-15±35 60565:+19±24 60637:-90±38,2494155094392583552,DA,19.07422,10.363646776909658,0.0010900000000013,True
70107186,3,1.85,47.4,1.9,59193:+6±10 59885:-41±23 60254:+5±31,2498280255861633408,DA,18.27756,9.412597305099531,-0.2228300000000018,False
70108806,9,0.28,70.4,1.1,59166:+40±43 59168:+9±26 59169:+7±11 59192:-1±10 59222:+13±16 60225:+2±27 60563:-30±45 60624:+22±33 60697:+14±47,2498600866580480896,DA,19.85401,12.651089710682909,0.1814999999999997,False
70117615,9,2.46,104.3,2.9,59165:-2±15 59191:-12±16 59231:-47±18 59232:+1±32 59881:+39±42 59957:-52±22 60211:+52±28 60612:+43±23 60637:-11±53,2500554767462638720,DA,19.86026,11.08752103919977,0.0090800000000008,False
70124065,2,0.91,17.8,1.0,60563:+8±16 60637:-10±10,2501879958146685056,DA,19.58065,13.14400707904228,0.8523899999999998,False
70124609,6,3.05,106.9,3.3,59165:+8±17 59191:+15±12 59232:-29±25 59902:-25±38 60610:-17±22 60614:+78±21,2501995058975912320,DA,19.81569,11.212839438917092,0.0573799999999984,False
70124824,8,10.11,116.0,5.2,59165:-5±10 59191:-19±10 59231:+30±11 59232:+73±13 59881:+8±25 59935:-42±17 60637:-15±10 60698:+74±15,2502044025898006912,DA,18.08444,11.567091669182435,0.2079099999999982,True
70130198,4,0.9,26.3,1.5,59165:+5±10 59191:+6±10 59231:-3±10 59232:-20±14,2503044645903634688,DA,18.28069,11.28755087966382,-0.1472699999999989,True
70151111,3,0.3,91.3,0.8,59169:+12±21 59201:-80±116 59202:+7±22,2506663585346856064,DA,18.51131,8.15069295388518,-0.5186300000000017,False
70156508,7,1.12,46.6,1.8,59165:+14±19 59195:-26±13 59221:+8±16 59872:-32±16 59935:+5±23 60563:-17±29 60704:+4±39,2507673383697812096,DA,19.33441,10.460992599534547,-0.1049599999999983,False
