sdss_id,mjd,fieldid,in_stack,exp,bjd,v_Ha,v_Hb,v_Hg,e_Ha,e_Hb,e_Hg,v,e,n_lines
75536894,59186,15073,True,MJD_EXP_59186-05,2459186.97379,-551.6,-139.4,481.2,62.4,56.1,65.6,,,0
75536894,59186,15073,True,MJD_EXP_59186-06,2459186.98553,565.2,620.0,-501.7,506.5,148.6,1313.7,227.8,365.1,3
75536894,59208,15073,False,MJD_EXP_59208-00,2459208.83061,615.4,-274.7,-69.0,29.5,36.3,15.7,,,0
75536894,59208,15073,False,MJD_EXP_59208-01,2459208.85361,-487.0,-7.5,349.9,17.4,38.2,87.4,,,0
75536894,59208,15073,False,MJD_EXP_59208-02,2459208.8651,-1.5,,150.0,15.1,,99.5,,,0
75536894,59209,15073,True,MJD_EXP_59209-00,2459209.82691,-5.7,688.9,-0.5,16.6,11.6,12.3,-3.1,10.2,2
75536894,59209,15073,True,MJD_EXP_59209-01,2459209.8384,164.8,441.1,-1.1,36.1,40.7,14.1,,,0
75536894,59209,15073,True,MJD_EXP_59209-02,2459209.84991,50.1,-232.3,-185.9,35.3,40.1,40.5,-209.1,28.5,2
75536894,59209,15073,True,MJD_EXP_59209-03,2459209.86139,-100.0,610.4,3.9,38.6,42.1,45.0,-48.0,52.0,2
75536894,59209,15073,True,MJD_EXP_59209-04,2459209.87291,-39.6,34.2,467.8,40.6,44.2,46.8,-2.7,36.9,2
75536894,59209,15073,True,MJD_EXP_59209-05,2459209.88438,169.7,63.5,-48.8,39.3,21.6,51.6,61.5,63.1,3
75536894,59210,15073,True,MJD_EXP_59210-00,2459210.85031,-1.6,-71.5,50.6,42.4,26.9,40.0,-7.5,35.4,3
75536894,59210,15073,True,MJD_EXP_59210-01,2459210.86183,0.6,-23.5,392.0,12.1,37.1,38.4,-11.4,17.4,2
75536894,59210,15073,True,MJD_EXP_59210-02,2459210.8733,23.7,-374.5,-119.1,30.8,37.3,38.2,,,0
75536894,59210,15073,True,MJD_EXP_59210-03,2459210.88479,93.0,,-8.5,33.6,,38.9,42.3,50.7,2
75536894,59210,15073,True,MJD_EXP_59210-04,2459210.89629,369.1,-54.6,-9.1,34.6,41.2,45.1,-31.9,30.5,2
75536894,59211,15073,True,MJD_EXP_59211-00,2459211.89311,-362.9,-2.4,-37.6,35.4,15.8,40.4,-20.0,19.9,2
75536894,59211,15073,True,MJD_EXP_59211-01,2459211.90462,-132.0,-0.5,337.5,34.8,15.4,44.5,,,0
75536894,59211,15073,True,MJD_EXP_59211-02,2459211.91611,478.7,346.6,-420.8,20.5,13.1,26.8,,,0
75536894,59212,15073,True,MJD_EXP_59212-00,2459212.87598,-210.8,-0.7,-346.7,22.0,26.8,16.3,,,0
75536894,59212,15073,True,MJD_EXP_59212-01,2459212.88747,-415.4,615.5,366.9,14.7,26.9,74.4,,,0
75536894,59212,15073,True,MJD_EXP_59212-02,2459212.91045,-553.8,272.7,272.8,25.2,18.6,16.5,272.8,12.4,2
75536894,59302,15192,True,MJD_EXP_59302-00,2459302.64436,-35.3,14.5,-234.6,67.4,44.5,46.2,-10.4,39.6,2
75536894,59302,15192,True,MJD_EXP_59302-01,2459302.65571,43.2,134.1,-137.6,64.8,13.0,27.5,,,0
75536894,59302,15192,True,MJD_EXP_59302-02,2459302.66706,-2.7,-118.1,-303.0,32.8,54.4,59.4,,,0
75536894,59302,15192,True,MJD_EXP_59302-03,2459302.6784,-13.8,-415.7,19.0,58.7,14.7,71.9,2.6,46.2,2
75536894,60355,100912,True,MJD_EXP_60355-00,2460355.6176,371.0,449.7,-5.6,44.2,47.8,23.4,410.4,39.4,2
75536894,60371,100912,True,MJD_EXP_60371-00,2460371.62943,,3.4,-31.9,,34.4,38.2,-14.3,25.7,2
78937310,60459,102361,True,MJD_EXP_60459-00,2460459.75151,12.4,-4.4,0.7,29.0,22.5,7.4,2.9,13.0,3
78937310,60460,102361,True,MJD_EXP_60460-00,2460460.67852,4.4,-559.1,-15.6,29.4,22.2,19.7,-5.6,17.4,2
78937310,60002,25350,False,MJD_EXP_60002-00,2460002.86713,201.4,-2.0,297.3,40.8,14.5,36.3,249.3,48.0,2
78937310,60002,25350,False,MJD_EXP_60002-01,2460002.88131,43.2,0.4,,42.0,12.9,,21.8,21.4,2
78937310,60006,25350,False,MJD_EXP_60006-00,2460006.85408,3.7,533.9,-674.6,38.3,27.5,23.2,,,0
78937310,60006,25350,False,MJD_EXP_60006-01,2460006.86897,204.2,-11.1,-26.0,9.5,26.7,21.9,-18.5,17.2,2
78937310,60025,25350,True,MJD_EXP_60025-00,2460025.84532,-303.0,341.4,-1.6,52.4,19.6,10.2,,,0
78937310,60025,25350,True,MJD_EXP_60025-01,2460025.8571,-37.0,0.3,524.6,49.2,14.0,25.4,-18.3,22.3,2
78937310,60025,25350,True,MJD_EXP_60025-02,2460025.87196,-422.4,,565.8,26.4,,29.8,,,0
78937310,60025,25350,True,MJD_EXP_60025-03,2460025.88374,3.1,-34.9,-15.7,41.8,28.3,24.8,-15.8,16.4,3
78937310,60025,25350,True,MJD_EXP_60025-04,2460025.89593,422.7,14.8,-344.9,40.8,30.1,15.9,,,0
