sdss_id,mjd,in_stack,xcsao,line,rv,e_rv,snr
75537110,59186,True,83.5,Hg,36.8,26.7,17.2
75537110,59208,True,0.7,Hg,32.7,12.2,18.6
75537110,59209,True,-2.5,Hg,6.1,7.1,51.9
75537110,59210,True,53.1,Hg,-3.7,6.8,51.0
75537110,59211,True,29.8,Hg,-11.7,6.2,39.0
75537110,59212,True,158.2,Hg,-17.5,9.9,21.9
75537110,59302,True,68.2,Hg,11.8,7.5,34.1
75537110,60355,True,-7.7,Hg,-79.6,23.3,15.8
75537110,60371,True,61.8,Hg,-10.9,18.4,18.1
62573217,59280,True,38.8,Ha,-5.6,9.6,27.6
62573217,59309,True,85.8,Ha,48.3,12.0,21.7
62573217,59340,True,100.1,Ha,21.7,15.9,18.9
62573217,59380,True,31.0,Ha,-2.8,16.5,20.9
62573217,59381,True,41.4,Ha,0.1,14.9,19.9
62573217,59789,True,80.5,Ha,27.1,15.6,17.9
62573217,60056,True,-7.0,Ha,-9.8,11.2,20.1
62573217,60057,True,171.0,Ha,-13.9,29.3,9.3
62573217,59280,True,38.8,Hb,-1.3,6.7,27.6
62573217,59309,True,85.8,Hb,28.6,8.3,21.7
62573217,59340,True,100.1,Hb,-25.5,8.7,18.9
62573217,59380,True,31.0,Hb,4.6,9.9,20.9
62573217,59381,True,41.4,Hb,13.2,10.4,19.9
62573217,59789,True,80.5,Hb,9.0,12.5,17.9
62573217,60056,True,-7.0,Hb,10.6,10.5,20.1
62573217,60057,True,171.0,Hb,-35.0,22.2,9.3
62573217,59280,True,38.8,Hg,-5.1,7.1,27.6
62573217,59309,True,85.8,Hg,58.6,10.0,21.7
62573217,59340,True,100.1,Hg,-18.4,8.9,18.9
62573217,59380,True,31.0,Hg,-23.2,11.5,20.9
62573217,59381,True,41.4,Hg,-30.2,10.8,19.9
62573217,59789,True,80.5,Hg,53.0,14.1,17.9
62573217,60056,True,-7.0,Hg,-11.0,11.0,20.1
62573217,60057,True,171.0,Hg,32.3,25.6,9.3
70124824,59165,True,48.3,Ha,-7.8,6.8,29.3
70124824,59191,True,51.8,Ha,-2.7,9.9,22.6
70124824,59231,True,77.4,Ha,32.7,16.6,18.8
70124824,59232,True,105.3,Ha,28.4,12.2,20.0
70124824,59881,True,67.8,Ha,17.0,38.2,10.9
70124824,59935,True,0.9,Ha,-47.1,29.5,12.1
70124824,60637,True,28.3,Ha,-9.0,15.9,16.7
70124824,60698,True,254.3,Ha,63.1,41.3,8.0
70124824,59165,True,48.3,Hb,-10.6,7.7,29.3
70124824,59191,True,51.8,Hb,-34.3,10.4,22.6
70124824,59231,True,77.4,Hb,48.1,11.2,18.8
70124824,59232,True,105.3,Hb,71.9,13.0,20.0
70124824,59881,True,67.8,Hb,-0.6,31.3,10.9
70124824,59935,True,0.9,Hb,-10.8,22.6,12.1
70124824,60637,True,28.3,Hb,-3.2,14.8,16.7
70124824,60698,True,254.3,Hb,65.2,25.5,8.0
70124824,59165,True,48.3,Hg,4.8,8.4,29.3
70124824,59191,True,51.8,Hg,-21.2,10.6,22.6
70124824,59231,True,77.4,Hg,8.6,13.5,18.8
70124824,59232,True,105.3,Hg,74.6,24.5,20.0
70124824,59881,True,67.8,Hg,-74.7,20.0,10.9
70124824,59935,True,0.9,Hg,-69.1,21.6,12.1
70124824,60637,True,28.3,Hg,-32.3,16.5,16.7
70124824,60698,True,254.3,Hg,92.8,22.7,8.0
70259530,59912,True,-72.8,Ha,22.9,22.6,10.1
70259530,59925,True,199.4,Ha,-25.9,19.5,6.3
70259530,60610,True,67.3,Ha,0.8,13.9,8.5
70259530,59912,True,-72.8,Hb,21.6,20.2,10.1
70259530,59925,True,199.4,Hb,29.5,28.9,6.3
70259530,60610,True,67.3,Hb,-25.9,21.8,8.5
70259530,59912,True,-72.8,Hg,1.2,17.7,10.1
70259530,59925,True,199.4,Hg,-36.7,38.3,6.3
70259530,60610,True,67.3,Hg,15.4,17.2,8.5
78780631,59245,True,40.0,Ha,41.3,12.3,32.1
78780631,59246,True,141.1,Ha,-58.6,45.2,10.7
78780631,59267,True,19.4,Ha,-41.5,15.6,30.7
78780631,59268,True,15.9,Ha,59.2,12.4,29.2
78780631,59269,True,2.1,Ha,-5.1,14.8,31.7
78780631,59270,True,-8.2,Ha,-57.6,10.5,31.8
78780631,59271,True,154.0,Ha,105.7,21.9,18.3
78780631,59272,True,-7.5,Ha,-26.3,17.3,23.5
78780631,59273,True,-146.5,Ha,-172.8,24.0,7.8
78780631,59304,True,-77.5,Ha,-82.8,82.8,14.1
78780631,59305,True,-79.4,Ha,-19.7,16.0,21.8
78780631,59324,True,36.0,Ha,24.8,13.2,33.2
78780631,60380,True,59.2,Ha,81.2,26.9,14.3
78780631,60381,True,-223.3,Ha,-42.0,28.4,13.1
78780631,59245,True,40.0,Hb,42.4,8.1,32.1
78780631,59246,True,141.1,Hb,-48.0,19.4,10.7
78780631,59267,True,19.4,Hb,-40.4,9.2,30.7
78780631,59268,True,15.9,Hb,39.2,9.6,29.2
78780631,59269,True,2.1,Hb,6.9,8.4,31.7
78780631,59270,True,-8.2,Hb,-40.0,7.8,31.8
78780631,59271,True,154.0,Hb,50.0,15.0,18.3
78780631,59272,True,-7.5,Hb,-2.8,13.2,23.5
78780631,59273,True,-146.5,Hb,-71.2,37.6,7.8
78780631,59304,True,-77.5,Hb,24.0,19.0,14.1
78780631,59305,True,-79.4,Hb,-42.8,13.0,21.8
78780631,59324,True,36.0,Hb,4.8,7.9,33.2
78780631,60380,True,59.2,Hb,103.8,17.0,14.3
78780631,60381,True,-223.3,Hb,-69.0,17.2,13.1
78780631,59245,True,40.0,Hg,55.3,9.0,32.1
78780631,59246,True,141.1,Hg,-8.0,16.9,10.7
78780631,59267,True,19.4,Hg,-41.3,9.1,30.7
78780631,59268,True,15.9,Hg,40.5,8.7,29.2
78780631,59269,True,2.1,Hg,-28.1,8.8,31.7
78780631,59270,True,-8.2,Hg,-24.2,8.6,31.8
78780631,59271,True,154.0,Hg,33.7,15.9,18.3
78780631,59272,True,-7.5,Hg,-32.8,13.8,23.5
78780631,59273,True,-146.5,Hg,-66.5,20.8,7.8
78780631,59304,True,-77.5,Hg,-14.7,18.6,14.1
78780631,59305,True,-79.4,Hg,-43.6,14.3,21.8
78780631,59324,True,36.0,Hg,28.3,8.8,33.2
78780631,60380,True,59.2,Hg,95.7,16.6,14.3
78780631,60381,True,-223.3,Hg,-48.6,18.9,13.1
79074531,59351,True,186.3,Ha,-40.5,20.6,12.1
79074531,59352,True,11.6,Ha,9.2,9.5,18.8
79074531,59351,True,186.3,Hb,-77.2,19.6,12.1
79074531,59352,True,11.6,Hb,25.3,12.1,18.8
79074531,59351,True,186.3,Hg,-28.5,14.3,12.1
79074531,59352,True,11.6,Hg,10.2,7.6,18.8
70086934,59169,True,-79.8,Ha,-48.9,23.1,16.6
70086934,59200,True,-18.5,Ha,37.1,17.3,13.9
70086934,59201,True,-4.3,Ha,241.1,83.1,3.3
70086934,59202,True,225.3,Ha,-28.7,27.9,11.2
70086934,59223,True,69.7,Ha,58.6,28.6,11.7
70086934,59226,True,196.8,Ha,46.4,28.1,9.3
70086934,59883,True,-466.0,Ha,-133.5,41.1,6.1
70086934,59885,True,-51.2,Ha,-1.9,26.2,9.6
70086934,59941,False,-43.5,Ha,-72.0,41.5,2.7
70086934,59956,True,-258.6,Ha,21.1,45.0,6.0
70086934,60565,True,34.0,Ha,-2.3,38.7,9.5
70086934,60637,True,190.8,Ha,-109.8,67.1,5.4
70086934,59169,True,-79.8,Hb,-74.6,13.7,16.6
70086934,59200,True,-18.5,Hb,20.5,13.2,13.9
70086934,59201,True,-4.3,Hb,111.0,53.2,3.3
70086934,59202,True,225.3,Hb,0.4,19.2,11.2
70086934,59223,True,69.7,Hb,-7.4,15.9,11.7
70086934,59226,True,196.8,Hb,56.3,24.5,9.3
70086934,59883,True,-466.0,Hb,-55.8,28.6,6.1
70086934,59885,True,-51.2,Hb,40.8,23.6,9.6
70086934,59941,False,-43.5,Hb,169.7,111.1,2.7
70086934,59956,True,-258.6,Hb,18.0,31.9,6.0
70086934,60565,True,34.0,Hb,41.1,29.7,9.5
70086934,60637,True,190.8,Hb,134.7,26.3,5.4
70086934,59169,True,-79.8,Hg,-55.7,15.2,16.6
70086934,59200,True,-18.5,Hg,2.7,13.0,13.9
70086934,59201,True,-4.3,Hg,51.2,42.3,3.3
70086934,59202,True,225.3,Hg,48.9,20.4,11.2
70086934,59223,True,69.7,Hg,51.2,15.4,11.7
70086934,59226,True,196.8,Hg,-24.2,17.3,9.3
70086934,59883,True,-466.0,Hg,-26.4,25.3,6.1
70086934,59885,True,-51.2,Hg,12.5,20.0,9.6
70086934,59941,False,-43.5,Hg,-29.1,51.2,2.7
70086934,59956,True,-258.6,Hg,-85.5,36.9,6.0
70086934,60565,True,34.0,Hg,148.0,24.1,9.5
70086934,60637,True,190.8,Hg,-70.8,39.8,5.4
60256035,59294,True,-41.4,Ha,-14.3,6.2,39.2
60256035,59296,True,-24.1,Ha,-14.1,6.3,36.9
60256035,59300,True,-18.3,Ha,3.2,8.2,29.3
60256035,59301,True,30.9,Ha,15.7,8.3,27.7
60256035,59302,True,2.8,Ha,-3.4,11.0,22.5
60256035,59305,True,-38.4,Ha,-28.0,6.7,34.3
60256035,59306,True,43.1,Ha,41.0,7.3,34.2
60256035,59325,True,22.1,Ha,30.3,5.4,43.6
60256035,59326,True,-41.9,Ha,-34.9,9.6,35.5
60256035,59327,True,-20.4,Ha,2.9,7.5,37.8
60256035,59360,True,18.3,Ha,49.3,10.5,23.4
60256035,59361,True,-6.9,Ha,-34.3,10.2,27.4
60256035,59294,True,-41.4,Hb,-28.6,4.6,39.2
60256035,59296,True,-24.1,Hb,-8.9,4.9,36.9
60256035,59300,True,-18.3,Hb,0.1,7.5,29.3
60256035,59301,True,30.9,Hb,21.4,11.1,27.7
60256035,59302,True,2.8,Hb,-27.9,10.4,22.5
60256035,59305,True,-38.4,Hb,-10.9,6.8,34.3
60256035,59306,True,43.1,Hb,39.2,5.6,34.2
60256035,59325,True,22.1,Hb,26.2,4.5,43.6
60256035,59326,True,-41.9,Hb,-26.7,5.6,35.5
60256035,59327,True,-20.4,Hb,4.1,5.6,37.8
60256035,59360,True,18.3,Hb,30.6,9.2,23.4
60256035,59361,True,-6.9,Hb,-27.1,8.1,27.4
60256035,59294,True,-41.4,Hg,-11.5,4.9,39.2
60256035,59296,True,-24.1,Hg,0.5,5.7,36.9
60256035,59300,True,-18.3,Hg,-3.5,7.4,29.3
60256035,59301,True,30.9,Hg,26.2,9.5,27.7
60256035,59302,True,2.8,Hg,-38.9,12.8,22.5
60256035,59305,True,-38.4,Hg,-33.6,7.3,34.3
60256035,59306,True,43.1,Hg,25.9,7.2,34.2
60256035,59325,True,22.1,Hg,25.7,5.1,43.6
60256035,59326,True,-41.9,Hg,-23.8,6.0,35.5
60256035,59327,True,-20.4,Hg,4.6,5.4,37.8
60256035,59360,True,18.3,Hg,8.8,11.4,23.4
60256035,59361,True,-6.9,Hg,-30.5,10.0,27.4
79071635,59351,True,-149.5,Ha,46.1,24.1,6.2
79071635,59352,True,-0.2,Ha,12.5,18.2,9.2
79071635,60109,True,-10.1,Ha,-11.3,12.6,9.2
79071635,60473,True,-244.7,Ha,-108.8,33.0,4.2
79071635,59351,True,-149.5,Hb,19.8,21.4,6.2
79071635,59352,True,-0.2,Hb,-26.5,14.6,9.2
79071635,60109,True,-10.1,Hb,67.4,16.8,9.2
79071635,60473,True,-244.7,Hb,-74.7,47.0,4.2
79071635,59351,True,-149.5,Hg,-1.6,23.8,6.2
79071635,59352,True,-0.2,Hg,-29.6,14.5,9.2
79071635,60109,True,-10.1,Hg,71.1,16.8,9.2
79071635,60473,True,-244.7,Hg,-39.4,26.1,4.2
55764036,59255,True,3.7,Ha,-0.8,37.3,23.7
55764036,59256,True,86.0,Ha,51.8,13.8,23.5
55764036,59257,True,-25.4,Ha,10.5,21.8,16.1
55764036,59305,True,-90.5,Ha,-125.3,19.2,17.2
55764036,59306,True,39.7,Ha,-45.5,32.1,15.5
55764036,59311,False,497.8,Ha,-61.0,100.8,4.8
55764036,59312,True,140.3,Ha,61.9,14.2,21.0
55764036,59313,True,-2.7,Ha,-12.0,19.0,18.5
55764036,59615,True,20.9,Ha,-46.3,29.4,12.8
55764036,59663,False,386.5,Ha,-2.7,20.9,12.7
55764036,59255,True,3.7,Hb,5.1,13.6,23.7
55764036,59256,True,86.0,Hb,74.2,16.4,23.5
55764036,59257,True,-25.4,Hb,-38.2,13.2,16.1
55764036,59305,True,-90.5,Hb,-112.4,19.2,17.2
55764036,59306,True,39.7,Hb,-69.5,19.8,15.5
55764036,59311,False,497.8,Hb,140.3,42.3,4.8
