sdss_id,li_depth,e_li,li_sig,ctrl1_sig,ctrl2_sig,cai_depth,cai_sig,gaia,cls,teff,G,plx,e_plx,g_mag,bp_mag,rp_mag,bprp,MG
101457946,0.0822941102271713,0.0187223943749487,4.395490693075233,-2.679443630251258,-1.2559110330901624,0.1023648362481185,4.22772285704093,5745638202971937280,DA,18201.54,17.98195,4.173745,0.1112705,17.98195,17.92302,18.14887,-0.22584999999999766,11.084579558965974
111323870,0.0695607399498669,0.0158571139815817,4.3867213183094025,-1.8498783530628045,-2.1949850807995697,0.037798469912195,1.841657813840903,6571309343089059072,DA,16066.07,18.27491,3.788756,0.1459698,18.27491,18.24165,18.42039,-0.17874000000000123,11.167393185697037
110409979,0.0423140796319146,0.009651182727509,4.384341362774672,-0.1747530805073734,-2.7396355997139437,0.0964110253083325,7.448673230872248,6444542799232242432,DA,11266.39,18.37128,5.051708,0.1544555,18.37128,18.37977,18.4011,-0.02132999999999896,11.888471197090938
92827554,0.0735738844637351,0.0167860525835063,4.3830366965505165,-2.3666736758771507,0.8764624540382928,0.0561198412449583,2.759568456410409,4806214295673215104,DA,19382.97,18.37347,3.030113,0.1095378,18.37347,18.33323,18.57771,-0.24447999999999936,10.780764123305879
66957047,0.0859141564968437,0.0196112987092663,4.3808499258771265,-0.7077932372375215,-1.372743117544762,0.2439969719701326,8.753658091353318,2068278094512362624,DA,-9999.0,18.54476,2.803213,0.1278971,18.54476,18.54799,18.69259,-0.1446000000000005,10.783040492743824
94054788,0.2085878704303192,0.0476673222165905,4.375909128743139,-0.9182013762745328,0.3955501057213403,0.1230044954750797,1.872582130534582,5013663144510344960,DA,9308.596,19.91915,3.520756,0.3840219,19.91915,20.03214,19.74945,0.2826899999999988,12.652329640367306
54398218,0.0788272113536998,0.0180172561871533,4.375095216213066,-2.687597132553246,-2.0103256138849095,0.0717997133432824,2.929395666390878,422968997788031616,DA,19675.12,19.28227,2.855119,0.2340992,19.28227,19.28781,19.3131,-0.02528999999999826,11.560391070731246
90167796,0.2039255768230437,0.0466326592759728,4.373020539450878,-1.3216551620203072,0.8203619299456558,-0.2546225300891388,-3.0756945470542383,4547689493890394624,DA,12535.83,19.77118,2.859954,0.3819231,19.77118,19.89276,19.73552,0.15723999999999805,12.052975239584327
70337958,0.0256978878449139,0.005882208708177,4.368748053633431,-1.717664015692079,-1.4287394417116153,0.0620925601916513,8.312725683258046,2542955234365003520,DA,8370.157,18.50659,6.984453,0.1890677,18.50659,18.59729,18.27878,0.31850999999999985,12.727251996142348
65017207,0.1109150985899129,0.0254012717990747,4.3665175298015155,-0.1134250826455642,2.3079755999755376,0.142120385934756,4.328264783934512,1958400908249798016,DA,14887.85,19.04407,2.817182,0.2142105,19.04407,19.0719,19.14362,-0.07171999999999912,11.293144524319118
