sdss_id,gaia,nvis,snr_max,C,C_v,CI,CI_v,CII,CII_v,HeI,HeI_v,C_vis,status
92502502,4760949566623184384,1,3.1,-0.10,-200,1.01,-200,-1.98,280,0.27,-200,-0.1,ok
76443960,3324782841522651392,1,38.7,0.01,400,0.26,-200,0.85,400,0.72,-110,0.0,ok
61807605,1527230863687023104,1,31.2,-0.45,400,0.73,-200,1.10,400,1.98,-180,-0.4,ok
79876521,3820651551875207680,2,7.3,-1.51,400,-0.31,340,-0.12,400,0.19,400,-1.4/-0.3,ok
67809917,2140377886604958080,1,28.2,0.51,400,0.09,400,0.88,400,0.85,-180,0.5,ok
88815352,4404199210674090112,1,5.5,-1.48,400,-1.50,-200,1.70,400,0.20,-200,-1.5,ok
90812313,4617789411770056064,1,18.5,-1.00,400,0.63,370,-0.44,-120,-0.01,180,-1.0,ok
68967628,2251327783896216448,1,24.0,-0.71,400,0.03,-130,1.03,400,1.02,-150,-0.7,ok
92197870,4715804345035149952,1,24.0,1.19,400,1.29,-200,0.76,400,2.58,90,1.2,ok
73084290,2958770057883518592,1,23.3,0.18,-200,0.83,-200,0.09,400,0.77,80,0.2,ok
106115820,5981619438683734656,1,9.2,0.94,-200,1.00,-200,-1.51,-200,-0.10,-180,0.9,ok
59297375,1131463027658446208,1,31.2,2.30,400,-1.72,240,5.75,400,2.70,-200,2.3,ok
76014855,3238394758384813312,1,33.7,-0.22,400,0.49,-200,0.43,400,1.60,-100,-0.2,ok
61869150,1538973750950548352,1,25.0,0.31,400,0.15,300,1.02,400,1.49,-160,0.3,ok
62821108,1713566336196538112,1,28.6,-0.06,400,-0.26,100,0.80,400,1.40,-200,-0.1,ok
92531593,4764569330698834944,1,52.3,0.39,400,0.22,-200,0.54,400,0.85,-110,0.4,ok
58781537,1041719067534568448,1,30.0,1.71,400,-0.29,400,1.73,400,0.66,-200,1.7,ok
79578021,3760496828337949696,1,20.5,0.32,400,-0.02,-200,1.04,400,2.15,-50,0.3,ok
86707700,4246360979314537472,1,25.7,-1.59,400,-2.05,-200,0.92,400,0.41,-200,-1.6,ok
63356004,1786151691527410560,2,25.0,0.88,400,0.89,340,1.48,400,1.52,-180,-0.7/2.2,ok
75841418,3216908381329889408,2,30.4,-0.35,400,-1.47,180,0.70,400,1.60,-180,-0.5/0.5,ok
79680406,3781706957393030912,1,30.1,0.79,400,-0.38,-200,1.46,400,0.20,-160,0.8,ok
63064592,1749073346230753792,1,20.6,-0.50,400,-2.08,400,0.92,400,0.47,-50,-0.5,ok
87834336,4305776942711448832,1,26.1,1.76,400,-0.54,360,2.19,400,0.70,-200,1.8,ok
96638125,5329203808965896192,3,24.3,-0.30,400,-0.37,-200,0.48,400,0.65,-100,1.2/-0.3/-0.4,ok
116887415,343117897828464768,1,28.8,0.03,400,0.08,-60,0.73,400,1.31,-170,0.0,ok
86963227,4256520849052474752,1,23.1,-0.68,400,-0.01,-200,0.65,400,0.47,-190,-0.7,ok
106919566,6035892573888445312,1,28.1,0.42,400,-0.04,400,0.68,400,0.75,-170,0.4,ok
92139478,4706490966152013056,1,36.7,0.77,400,2.65,270,0.78,400,1.62,-30,0.8,ok
91718859,4664965744866964352,7,51.4,0.43,400,-0.34,400,1.15,400,0.52,-140,0.5/-0.4/0.4/0.8/1.2/0.8/0.7,ok
92031695,4689843844713244288,2,30.7,0.13,400,0.66,-50,1.75,400,1.96,-180,-0.4/0.5,ok
92725063,4792737620308249856,2,26.9,-0.43,-200,1.08,-200,-0.55,400,0.24,130,-0.6/-0.7,ok
90864509,4626330315015316096,1,7.7,0.81,220,1.25,210,0.60,340,1.44,-30,0.8,ok
57881477,915437786261055872,1,14.7,-0.32,400,-1.66,390,0.56,400,0.83,-120,-0.3,ok
92541066,4765787490799305728,1,40.1,0.26,400,0.18,350,0.79,400,0.78,-100,0.3,ok
76477636,3326883492846023296,1,11.9,-0.34,400,0.03,30,0.80,400,1.21,-200,-0.3,ok
54791085,458399316886421760,1,7.9,-1.76,400,-3.18,-200,-0.51,400,4.24,370,-1.8,ok
110186020,6420768647718762240,1,29.4,-0.25,400,-0.90,-200,1.23,400,1.58,-110,-0.3,ok
82112687,4055332585021284992,1,16.0,-0.38,-190,0.09,-190,-0.12,130,2.72,0,-0.4,ok
79937995,3832231509553992192,1,26.2,-0.43,400,0.25,-200,0.95,400,1.28,-170,-0.4,ok
86091573,4192050091362806912,1,17.6,-1.51,400,-0.52,-200,0.67,400,0.16,-180,-1.5,ok
112459164,6705060504503887872,1,9.7,0.42,-180,0.68,-200,0.64,330,1.72,-200,0.4,ok
59155995,1106475182810510976,1,12.7,1.58,340,1.60,330,0.71,370,1.31,400,1.6,ok
92082449,4696535369398686720,1,22.2,0.40,-10,1.08,-200,0.42,30,1.76,210,0.4,ok
61702145,1506520119069401600,1,32.1,0.83,400,0.26,-200,1.42,400,1.07,-170,0.8,ok
84534748,4106812887663593088,1,24.8,-2.52,400,-1.33,-200,0.37,400,1.34,-50,-2.5,ok
75483091,3163884123842021632,1,28.8,0.14,400,0.07,-200,0.28,400,0.56,-110,0.1,ok
57838842,908241654455757952,1,29.3,1.21,400,-0.51,320,2.61,400,0.88,-200,1.2,ok
96851368,5338295876816520832,3,22.2,-1.26,-170,-0.51,-190,0.20,10,4.66,70,-3.9/-1.8/-1.9,ok
76366383,3316497261193787008,1,7.5,0.36,-80,0.71,80,0.56,-200,3.00,-10,0.4,ok
83169680,4066673703868091264,1,28.7,0.11,400,-0.06,400,0.15,400,0.50,-130,0.1,ok
69035090,2260702043939532160,1,8.3,1.05,-200,0.23,-200,3.15,-100,-0.01,230,1.0,ok
103494153,5876386039784870784,2,18.7,-0.48,400,1.39,400,-1.20,-70,0.09,-130,-1.0/-0.6,ok
109890398,6381208249414978048,1,7.9,0.09,-70,-0.17,-70,0.04,20,1.13,-200,0.1,ok
59059236,1092653909330655232,1,6.8,0.15,110,-0.26,110,0.56,100,3.09,-170,0.1,ok
95812937,5264112200897150720,1,6.1,-2.62,30,-0.30,-200,-1.17,400,2.13,340,-2.6,ok
63355760,1786120531533374848,1,14.6,0.50,210,-0.07,190,1.51,400,-0.00,-200,0.5,ok
109793241,6366696693087863296,1,26.8,-0.01,400,0.73,400,0.75,400,0.87,-190,-0.0,ok
58882988,1060968217600472576,1,5.7,1.13,300,0.59,300,1.62,300,0.03,-100,1.1,ok
69704246,2414708889591406080,1,24.8,0.31,400,-1.40,320,1.54,400,0.62,-190,0.3,ok
92170828,4711267034208793600,1,6.5,1.14,-50,1.02,-70,1.35,120,0.07,400,1.1,ok
55665046,556600106269989504,1,3.7,-0.70,-200,0.31,-200,0.17,390,0.84,400,-0.7,ok
87864622,4307170333181492608,1,27.0,0.65,400,-0.00,400,0.90,400,1.04,-130,0.6,ok
96173733,5297690671831379968,2,31.0,0.68,400,-0.40,400,1.07,400,0.62,-150,0.8/0.6,ok
69946097,2465908297077761024,1,12.5,-0.85,400,-1.29,-200,2.16,390,1.43,-100,-0.9,ok
86889939,4254177446207338240,1,30.7,-0.30,400,-1.35,400,1.30,380,0.59,-200,-0.3,ok
110907934,6504430659272780032,1,23.6,-0.28,140,-0.59,70,4.46,340,0.67,-100,-0.3,ok
86909637,4254999051903278336,6,11.2,-1.80,-200,-0.01,-200,0.18,310,1.50,-70,1.9/-0.5/-0.6/-1.7/-1.1/-0.7,ok
90966551,4644140135642122112,1,8.9,-0.42,400,0.46,400,-3.61,400,0.10,360,-0.4,ok
