sdss_id,gaia_dr3_source_id,ra,dec,plx,e_plx,pmra,pmde,g_mag,bp_mag,rp_mag,snr,n_boss_visits,classification,p_da,p_dq,p_hotdq,p_db,p_dah,teff,e_teff,logg,e_logg,result_flags,telescope,ebv,bp_rp,MG,cmd_off,is_control
103978176,5893624908962263168,222.58029,-54.928226,2.6437533,0.30144665,-7.969659,-7.463406,19.234959,19.08809,19.385557,5.7898483,2,DA:,0.342161,0.014,0.0048705577,0.070134595,0.06209566,50860.04,3072.014,8.944626,0.23610368,1,lco25m,0.13425025,-0.2974669999999975,11.34606363408428,0.28770473408427044,False
63095973,1752361740696986496,307.01974,8.887932,2.0774431,0.24190554,-7.993618,-7.7021317,19.033302,19.067194,19.064096,8.072334,1,DA,0.64181364,0.0,0.0039692163,0.030495219,0.038836345,33943.164,526.69037,8.8436985,0.100229606,0,apo25m,0.054527614,0.0030980000000013774,10.620947687685238,-1.4292757123147677,False
115974819,212205366205097856,80.05182,47.708485,2.5816627,0.44636396,-2.8402607,-16.702713,19.93785,20.19627,19.846045,5.121629,3,DA,0.684499,0.0,0.005960319,0.025073979,0.027316635,15003.187,1445.9745,8.518243,0.14694354,1,apo25m,0.15963687,0.35022499999999823,11.997347500461863,-1.198394999538131,False
67995006,2161993563662501376,315.56195,43.75227,2.7570002,0.11718343,8.580726,1.8176653,18.29237,18.168543,18.580236,18.219011,2,DA,0.8366251,0.0,0.0059822854,0.0018302718,0.021945484,33613.71,233.1583,8.521091,0.04620484,0,apo25m,0.019877607,-0.41169299999999964,10.494553988053156,-0.18685911194684657,False
78084130,3483207035264120192,171.71873,-28.571054,4.694744,0.47603032,-24.499565,-13.3230715,19.818176,19.963676,19.767008,5.858901,1,DA,0.7056498,0.0,0.012129334,0.023820043,0.045768946,8978.584,94.001854,8.273071,0.26990804,1,lco25m,0.023790156,0.19666799999999895,13.176235577879057,0.48723117787906034,False
80005965,3844028577830244608,141.78654,1.3725584,8.179892,0.11090373,-4.585527,-8.374091,17.581442,17.543047,17.737377,52.47504,3,DA,0.9800545,0.0,0.0,0.0,0.015945485,18839.232,65.33311,8.564112,0.012942717,0,apo25m,0.0075682253,-0.19432999999999723,12.145179848360478,0.7464688483604682,False
78921678,3644193718167262336,212.73824,-4.8399796,8.498002,0.10800568,-49.473354,-6.496048,17.459827,17.449842,17.522385,45.206158,2,DA,0.99817395,0.0,0.0,0.0,0.0,13644.8545,68.360954,8.350821,0.016940985,0,lco25m,0.009831026,-0.07254299999999958,12.106411144822351,0.30580304482234943,False
73633013,3030672685206800768,114.55009,-13.411017,3.2902036,0.35559735,-7.91627,-26.072392,19.48175,19.540289,19.388132,10.6756,2,DA,0.95071083,0.0,0.005991103,0.0,0.025569422,10636.408,77.89861,8.671878,0.0718843,0,apo25m,0.058677785,0.15215700000000254,12.067863866073036,-0.4742542339269722,False
68669194,2209174496655731968,352.40826,64.453156,3.9246993,0.24064025,9.682321,-3.429016,19.519676,19.6356,19.696074,5.414933,1,DA,0.67752504,0.0,0.007991103,0.044615608,0.04224925,14661.381,8.822829,8.364743,0.10704861,1,apo25m,0.042754695,-0.06047399999999925,12.488707939351071,0.648272139351068,False
112060194,6665890157944994688,301.11462,-51.30878,3.1199067,0.5155212,-0.86418873,-8.210168,19.800856,19.705608,19.769562,7.266243,2,DA/DAH,0.4018709,0.011766922,0.023605343,0.02010046,0.24487993,,,,,0,lco25m,0.022025468,-0.06395399999999896,12.271564033744424,0.4426122337444198,False
68688542,2211178773214395776,359.7266,68.78616,4.378788,0.20796464,26.596716,16.680185,19.333586,19.431145,19.261492,5.8863497,2,DA,0.54469675,0.009643172,0.014081832,0.016912851,0.011682034,10563.749,327.87723,8.600006,0.15013221,1,apo25m,0.0252458,0.16965300000000028,12.540355596183357,-0.059499303816645366,False
69753483,2426179712151081728,9.756139,-9.406004,3.679372,0.39667323,85.2148,13.861263,19.600563,19.669085,19.566727,6.7021117,3,DA,0.793211,0.0012707182,0.00091666664,0.0102555435,0.019682033,10316.138,86.840225,8.817045,0.12896127,1,apo25m,0.014234607,0.10235799999999884,12.429431495257727,0.05165009525773101,False
57926694,922436968046168320,119.18753,41.730556,2.3530192,0.36522973,11.15693,-8.119842,19.723383,19.765362,20.092165,6.3107047,2,DA,0.7355727,0.0019731435,0.003177215,0.008,0.036990635,16648.969,12.564139,8.055335,0.08636698,1,apo25m,0.028863518,-0.32680300000000173,11.581510354579706,0.6199602545797109,False
93471407,4909119551717563520,20.760412,-58.96194,21.989365,0.03691037,-98.37839,-139.50479,16.365023,16.449389,16.204271,28.743895,2,DC/DA,0.36511877,0.003430603,0.024041912,0.022745552,0.059031785,,,,,0,lco25m,0.0060170493,0.2451180000000015,13.07608644080626,0.22719704080625291,False
92620516,4776959486713935616,72.915825,-54.32786,5.576078,0.2338646,2.5020003,14.008503,19.560549,19.672571,19.50874,7.687777,2,DA,0.86636275,0.0,0.0039822063,0.0019113753,0.041836265,10348.372,107.375984,8.66576,0.07173933,1,lco25m,0.0059303083,0.16383100000000184,13.292193200927404,0.7115509009273975,False
56220653,653600740059983104,122.53201,13.613429,6.5682735,0.10110632,-4.131885,-7.341526,17.51121,17.563679,17.382353,24.271397,2,DA,0.99817395,0.0,0.0,0.0,0.0,10201.857,45.46319,8.623204,0.07086132,0,apo25m,0.007979009,0.1813260000000021,11.598466141589048,-1.0399096584109593,False
92233548,4721812110929376768,44.330563,-61.67609,9.684882,0.089670256,17.531525,-53.31778,18.013437,17.965322,18.12292,22.462452,4,DA:,0.40407264,0.0053016837,0.15701881,0.017739939,0.11488783,6752.716,133.8257,9.49,0.004029308,0,lco25m,0.004659819,-0.15759800000000013,12.943908668352025,1.423982068352025,True
73486611,3016372986729503616,82.73213,-7.715686,2.8056352,0.43380964,14.677812,-21.893507,19.809143,19.946798,19.60757,7.1648917,3,DA,0.66196233,0.008,0.005991103,0.004058132,0.114985004,10213.472,127.60145,8.567154,0.13970295,1,apo25m,0.038908456,0.3392280000000021,12.049299008218572,-1.1101533917814361,False
