targetid,gaia,class,sample,C,C_v,CI,CI_v,CII,CII_v,HeI,HeI_v,snr_med,status,DESIID_x,G,bp_rp,MG,Teff,Log_g,swan,swanQ,DESIID_y,RA(deg),DEC(deg),Name,gaia_true,in_sdssv,id_rounded
39627836482391993,3663639779599974912,DAH,DA massive,7.36,110.0,9.17,130.0,0.64,70.0,0.19,-120,4.5,ok,39627836482391993,19.385,-0.18,12.404,,,DAH,False,39627836482391993,204.9221115434118,1.9634577995193625,WDJ133941.33+015749.19,3663639779599974784,True,True
39627957471283736,4430538625895770112,DA,DA massive,7.17,60.0,2.8,30.0,0.45,280.0,2.4,110,3.8,ok,39627957471283736,19.648,0.051,12.104,13746.0,8.771,DA,False,39627957471283736,234.9815980789944,6.97041950474217,WDJ153955.62+065813.97,4430538625895769984,False,True
39633095523042965,1524417247791633408,DB,non-DA,7.16,30.0,5.96,-90.0,0.82,120.0,8.34,40,17.9,ok,39633095523042965,17.669,-0.268,10.47,,,DB,False,39633095523042965,196.31876885384457,40.944764195527,WDJ130516.52+405640.79,1524417247791633536,False,True
39628272920696428,3977782896038590464,DB,non-DA,7.13,-90.0,6.63,-140.0,1.49,110.0,23.25,50,16.1,ok,39628272920696428,18.004,-0.264,10.813,,,DB,False,39628272920696428,173.05653750922482,20.42169009931367,WDJ113213.56+202518.61,3977782896038590592,False,True
39627881726346919,2560001517180961792,DAH:,DA massive,7.12,130.0,9.61,140.0,1.89,40.0,1.34,-60,2.9,ok,39627881726346919,19.752,0.104,13.227,,,DQ,False,39627881726346919,23.075801071201237,3.9217247978006697,WDJ013218.24+035518.70,2560001517180962048,False,True
39633511430227286,1653650816567801856,DAH:,DA massive,7.02,30.0,7.8,40.0,2.11,10.0,0.74,260,3.1,ok,39633511430227286,19.818,-0.326,11.25,,,DC,False,39633511430227286,253.6814212137807,72.75826975587138,WDJ165443.62+724530.02,1653650816567801728,True,True
39628003541516607,600139357980010752,DC,non-DA,6.9,170.0,4.12,120.0,10.75,340.0,4.35,400,12.7,ok,39628003541516607,18.194,0.434,13.807,,,DC,False,39628003541516607,125.15242955636604,8.929752628752135,WDJ082036.54+085549.25,600139357980010752,False,False
39627582915741685,3591801366333031424,DA,DA massive,6.63,20.0,2.11,-10.0,10.27,60.0,0.81,-200,3.3,ok,39627582915741685,19.806,0.408,12.532,10142.0,8.538,DA,False,39627582915741685,175.3126390513358,-8.578052548370364,WDJ114115.06-083441.01,3591801366333031424,False,False
39627826361532565,2691157135362946560,DAE,DA massive,6.36,350.0,3.07,400.0,9.2,260.0,1.6,390,4.3,ok,39627826361532565,19.458,-0.449,11.354,,,DQ,True,39627826361532565,321.5018052877084,1.4165201658889102,WDJ212600.43+012459.84,2691157135362946560,False,False
39627857692987062,2511820329241382912,DA,DA massive,6.31,110.0,3.96,150.0,10.51,-40.0,0.93,400,4.9,ok,39627857692987062,19.435,-0.284,11.408,19425.0,8.299,DA,False,39627857692987062,29.119175411572076,2.9118878106704553,WDJ015628.61+025443.02,2511820329241383168,True,True
39633448087847999,1059498612934930176,DAH:,DA massive,6.15,-10.0,9.75,0.0,2.27,-150.0,0.56,400,7.6,ok,39633448087847999,18.689,-0.271,12.505,,,DH,False,39633448087847999,159.23100409399896,65.38109576090216,WDJ103655.39+652252.01,1059498612934930176,False,False
39628207569240524,2784278421546104320,DA,DA massive,6.09,180.0,2.01,180.0,10.69,170.0,1.41,400,4.3,ok,39628207569240524,19.474,-0.048,10.778,10479.0,8.587,DA,False,39628207569240524,18.63142473689038,17.81341445738783,WDJ011431.56+174848.61,2784278421546104448,False,True
39632990380230374,753406498591602176,DB,non-DA,5.35,180.0,15.6,180.0,0.22,310.0,1.35,370,7.0,ok,39632990380230374,19.759,-0.044,13.535,,,DQ,True,39632990380230374,154.40945556171488,35.512579369625094,WDJ101738.35+353045.63,753406498591602176,False,False
39627657159116564,6908398309423020032,DB,non-DA,4.58,390.0,0.84,-150.0,21.56,370.0,9.1,-30,11.0,ok,39627657159116564,18.232,-0.006,11.728,,,DB,False,39627657159116564,309.5884132825566,-5.570282137221756,WDJ203821.25-053413.26,6908398309423020544,True,True
39627651148684776,6908225995335507968,DA,DA massive,4.45,240.0,1.96,-170.0,9.63,300.0,0.87,-200,3.2,ok,39627651148684776,19.873,0.063,13.065,10136.0,8.66,DA,False,39627651148684776,310.02237463724015,-5.652949892384791,WDJ204005.36-053910.60,6908225995335507840,False,True
39633450461825458,1067868335963881216,DAH,DA massive,4.32,190.0,9.32,170.0,-0.29,360.0,1.43,-30,4.3,ok,39633450461825458,19.441,-0.215,12.825,,,DAQ,True,39633450461825458,139.34841670825173,65.68517045009395,WDJ091723.70+654107.17,1067868335963881216,False,False
39628175759640066,3744597817185314816,DB,non-DA,4.05,-160.0,9.42,-160.0,2.35,400.0,14.21,60,43.5,ok,39628175759640066,18.138,-0.24,10.776,,,DB,False,39628175759640066,199.0772947854086,16.225470816469077,WDJ131618.54+161332.46,3744597817185315072,False,True
39633158504714509,1358510632606075904,DA,DA massive,3.75,20.0,9.66,0.0,0.89,120.0,-0.31,-20,15.1,ok,39633158504714509,17.504,-0.078,12.201,12840.0,8.66,DA,False,39633158504714509,256.18484312791963,44.461199222364336,WDJ170444.38+442739.74,1358510632606075776,True,True
39627591455347483,2618519896833149952,DA,DA massive,3.28,-120.0,11.19,-150.0,0.77,-70.0,5.76,380,3.9,ok,39627591455347483,19.417,0.056,12.617,13257.0,8.757,DA,False,39627591455347483,329.4141072973549,-8.247847739910876,WDJ215739.39-081452.09,2618519896833150080,False,True
39633354923970347,990004152300393088,DB,non-DA,3.16,-190.0,10.07,-190.0,-0.51,400.0,28.01,20,21.5,ok,39633354923970347,19.58,-0.121,11.112,,,DB,False,39633354923970347,107.77527629276008,57.41913212774166,WDJ071106.06+572509.10,990004152300393088,False,False
39627688947747124,5182490676759498752,DB,non-DA,2.81,-150.0,14.47,-160.0,0.23,400.0,16.83,10,12.2,ok,39627688947747124,19.096,-0.178,11.003,,,DBZ,False,39627688947747124,49.186311977819614,-3.9230419741485054,WDJ031644.69-035523.07,5182490676759499264,False,True
39627914077014452,3860641408251951104,DB,non-DA,2.35,-20.0,11.0,-120.0,1.24,400.0,34.88,40,15.6,ok,39627914077014452,17.637,-0.213,10.691,,,DB,False,39627914077014452,155.80259853035196,5.177566374067217,WDJ102312.62+051039.54,3860641408251950848,True,True
39627726679705080,3838387602143231488,DA,DA massive,2.33,290.0,9.3,320.0,-0.12,180.0,1.37,90,3.5,ok,39627726679705080,19.593,-0.17,11.933,15913.0,8.118,DA,False,39627726679705080,140.062097265068,-2.4578863729793308,WDJ092014.92-022728.40,3838387602143231488,False,False
39627799828365384,3891138115594683392,DA,DA massive,2.24,400.0,0.68,250.0,11.1,390.0,1.97,400,2.4,ok,39627799828365384,19.953,0.023,12.665,10769.0,8.664,DA,False,39627799828365384,180.00188767540138,0.3808999264918188,WDJ120000.47+002251.37,3891138115594683648,False,True
39627673378490740,3635733010550516736,DA,DA massive,2.24,380.0,0.21,20.0,9.07,390.0,0.67,400,1.7,ok,39627673378490740,20.466,-0.037,12.275,80000.0,7.0,DQ,False,39627673378490740,199.1739246196808,-4.65462234587205,WDJ131641.77-043916.70,3635733010550516480,False,True
