sdss_id,gaia,nvis,snr_max,C,C_v,CI,CI_v,CII,CII_v,HeI,HeI_v,C_vis,status,classification,teff,logg,g_mag,bp_rp,MG,is_control,vis_pos,vis_n
80861623,4013525927408600576,1,8.0,1.45,0,-0.07,10,8.55,-20,1.75,400,1.5,ok,DA,12907.68,7.945047,19.80115,-0.11614700000000155,12.097115670098708,False,0,1
57489914,869439575579515776,1,6.3,1.44,340,0.93,310,9.56,400,1.75,-200,1.4,ok,DA,10197.58,8.521117,19.59167,0.32069600000000165,12.946288060593638,False,0,1
85976861,4182743786288993280,2,8.7,1.4,-160,7.05,-200,0.15,10,5.8,90,0.5/-0.0,ok,DA,10939.765,8.500001,18.091589,0.1832899999999995,12.21497324691903,False,0,2
64867327,1941569519830964992,2,19.8,1.31,400,1.61,-200,7.08,330,-0.21,-200,0.1/0.7,ok,DA,14738.869,8.409778,16.354149,-0.0920240000000021,12.09325172395134,False,0,2
71751130,2812939180693432960,2,4.5,1.28,-20,7.27,-10,-1.34,400,1.02,120,0.1/0.9,ok,DA,12045.763,8.533014,19.263676,-0.014859999999998763,11.129709355799784,False,0,2
78878095,3637078430530540160,2,6.0,1.13,60,7.0,80,-1.0,20,1.98,-30,-0.2/1.6,ok,DA,11419.399,8.540635,19.585001,0.06377999999999773,12.038795686589914,False,0,2
55884074,596948884472297856,3,7.6,0.86,-200,8.2,-200,-0.83,70,0.55,310,0.8/-0.1/-0.7,ok,DA,16478.684,7.9769464,19.816088,-0.12612899999999883,12.130618622924452,False,0,3
112578667,6710376398403629568,2,5.4,0.78,-10,-0.36,40,8.21,-70,0.34,240,3.8/-0.5,ok,DA,11055.448,8.7035,18.981092,0.08215099999999964,12.459076009015659,False,1,2
110304745,6434023874568253824,1,9.2,0.71,400,0.21,400,11.19,190,1.53,-200,0.7,ok,DA,12964.501,8.4249325,18.206396,-0.025254000000000332,12.166339857861018,False,0,1
110552719,6460460227204795648,2,6.6,0.64,400,7.2,130,-0.01,400,2.93,400,0.9/0.6,ok,DA,,,19.11122,0.31336800000000054,13.494062132464684,False,0,2
63929623,1830487715505789312,2,3.2,0.58,-120,0.56,-80,8.67,-200,0.66,-180,0.8/1.2,ok,DA,11180.923,8.64712,19.81262,-8.79999999980896e-05,12.45502283956215,False,0,2
97620919,5404037012717299072,1,8.0,0.53,400,0.58,-200,7.24,400,1.43,-100,0.5,ok,DA,,,19.600983,-0.12306199999999734,11.975183024818552,False,0,1
61903177,1545497424020389248,10,18.9,0.39,180,-1.29,130,7.45,210,-0.35,-200,1.9/0.5/-0.0/0.5/-0.8/1.6/-1.3/-3.3/-1.1/-1.3,ok,DA,9264.63,9.49,18.681662,0.18657799999999725,13.004118322186525,False,0,10
