sdss_id,gaia,nvis,snr_max,C,C_v,CI,CI_v,CII,CII_v,HeI,HeI_v,C_vis,status
117213280,387231159032032128,2,8.2,0.42,360,0.67,340,0.72,400,2.09,-90,0.1/1.2,ok
115182794,98344752394980992,2,3.5,1.74,-190,3.56,-200,-0.57,-190,-0.47,280,0.6/1.0,ok
57570981,878077957401912704,5,8.1,2.59,400,-0.08,400,4.88,270,2.47,40,-0.4/0.3/3.6/0.2/-0.3,ok
63233124,1768717560272976512,2,4.0,0.64,400,1.17,-130,-0.06,400,2.08,-80,1.4/0.2,ok
57595422,880889722167506304,1,4.1,-0.49,-40,0.36,-200,-0.09,30,1.35,390,-0.5,ok
70340759,2543356006353057792,9,36.1,0.07,250,-0.79,220,0.16,400,0.54,-60,0.2/-0.7/-1.3/-1.0/-1.8/-0.2/-0.5/0.5/0.2,ok
89939312,4522874547241837696,2,3.6,1.84,400,0.43,-200,3.11,400,0.48,320,1.5/-1.8,ok
54773242,457455596611730304,7,5.1,4.04,310,2.04,310,1.34,320,1.84,330,0.1/1.6/-1.0/0.2/0.8/1.1/0.9,ok
89769201,4510463809743828224,2,6.1,-0.07,90,0.06,210,0.52,-50,2.77,-70,-0.9/4.1,ok
79882311,3821711446723880320,6,11.4,1.74,90,1.24,60,6.14,400,1.38,-10,2.3/0.7/0.4/-0.6/-1.1/0.2,ok
69916129,2459524193264957312,1,15.6,1.04,400,-0.49,400,0.89,400,0.02,-200,1.0,ok
72382076,2905067333001582720,2,23.0,1.16,260,3.38,250,-2.21,400,6.62,80,-0.4/2.3,ok
63022623,1744610016215277440,1,3.5,1.74,-140,2.51,-120,-2.35,-180,2.73,-200,1.7,ok
67227324,2085755037992107008,2,3.5,0.28,380,1.66,400,1.40,300,0.51,-200,0.4/-1.2,ok
96892828,5339896903133929472,2,4.5,0.12,400,0.44,20,5.11,400,2.80,60,-0.2/0.3,ok
110807820,6490431982168845696,3,10.4,0.84,400,0.90,-200,2.21,380,0.91,370,1.5/0.1/-0.4,ok
71978090,2853188560471008768,10,9.8,-0.65,-200,-0.13,-170,-2.44,400,0.86,10,-1.4/0.7/0.3/1.3/-1.7/-3.6/0.4/-2.0/0.3/-3.7,ok
93203639,4866470487813410432,1,4.2,2.62,310,3.03,270,0.64,400,1.83,10,2.6,ok
65807126,2007528290381114752,2,3.5,2.29,-200,2.70,-200,5.63,180,2.60,300,1.3/0.9,ok
78723151,3609293256300808960,12,4.6,1.84,-200,1.37,-200,1.86,-200,3.26,-200,0.1/0.5/-2.7/-2.1/0.2/-1.2/3.8/-1.2/2.4/-0.9/1.4/0.6,ok
64140338,1852465883493808640,1,3.6,0.74,210,1.63,230,-1.01,180,0.45,-200,0.7,ok
89066267,4438164190006954880,1,11.7,5.78,100,5.47,70,2.66,340,3.21,110,5.8,ok
87710753,4296852584792872832,1,8.5,-1.01,-200,-0.11,400,1.51,-100,2.88,350,-1.0,ok
78719363,3608368292144373248,12,6.1,2.05,-70,3.36,-120,-0.21,60,3.22,230,0.7/-2.4/0.1/-0.0/5.1/-0.8/3.0/0.1/1.9/0.2/-1.5/1.5,ok
74941803,3122807915617879936,1,3.7,-0.50,220,-1.07,400,0.98,190,1.75,400,-0.5,ok
72162325,2882573210586068096,1,7.5,-0.03,-10,0.97,50,0.90,-200,3.55,-150,-0.0,ok
89398226,4475575927843128832,1,7.6,1.46,400,2.69,400,0.12,400,0.64,90,1.5,ok
68691421,2211473987786416384,2,7.0,1.22,400,0.85,400,1.56,400,2.99,300,2.3/-0.0,ok
69632895,2395134112282699520,1,4.1,0.85,40,-0.09,100,1.73,20,0.55,200,0.9,ok
63929623,1830487715505789312,2,3.2,0.58,-120,0.56,-80,8.67,-200,0.66,-180,0.8/1.2,ok
101577121,5759319456220982528,2,3.5,5.98,-20,2.51,-30,1.58,40,2.27,-120,0.3/3.1,ok
70430870,2560062226543391488,3,5.6,1.46,-180,0.71,150,1.65,-150,6.06,70,0.9/1.0/1.3,ok
56450217,681458791293837056,1,4.1,1.64,100,1.38,100,4.65,400,0.56,340,1.6,ok
74552481,3094901550293494656,2,3.3,0.72,190,0.55,150,0.64,290,-0.72,-100,0.2/0.3,ok
92777420,4799632966964288896,1,3.2,-1.07,10,0.47,-10,-1.75,40,2.08,-200,-1.1,ok
94916247,5184424653288410624,3,7.9,4.56,350,3.06,320,4.89,380,1.35,250,9.0/-2.1/1.2,ok
111580838,6622937667485442048,1,3.9,0.73,-190,2.01,-160,0.41,190,0.09,190,0.7,ok
89557764,4490377622091361792,2,13.7,0.08,180,2.50,200,-0.50,-50,3.04,110,0.2/-0.7,ok
103978176,5893624908962263168,2,3.7,-0.31,400,0.38,400,-0.63,400,0.70,100,-0.1/-0.7,ok
63095973,1752361740696986496,1,5.5,0.29,-160,0.67,400,1.72,-200,7.47,10,0.3,ok
115974819,212205366205097856,3,3.5,0.17,350,1.01,230,-0.55,400,-0.68,100,-0.1/-1.1/1.2,ok
67995006,2161993563662501376,2,8.9,0.73,330,1.89,380,0.79,40,3.87,250,2.3/-0.2,ok
78084130,3483207035264120192,1,3.8,1.95,400,2.06,-20,0.90,310,3.18,-140,2.0,ok
80005965,3844028577830244608,3,25.6,0.69,-80,-0.95,-140,1.40,20,0.10,-200,0.4/-0.3/0.2,ok
78921678,3644193718167262336,2,23.2,1.15,-200,1.76,-200,-0.15,-200,0.64,340,1.4/0.9,ok
73633013,3030672685206800768,2,6.4,1.69,-200,1.48,-30,1.17,-200,2.42,260,0.4/1.9,ok
68669194,2209174496655731968,1,3.8,-0.13,-200,0.11,200,0.76,-200,-0.84,400,-0.1,ok
112060194,6665890157944994688,2,3.7,-0.75,400,0.87,-200,-0.33,400,5.47,200,1.8/-1.8,ok
68688542,2211178773214395776,2,4.1,-0.99,400,0.24,400,-1.06,-200,0.32,300,-2.5/-0.3,ok
69753483,2426179712151081728,3,3.4,2.65,-60,3.11,-110,1.30,40,0.80,240,0.6/0.8/0.4,ok
57926694,922436968046168320,2,4.2,1.23,370,0.85,360,3.53,380,1.50,-200,0.8/2.1,ok
93471407,4909119551717563520,2,20.0,-0.57,130,1.34,-110,-0.49,310,-0.24,400,-2.8/1.3,ok
92620516,4776959486713935616,2,3.8,0.76,140,0.82,-30,-0.18,400,2.49,40,1.4/-0.6,ok
56220653,653600740059983104,2,12.7,0.94,240,2.55,-150,1.10,330,0.62,200,-1.0/2.8,ok
92233548,4721812110929376768,4,11.5,10.63,180,8.86,180,1.96,400,1.12,-170,8.3/23.5/12.2/16.3,ok
73486611,3016372986729503616,3,3.4,1.56,-200,1.06,-200,2.05,-200,2.08,400,0.3/2.3/1.3,ok
117229524,389240069855119104,2,11.0,0.68,120,0.84,110,-0.70,130,0.59,-200,2.5/-0.8,ok
76039952,3241377183676037120,3,24.9,2.18,400,2.85,370,0.65,400,2.37,-200,1.5/0.8/-0.1,ok
57760250,897123526019047424,3,4.8,-0.10,130,1.77,140,-1.47,110,0.41,160,1.0/-3.2/-1.9,ok
79081048,3671147588591832960,2,10.0,-0.19,250,-0.92,290,0.06,210,0.94,220,-0.0/-1.5,ok
92833916,4807134591202642304,2,4.1,-1.07,-200,-1.29,-200,0.70,320,-0.47,400,-0.9/-3.3,ok
89907764,4519630403831822720,4,8.3,-0.36,400,0.79,400,-0.81,320,0.34,180,-1.0/-0.4/0.4/0.3,ok
87797681,4303394468516841216,1,9.4,0.84,-40,3.02,-20,1.94,400,0.20,70,0.8,ok
64037052,1839592285956826240,2,3.9,-1.32,130,0.36,170,-0.71,50,3.37,-140,-2.0/-0.0,ok
57413663,859137082906676224,5,11.0,0.90,400,0.91,400,1.37,400,0.77,-70,0.3/1.2/-0.2/1.9/1.6,ok
92221602,4719875866657386496,2,5.1,-0.18,340,-0.76,-180,0.25,340,0.44,120,-0.5/-0.4,ok
77733969,3443661244145061120,2,4.7,-0.37,-50,0.57,-110,-0.65,30,1.60,300,-0.8/0.3,ok
61891810,1543370904111505408,1,12.7,3.12,220,1.40,200,2.80,240,2.31,170,3.1,ok
86699823,4245573076153938432,2,5.2,4.39,80,3.09,40,0.73,230,2.40,-90,1.2/1.7,ok
63748381,1821713711499447040,3,7.6,1.09,-140,3.00,-190,1.46,400,9.54,10,0.9/1.1/1.5,ok
55923307,602527596018121600,1,9.5,1.48,400,2.44,400,2.32,-140,0.29,-200,1.5,ok
94807686,5159828299002029184,2,4.6,0.23,20,-1.83,80,1.42,-60,1.21,10,-1.2/0.4,ok
100572963,5672721714258270848,1,11.9,1.12,170,0.42,180,0.61,120,0.16,370,1.1,ok
67616160,2121486455770725888,2,6.3,1.28,-50,0.68,-90,1.41,400,2.21,400,0.8/-0.3,ok
114355931,6863204322778109184,2,10.7,0.91,40,1.30,-60,0.78,90,1.15,400,-0.0/1.2,ok
93901799,4984982349342542976,1,4.2,0.01,-140,1.45,-50,0.12,-200,0.90,-190,0.0,ok
109723474,6355136118594792704,1,5.4,0.71,350,1.67,-150,0.91,400,2.34,-50,0.7,ok
79009917,3658885937997488384,1,4.2,1.67,240,3.26,280,0.87,-200,2.14,400,1.7,ok
76110597,3254119801887062272,4,8.6,0.88,-140,1.74,-160,-0.64,-50,1.01,230,-0.2/0.6/0.0/-0.3,ok
67566935,2116313043108558336,2,3.7,1.21,-20,1.03,50,2.99,-200,1.35,-200,1.6/-0.1,ok
80562569,3953326257039572864,3,24.0,-0.42,100,1.15,110,-1.06,-110,0.21,400,0.4/-1.3/-0.9,ok
73346267,2995039574931596544,2,4.6,0.53,200,1.41,160,0.26,400,1.52,100,-1.3/1.7,ok
89230317,4458251064854338176,1,16.5,-2.58,110,1.39,140,-0.40,-200,1.82,210,-2.6,ok
60837984,1364295708739905536,2,6.5,1.94,-50,1.90,-60,1.37,-10,0.89,-90,-0.7/2.7,ok
75056986,3132137821539249280,3,5.7,3.63,320,1.13,340,1.96,310,0.77,400,0.9/5.6/0.7,ok
57336261,845486680407936512,13,13.0,-2.81,-160,-0.68,-150,-1.77,190,1.66,-200,-0.3/-2.1/0.4/-0.4/0.9/-0.9/-1.0/0.8/-3.1/2.6/0.3/-1.2/-3.0,ok
71386381,2741567445689272192,3,30.7,0.91,400,2.07,400,0.94,400,1.10,400,1.4/1.1/-0.6,ok
67561700,2115674570450303232,2,6.6,5.73,-110,4.64,-100,0.50,170,0.90,290,-1.5/2.4,ok
68442969,2188861569090473728,2,3.6,0.75,-170,0.67,-140,1.11,-200,2.63,-110,1.8/0.7,ok
86414895,4217965541771100032,1,3.9,-0.03,140,0.39,140,-0.34,-110,3.42,-200,-0.0,ok
78905071,3641289353906407424,2,4.3,0.12,-180,2.21,-190,1.77,140,-0.23,290,0.6/-0.1,ok
57530971,873327143753260800,8,10.3,0.95,90,1.58,160,0.66,400,4.14,140,-0.3/0.1/0.0/-2.5/2.7/1.6/-0.2/-1.4,ok
66970133,2069323455191269760,2,9.9,-0.04,390,-0.15,400,0.20,310,3.11,180,-0.1/-0.2,ok
102110019,5808804626295782912,1,3.3,0.30,-200,-0.42,-200,1.77,310,-0.16,340,0.3,ok
56598154,705729170445219456,1,10.8,6.54,100,7.55,140,2.79,-10,2.22,350,6.5,ok
100638076,5682800765552982528,1,5.9,1.21,-180,1.52,-110,-1.80,-200,2.92,120,1.2,ok
76162815,3266293216672349696,4,10.6,0.22,60,1.18,-180,-0.20,130,0.78,290,-0.5/2.3/1.0/-2.1,ok
57815574,904496782275537792,1,9.3,4.72,-150,2.39,-160,0.05,400,0.79,400,4.7,ok
116346677,259848927320805504,6,5.1,0.84,50,0.65,90,1.72,0,1.29,400,1.1/1.9/-0.3/-0.4/0.8/0.3,ok
64784317,1930756918185499520,2,8.4,1.14,-100,1.86,-60,0.88,270,0.34,350,1.8/-1.6,ok
69058650,2264695818065605120,4,5.5,2.62,-200,3.46,-200,0.91,-200,1.07,-200,4.8/-0.3/0.7/4.1,ok
76058949,3244413313236785408,2,5.9,1.97,330,0.53,320,3.01,330,2.77,100,4.5/-2.1,ok
57176851,815904771035152128,1,6.0,1.22,350,1.69,-200,3.32,260,1.16,-40,1.2,ok
54778800,457817164137702784,2,31.6,-1.17,400,-0.05,250,-0.89,400,1.13,400,-0.0/-0.1,ok
76252702,3288740571187607296,2,12.9,-0.22,300,1.49,220,-0.19,400,1.48,-200,0.1/-0.5,ok
80729520,3987356721738829184,1,11.5,0.79,310,1.05,290,0.50,400,1.20,-200,0.8,ok
71982133,2853856372050204928,4,17.9,0.93,330,0.67,320,0.18,340,-1.85,-90,-1.5/-0.5/0.8/1.5,ok
57821810,905596740580370304,4,11.1,-1.67,260,-2.34,280,-0.31,210,0.39,400,-4.6/0.0/-1.8/0.6,ok
94875880,5174970395182279680,5,11.1,-1.46,220,0.24,-200,-0.17,400,7.77,400,-0.4/-0.5/1.6/-0.2/-0.5,ok
61607221,1489358524974176256,12,7.8,1.74,180,2.08,160,2.10,210,2.70,300,0.4/0.5/0.1/1.2/2.1/-1.8/1.8/1.3/-1.4/2.5/-0.1/0.7,ok
76354049,3314805147159216384,1,10.0,-1.53,-160,-0.32,400,0.54,-70,-0.39,350,-1.5,ok
76823202,3356610026651632768,2,7.2,-0.30,-200,0.42,330,0.47,-200,1.29,10,2.4/-1.1,ok
85448227,4148284301615724800,1,5.6,-2.24,150,-0.95,-200,-1.97,400,1.84,400,-2.2,ok
68452645,2189590171648751616,2,4.0,4.48,180,2.09,120,0.50,230,0.14,60,1.7/-0.1,ok
68982459,2253469701266386944,2,5.4,-0.45,70,-0.54,150,0.07,-60,3.08,-180,0.4/-1.1,ok
92974467,4827382819382717696,1,6.0,0.17,100,0.01,100,0.22,100,1.98,-150,0.2,ok
89990877,4528555899928993792,2,5.4,0.50,-110,1.06,-100,0.07,-120,-0.09,400,1.2/-0.5,ok
64060873,1842703457186999808,2,4.3,1.44,-30,0.37,40,2.66,-120,0.36,260,1.5/-0.5,ok
67549612,2114333338063831808,2,6.7,0.37,390,0.61,-200,1.29,270,-0.84,-200,0.5/1.8,ok
57804707,902650088073581440,3,9.9,0.56,400,-0.28,-200,2.32,400,0.91,-160,0.1/0.2/-1.0,ok
63477907,1802007473827851136,1,9.0,-0.13,400,0.43,-40,1.94,400,1.52,-80,-0.1,ok
116882536,342404482284029824,2,4.6,0.34,110,0.38,400,0.68,100,5.85,130,-0.3/1.9,ok
57508526,871212160122192000,2,4.3,0.77,-20,2.02,-70,0.99,150,0.72,-160,0.4/0.4,ok
65099524,1965750215771931648,2,7.4,0.70,400,1.01,400,0.45,130,1.69,-200,0.9/-0.0,ok
111845269,6649514787674364032,1,4.3,2.27,140,3.78,170,3.67,-20,0.69,-10,2.3,ok
94821408,5163022345920633216,2,5.6,1.25,-150,3.95,-180,-0.06,400,1.54,400,0.3/0.5,ok
93685633,4946447108191447424,1,18.8,0.48,-200,1.83,-140,-0.72,300,8.69,-170,0.5,ok
93014837,4834264971897883264,1,9.0,0.14,-200,0.69,-200,0.97,400,3.83,-130,0.1,ok
103250915,5867125373034512128,2,3.7,0.19,120,0.86,120,0.92,400,0.66,-200,1.8/-0.1,ok
64656111,1908964185404897152,4,24.3,0.04,400,1.30,400,0.04,-200,-1.17,-190,0.7/-0.1/-3.4/0.3,ok
111780656,6644039838243553280,1,4.0,1.10,400,0.77,340,1.08,-200,1.61,-200,1.1,ok
111703726,6637292070965093760,1,3.8,0.48,400,0.92,400,0.53,400,-0.60,-200,0.5,ok
75759617,3204890130825954432,2,3.9,0.89,400,3.07,350,-0.00,-200,4.15,-140,0.3/1.0,ok
94243510,5049158708454941952,1,9.5,-1.46,400,-0.38,-50,-1.31,400,3.26,330,-1.5,ok
68768536,2221612172189504000,1,4.6,-0.17,-200,0.33,40,-0.80,400,1.07,-40,-0.2,ok
59883867,1226887197995979392,2,3.6,-1.00,400,-0.15,400,0.50,-10,0.34,240,1.7/-2.4,ok
73637714,3030921106113856256,2,5.4,2.82,-110,3.49,-120,-0.23,400,1.50,260,1.6/2.5,ok
89878420,4517081774554247168,1,6.5,0.62,90,-0.04,20,1.28,250,2.17,400,0.6,ok
109560187,6326420585727565056,4,5.3,1.45,280,3.34,240,0.42,370,1.94,180,1.5/1.6/0.2/0.2,ok
78961758,3650939320787590272,2,3.7,0.57,390,0.59,340,-0.11,400,2.25,330,-1.1/3.1,ok
70081904,2493228721486722688,9,14.4,0.11,-140,1.08,340,0.39,-200,1.32,-200,-0.3/1.8/0.2/1.5/-0.6/-8.7/0.7/-2.6/-1.1,ok
63246705,1770731762495846016,1,6.8,1.29,400,0.68,170,0.52,400,1.26,180,1.3,ok
67572641,2116970585422514304,2,8.4,0.74,-30,2.30,-40,0.37,400,0.73,-60,0.8/-1.2,ok
75941445,3229485690543487104,4,3.4,-0.32,60,0.34,160,-0.30,-80,4.03,-200,-0.5/-0.6/2.4/-0.1,ok
109540531,6322597854380873728,3,4.9,1.74,-130,-0.87,-150,3.23,-120,2.09,400,0.3/-0.0/0.2,ok
79672444,3780111080689647488,3,40.3,0.44,400,0.82,-70,0.57,400,-0.07,400,3.1/0.6/0.6,ok
55028193,482964262072764160,1,4.1,1.05,0,4.45,40,-0.00,-60,3.01,400,1.0,ok
90287794,4560149194014949248,2,8.4,-0.41,-200,0.14,-200,-0.69,400,2.73,330,-1.8/-0.0,ok
86600988,4236507190464864768,1,7.5,1.25,70,1.22,120,0.90,-60,0.58,-200,1.3,ok
56116512,636857510132997760,1,6.9,2.07,280,2.25,290,0.94,-200,0.34,240,2.1,ok
76163048,3266337781252698880,2,22.6,-0.22,400,-0.03,-200,0.51,400,10.27,-200,-0.4/-0.5,ok
74949618,3123622237119535488,1,4.2,-0.61,-20,0.08,-200,1.50,110,0.31,160,-0.6,ok
116230202,247650563067277952,1,3.5,0.00,-200,-0.40,-200,1.09,-200,-0.36,40,0.0,ok
69978104,2471972898274923392,1,3.9,1.72,-80,1.31,-70,0.75,400,-0.07,400,1.7,ok
114791443,6914768016506048640,1,3.9,1.46,400,0.71,400,2.20,-200,1.41,330,1.5,ok
56240973,655703483030305664,2,5.8,0.54,260,1.63,-200,2.24,270,-0.38,30,-0.3/1.1,ok
55975585,610493592121131392,1,5.8,1.50,290,2.12,380,1.96,210,0.32,50,1.5,ok
115094299,77983343236811264,3,6.5,1.05,-200,1.78,-200,-0.13,120,6.17,280,2.3/-0.2/0.7,ok
71010238,2677970108294971136,2,15.2,-0.29,400,-0.39,400,-0.41,400,1.40,-200,4.4/-0.5,ok
63106354,1753528597409345792,1,4.6,0.88,-20,2.63,-40,-0.02,200,0.99,-200,0.9,ok
66928325,2066605054431733376,4,18.8,0.54,400,0.15,330,1.69,400,2.49,400,-0.3/-0.3/1.7/1.1,ok
80734724,3988467919972872192,1,5.4,0.20,-80,0.66,360,0.82,-200,-0.82,-200,0.2,ok
65428274,1983649715315543296,2,4.8,-0.37,400,0.10,30,-0.03,350,1.06,220,-1.5/0.1,ok
73889776,3045362882107016064,5,9.2,-0.08,40,0.49,400,-0.56,70,3.87,20,-0.4/0.0/-0.9/-1.6/-0.5,ok
57473413,867811370656574080,1,7.2,1.69,110,1.67,-200,0.64,230,1.43,-80,1.7,ok
111975435,6658792569868878976,1,6.0,-1.38,-200,-1.58,-200,1.88,380,3.60,-50,-1.4,ok
79067601,3668753921713292032,2,3.9,1.05,-200,0.96,-200,0.81,-200,0.85,-180,-0.5/1.0,ok
99636013,5598199152593121920,1,9.7,0.42,400,0.58,-200,0.94,400,0.62,-200,0.4,ok
110534713,6458107371105131008,2,3.4,1.52,70,2.20,120,2.95,-40,-0.02,-200,6.4/-0.0,ok
100047897,5617339008638285824,4,6.9,1.20,-110,0.80,-140,2.43,290,1.68,280,0.9/0.1/-0.0/0.2,ok
