sdss_id,gaia_dr3_source_id,tic_v8_id,ra,dec,g_mag,plx,e_plx,classification,p_da,p_db,p_dba,p_dah,teff,e_teff,logg,e_logg,snr,telescope,n_visits,min_mjd,max_mjd
55797302,582222433752256384,800110072,130.8084,4.52528,17.83545,6.591829,0.1059491,DA,0.998174,0,0,0,12119.51,45.57907,8.265362,0.01444171,36.38778,apo25m,1,59291,59291
92805159,4803234898335750656,734868089,89.7707,-43.99427,19.83449,2.946563,0.3431152,DA,0.925307,0,0.003372174,0.02384999,11922.96,137.1571,8.385521,0.06056573,11.50135,lco25m,2,60704,60708
93048807,4840033933314179328,685918139,65.13528,-42.10125,18.89612,2.832893,0.1577779,DA,0.9922431,0,0.001958137,0.003972742,12755.02,108.5343,8.258334,0.03157509,19.50273,lco25m,2,60651,60667
79202205,3690690583141563520,953196004,193.8976,2.187794,19.11674,3.712445,0.323129,DA,0.9210411,0.007908592,0.002,0.01586444,12148.21,147.6903,7.9268,0.07570569,10.28302,apo25m,1,60405,60405
67138421,2078821040937940736,1881227837,296.4969,43.81256,17.55772,5.139422,0.06792793,DA,0.986522,0,0,0,10690.38,43.94548,8.348051,0.02458374,23.41771,apo25m,2,60528,60529
88806933,4402583306535868544,46377509,235.5596,-3.69218,15.2934,18.82293,0.5183895,DA,1,0,0,0,10163.98,13.325,8.558029,0.02831175,33.21706,apo25m,1,60072,60072
86600598,4236466718991924736,1984612519,302.7986,0.2390259,19.01382,2.978806,0.244052,DA,0.8962952,0.007896171,0.009156445,0.005709291,11360.05,135.35,8.315721,0.0694184,10.01779,apo25m,1,59734,59734
67552786,2114660825026894592,1550724367,274.9961,43.31063,18.2569,5.339328,0.1063291,DA,0.9867694,0.002730353,0,0.002,11782.44,100.328,8.05803,0.03565194,17.39627,apo25m,2,60561,60562
56032807,620778355167599872,840142018,144.1158,17.26717,19.54187,1.78075,0.5371276,DA,0.8320042,0.01520071,0.01187441,0.03032654,13389.82,243.0876,7.931445,0.04418251,10.07435,apo25m,1,60647,60647
91800478,4678158643152859776,684977629,66.80854,-61.32795,18.35089,4.793252,0.1153823,DA,0.8882595,0.0002593548,0,0.01165887,11360.11,101.4413,8.009008,0.04058398,9.235209,lco25m,2,60341,60372
