sdss_id,gaia_dr3_source_id,tic_v8_id,ra,dec,g_mag,plx,e_plx,classification,p_da,p_db,p_dba,p_dah,teff,e_teff,logg,e_logg,snr,telescope,n_visits,min_mjd,max_mjd,TeffHe,loggHe
64032019,1838948899858886400,1950946419,312.6171,21.83229,18.47398,3.393779,0.146562,DB:,0.02793692,0.4225144,0.03292997,0.00753129,-9999,-9999,-9999,-9999,13.59964,apo25m,2,60532,60533,26775.73,8.368792
71082212,2688248141128025472,2024905179,323.9989,0.9149768,19.26097,0.7073701,0.4235225,DB/DAO,0.1241001,0.1545494,0.07888127,0.01052658,-9999,-9999,-9999,-9999,12.24803,apo25m,1,60605,60605,27340.63,6.86738
56579926,702830819140107904,801368178,129.8753,26.30135,18.9823,2.8134,0.256386,DBAZ:,0.06326127,0.1285083,0.1343048,0.006,-9999,-9999,-9999,-9999,11.26836,apo25m,1,60649,60649,20422.17,8.353227
55895771,598794376084628224,800319168,131.1021,10.8455,18.55833,2.806977,0.1848159,DBA/DB,0.0417011,0.3902339,0.3997658,0.001972742,-9999,-9999,-9999,-9999,11.51161,apo25m,2,60372,60373,19473.83,8.026149
74516760,3091346038926485760,804026309,125.0953,3.589679,19.0502,1.965178,0.366488,DB/DBA,0.1820191,0.2703007,0.2376807,0.00754557,-9999,-9999,-9999,-9999,12.04399,apo25m,2,60294,60295,28719.46,8.142822
70294655,2535251162546844800,610763204,18.89799,0.7620229,19.14733,2.752725,0.3246104,DB,0.002623331,0.8200464,0.09756405,0.0001643836,-9999,-9999,-9999,-9999,15.3767,apo25m,2,60235,60584,26469.78,8.577354
56457241,682319395364127232,801167993,123.4876,25.00869,19.28954,2.682399,0.3889026,DB,0.006901491,0.7836912,0.03815925,0.0004887218,-9999,-9999,-9999,-9999,21.5032,apo25m,2,59230,60676,28543.23,8.668259
99316788,5568874047902250240,737997915,97.71282,-43.57021,19.3986,1.358913,0.2348324,DB,0.01033117,0.7490376,0.09165441,0,-9999,-9999,-9999,-9999,12.69928,lco25m,1,60699,60699,31192.33,7.932398
109044668,6242400339551129728,1259518687,241.0067,-22.97911,17.69277,5.046439,0.1132262,DB,0.002026671,0.8204324,0.05115944,0,-9999,-9999,-9999,-9999,25.60353,lco25m,2,60171,60172,26153.28,8.244624
56358569,670543114730604544,801027822,121.2498,20.36268,19.51953,2.054988,0.3470938,DB,0.005543267,0.6941024,0.08343928,0,-9999,-9999,-9999,-9999,12.22362,apo25m,1,59229,59229,19160.67,8.182599
71366925,2737986022784222592,2025723553,336.4408,18.16833,18.72782,2.752007,0.2244782,DB,0.006323405,0.609107,0.03740995,0.002,-9999,-9999,-9999,-9999,8.593144,apo25m,2,60562,60563,19296.41,8.073132
93509251,4915960987942659712,631669837,22.08903,-53.49185,18.79561,2.477014,0.1664254,DB/DA,0.1983053,0.2191834,0.1885536,0.005713387,-9999,-9999,-9999,-9999,17.01215,lco25m,2,60259,60260,19385.42,7.994001
67657237,2126238128417500928,1882488319,291.4589,44.55335,18.92227,2.631436,0.1697357,DB,0.03480146,0.5042451,0.2893613,0,-9999,-9999,-9999,-9999,12.28664,apo25m,2,60473,60475,25782.3,8.366182
91788014,4676492264561465088,684939424,64.83031,-62.48658,18.31554,2.965873,0.1160397,DB,0.0002861248,0.8970495,0.04242993,0,-9999,-9999,-9999,-9999,21.83679,lco25m,2,60292,60293,19299.71,7.940111
56482128,685956889066350976,801227180,133.0101,21.51011,18.36545,2.726313,0.177664,DB,0.00455876,0.8807769,0.02356057,0.00154557,-9999,-9999,-9999,-9999,20.0029,apo25m,1,60646,60646,25552.04,8.055087
74572432,3096597718777838976,804212145,122.5855,5.997449,18.88913,2.148239,0.2488796,DB/DB_MS,0.08352167,0.2361735,0.09814573,0.01143524,-9999,-9999,-9999,-9999,19.58627,apo25m,3,59967,60271,28856.91,8.170743
70133917,2503633640538360576,649618983,40.26694,3.526094,18.88334,2.391955,0.2978108,DB,0.006220631,0.8749359,0.02253146,0,-9999,-9999,-9999,-9999,16.07142,apo25m,1,60614,60614,20043.96,7.998047
110710549,6478400576182424960,1989711028,314.955,-48.66861,19.4883,1.687308,0.2939569,DB,0.03037022,0.5649675,0.04440473,0.002229367,-9999,-9999,-9999,-9999,8.512324,lco25m,4,60547,60556,31469.32,8.294891
74351282,3077784318913144704,803739590,126.5273,1.023366,18.67361,1.936824,0.2131373,DB/DB_MS,0.01589617,0.2288862,0.0148291,0.009746218,-9999,-9999,-9999,-9999,11.83228,apo25m,1,60295,60295,30521.03,7.977033
70162853,2508932844203195136,630317396,25.20416,-1.050786,19.05862,2.566632,0.3220279,DB,7.402167E-06,0.9528536,0.01319282,0,-9999,-9999,-9999,-9999,42.01405,apo25m,11,59166,60675,20502.46,8.268934
79743297,3793981385514342528,902877551,175.164,-0.8304079,18.95435,1.980742,0.2424146,DB,0.0004826305,0.9304882,0.001427808,0,-9999,-9999,-9999,-9999,28.13512,apo25m,4,59645,60702,19663.16,7.786877
