angDist,source_id,ra,dec,OID,RAJ2000,DEJ2000,Name,V,Type,l_max,max,u_max,n_max,f_min,l_min,min,u_min,n_min,Epoch,u_Epoch,l_Period,Period,u_Period,Sp,n_OID
1.052469,1728880879608190592,232.6130531953146,87.81357573490257,5572124,232.62009,87.81346,Gaia DR3 1728880879608190592,0,WD,,15.53,,G,,,15.65,,G,,,,,,O,
2.584036,2393875961742886656,354.72036510138236,-18.437478691677217,8241663,354.72,-18.43685,Gaia DR3 2393875961742886656,0,WD,,15.47,,G,,,15.53,,G,,,,,,B,
0.167717,1950573244454108160,322.83306654108134,34.87963881280924,7969632,322.83304,34.87968,Gaia DR3 1950573244454108160,0,VAR,,17.4,,G,,,17.58,,G,,,,0.433287,,O,
1.059301,2667317799127474944,324.9929634774058,-7.690732842284948,394082,324.99283,-7.69047,CSS_J213958.2-074125,0,E,,16.71,,CV,Y,,0.13,,CV,,,,0.413306,,,B
2.318083,6613841171565998848,333.71976165384933,-31.726229139683273,8085770,333.71902,-31.7261,Gaia DR3 6613841171565998848,0,WD,,17.07,,G,,,17.19,,G,,,,0.30763,,B,
1.587721,2883364038621038208,90.93209104712824,-38.153109642531845,4419226,90.93206,-38.15355,Gaia DR3 2883364038621038208,0,WD,,18.13,,G,,,18.3,,G,,,,,,,
0.638492,1085903148454238208,112.839235964871,59.960250759510906,374271,112.83913,59.96042,CSS_J073121.3+595737,0,E,,16.15,,CV,Y,,0.14,,CV,,,,0.284367,,DO,B
0.267731,1672645949384629248,207.73443604248664,67.6437206102955,1540457,207.73463,67.64373,MGAB-V1227,0,R,,18.65,,g,,,18.88,,g,2458368.039,,,0.0743255,,,
0.039312,6828182472250027776,322.63783826823266,-22.30079880492373,7967345,322.63785,-22.3008,Gaia DR3 6828182472250027776,0,WD,,16.26,,G,,,16.36,,G,,,,,,O,
0.429855,1931610757683854720,346.4080516061257,43.0460900336764,2214831,346.4082,43.04614,MGAB-V3444,0,R,,18.82,,r,,,19.01,,r,2458367.264,,,0.57521905,,,
0.597002,437628614520520320,43.76358322937507,47.97594157753235,2851498,43.76351,47.9761,Gaia DR3 437628614520520320,0,WD,,17.93,,G,,,18.07,,G,,,,,,,
0.167912,2121629147470776704,274.60150550820737,46.955930149108795,1499551,274.60147,46.95597,BMAM-V446,0,R,,17.32,,g,,,17.47,,g,2458323.733,,,0.1555929,,,
0.160006,2191618770599895296,321.91133242847366,59.63225600038463,2110392,321.91132,59.6323,ZTF J212738.71+593756.2,0,DSCT,,17.104,,r,Y,,0.083,,r,2458249.9655,,,0.090405,,,
0.1267,1867851869401000960,318.98997359086417,36.71539419936267,2214825,318.98993,36.71539,MGAB-V3438,0,R,,18.25,,r,,,18.39,,r,2458367.345,,,0.28115317,,,
2.300739,551153263105246208,63.19263313053734,75.82852211400888,1546127,63.19521,75.82842,NGCA-V30,0,R:,,15.89,,g,,,15.95,,g,2458426.858,,,0.117899,,DA(e),
0.122517,2206722349507123456,336.41289189187154,65.84184975145004,2129617,336.41293,65.84188,ZTF J222539.10+655030.7,0,DSCT,,16.75,,g,Y,,0.079,,g,2458316.9078,,,0.0665796,,,
0.324516,5148800025576590464,29.68234017241827,-15.040593288057163,2766233,29.68225,-15.04057,Gaia DR3 5148800025576590464,0,VAR,,17.65,,G,,,17.78,,G,,,,0.1363873,,,
1.046028,6910676050839449728,315.2921195043512,-5.4643191907869655,7876155,315.29239,-5.46421,Gaia DR3 6910676050839449728,0,WD,,14.75,,G,,,14.83,,G,,,,0.53734,,O,
0.251336,5142356337681897984,25.463783840379765,-16.9820038568293,8712031,25.46372,-16.98197,Gaia DR3 5142356337681897984,0,E,,19.25,,G,,,19.56,,G,,,,2.02129,,,
0.200018,522432163970498048,17.721108767104237,60.80856519872944,2677561,17.72109,60.80862,Gaia DR3 522432163970498048,0,VAR,,16.89,,G,,,17.0,,G,,,,0.348415,,O,
0.273781,1671880139535534208,210.87861310844104,67.21538379690843,1540458,210.87872,67.21532,MGAB-V1228,0,R,,18.5,,g,,,18.67,,g,2458367.982,,,0.1436436,,,
0.661582,2061416695278519808,305.1438442402745,39.369925740357466,844800,305.14404,39.37003,NADA-V97,0,R,,17.16,,g,,,17.34,,g,2458249.954,,,0.221447,,,
0.454686,1639907647071426176,237.0054789863489,62.60329077194507,1540459,237.00569,62.60321,MGAB-V1229,0,R,,18.28,,g,,,18.54,,g,2458367.962,,,0.1973775,,,
0.595346,6611621395028216192,331.497785788479,-34.24282304680117,474059,331.49771,-34.24267,MASTER OT J220559.40-341434.9,0,UGSU+E,,13.9,,V,,,18.4,,B,,,,0.06128,,,B
0.083632,5587173868462425216,115.62620103533702,-36.7270491361598,3539963,115.62623,-36.72705,Gaia DR3 5587173868462425216,0,VAR,,17.72,,G,,,17.89,,G,,,,0.1625419,,,
0.672367,178685757799822080,69.05591171736573,38.62251977130393,3015482,69.05571,38.62262,Gaia DR3 178685757799822080,0,WD,,18.06,,G,,,18.21,,G,,,,,,,
0.750855,266380159532195072,79.62806923471796,53.87205631114915,4230952,79.62785,53.87222,Gaia DR3 266380159532195072,0,VAR,,18.42,,G,,,18.59,,G,,,,0.54889,,,
0.102687,506086549232654720,25.929808580234855,58.69757182626106,1576508,25.9298,58.6976,ZTF J014343.15+584151.3,0,BY,,16.79,,g,Y,,0.09,,g,2458462.7716,,,0.2981715,,,
4.169889,506086549232654720,25.929808580234855,58.69757182626106,2739446,25.93136,58.69674,Gaia DR3 506086549232655360,0,RS,,15.13,,G,,,15.21,,G,,,,,,K,
0.028854,2000785539622175104,333.9380975026058,50.63318118590283,9988778,333.93811,50.63318,Gaia DR3 2000785539622175104,0,VAR,,17.98,,G,,,18.24,,G,,,,0.225771,,,
0.646949,2067689237315646848,306.7467807418374,41.27894765533493,7744542,306.74658,41.27885,Gaia DR3 2067689237315646848,0,VAR,,17.06,,G,,,17.15,,G,,,,0.25579,,O,
2.94128,2377863773908424448,10.94092868857244,-10.007548352054256,9169,10.94142,-10.00689,BV Cet,0,ZZ,,14.51,,V,Y,,0.1,,V,,,,,,DBAP3,B
1.070905,459237630076876672,36.76822557569179,59.25063979469582,2811736,36.76766,59.25057,Gaia DR3 459237630076876672,0,WD,,15.91,,G,,,15.98,,G,,,,,,B,
0.234831,2210180554096762624,351.0466301939977,65.5147621125436,844773,351.04651,65.51472,BMAM-V415,0,R:,,15.96,,g,,,16.14,,g,2458469.645,,,0.30408,,em,
1.380082,2428675569186550784,1.4832999553083357,-10.036996447450612,305925,1.48292,-10.03708,SDSS J000555.90-100213.5,0,ROT/WD,,18.1,,r,Y,,0.11,,r,2456179.1036,,,2.11,,DQ,B
0.606329,6788138056906063232,316.22861316734264,-30.56811346886347,7888041,316.22842,-30.56814,Gaia DR3 6788138056906063232,0,VAR,,17.64,,G,,,17.77,,G,,,,0.319434,,,
0.580908,5645504991845223936,129.6805479691186,-28.450262188932424,359706,129.68066,-28.45039,1RXS J083842.1-282723,0,CV,,18.0,,R,,,,,,,,,,,,
0.14815,541501543878505216,47.79335142617208,70.1616345176216,2871275,47.79329,70.16167,Gaia DR3 541501543878505216,0,VAR,,18.2,,G,,,18.39,,G,,,,0.216023,,,
0.174824,1395293935119779584,228.4312709565437,44.57678393513392,5500117,228.4313,44.57674,Gaia DR3 1395293935119779584,0,VAR,,17.31,,G,,,17.44,,G,,,,0.1104965,,B,
0.282039,105601048101988992,30.8455847788714,25.98100285987218,2774078,30.8456,25.98108,Gaia DR3 105601048101988992,0,WD,,18.0,,G,,,18.21,,G,,,,,,,
0.243548,2780903539324180736,8.054738883255395,16.076395173445263,2594765,8.05472,16.07633,Gaia DR3 2780903539324180736,0,WD,,15.72,,G,,,15.82,,G,,,,0.90779,,O,
0.441623,5057652057822489088,47.878878010780646,-31.88083570057454,409692,47.87883,-31.88072,ASASSN-15oq,0,AM:,,16.0,,CV,,,19.9,,CV,,,,0.05873,,,B
0.056776,357457350520905216,26.648907016930192,49.24526434957298,1577415,26.64891,49.24528,ZTF J014635.73+491443.0,0,EW:,,16.977,,r,Y,,0.18,,r,2458322.9877,,,0.171476,,,
0.620458,381335822504421376,10.255021316804982,41.74135152215778,2611612,10.25507,41.74152,Gaia DR3 381335822504421376,0,WD,,17.94,,G,,,18.03,,G,,,,,,,
0.144066,5055036663256963072,49.86843249238185,-31.670234133652716,10846594,49.86847,-31.67021,Gaia DR3 5055036663256963072,0,CV,,17.83,,G,,,18.66,,G,,,,,,,
0.077215,5575611644702244992,101.97320821185605,-40.6322485944605,3210416,101.97321,-40.63227,Gaia DR3 5575611644702244992,0,VAR,,17.56,,G,,,17.86,,G,,,,0.292146,,,
0.080639,1004340654352214656,98.30762274978098,57.93593289817627,3150254,98.30765,57.93595,Gaia DR3 1004340654352214656,0,VAR,,17.49,,G,,,17.7,,G,,,,0.261584,,O,
4.254933,5139880551029408768,24.63439628296984,-19.912219231762876,2729599,24.6334,-19.91294,Gaia DR3 5139880551029408768,0,VAR,,15.49,,G,,,15.56,,G,,,,0.1642862,,B,
0.36531,2888030331609338240,85.4202040424429,-36.380056325010315,4338178,85.42033,-36.38006,Gaia DR3 2888030331609338240,0,WD,,17.68,,G,,,17.78,,G,,,,,,,
0.11728,1286055427676135808,220.03165616360565,31.903652414645393,5381854,220.03166,31.90362,Gaia DR3 1286055427676135808,0,VAR,,17.22,,G,,,17.39,,G,,,,0.9697,,O,
0.579875,1099005032089977984,106.69830621706454,61.5639115606464,3313361,106.698,61.56398,Gaia DR3 1099005032089977984,0,VAR,,13.44,,G,,,13.51,,G,,,,0.373756,,O,
0.360635,2120335400240968448,278.3100552687158,48.48679947578084,2214806,278.31012,48.48689,MGAB-V3419,0,ROT/WD,,16.82,,g,,,16.96,,g,2458356.837,,,0.91175692,,,
0.255333,2795150147707769728,9.460283171440098,19.026664333122532,2605290,9.46021,19.02668,Gaia DR3 2795150147707769728,0,WD,,17.93,,G,,,18.05,,G,,,,,,,
0.32262,1446230735421615872,201.3258168250102,23.63547452289944,249561,201.32574,23.63553,CSS21616,0,EA/WD,,18.3,,r,,,,,,2455653.9542,,,0.194958909,,,B
0.170057,3125897813875563904,100.81676485977246,1.503518108637641,3189065,100.81673,1.50355,Gaia DR3 3125897813875563904,0,WD,,15.66,,G,,,15.8,,G,,,,0.251601,,O,
0.782207,6456720612064924928,318.02015898560353,-57.30044607022286,7911266,318.02051,-57.30034,Gaia DR3 6456720612064924928,0,WD,,17.86,,G,,,18.0,,G,,,,,,,
0.083597,2974680502235811712,76.13757481587002,-21.50220247912848,3097191,76.13755,-21.5022,Gaia DR3 2974680502235811712,0,WD,,17.97,,G,,,18.15,,G,,,,0.62612,,,
0.201102,4844023064578952320,61.18512075423822,-39.8453352482151,2954480,61.18511,-39.84528,Gaia DR3 4844023064578952320,0,WD,,17.53,,G,,,17.76,,G,,,,0.0814713,,,
0.170175,5090605830056251776,59.5604983893695,-21.637194072093813,2941794,59.56048,-21.63715,Gaia DR3 5090605830056251776,0,VAR,,17.67,,G,,,17.94,,G,,,,0.0747969,,,
1.013481,1465214177336901376,191.91707031020695,30.50177902195716,4987925,191.91705,30.50206,Gaia DR3 1465214177336901376,0,WD,,17.84,,G,,,17.95,,G,,,,,,,
0.128573,3721943209023827456,208.8496577185576,8.945966082752616,5230044,208.84969,8.94595,Gaia DR3 3721943209023827456,0,VAR,,17.46,,G,,,17.61,,G,,,,0.1143675,,O,
0.214719,5437786045395659520,144.0462818330822,-34.016385688922355,4069338,144.04633,-34.01643,Gaia DR3 5437786045395659520,0,VAR,,17.04,,G,,,17.16,,G,,,,0.86825,,O,
0.229409,1203263915795342336,240.94205667792104,19.594395218504182,473965,240.942,19.59443,CSS 160906:160346+193540,0,AM,,16.7,,CV,,,19.1,,CV,,,,0.05693,,,B
0.128989,4681729620697295360,62.63904449533048,-58.867634282805945,2966844,62.63905,-58.86767,Gaia DR3 4681729620697295360,0,VAR,,17.4,,G,,,17.7,,G,,,,0.1197355,,O,
0.128676,4931705302963549952,16.39628933262951,-49.15078462398676,2667180,16.39624,-49.1508,Gaia DR3 4931705302963549952,0,VAR,,18.33,,G,,,18.5,,G,,,,0.61833,,,
0.293649,5286227228018008576,102.00950487820376,-63.774890878313904,3211164,102.00946,-63.77497,Gaia DR3 5286227228018008576,0,VAR,,17.35,,G,,,17.55,,G,,,,0.157088,,O,
0.078433,6802618144005794304,314.63735772750476,-25.520491690172204,9203877,314.63736,-25.52047,Gaia DR3 6802618144005794304,0,E,,19.33,,G,,,19.98,,G,,,,0.354884,,,
0.667773,1809460380271929344,302.4043764957888,16.872101703266363,1499583,302.40424,16.87197,BMAM-V447,0,R,,16.67,,g,,,16.78,,g,2458361.755,,,0.1040761,,,
0.556975,4922686318317847424,2.997654379385375,-55.697749255771065,409666,2.99746,-55.69764,ASASSN-15oe,0,UG/IBWD:,,13.4,,V,,,20.2,,CV,,,,,,,B
0.238245,6428794017447777280,300.658700108777,-64.26039375423338,7633074,300.65884,-64.26042,Gaia DR3 6428794017447777280,0,VAR,,17.64,,G,,,17.81,,G,,,,0.53733,,,
0.052893,2056368017063855360,307.0484870717477,35.09031449585543,2214818,307.04849,35.0903,MGAB-V3431,0,EA/WD,,18.1,,r,,,19.0,,r,2458367.2922,,,0.4330695,,,
0.275386,5909859644796090624,264.76255906599874,-64.6534602107262,6538833,264.76263,-64.65339,Gaia DR3 5909859644796090624,0,VAR,,17.99,,G,,,18.27,,G,,,,0.1206427,,,
4.261332,4334641562477923712,253.39740924172665,-10.022140991242862,6089724,253.39668,-10.0212,Gaia DR3 4334641562477923712,0,WD,,15.67,,G,,,15.76,,G,,,,,,B,
0.287364,1863757043284422784,307.17233311788675,32.976997447882304,844743,307.17242,32.97703,BMAM-V414,0,R,,17.06,,g,,,17.54,,g,2458472.595,,,0.809975,,,
0.115486,6076202559948311040,184.09415409184223,-54.98536003181184,4885999,184.09421,-54.98536,Gaia DR3 6076202559948311040,0,VAR,,18.32,,G,,,18.94,,G,,,,0.1072922,,,
1.212995,5942743082651644672,249.9380020540254,-46.37188213679357,10339212,249.93829,-46.37161,Gaia DR3 5942743082651644672,0,VAR,,16.49,,G,,,16.63,,G,,,,0.0769381,,O,
0.422044,6679158828046846336,305.9787191139521,-43.58711992116731,508956,305.97858,-43.58706,SSS_J202354.9-433512,0,ROT,,16.89,,CV,Y,,0.17,,CV,,,,1.2753,,,B
0.58647,2941800362921100928,93.1427632552036,-19.186749852083818,2226968,93.14273,-19.18659,MGAB-V3782,0,EA/WD,,18.2,,r,,<,20.0,,r,2458747.705,,,0.092713,,,
0.717833,4887600528615197184,58.04318524955278,-30.4233282661952,2930787,58.04305,-30.42349,Gaia DR3 4887600528615197184,0,VAR,,17.09,,G,,,17.31,,G,,,,0.0881659,,O,
0.354937,3230486971974872192,69.63651731568868,0.5213442034983069,3020551,69.63643,0.52139,Gaia DR3 3230486971974872192,0,WD,,17.43,,G,,,17.54,,G,,,,,,O,
1.99385,3537042874067950336,165.91314449683114,-24.185743456881124,4657040,165.91373,-24.18589,Gaia DR3 3537042874067950336,0,WD,,17.42,,G,,,17.53,,G,,,,,,O,
1.004509,3834895969825628800,151.6905237467464,0.5346193464574054,379586,151.69032,0.53481,CSS_J100645.6+003205,0,E,,16.76,,CV,Y,,0.18,,CV,,,,0.21118,,DA,B
0.31366,5390573840730111872,165.82507135136171,-40.262433480961214,731515,165.82501,-40.26236,ASASSN-V J110318.00-401544.5,0,ROT,,14.62,,V,,,14.86,,V,2457609.459,,,2.4282,,,
0.092021,6914922055508553984,313.2053162263806,-3.4054752822694088,2078955,313.20532,-3.40545,ZTF J205249.27-032419.6,0,DSCT,,17.706,,r,Y,,0.164,,r,2458357.816,,,0.0678498,,,
0.153744,1748833236082347136,307.3854829313364,7.018812875877207,7754896,307.38544,7.01881,Gaia DR3 1748833236082347136,0,WD,,16.58,,G,,,16.66,,G,,,,,,O,
0.275655,5773385817714683776,224.09681406794317,-79.6153249321884,5437358,224.09711,-79.61527,Gaia DR3 5773385817714683776,0,VAR,,17.37,,G,,,17.62,,G,,,,0.200825,,O,
0.040803,2928307259308655104,107.74628825931714,-21.56388121795658,3340077,107.74629,-21.56387,Gaia DR3 2928307259308655104,0,VAR,,18.1,,G,,,18.32,,G,,,,0.369366,,,
0.059183,3004503724347098112,94.50758680725396,-10.38496990698968,4466362,94.5076,-10.38498,Gaia DR3 3004503724347098112,0,VAR,,18.23,,G,,,18.39,,G,,,,0.053953,,,
0.246873,3842377248804727168,139.45087253940676,0.1781952340723616,4006541,139.45085,0.17826,Gaia DR3 3842377248804727168,0,WD,,17.35,,G,,,17.49,,G,,,,,,O,
0.417354,5689824140887888896,142.96060261852875,-13.9239792355041,4054483,142.96071,-13.92403,Gaia DR3 5689824140887888896,0,VAR,,18.16,,G,,,18.33,,G,,,,0.0232383,,,
0.462143,6021870154194477312,244.7254259862617,-35.90743853686107,5841700,244.72556,-35.90737,Gaia DR3 6021870154194477312,0,WD,,17.83,,G,,,18.03,,G,,,,,,,
0.148999,4587412856136181376,278.1848277889811,29.184871635825868,1739034,278.18481,29.18491,ZTF J183244.35+291105.6,0,EW,,16.568,,g,Y,,0.101,,g,2458641.9401,,,0.290553,,,
0.11283,5344192557631785600,178.93305569911362,-54.91061281401995,4817840,178.93311,-54.91061,Gaia DR3 5344192557631785600,0,VAR,,18.07,,G,,,18.28,,G,,,,0.1698271,,,
0.411749,722446385752579840,158.4547380750172,23.15446267958326,17222,158.45486,23.15444,GH Leo,0,ROT/WD,,15.6,,CV,,,15.8,,CV,2445722.933,,,0.141655,,DC,B
0.985475,767756877680612864,174.38481030842993,40.91599762403975,359129,174.38467,40.91625,SDSS J113732.32+405458.3,0,UG/IBWD,>,17.7,,CV,,,19.1,,CV,,,,0.0414,,,B
0.119244,5378958286359002624,174.6365651743887,-43.97158248758137,4762185,174.63661,-43.97159,Gaia DR3 5378958286359002624,0,WD,,16.4,,G,,,16.53,,G,,,,0.55404,,O,
0.288177,5310197547872256512,138.80583495413023,-55.31969376685129,3997591,138.80592,-55.31963,Gaia DR3 5310197547872256512,0,E,,16.98,,G,,,17.25,,G,,,,0.92411,,B,
1.522946,3934459045528378368,192.68485709362352,15.832417629928184,2388503,192.68521,15.83267,SDSS J125044.42+154957.3,0,AM,,18.2,,g,,,18.4,,g,2455646.7056,,,0.05995,,DAe+L5:,
0.333582,4043832006981042304,270.60189108046023,-31.700441230795768,10718683,270.60199,-31.70048,Gaia DR3 4043832006981042304,0,E,,19.49,,G,,,19.9,,G,,,,8.7954,,,
0.494808,1214510510998076288,232.59839646144223,22.112885246422792,270370,232.59854,22.11292,CSS 110920:153024+220646,0,AM,,17.7,,r,,,19.9,,r,,,,,,em,B
0.131905,1272870835853944704,235.05033327650736,29.141305243128343,2204302,235.05032,29.14134,ZTF J154012.07+290828.8,0,R,,19.153,,r,Y,,0.395,,r,2458556.937,,,0.099034,,DAH:,
0.098826,5364914430494937344,156.5356043819934,-49.617545131535145,4541547,156.53564,-49.61756,Gaia DR3 5364914430494937344,0,VAR,,18.29,,G,,,18.52,,G,,,,0.206913,,,
0.154033,4846154678323893248,50.52131294463691,-47.351786513104464,2884890,50.52125,-47.35179,Gaia DR3 4846154678323893248,0,WD,,17.21,,G,,,17.43,,G,,,,,,O,
0.391842,4841120770494891520,63.915915789526615,-40.375669240501765,2976594,63.91582,-40.37575,Gaia DR3 4841120770494891520,0,WD,,16.05,,G,,,16.17,,G,,,,,,O,
0.091846,3150708057532318208,117.93994957958802,10.992024218228057,3598755,117.93997,10.99204,Gaia DR3 3150708057532318208,0,WD,,16.64,,G,,,16.78,,G,,,,,,O,
0.81972,3496637913394359680,192.0824321632568,-26.237170414005792,4990120,192.08266,-26.23707,Gaia DR3 3496637913394359680,0,WD,,17.98,,G,,,18.09,,G,,,,,,,
0.276999,3509435507186636288,192.52128635411552,-20.6090458766082,4995871,192.5213,-20.60897,Gaia DR3 3509435507186636288,0,WD,,17.2,,G,,,17.45,,G,,,,,,O,
0.452154,3958162012257966336,194.18939823803404,25.378209964334538,10846905,194.18953,25.37825,Gaia DR3 3958162012257966336,0,CV,,18.55,,G,,,19.23,,G,,,,,,,
0.155719,6216651490910555008,218.05891539380528,-31.53522301033208,5353751,218.05891,-31.53518,Gaia DR3 6216651490910555008,0,E,,18.05,,G,,,18.28,,G,,,,0.371171,,,
0.201324,6799989928963170688,309.6602450338843,-26.277016307702475,7789789,309.66028,-26.27697,Gaia DR3 6799989928963170688,0,VAR,,17.86,,G,,,18.09,,G,,,,0.052382,,,
0.04811,1807309147099442432,299.97056638130556,14.59281778697955,9927849,299.97058,14.59282,Gaia DR3 1807309147099442432,0,VAR,,17.45,,G,,,17.59,,G,,,,0.299665,,O,
0.101672,2095490942878080256,278.1810107948632,35.755123150642234,1714687,278.181,35.75515,ZTF J183243.43+354518.5,0,DSCT,,18.337,,r,Y,,0.14,,r,2458249.9039,,,0.0627579,,,
0.224656,5892465542676716544,217.5802452339185,-56.39951691451571,5347192,217.58035,-56.39954,Gaia DR3 5892465542676716544,0,VAR,,17.34,,G,,,17.49,,G,,,,0.0599954,,B,
0.231622,6523373973310305664,354.84921785568093,-48.89726898938156,8242646,354.84912,-48.89727,Gaia DR3 6523373973310305664,0,S,,16.9,,G,,,17.08,,G,,,,,,O,
0.10278,117770030481927936,52.01257801183999,26.864323528511644,2892978,52.01259,26.86435,Gaia DR3 117770030481927936,0,WD,,18.06,,G,,,18.28,,G,,,,,,,
0.879006,3857118439852847744,157.09285471348005,3.737807129037017,4548959,157.09306,3.73794,Gaia DR3 3857118439852847744,0,WD,,17.35,,G,,,17.47,,G,,,,,,B,
0.400884,1223988576107848832,234.9087069327765,27.101590047389426,844790,234.90883,27.10161,NADA-V83,0,R,,16.81,,r,,,16.9,,r,2458306.694,,,0.238553,,DA1.4+M,
0.521921,2048212728863128064,294.85195462945916,35.76588507353845,2214813,294.85202,35.76602,MGAB-V3426,0,ROT/WD,,17.44,,g,,,17.55,,g,2458356.95,,,1.6263795,,,
1.232794,5620763437599189376,135.5541657074046,-39.76488139438883,3952746,135.55373,-39.76481,Gaia DR3 5620763437599189376,0,WD,,15.95,,G,,,16.03,,G,,,,,,B,
0.501223,4942033050042466432,27.96611436691433,-47.6409772673291,10846459,27.96592,-47.64093,Gaia DR3 4942033050042466432,0,CV,,17.43,,G,,,19.71,,G,,,,,,,
2.750125,6634532571652409856,277.51639039763575,-60.755747609553765,9101015,277.51788,-60.75598,Gaia DR3 6634532571652409856,0,E,,19.77,,G,,,20.15,,G,,,,0.404403,,,
0.279338,5657176543986789248,147.0376909890338,-28.010676015257697,4111118,147.03777,-28.01071,Gaia DR3 5657176543986789248,0,WD,,17.12,,G,,,17.22,,G,,,,,,O,
0.690648,5660008787157868928,147.57478936229552,-25.190354997105405,489110,147.57494,-25.19022,SSS_J095017.9-251125,0,ROT,,15.48,,CV,Y,,0.11,,CV,,,,0.318654,,,B
0.358955,6131648350046165376,185.80161088846432,-45.13855368931156,10847115,185.80173,-45.1385,Gaia DR3 6131648350046165376,0,CV,,18.87,,G,,,20.13,,G,,,,,,,
1.580534,4618860233015905408,40.651133733632285,-82.11018428958832,2834629,40.64801,-82.11009,Gaia DR3 4618860233015905408,0,WD,,16.42,,G,,,16.51,,G,,,,0.1393639,,B,
0.311993,5503429908930455808,105.2755266323729,-53.80311306631112,3278555,105.27565,-53.80316,Gaia DR3 5503429908930455808,0,VAR,,18.3,,G,,,18.53,,G,,,,0.0565929,,,
0.443472,2934432505440751360,106.452258259348,-18.2069026807129,10846997,106.45227,-18.20678,Gaia DR3 2934432505440751360,0,CV,,18.68,,G,,,19.95,,G,,,,,,,
0.989805,2951380789991336192,96.4794994288502,-14.24532370559194,4494580,96.47935,-14.24509,Gaia DR3 2951380789991336192,0,WD,,16.42,,G,,,16.59,,G,,,,0.1859614,,B,
0.662902,3471231910527986432,186.9106108603975,-30.720377821493383,2213847,186.91081,-30.72031,EC 12250-3026,0,EA/WD,,16.761,,G,,,,,,,,,0.1235,,DAB,
0.377879,4134483442134184064,259.9284797392765,-18.366461781293296,10623345,259.92859,-18.36647,Gaia DR3 4134483442134184064,0,WD,,16.3,,G,,,16.45,,G,,,,0.78257,,O,
0.394189,1190316479183748992,235.3326705129276,12.154002172847044,5624538,235.33269,12.15411,Gaia DR3 1190316479183748992,0,VAR,,16.97,,G,,,17.11,,G,,,,0.1140259,,B,
0.201643,1214396952063253632,232.03412355689764,21.64636037851269,5561563,232.03418,21.64638,Gaia DR3 1214396952063253632,0,VAR,,18.42,,G,,,18.7,,G,,,,0.254501,,,
0.145297,4705562733524591232,14.063370131377717,-66.29221284421354,2646450,14.06327,-66.29221,Gaia DR3 4705562733524591232,0,VAR,,18.66,,G,,,18.91,,G,,,,0.0510565,,,
0.100365,4749559145849819008,47.814864229616866,-48.907777856247755,2871376,47.81489,-48.9078,Gaia DR3 4749559145849819008,0,WD,,15.52,,G,,,15.62,,G,,,,,,O,
0.257394,2043899619620928000,284.8531974637941,33.03259009218595,1807669,284.85312,33.03262,ZTF J185924.75+330157.4,0,DSCT,,17.828,,g,Y,,0.157,,g,2458231.9545,,,0.0680881,,,
0.323216,5873013322220969984,224.5744763954758,-65.17365652319165,5443660,224.57462,-65.17359,Gaia DR3 5873013322220969984,0,VAR,,17.62,,G,,,17.77,,G,,,,0.1532976,,,
0.143695,5877560558721805952,218.9383565014163,-61.992249798322035,5366303,218.93835,-61.99221,Gaia DR3 5877560558721805952,0,VAR,,17.85,,G,,,18.0,,G,,,,0.345645,,,
