angDist,source_id,ra,dec,main_id,ra.1,dec.1,coo_err_maj,coo_err_min,coo_err_angle,otype,nbref,ra_sexa,dec_sexa,coo_qual,coo_bibcode,main_type,other_types,radvel,radvel_err,redshift,redshift_err,sp_type,morph_type,plx,plx_err,pmra,pmdec,pm_err_maj,pm_err_min,pm_err_pa,size_maj,size_min,size_angle,B,V,R,J,H,K,u,g,r,i,z,f150w,f200w,f444w
0.105667,6609580078678720512,343.02663282143544,-27.67017527102631,Ton S 77,343.0266081767,-27.6701556457,0.0,0.0,90,WD*,7,22 52 06.38596,-27 40 12.5603,A,2020yCat.1350....0G,WhiteDwarf,*|blu|V*|WD*|WD?,,,,,DO,,2.2331,0.0646,4.911,-4.416,0.063,0.056,90.0,,,,17.5,17.7,,,,,,,,,,,,
1.010256,6910676050839449728,315.2921195043512,-5.4643191907869655,GALEX J210110.1-052750,315.2923779006,-5.4642069938,0.0,0.0,90,WD*,10,21 01 10.17070,-05 27 51.1452,A,2020yCat.1350....0G,WhiteDwarf,*|blu|MIR|NIR|Opt|PM*|UV|V*|WD*|WD?,,,,,DAO,,7.115,0.0417,-57.875,-25.244,0.044,0.034,90.0,,,,14.687,14.834,14.942,15.575,15.785,15.486,14.116,14.529,15.026,15.397,15.705,,,
0.250937,5142356337681897984,25.463783840379765,-16.9820038568293,GALEX J014151.3-165855,25.4637182756,-16.9819734146,0.0,0.0,90,WD?,3,01 41 51.29239,-16 58 55.1043,A,2020yCat.1350....0G,WhiteDwarf_Candidate,*|EB*|UV|WD?,,,,,,,1.7853,0.2858,14.109,-6.849,0.283,0.214,90.0,,,,,,,,,,,,,,,,,
0.198558,522432163970498048,17.721108767104237,60.80856519872944,UVEX J011053.07+604830.9,17.7210866349,60.8086192872,0.0,0.0,90,WD*,7,01 10 53.06079,+60 48 31.0294,A,2020yCat.1350....0G,WhiteDwarf,*|Opt|UV|V*|WD*|WD?,-84.28,5.47,-0.0002811,1.82e-05,DAe,,3.3151,0.0661,2.429,-12.17,0.051,0.066,90.0,,,,,,,,,,,17.026,17.032,,,,,
0.267776,1671880139535534208,210.87861310844104,67.21538379690843,Gaia DR3 1671880139535534208,210.8787217307,67.2153224524,0.0,0.0,90,WD?,4,14 03 30.89322,+67 12 55.1608,A,2020yCat.1350....0G,WhiteDwarf_Candidate,*|V*|WD?,,,,,,,0.959,0.1368,-9.465,13.803,0.19,0.166,90.0,,,,,,,,,,,,,,,,,
0.630298,2061416695278519808,305.1438442402745,39.369925740357466,Gaia DR3 2061416695278519808,305.144022882,39.3700333594,0.0,0.0,90,WD*,6,20 20 34.56549,+39 22 12.1201,A,2020yCat.1350....0G,WhiteDwarf,*|V*|WD*|WD?,,,,,DA,,3.0639,0.0674,-31.073,-24.214,0.078,0.083,90.0,,,,,,,,,,,,,,,,,
0.451481,1639907647071426176,237.0054789863489,62.60329077194507,ZTF J154801.31+623611.9,237.0056911306,62.6032120399,0.0,0.0,90,WD*,8,15 48 01.36587,+62 36 11.5633,A,2020yCat.1350....0G,WhiteDwarf,*|EB*|WD*|WD?,,,,,DB,,2.2248,0.1437,-21.964,17.715,0.192,0.193,90.0,,,,,,,,,,,18.394,18.814,,,,,
0.719622,6611621395028216192,331.497785788479,-34.24282304680117,MASTER OT J220559.40-341434.9,331.497588864,-34.2427070405,0.0,0.0,90,CV*,13,22 05 59.42133,-34 14 33.7453,A,2020yCat.1350....0G,CataclyV*,*|CV*|ev|WD?,,,,,,,5.9748,0.13,36.628,-26.101,0.123,0.132,90.0,,,,,,,,,,,,,,,,,
0.075288,5587173868462425216,115.62620103533702,-36.7270491361598,Gaia DR3 5587173868462425216,115.6262268171,-36.7270459166,0.0,0.0,90,WD*,4,07 42 30.29444,-36 43 37.3653,A,2020yCat.1350....0G,WhiteDwarf,*|V*|WD*|WD?,,,,,DA:,,1.3914,0.0869,-4.649,-0.724,0.085,0.087,90.0,,,,,,,,,,,,,,,,,
0.681547,178685757799822080,69.05591171736573,38.62251977130393,GALEX J043613.3+383720,69.0557070053,38.6226210722,0.0,0.0,90,WD*,5,04 36 13.36968,+38 37 21.4359,A,2020yCat.1350....0G,WhiteDwarf,*|UV|WD*|WD?,,,,,DA,,9.6081,0.1412,35.986,-22.793,0.183,0.138,90.0,,,,,,,,,,,,,,,,,
0.735464,266380159532195072,79.62806923471796,53.87205631114915,GALEX J051830.7+535219,79.6278512134,53.8722150984,0.0,0.0,90,WD*,5,05 18 30.68429,+53 52 19.9744,A,2020yCat.1350....0G,WhiteDwarf,*|UV|V*|WD*|WD?,,,,,DB,,2.3119,0.1959,28.922,-35.727,0.197,0.154,90.0,,,,,,,,,,,,,,,,,
0.18075,506086549232654720,25.929808580234855,58.69757182626106,ZTF J014343.15+584151.3,25.9297451057,58.6976096853,0.0,0.0,90,WD*,7,01 43 43.13883,+58 41 51.3949,A,2020yCat.1350....0G,WhiteDwarf,*|BY*|Opt|V*|WD*|WD?,,,,,DO,,2.5778,0.0683,7.42,-8.518,0.048,0.046,90.0,,,,,,,,,,16.389,16.677,17.055,17.335,17.598,,,
0.034798,2000785539622175104,333.9380975026058,50.63318118590283,Gaia DR3 2000785539622175104,333.9381127176,50.6331817341,0.0,0.0,90,WD*,5,22 15 45.14705,+50 37 59.4542,A,2020yCat.1350....0G,WhiteDwarf,*|V*|WD*|WD?,,,,,DB:,,1.1801,0.1137,-2.171,-0.123,0.122,0.113,90.0,,,,,,,,,,,,,,,,,
0.627766,2067689237315646848,306.7467807418374,41.27894765533493,UVEX J202659.21+411644.1,306.7465867052,41.2788520269,0.0,0.0,90,WD*,7,20 26 59.18081,+41 16 43.8673,A,2020yCat.1350....0G,WhiteDwarf,*|NIR|UV|V*|WD*|WD?,,,,,DA,,2.9976,0.0619,32.809,21.516,0.069,0.078,90.0,,,,,,,16.323,15.996,15.707,,17.092,17.175,,,,,
3.175904,2377863773908424448,10.94092868857244,-10.007548352054256,Feige   7,10.9415859362,-10.0069489033,0.0,0.0,90,WD*,114,00 43 45.98062,-10 00 25.0161,A,2020yCat.1350....0G,WhiteDwarf,*|blu|NIR|Opt|PM*|Pu*|V*|WD*|WD?,,,,,DBAP3,,32.1226,0.0424,-145.631,-134.876,0.053,0.043,90.0,,,,14.49,,,15.095,15.073,15.161,14.242,14.368,14.74,15.016,15.297,,,
1.067962,459237630076876672,36.76822557569179,59.25063979469582,UCAC4 747-022474,36.7676636837,59.250565826,0.0,0.0,90,WD*,13,02 27 04.23928,+59 15 02.0370,A,2020yCat.1350....0G,WhiteDwarf,*|NIR|PM*|WD*|WD?,,,,,DA,,26.5299,0.039,64.64,16.643,0.034,0.036,90.0,,,,16.36,15.97,16.23,15.302,15.258,15.336,,16.16,15.93,,,,,
0.242236,2210180554096762624,351.0466301939977,65.5147621125436,Gaia DR3 2210180554096762624,351.0464814438,65.5147351527,0.0,0.0,90,WD*,7,23 24 11.15555,+65 30 53.0465,A,2020yCat.1350....0G,WhiteDwarf,*|EB*|V*|WD*|WD?,,,,,DB:,,2.8037,0.0324,13.871,6.066,0.036,0.036,90.0,,,,,,,,,,,,,,,,,
1.384697,2428675569186550784,1.4832999553083357,-10.036996447450612,PHL   657,1.4829228195,-10.0370966237,0.0,0.0,90,WD*,28,00 05 55.90148,-10 02 13.5478,A,2020yCat.1350....0G,WhiteDwarf,*|blu|G|Opt|PM*|UV|WD*|WD?,-10.0,,-3.34e-05,,DQ,,6.6364,0.1422,83.557,22.54,0.148,0.09,90.0,,,,18.2,18.3,,,,,17.335,17.693,18.119,18.474,18.775,,,
0.591483,6788138056906063232,316.22861316734264,-30.56811346886347,Gaia DR3 6788138056906063232,316.2284252083,-30.5681418134,0.0,0.0,90,WD*,5,21 04 54.82205,-30 34 05.3105,A,2020yCat.1350....0G,WhiteDwarf,*|V*|WD*|WD?,,,,,DA,,2.3989,0.1279,36.413,6.378,0.105,0.093,90.0,,,,,,,,,,,,,,,,,
0.336364,5645504991845223936,129.6805479691186,-28.450262188932424,RX J0838.7-2827,129.680633563,-28.4503175639,0.0,0.0,90,CV*,26,08 38 43.35206,-28 27 01.1432,A,2020yCat.1350....0G,CataclyV*,*|CV*|Opt|V*|WD?|X,,,,,,,6.3855,0.0828,-16.933,12.459,0.066,0.078,90.0,,,,,,,,,,,17.833,17.992,18.467,18.44,,,
0.151645,541501543878505216,47.79335142617208,70.1616345176216,GALEX J031110.3+700941,47.7932863644,70.1616703907,0.0,0.0,90,WD*,5,03 11 10.38873,+70 09 42.0134,A,2020yCat.1350....0G,WhiteDwarf,*|UV|V*|WD*|WD?,,,,,DB:,,1.5571,0.1444,4.968,-8.071,0.111,0.13,90.0,,,,,,,,,,,,,,,,,
