source_id,period,eccentricity,semi_amplitude_primary,semi_amplitude_primary_error,significance,inclination,ra,dec,phot_g_mean_mag,parallax,parallax_error,ruwe,astrometric_excess_noise,mass_flame,m2_marg_med_mjup,m2_marg_1sig_lo_mjup,m2_marg_1sig_hi_mjup
5694066709599229568,517.0235190655184,0.530583057628742,1.2852575479406627,0.18563162,6.9236994,,121.7269817848068,-27.09840673936677,8.6668825,2.2395396019583202,0.016531788,1.1397022,0.114650495,,51.77211032977735,44.89870663136318,85.30885475761384
3036745464022262656,173.77938621087802,0.4142405511218901,2.3342312967956156,0.19342245,12.068048,,117.96318230442525,-11.897094659069758,10.168371,8.504585284728206,0.021985471,1.4309162,0.1736677,0.93284154,67.84299012151553,58.83601680787663,111.48001277385036
1494900274028823040,13.623702671819897,0.13150961504049943,2.812071965261738,0.19987106,14.06943,,219.41670241379646,47.02659670326087,10.655491,7.10627865761467,0.011156392,0.92500895,0.075684585,0.87935287,35.77232745285862,31.067456173368836,59.900303063106655
278219052203143424,24.263280089364166,0.14193890743072007,4.597112773145107,0.42557517,10.802116,,67.57465405687677,57.102345063812564,10.853916,7.654917315822314,0.034939945,1.8748121,0.2621543,0.8455178,70.2444132918119,61.475070572327496,112.33612867310812
2250937044950693376,636.5986881777212,0.22881735572766063,1.5660718265722169,0.09032755,17.337698,,300.43233081086805,69.88090123459106,8.311581,5.855847137107586,0.080284104,4.7297707,0.83942556,,78.10046411944585,68.25739485071699,125.68827847353113
4470941078320597632,36.74221886540044,0.12771598332311213,3.2491013337176433,0.33691224,9.643761,,274.1921168208809,5.767593421995552,11.109823,2.488982903907659,0.017706992,0.91626436,0.094293445,,63.43279532097592,55.39375652803664,104.55443136788193
540384332687107072,17.685939036073755,0.25219992745327025,4.7476222164339,0.6774164,7.008425,,0.500554803997617,77.55080074019546,11.438688,3.1635951577890395,0.020727364,1.4164141,0.20863877,1.2011153,79.81041781013298,69.85438228803909,134.40670696041178
3440221765615075456,19.534751724103604,0.12452995579091863,3.583724984283765,0.48445466,7.3974414,,95.58602559466588,33.448498446885644,11.079775,17.16960605658075,0.10738011,4.930587,0.7387908,,56.35399905212912,49.22507686955133,94.13355031892544
1053854308649478272,998.0611210947644,0.5248936258863941,1.1315554045620135,0.1509489,7.4962816,,162.88324075794208,60.841741521840184,9.999929,2.2014423388807765,0.045847155,3.5097468,0.44839743,1.171119,62.73196560917431,54.683953232414545,101.32129050136062
1505285779828602240,21.046952251308486,0.30256603117102343,3.3606411476873013,0.21513046,15.62141,,213.85495506527585,45.913681493167715,9.437228,4.373574631488572,0.018679302,1.1290671,0.15791085,1.3388377,62.325664329887054,54.91519697546929,98.95515998807888
