hip,source_id,Sn,Hpmag,pmRA,pmDE,Plx,ra,dec,phot_g_mean_mag,parallax,ruwe,astrometric_excess_noise,non_single_star,dist_pc
54191,3985360665753530112,1,8.4967,21.65,9.06,11.53,166.2948403615523,20.80495593536688,8.204115,14.34814279214867,23.029303,3.4858074,0,69.69543128238185
39659,680089968037163392,7,6.0207,-5.97,-9.06,4.38,121.57661998213968,22.635445486280666,4.9702024,5.429309948712544,1.4385806,0.80611205,0,184.1854691381417
53295,781696249874547840,1,4.668,42.97,-23.62,13.24,163.49502223641161,43.18985211334508,4.6522703,13.291034496215005,1.4637098,1.0609187,0,75.23868817621218
7651,350556609386670592,7,6.3812,-15.64,-0.77,6.23,24.63249688838468,45.39969818789928,6.364588,7.109306645479729,3.4142158,1.0346459,0,140.6606930699528
61281,1683102889080800640,1,3.8414,-58.79,10.68,6.65,188.36984368693533,69.78828379171446,3.8934839,7.009279760101587,2.4411645,1.7531722,0,142.66801072661232
24254,502574262409317504,1,5.4022,1.45,-26.9,8.63,78.09358448994578,73.94655706560378,5.403789,8.935373227232583,3.1002645,1.7608759,0,111.91474318635873
117716,6494459634996586240,1,7.2765,-8.34,7.05,9.87,358.1184214374921,-58.550133590453385,7.127634,9.369263821676434,8.2637,1.7215196,0,106.73197158633013
26634,2900546759663847168,7,2.6124,1.58,-24.82,12.48,84.91226376039107,-34.07421247244894,2.6532035,11.400786448797566,2.1182349,2.0251298,0,87.71324719493096
44515,5651384630266044416,7,7.9864,-38.59,13.41,5.0,136.05082017955905,-24.240173081114516,7.8303275,6.9238890145793155,4.543395,0.8822749,0,144.42750279421665
116768,2759948634405916288,1,6.0514,89.86,-10.7,18.38,354.9797293542254,9.677250354546091,5.9586873,14.050947419757707,6.268633,1.5319666,0,71.16957811640889
4436,364785939116867072,1,3.9034,153.48,36.49,25.14,14.189228786797868,38.49948894197979,3.8432207,26.704629786620664,4.024098,2.9897518,0,37.44669025522353
71353,6103196395033219584,7,5.8581,-22.15,-23.43,8.89,218.881033764378,-41.51753716270504,5.8593826,9.231113660022727,3.1663074,1.2679825,0,108.32929122416829
