PSRJ,RAJ2000,DEJ2000,pmRA,pmDE,Plx,PB,A1,Ecc,OM,medM,minM,BINCOMP,Dist,Assoc
J0737-3039A,07 37 51.25,-30 39 40.7,-3.82,2.13,0.87,0.10225156248,1.0,0.0877775,87.0331,1.55937,1.254327,NS[bdp+03],1.1,""
J0737-3039B,07 37 51.25,-30 39 40.7,-3.82,2.13,0.87,0.10225156248,2.0,0.0877775,267.0331,1.738726,1.390295,NS[lbk+04],1.1,""
J0751+1807,07 51 09.16,+18 07 38.6,,,1.6,0.263144266723,0.4,7.1e-7,45.0,0.14962,0.128346,He[nsk08],0.4,GRS:2FGL_J0751.1+1809[naa+12]
J0823+0159,08 23 09.77,+01 59 12.4,5.0,-1.0,,1232.404,200.0,0.0118689,332.022,0.225863,0.192863,CO[kr00],1.44,""
J0900-3144,09 00 43.95,-31 44 30.9,,,,18.73763576,20.0,0.0000103,71.0,0.423593,0.357699,CO(?)[bjd+06],0.82,""
J0955-61,09 55 00.00,-61 48 00.0,,,,24.578,10.0,0.11,,0.254653,0.21708,"",5.38,GRS:3FGL_J0955.6-6148[aaa+15]
J1012-4235,10 12 07.00,-42 35 00.0,,,,37.972,20.0,,,0.312284,0.265328,He[ckr+15],2.47,GRS:3FGL_J1012.0-4235[aaa+15]
J1012+5307,10 12 33.43,+53 07 02.6,2.562,-25.61,1.22,0.60467271355,0.6,1.2e-6,87.0,0.124641,0.107084,He[cgk98],0.7,OPT:[cgk98]
J1017-7156,10 17 51.33,-71 56 41.6,-7.31,6.76,3.9,6.511905,5.0,0.00014204,329.682,0.221357,0.189065,He[kjb+12],0.26,""
J1022+1001,10 22 58.00,+10 01 52.8,-17.09,,1.1,7.805136,20.0,0.00009683,97.64,0.852959,0.705294,CO[cnst96],0.74,""
J1023+0038,10 23 47.69,+00 38 40.8,4.76,-17.34,0.731,0.1980962019,0.3,,,0.157036,0.134647,MS[asr+09],1.37,"OPT:SDSS_J102347.67+003841.2,XRS:[akb+10]"
J1036-8317,10 36 00.00,-83 17 00.0,,,,0.335,0.5,,,0.163509,0.140141,He[ckr+15],1.59,GRS:3FGL_J1036.0-8317[aaa+15]
