HIP,Gaia,RA_ICRS,DE_ICRS,d_pc,dpmRA,dpmDE,chi2,trif_name,trif_n_rv,trif_timespan_d,trif_rvc_std_mps,sep_arcsec
45383,579567598501642368,138.72319447003,4.44291250465,17.878277535229145,0.0012,-0.0004,22350.0,HD79555,3,6247.94261000026,1660.284650947642,1.258051457895862
61901,3934198156329809152,190.2775174918,15.37501704503,14.108491477765723,-0.0053,0.0159,21830.0,HD110315,85,9103.068899999838,124.77647442986958,6.181822401115136
114526,2845296369086334720,347.95402102396,26.84679858572,74.40310112125474,0.0001,-0.0014,21330.0,HD218935,28,3979.8953899997286,1297.7251007859422,3.5454061101442704
74954,1270321278844517888,229.74319717791,25.69118657575,33.98528437186698,-0.0113,-0.0123,20350.0,HD136274,5,3650.932760000229,126.34087657484413,9.445424435530061
38969,5725307305268686336,119.60667855854,-15.02150036941,30.183394303789825,-0.0006,0.0102,18610.0,HIP38969,9,481.7695100000128,60.68198104416536,3.724407047531726
77344,4399192477098054656,236.84315105696,-5.11885892623,104.69450144478411,-0.0004,0.0,18540.0,HD141085,4,412.8510999996215,174.6769392764826,0.613242004913741
85158,5975810379449715968,261.03646372641,-34.79925236633,33.042558815754695,0.0002,-0.0034,18300.0,HD157338,33,8863.818649999797,285.1105242451475,2.870825708043324
10321,333106054183616000,33.22952497485,40.66793054096,26.389053820475265,-0.0008,0.0004,17640.0,HD13507,12,8019.148320000153,98.90797295634631,1.9909788862080144
33109,3050309864100076544,103.43646892814,-9.51560416676,38.84038156790852,-0.0002,0.0,17290.0,HD50639,23,7771.871139999945,757.8672005394675,1.2066772836484796
28902,1107146846976017152,91.52190555191,69.47585673735,32.32448612148188,0.0005,-0.0056,17040.0,HD40647,25,7050.832020000089,1544.8617302399236,3.0452085799223934
102642,2182157988437859968,311.97133245865,52.40644128568,41.52513516431496,0.001,-0.0044,16850.0,HD198387,14,5552.906859999988,1529.9143946692855,2.8544354553632307
43299,5733507394262989056,132.31416570706,-15.56492759169,40.18485031143259,0.0002,-0.0001,16630.0,HD75393,16,4102.876750000287,3176.0839942963303,1.3129081721503768
77790,1597204161635741952,238.26958028054,53.87023595699,29.478959392733437,-0.0028,0.0001,16080.0,HD142626,5,4055.924970000051,21.09382675097148,3.4707713839563215
5315,2538316124224549376,16.99925026488,1.99112656858,46.832923545252314,0.0073,-0.0221,15710.0,HD6734,120,9438.15856999997,87.1917018645507,7.310755927787436
14086,5071514326764428544,45.4081803047,-28.09348359169,31.935821772565852,-0.0044,0.016,14880.0,HD18907,12,4293.270560000092,1346.3644280745943,8.423085714711096
57468,3542169724989044096,176.70341231885,-21.47492487444,78.08717652387125,0.0001,0.0003,14170.0,HD102361,10,1115.8755200002342,7273.650232788013,1.8239692797588374
65846,1665683841757374848,202.46991801413,64.18048060551,182.78194114421495,0.0001,-0.0002,14070.0,HD117623,17,6150.935160000343,1060.5969809296362,0.7213341792464664
117972,2851805787160013952,358.92397943475,25.14404504182,51.6921422774524,0.0021,-0.0014,13230.0,HIP117972,2,3.0154699999839067,477.80195154268677,3.031389910111424
4423,2787850494306538880,14.16803895272,17.95964418609,67.06098525999545,0.0,-0.0002,13150.0,HD5470,29,7701.892530000303,1200.018584216344,1.6266103752316876
29295,2940856402123426176,92.64358790419,-21.86787569907,5.761231520849896,0.0001,0.0133,13040.0,HD42581,57,9083.002270000055,7.619629714549266,11.890607492391707
3850,2348830516542653824,12.36401234598,-23.21191860779,18.849217568978712,-0.0083,0.0052,12980.0,HD4747,69,9405.15310999984,310.26906198774054,8.5343158181999
14729,27775450424210816,47.56431938515,12.04984762206,28.849288432300817,-0.009,0.0045,12780.0,HIP14729,17,3729.8697599996813,120.12854868599892,4.659211452925448
86974,4594497769766809216,266.61321191067,27.71724070689,8.338558830200258,-0.0086,-0.0435,12600.0,HD161797,167,9226.718819999602,505.386175444304,13.45720985402861
