source_id,m2_marg_med_mjup,period,eccentricity,semi_amplitude_primary,ruwe,phot_g_mean_mag,parallax,significance,ra_gs,dec_gs,parallax_gs,parallax_error_gs,pmra,pmra_error,pmdec,pmdec_error,phot_g_mean_mag_gs,astrometric_excess_noise,astrometric_excess_noise_sig,astrometric_chi2_al,astrometric_n_good_obs_al,ruwe_gs,tycho2_id,tyc_match_arcsec,aen_class
5078111568331166080,51.36603349463175,905.9793309137735,0.46755588852701346,1.0831707611822587,1.3705267,9.7838335,9.556759773743362,6.5004315,44.19561462398515,-23.629173502518157,9.556759773743362,0.02389032,-25.817309782080393,0.01627068,-7.763085947457409,0.01922948,9.7838335,0.16556527,59.572704,3598.782,677,1.3705267,6437-961-1,0.047926176,low_AEN
1930605877070395264,63.67261197692227,572.710964793867,0.13261802331213157,1.3011844391476168,2.0661423,6.8855906,5.2731733722773075,17.722506,348.2563040317858,42.062120981375195,5.2731733722773075,0.04486616,-12.347019363750206,0.029057495,-16.82806569314404,0.03977772,6.8855906,0.422275,266.8396,11711.519,648,2.0661423,3225-1320-1,0.02019494,low_AEN
786283378026342912,27.872352476711196,353.2295293835202,0.29258357024954695,0.708889044949985,1.5575073,6.0201654,9.161598263604306,7.8606644,174.6393852636966,46.83409278496371,9.161598263604306,0.040655144,-39.964099487144445,0.022443457,-27.31048383480449,0.044484206,6.0201654,0.27801922,144.40233,7890.2153,574,1.5575073,"",,low_AEN
6814194283458648576,49.283858745727784,513.6006429534972,0.32906717861172535,1.170343101728908,1.8573079,9.083327,15.59410856923581,9.886939,324.13851607878536,-25.829406496548756,15.59410856923581,0.04441638,145.20484415526937,0.06492886,29.649142568981095,0.03722695,9.083327,0.26914164,84.62385,2843.5823,413,1.8573079,6943-777-1,0.011897189,low_AEN
1422781790238366080,68.7048370268169,36.40048781436441,0.2347423497896995,3.576542035982622,4.177812,11.436287,7.901802576558568,10.644583,269.6133271042832,59.073807627456766,7.901802576558568,0.047982693,-8.940203270637806,0.060016118,99.53451830207486,0.060829945,11.436287,0.59545064,605.29315,18732.8,347,4.177812,3914-98-1,0.09981922,moderate_AEN
588662415089349120,15.69177598381071,42.402965898067094,0.28662670385036776,0.8005733964373942,2.020105,8.417844,11.85068695781931,9.680467,143.71925628754212,9.676860216551562,11.85068695781931,0.05823107,-128.01565813323487,0.06497593,-56.151318993480025,0.06669382,8.417844,0.35548303,137.69847,2875.054,328,2.020105,821-156-1,0.048478022,low_AEN
1586315835424968960,63.871724047741345,1003.0746998531264,0.4607003417389395,1.224961680725845,2.3250043,9.187757,9.227993215844982,6.9671283,226.89180141104967,45.93904706673841,9.227993215844982,0.02606467,-62.165629495266145,0.025479043,27.505034402137923,0.033228487,9.187757,0.2845505,112.19441,4331.3955,409,2.3250043,"",,low_AEN
3414598098103001984,68.10824921186511,34.539745292083616,0.29753577266703685,3.757960007299251,1.2393941,9.73891,7.815030185934085,20.746655,79.32132688433406,21.790077745240495,7.815030185934085,0.020205915,-0.0036103383377037446,0.023374803,-37.70974161323423,0.015203639,9.73891,0.11890863,21.740828,1231.4746,395,1.2393941,"",,low_AEN
2855239699412598912,76.09649155658104,111.96286178709971,0.25582810623341007,2.942145306325354,1.8536521,11.4562645,5.1120731473251695,7.3173447,359.60235825233036,29.402121766313854,5.1120731473251695,0.037653506,-39.68354899999969,0.041429494,-61.97690938404872,0.024455946,11.4562645,0.2687844,125.27131,5033.2656,411,1.8536521,2258-698-1,0.039839357,low_AEN
5409906072658379520,58.42774729431826,32.314733259788326,0.6583940623385895,3.8144412313572595,1.0753875,10.394366,5.0734884137644265,6.596534,145.69203470905342,-47.24296947944202,5.0734884137644265,0.015393101,-39.70095660097705,0.01595649,-2.041254534938778,0.015477445,10.394366,0.14506441,29.924313,1829.6113,455,1.0753875,8172-1445-1,0.016505472,low_AEN
470368604762971392,41.02420201199379,58.74317126081909,0.24342778646607005,1.8554858961496243,1.3656297,10.269596,8.51997047777844,9.0699415,60.45680217685452,58.573911818269394,8.51997047777844,0.02143698,4.996615218957626,0.02375116,-89.65671046430553,0.021353336,10.269596,0.17277355,40.54478,1899.3298,434,1.3656297,3730-1541-1,0.017629249,low_AEN
1551320579337408256,65.57048478538564,30.42990380757467,0.28359558234938953,3.6798714466346047,1.0822719,10.765154,12.30227255359797,16.49588,199.1270326328157,46.837905166299656,12.30227255359797,0.013356933,-156.98189792897983,0.010890583,-75.10927409282739,0.01384715,10.765154,0.09272528,13.781683,1068.8981,501,1.0822719,3460-2109-1,0.042686682,low_AEN
