run,camcol,field,ra,dec,mjd_r,mjd_g,mjd_i
5224,1,392,214.754807220038,20.8613312262248,53462.25569308,53462.25901014,53462.25652234
5224,1,393,214.911398579115,20.8298423534176,53462.25610771,53462.25942477,53462.25693697
5224,1,394,215.067924478477,20.7982097603197,53462.25652234,53462.2598394,53462.25735161
5224,1,395,215.224383123509,20.7664342425996,53462.25693697,53462.26025403,53462.2577662401
5224,1,396,215.380780313631,20.7345049398055,53462.25735161,53462.26066867,53462.25818087
5224,1,397,215.53712085284,20.7024283419268,53462.2577662401,53462.2610833,53462.2585955
5224,1,398,215.693381822396,20.6702092980847,53462.25818087,53462.26149793,53462.25901014
5224,1,399,215.849572873976,20.6378405873241,53462.2585955,53462.26191256,53462.25942477
5224,1,400,216.005692217523,20.6053197827938,53462.25901014,53462.26232719,53462.2598394
5224,1,401,216.16175331377,20.5726562752793,53462.25942477,53462.26274183,53462.26025403
5224,1,402,216.317746261897,20.539843054082,53462.2598394,53462.26315646,53462.26066867
5224,1,403,216.473661199248,20.5068730020162,53462.26025403,53462.2635710901,53462.2610833
5224,1,404,216.62950077131,20.4737501026775,53462.26066867,53462.26398572,53462.26149793
5224,1,405,216.785267908959,20.4404778791529,53462.2610833,53462.26440036,53462.26191256
5224,1,406,216.940977791886,20.4070649476427,53462.26149793,53462.26481499,53462.26232719
5224,1,407,217.096619527163,20.3735065379006,53462.26191256,53462.26522962,53462.26274183
5224,1,408,217.252205033902,20.339809114352,53462.26232719,53462.26564425,53462.26315646
5224,1,409,217.407710994473,20.3059720639603,53462.26274183,53462.26605889,53462.2635710901
5224,1,410,217.563147996602,20.2719968753671,53462.26315646,53462.26647352,53462.26398572
5224,1,411,217.718514361548,20.2378836134554,53462.2635710901,53462.26688815,53462.26440036
5224,1,412,217.873807423815,20.2036308467297,53462.26398572,53462.26730278,53462.26481499
5224,1,413,218.02901179032,20.1692516682776,53462.26440036,53462.26771742,53462.26522962
5224,1,414,218.184140702143,20.1347313339637,53462.26481499,53462.26813205,53462.26564425
5224,1,415,218.339197960912,20.1000582322827,53462.26522962,53462.26854668,53462.26605889
5224,1,416,218.494164374671,20.0651906758141,53462.26564425,53462.26896131,53462.26647352
5224,1,417,218.649067967199,20.0301744968241,53462.26605889,53462.26937595,53462.26688815
5224,1,418,218.803889655572,19.9950077955405,53462.26647352,53462.26979058,53462.26730278
5224,1,419,218.958637935388,19.9596657550178,53462.26688815,53462.2702052099,53462.26771742
5224,1,420,219.113377040336,19.9242441293749,53462.26730278,53462.27061984,53462.26813205
5224,1,421,219.2680617842,19.8887110693658,53462.26771742,53462.27103448,53462.26854668
5224,1,422,219.422682562403,19.8530386791841,53462.26813205,53462.27144911,53462.26896131
5224,1,423,219.577219026441,19.8172164608557,53462.26854668,53462.27186374,53462.26937595
5224,1,424,219.731664950609,19.7812562676161,53462.26896131,53462.27227837,53462.26979058
5224,1,425,219.886030151891,19.7451651521498,53462.26937595,53462.27269301,53462.2702052099
5224,1,426,220.040313669797,19.7089343511892,53462.26979058,53462.2731076401,53462.27061984
5224,1,427,220.194507642185,19.6725503863796,53462.2702052099,53462.27352227,53462.27103448
5224,1,428,220.34861339981,19.6360051370137,53462.27061984,53462.2739369,53462.27144911
5224,1,429,220.502669437456,19.5993199421076,53462.27103448,53462.27435154,53462.27186374
5224,1,430,220.65668207391,19.562520551278,53462.27144911,53462.27476617,53462.27227837
5224,1,431,220.810624500187,19.5256011370671,53462.27186374,53462.2751808,53462.27269301
5224,1,432,220.964480925097,19.4885541753879,53462.27227837,53462.27559543,53462.2731076401
5224,1,433,221.118274495856,19.4513527533535,53462.27269301,53462.27601007,53462.27352227
5224,1,434,221.272001474304,19.4140143206047,53462.2731076401,53462.2764247,53462.2739369
5224,1,435,221.425698463677,19.3764884521724,53462.27352227,53462.27683933,53462.27435154
5224,1,436,221.57931028327,19.3388393855638,53462.2739369,53462.27725396,53462.27476617
5224,1,437,221.732805478878,19.3010954049201,53462.27435154,53462.2776685901,53462.2751808
5224,1,438,221.886198665855,19.2632295028467,53462.27476617,53462.27808323,53462.27559543
5224,1,439,222.039516594396,19.2252366535011,53462.2751808,53462.27849786,53462.27601007
5224,1,440,222.192780077194,19.1870861620926,53462.27559543,53462.27891249,53462.2764247
5224,1,441,222.345990413936,19.148769051084,53462.27601007,53462.27932712,53462.27683933
5224,1,442,222.499125270578,19.1103115907476,53462.2764247,53462.27974176,53462.27725396
5224,1,443,222.652202121696,19.0717034401253,53462.27683933,53462.2801563901,53462.2776685901
5224,2,365,210.583970843069,22.0663536357209,53462.244498,53462.24781506,53462.24532727
5224,2,366,210.742760545122,22.0389578666941,53462.24491263,53462.24822969,53462.2457419
5224,2,367,210.901490421846,22.0113945649639,53462.24532727,53462.24864432,53462.24615653
5224,2,368,211.060172344286,21.983674214102,53462.2457419,53462.24905896,53462.24657116
5224,2,369,211.218786946381,21.9557952558182,53462.24615653,53462.24947359,53462.24698579
5224,2,370,211.377342257928,21.9277802961162,53462.24657116,53462.24988822,53462.24740043
5224,2,371,211.535828538988,21.8996133507173,53462.24698579,53462.25030285,53462.24781506
5224,2,372,211.694263797536,21.8712856507969,53462.24740043,53462.2507174901,53462.24822969
5224,2,373,211.852627098735,21.8427925569569,53462.24781506,53462.25113212,53462.24864432
5224,2,374,212.010921577403,21.814145181375,53462.24822969,53462.25154675,53462.24905896
5224,2,375,212.169141346845,21.7853423927993,53462.24864432,53462.25196138,53462.24947359
5224,2,376,212.327293703103,21.7563799471469,53462.24905896,53462.25237602,53462.24988822
5224,2,377,212.485390544279,21.7272598866855,53462.24947359,53462.25279065,53462.25030285
5224,2,378,212.643432800719,21.6979842403748,53462.24988822,53462.25320528,53462.2507174901
5224,2,379,212.801416230028,21.6685540768112,53462.25030285,53462.2536199099,53462.25113212
5224,2,380,212.959314728747,21.6389524451696,53462.2507174901,53462.25403455,53462.25154675
5224,2,381,213.117129929,21.6091786554949,53462.25113212,53462.25444918,53462.25196138
5224,2,382,213.274882768837,21.5792568540952,53462.25154675,53462.25486381,53462.25237602
5224,2,383,213.432583012092,21.5491927993087,53462.25196138,53462.2552784401,53462.25279065
5224,2,384,213.590234081725,21.5189842001256,53462.25237602,53462.25569308,53462.25320528
5224,2,385,213.747814212965,21.4886276586372,53462.25279065,53462.25610771,53462.2536199099
5224,2,386,213.905333931522,21.4581310275542,53462.25320528,53462.25652234,53462.25403455
5224,2,387,214.062770933807,21.4274829923494,53462.2536199099,53462.25693697,53462.25444918
5224,2,388,214.220150299445,21.396677797004,53462.25403455,53462.25735161,53462.25486381
5224,2,389,214.377451450502,21.3657003479352,53462.25444918,53462.2577662401,53462.2552784401
5224,2,390,214.534692743797,21.3345772515235,53462.25486381,53462.25818087,53462.25569308
