GaiaDR3,M2min,e_M2min,M1,P,e_P,e,e_e,s,sigTI,Class,n_Class,NSGaiaDR3,_RA,_DE
3418769439060150272,0.646349843029341,0.032863581593985,0.53454,603.781872820821,0.939632,0.087322548026164,0.017807,162.83235,4.354351899410316,WD,,NSGaiaDR3,76.16558,24.2211
3598782754069068032,0.63526215556208,0.042623966455066,0.452175,861.9650416148448,14.416473,0.144212596276262,0.027098,112.61044,3.042565802509615,WD,,NSGaiaDR3,176.2898,-5.71298
159844874438662400,0.630254510035683,0.042322234630818,0.475078,973.2867446506212,24.988899,0.080416711472385,0.019697,27.62282,0.413282062506995,WD,,NSGaiaDR3,70.3915,32.20021
4263071704959743360,0.626674308847837,0.05319030958785,0.459571,546.7405077155291,4.914738,0.060455442988347,0.052811,34.93523,2.500578832274047,WD,,NSGaiaDR3,288.96493,-0.82431
5080167483275376000,0.623394959639084,0.046946950585176,0.450153,833.5790823454626,13.013247,0.100725337993001,0.014631,45.7383,1.601502972793656,WD,,NSGaiaDR3,56.22588,-29.20524
2429401251156528384,0.616214638071106,0.041392659187462,0.449022,58.1198863069002,0.013218,0.05644675116842,0.017723,54.45103,2.075136640858769,WD,,NSGaiaDR3,3.33071,-7.99264
5851667407832653440,0.614557963231505,0.050106813144604,0.42255,202.0502933726445,0.505705,0.053844761341143,0.041802,36.86644,2.078921636897459,WD,,NSGaiaDR3,203.42993,-66.48671
4905858464653858944,0.614252072200598,0.043264838207365,0.440171,522.8263128610051,2.714931,0.084684738851148,0.031677,65.94296,0.961882263151879,WD,,NSGaiaDR3,0.63701,-60.66175
5334123401959324672,0.611317312585673,0.034772275509971,0.509119,896.3400952181352,13.848432,0.053643220010316,0.013983,49.72914,4.582259912162391,WD,,NSGaiaDR3,174.20272,-62.09496
1983749087978089344,0.609381379189753,0.037193633821711,0.518747,192.6405000929422,0.726563,0.112398397546799,0.10562,43.77695,1.546717123090806,WD,,NSGaiaDR3,340.33736,47.25393
2057714811427134592,0.608919029514253,0.056517594119935,0.524275,860.3925258647097,43.311356,0.077905272265416,0.076133,12.8996,0.962463127053922,WD,,NSGaiaDR3,306.62931,36.90298
2029454996084346624,0.608628054872959,0.042010992689762,0.502832,449.1710540917031,2.806106,0.094080060007335,0.037654,58.23119,2.829165088983959,WD,,NSGaiaDR3,302.28205,28.94741
5913084821648555520,0.608188045167131,0.0373091153337,0.507522,611.961011438392,8.258076,0.09973266302657,0.040646,49.25461,1.636712282975178,WD,,NSGaiaDR3,261.62761,-58.25475
813135719719859456,0.607492734031672,0.047332996201593,0.371191,482.8904519581013,0.735939,0.056169942131441,0.008525,192.29442,1.243689940455424,WD,,NSGaiaDR3,143.68041,40.32215
233150963936432384,0.606029447619677,0.058400840215356,0.52129,796.9957403810116,35.676544,0.059372717627049,0.047573,15.11824,2.060765878755804,WD,,NSGaiaDR3,60.64267,44.1368
1395978174949708288,0.602662220533244,0.038720093791114,0.522222,543.1966350344964,2.484322,0.133176317880529,0.03608,46.76261,0.651201093692084,WD,,NSGaiaDR3,231.35899,46.7547
1394121134170224512,0.600943558550202,0.040087908156828,0.471314,643.7318798246499,3.534122,0.105181940726857,0.032068,67.01474,3.095945283528425,WD,,NSGaiaDR3,231.76125,43.75488
2094243478217710976,0.599410519290191,0.04964112606913,0.484204,797.9689210733294,22.181082,0.064778234130799,0.043262,20.59069,4.046027017032137,WD,,NSGaiaDR3,278.72397,33.78808
5299929002634004480,0.593659097549419,0.036242389515523,0.453096,507.7200243013839,1.444977,0.397244567357691,0.011957,131.30579,0.200583664224194,WD,,NSGaiaDR3,136.59759,-60.70052
3072288654854260864,0.591834754095502,0.032039819110173,0.493277,608.47293221289,0.613785,0.029838662414401,0.005786,228.71103,1.740012641630974,WD,,NSGaiaDR3,131.2793,-2.06287
1964760831408498304,0.590825310558745,0.040274384363259,0.478611,654.8737998019449,5.257954,0.052030803839939,0.033242,48.29374,3.589113815245337,WD,,NSGaiaDR3,319.6456,38.13957
3014551753093454976,0.589622083347414,0.054508343104224,0.474261,916.2103700041916,48.939697,0.110278804306329,0.072243,14.51638,0.948519080952757,WD,,NSGaiaDR3,79.6446,-8.90214
3253873309421802624,0.589064511617418,0.036230130695019,0.445123,100.1371474449369,0.043956,0.013767516507307,0.010501,167.5406,2.111464051011988,WD,,NSGaiaDR3,64.47625,-2.10873
3906148309035700864,0.588533534873739,0.031974362538405,0.514038,650.9469352241572,1.787509,0.076622166955961,0.013316,122.11247,1.531487653590848,WD,,NSGaiaDR3,180.76168,9.89964
1204789870432946048,0.585067824618155,0.050035328084487,0.419102,552.0534727112707,4.561443,0.129077576119501,0.046465,36.95634,0.801615039286545,WD,,NSGaiaDR3,241.52889,19.95819
5983827326751931648,0.583830956470993,0.050346250695846,0.373439,846.3600068947259,24.904161,0.070471618168152,0.0424,27.2632,1.571526595595457,WD,,NSGaiaDR3,242.91802,-48.15681
4320637632685061248,0.58346639685997,0.032394851464152,0.522605,722.1925043690222,1.753856,0.029084276331403,0.021962,188.50595,4.707322116876668,WD,,NSGaiaDR3,288.16787,15.53788
6083048428569953792,0.58119691297865,0.06268210827051,0.429277,839.5445959406715,41.512539,0.139286994499684,0.103343,16.4675,1.201461532177636,WD,,NSGaiaDR3,202.53086,-48.18653
1496909184851679616,0.578874550059426,0.038555627110039,0.447589,429.9442801651709,1.453793,0.122398118967879,0.026299,76.10589,0.773669722093919,WD,,NSGaiaDR3,207.99311,39.20134
4065778224715865344,0.577825428652623,0.042232119603703,0.387738,644.3503352448806,1.848886,0.043673182724829,0.012452,165.25117,2.181669520977103,WD,,NSGaiaDR3,272.35455,-24.92706
2300870781411307008,0.577571448451196,0.056623819398668,0.348196,935.9115572085088,26.340696,0.077588874226952,0.037034,26.85825,4.691846837623128,WD,,NSGaiaDR3,335.19931,84.93279
526804475032774528,0.576545958427945,0.045319255682151,0.434501,491.0902623623284,3.850181,0.094404587614248,0.033141,32.24945,0.695614655482595,WD,,NSGaiaDR3,13.81855,68.36863
5674676783372468352,0.570729346372481,0.041991704966815,0.491362,869.895289954006,39.352123,0.144510779041775,0.070174,23.11545,0.791737642362768,WD,,NSGaiaDR3,141.33324,-23.89973
6849286605810570752,0.57067452536013,0.051686871823263,0.354005,578.403697068576,3.317232,0.100963115359605,0.044522,50.21345,0.853676987809262,WD,,NSGaiaDR3,305.2467,-24.25246
4566039969296448128,0.566720740393914,0.035734222055771,0.514275,684.1729410110472,4.735903,0.085089471205158,0.023922,54.07019,0.780105699696904,WD,,NSGaiaDR3,251.09285,22.66013
5780641155646533504,0.565714164455019,0.049729034381773,0.335685,540.390760633678,1.548922,0.061569968313102,0.01489,128.86766,2.249949551493844,WD,,NSGaiaDR3,246.35353,-76.39463
4534069465403072640,0.563382845850662,0.036889477911207,0.440069,773.6324113175378,7.655308,0.030481851937137,0.025594,115.29577,1.783548507200442,WD,,NSGaiaDR3,282.33682,23.68342
1886436055442248960,0.561865920013073,0.043340568346612,0.432672,690.9892117895199,3.709429,0.119392842073673,0.040393,64.29321,0.868179301356685,WD,,NSGaiaDR3,344.35009,31.1568
5467622873958750848,0.561792691446948,0.060317115076277,0.287894,670.8068415753745,3.096277,0.061572354250052,0.026668,121.40762,1.019793541979252,WD,,NSGaiaDR3,158.2072,-28.43871
5038672464198039040,0.558076680994534,0.049555179956722,0.368245,534.9729869381636,3.314879,0.094016834078428,0.047372,35.75307,2.002053026838765,WD,,NSGaiaDR3,24.3531,-24.23281
1342378666723266304,0.556803881873916,0.053347244397063,0.364262,818.753013251239,30.59164,0.102598420841585,0.048125,20.39577,5.359960157623176,WD,,NSGaiaDR3,263.48701,36.84935
868863951177644160,0.55494703823423,0.042517479910803,0.456467,465.2259144595547,2.374761,0.069178878890651,0.023825,63.13195,1.20234070266758,WD,,NSGaiaDR3,115.56009,25.94531
2989538791273939200,0.553834283925753,0.041350406413618,0.408427,261.4927944008879,0.49245,0.291482776368489,0.028307,46.63803,0.286244193758221,WD,,NSGaiaDR3,78.0527,-11.60515
2566461354152574976,0.55296950407601,0.043970931370525,0.461101,616.6965613214626,3.52737,0.051361140122912,0.043007,39.83443,0.856638146772487,WD,,NSGaiaDR3,21.04776,7.97691
3464913154642472960,0.552527361005354,0.049826762329154,0.461747,622.5258124129773,9.57219,0.051268208910334,0.078194,29.68898,2.331544104164973,WD,,NSGaiaDR3,175.4603,-34.89992
4040127576266563584,0.552224641542778,0.038230168477896,0.477302,519.635719119208,2.54141,0.10176585827602,0.050352,46.82176,2.930701417855429,WD,,NSGaiaDR3,266.81163,-36.81143
3047635233349460736,0.549692977266166,0.032795531187777,0.476591,231.9774558734138,0.227998,0.038718426573943,0.024049,65.36198,3.432874369967932,WD,,NSGaiaDR3,110.3957,-9.56342
6411562368137194624,0.549354968234441,0.046942386380379,0.475387,989.0820798676804,96.570572,0.249962027281858,0.112426,9.72899,0.495005319048078,WD,,NSGaiaDR3,333.54162,-57.86284
6276650676500243072,0.544594866275377,0.039910265911396,0.418347,879.0642193946674,22.817434,0.095334227543804,0.048179,51.41272,0.473514467284973,WD,,NSGaiaDR3,214.76694,-22.20547
