source_id,Class_shahaf,M2_shahaf,M2_v2,class_v2,tier_v2,filter29,filter30,filter31,filter32,phot_g_mean_mag,bp_rp,significance,period,eccentricity,parallax,nss_parallax,plx_used,plx_source,M1_used,logg_used,logg_source,rv_amp_robust,sini_implied_v2,K_pred_i90_v2,first_fail_main,nss_solution_type
4240540718818313984,NS,1.346037498891683,1.7703975651821802,dormant_NS_candidate,Tier-2 (RV inconclusive — needs follow-up),PASS,PASS,NO_DATA,NO_DATA,14.611237525939941,1.1724119186401367,85.18006134033203,691.1678608875368,0.6181857952373071,1.3661229733580351,2.077808096055644,2.077808096055644,NSS,1.5,3.498699903488159,gspphot,,,,F#5,Orbital
809741149368202752,NS,1.720546547708724,1.753337823633176,dormant_NS_candidate,Tier-2 (RV inconclusive — needs follow-up),PASS,PASS,NO_DATA,NO_DATA,14.908418655395508,0.9661350250244141,13.473051071166992,922.3885089937434,0.3510004554583441,1.32837928661742,1.3832683337826768,1.3832683337826768,NSS,0.9085588455200195,4.611999988555908,gspphot,,,,F#5,Orbital
6593763230249162112,NS,1.691701234623356,1.6743485203700752,dormant_NS_candidate,Tier-2 (RV inconclusive — needs follow-up),PASS,PASS,NO_DATA,NO_DATA,13.537496566772461,0.7967109680175781,23.331449508666992,679.887939268342,0.6127647622203191,1.708834311507164,1.2858263202436686,1.2858263202436686,NSS,0.9995322227478027,4.507900238037109,gspphot,,,,F#5,Orbital
1820819950320873472,NS,0.984859756569442,1.6461152055603567,dormant_NS_candidate,Demoted (failed F#30 K-giant chromatic),PASS,FAIL,NO_DATA,NO_DATA,15.675662994384766,1.4440412521362305,46.4150276184082,285.38339981510705,0.13229827702554386,3.5620590966858745,3.237962321510956,3.237962321510956,NSS,1.5,,NONE,,,,F#5,Orbital
2397135910639986304,NS,1.529251236131885,1.6188980404039799,dormant_NS_candidate,Tier-2 (RV inconclusive — needs follow-up),PASS,PASS,NO_DATA,NO_DATA,13.346147537231445,0.7187967300415039,43.8110237121582,916.0157822158293,0.5636741757588812,1.1998042607367263,2.042132357330552,2.042132357330552,NSS,1.103183388710022,4.5295000076293945,gspphot,,,,F#5,Orbital
4618063808640529920,NS,1.051362284923668,1.6100424797763218,dormant_NS_candidate,Demoted (failed F#30 K-giant chromatic),PASS,FAIL,NO_DATA,NO_DATA,15.10696792602539,1.3009567260742188,42.44588088989258,160.91823642220157,0.19569662525439668,2.787185158935166,2.6916142979321536,2.6916142979321536,NSS,1.5,4.677999973297119,gspphot,,,,F#5,Orbital
6481502062263141504,NS,1.308505102469397,1.5793044016612536,dormant_NS_candidate,Tier-2 (RV inconclusive — needs follow-up),PASS,PASS,NO_DATA,NO_DATA,13.579686164855957,0.7560529708862305,48.481109619140625,229.68372830263812,0.30424572364805097,1.923408233775909,1.7350133305657331,1.7350133305657331,NSS,1.5,,NONE,,,,F#5,Orbital
347695336533949440,NS,0.877704948840798,1.5747873187246864,dormant_NS_candidate,Demoted (failed F#30 K-giant chromatic),PASS,FAIL,NO_DATA,NO_DATA,15.90019702911377,1.7447776794433594,11.242593765258789,836.6169219627163,0.8221018701342295,2.9420806665657313,4.407716411609814,4.407716411609814,NSS,1.5,4.613800048828125,gspphot,,,,F#2,Orbital
3389767036738482432,NS,1.199770180155875,1.561595858331129,dormant_NS_candidate,Demoted (failed F#30 K-giant chromatic),PASS,FAIL,NO_DATA,NO_DATA,14.723441123962402,1.340397834777832,55.492340087890625,717.2313897113473,0.14176490248198637,3.216528738728186,1.8494610155805042,1.8494610155805042,NSS,1.5,4.587299823760986,gspphot,,,,F#5,Orbital
2469926638416055168,NS,1.170637770991652,1.5532480413265923,dormant_NS_candidate,Tier-2 (RV inconclusive — needs follow-up),PASS,PASS,NO_DATA,NO_DATA,15.449045181274414,1.1878166198730469,18.151521682739258,582.1272644608122,0.7429396940132635,0.47674264181020903,2.5546225069782666,2.5546225069782666,NSS,1.0254485607147217,3.8889000415802,gspphot,,,,F#4,Orbital
