ra,dec,mjd,mag_auto,filter,class_star
249.50326900665095,-28.941169232410633,56814.13543812651,22.58544,r,0.462405
249.50317543905777,-28.93956368499998,56814.13543812651,21.85012,r,0.642274
249.50334059893578,-28.93628867028489,56814.13543812651,21.654022,r,0.52425
249.50262301352868,-28.942536603328772,56814.13543812651,22.400501,r,0.481147
249.50197596126154,-28.940190252742294,56814.13543812651,20.268526,r,0.979007
249.5019854774114,-28.935983054577797,56814.13543812651,20.110418,r,0.98091
249.50118424030708,-28.939323841448292,56814.13543812651,20.946283,r,0.886601
249.50028094011267,-28.93491172696152,56814.13543812651,19.39058,r,0.98239
249.499798029292,-28.936011024310332,56814.13543812651,19.523111,r,0.863337
249.499715743107,-28.936882659837906,56814.13543812651,21.277647,r,0.601685
249.49858044465253,-28.940603036288646,56814.13543812651,16.97466,r,0.983784
249.4990261948094,-28.943314400568756,56814.13543812651,17.740107,r,0.982741
249.4991920244453,-28.9445100251833,56814.13543812651,20.758966,r,0.963398
249.49886519298656,-28.934360465279077,56814.13543812651,21.270216,r,0.941757
249.49722856621295,-28.934358282892077,56814.13543812651,22.289902,r,0.508569
249.49683403239735,-28.94170951212833,56814.13543812651,21.189114,r,0.886467
249.49638860273336,-28.94108388977743,56814.13543812651,21.557802,r,0.716368
249.49600083668201,-28.94361424158326,56814.13543812651,22.289135,r,0.504999
249.4926651578396,-28.939348066700873,56814.13543812651,19.576948,r,0.981375
249.4945901774191,-28.936171133611367,56814.13543812651,21.976343,r,0.358853
249.50420815113216,-28.939154200933928,56814.30355290463,20.368307,r,0.891487
249.5031511173915,-28.937842627185763,56814.30355290463,21.075624,r,0.965423
249.50326941536153,-28.941192246861615,56814.30355290463,22.54838,r,0.503459
249.503179509938,-28.93957929133867,56814.30355290463,21.981403,r,0.738669
249.50259924331937,-28.942555869020776,56814.30355290463,22.431509,r,0.51319
249.5019678641236,-28.940194016554308,56814.30355290463,20.258635,r,0.981696
249.49885242468375,-28.934361038202123,56814.30355290463,21.303053,r,0.936777
249.50028092558787,-28.934902216653548,56814.30355290463,19.351004,r,0.978931
249.5011577698979,-28.939333728692006,56814.30355290463,21.281958,r,0.396014
249.50030755893604,-28.938144447541028,56814.30355290463,16.60692,r,0.984259
249.49968775470532,-28.936885125245794,56814.30355290463,21.321177,r,0.712476
249.4985800382337,-28.940603672132376,56814.30355290463,16.979586,r,0.983788
249.49857623106914,-28.939242265709606,56814.30355290463,19.18835,r,0.910208
249.49902327742353,-28.943318924144116,56814.30355290463,17.74116,r,0.980389
249.49917374611036,-28.944517728009505,56814.30355290463,20.759195,r,0.97534
249.49866171797507,-28.938014809082297,56814.30355290463,20.25773,r,0.479167
249.4971950527175,-28.93434583600675,56814.30355290463,22.449259,r,0.504731
249.49682119042401,-28.941707518726155,56814.30355290463,21.328308,r,0.789584
249.4964062566962,-28.9411097441452,56814.30355290463,21.784996,r,0.150551
249.4959703760446,-28.943638289532128,56814.30355290463,22.20512,r,0.55252
249.49444980928467,-28.938936704649354,56814.30355290463,17.446314,r,0.983574
249.49265820534634,-28.93935020162012,56814.30355290463,19.566978,r,0.981542
249.50419555616205,-28.93916646462394,58643.24001601804,21.062525,g,0.980078
249.50314882021485,-28.93784962456694,58643.24001601804,22.243233,g,0.928833
249.50258371365902,-28.942563957689043,58643.24001601804,23.255737,g,0.418478
249.5019666572752,-28.940195276726943,58643.24001601804,20.874136,g,0.978395
249.50195264902175,-28.935986805889943,58643.24001601804,20.734533,g,0.981719
249.50118737452883,-28.939344374704067,58643.24001601804,22.072926,g,0.944803
249.50030023347105,-28.93815095239666,58643.24001601804,17.504097,g,0.984753
249.49980403520675,-28.93602175113102,58643.24001601804,20.382795,g,0.981859
249.4996912641894,-28.93690987237374,58643.24001601804,21.712547,g,0.353019
249.4987024089465,-28.937992019192148,58643.24001601804,21.157675,g,0.087078
249.49818653896455,-28.936801103551726,58643.24001601804,17.434084,g,0.983673
249.4988505919424,-28.935921884275874,58643.24001601804,22.59261,g,0.897664
249.500271940009,-28.934912317054472,58643.24001601804,20.021486,g,0.982662
249.4990161359879,-28.943339559247136,58643.24001601804,18.629513,g,0.98358
249.49917897200484,-28.944529594364884,58643.24001601804,21.869871,g,0.956196
249.49857570323456,-28.940605008189383,58643.24001601804,17.688992,g,0.98464
249.4985781065882,-28.939236948706856,58643.24001601804,20.053318,g,0.982346
249.49884758574723,-28.934379380007133,58643.24001601804,22.004057,g,0.955392
249.49718026255533,-28.934385544554395,58643.24001601804,23.179916,g,0.532029
249.49682539771106,-28.941765205008835,58643.24001601804,22.738546,g,0.670444
249.49444176520333,-28.9389471490316,58643.24001601804,18.55342,g,0.984007
249.49262822038497,-28.939372545681906,58643.24001601804,20.664827,g,0.980223
249.50316869609992,-28.937837848687014,56417.25929708313,21.015095,r,0.97824
249.50333286039321,-28.936202879890335,56417.25929708313,21.472494,r,0.057304
249.5032463123601,-28.94118634153811,56417.25929708313,22.348478,r,0.747323
249.50262139602268,-28.942537958621326,56417.25929708313,22.228933,r,0.678965
249.5019869400524,-28.935978579118665,56417.25929708313,20.093857,r,0.982218
249.4988527405592,-28.934360948744082,56417.25929708313,21.283255,r,0.975202
249.4968351929968,-28.941721265254117,56417.25929708313,21.296608,r,0.971737
249.49639943569625,-28.941076361574137,56417.25929708313,21.705364,r,0.210895
249.500274155952,-28.934903289565952,56417.25929708313,19.391516,r,0.982455
249.49730510185532,-28.940826144082763,56417.25929708313,22.299746,r,0.738807
