ra,dec,mjd,mag_auto,magerr_auto,filter,fwhm,class_star,exposure
244.1293661493924,-26.746744152784228,57890.19392873626,21.377907,0.148564,Y,1.22423,0.516452,c4d_170517_044237_ooi_Y_v1
244.12897529821265,-26.74349753726966,57890.19392873626,19.618387,0.048722,Y,1.082164,0.921388,c4d_170517_044237_ooi_Y_v1
244.12874121618069,-26.745200681157147,57890.19392873626,18.155539,0.015284,Y,0.849307,0.982586,c4d_170517_044237_ooi_Y_v1
244.12766229320857,-26.744186719641775,57890.19392873626,20.569563,0.115339,Y,1.078161,0.927514,c4d_170517_044237_ooi_Y_v1
244.1254757068121,-26.745391311867973,57890.19392873626,18.181393,0.01577,Y,0.845036,0.982856,c4d_170517_044237_ooi_Y_v1
244.1253140540557,-26.750552619408715,57890.19392873626,19.423935,0.040832,Y,0.898475,0.976862,c4d_170517_044237_ooi_Y_v1
244.1251164642975,-26.746315850710555,57890.19392873626,19.832773,0.063648,Y,0.899543,0.966904,c4d_170517_044237_ooi_Y_v1
244.12383117529416,-26.742461279335128,57890.19392873626,17.508457,0.009276,Y,0.845358,0.98229,c4d_170517_044237_ooi_Y_v1
244.12362127506606,-26.746024039322776,57890.19392873626,20.355654,0.080463,Y,1.078854,0.927807,c4d_170517_044237_ooi_Y_v1
244.12328397149204,-26.747803339706223,57890.19392873626,21.223175,0.119873,Y,1.333684,0.627316,c4d_170517_044237_ooi_Y_v1
244.12320944105446,-26.744521709348557,57890.19392873626,20.698357,0.103707,Y,2.32996,0.017038,c4d_170517_044237_ooi_Y_v1
244.11914985279353,-26.745437344983934,57890.19392873626,18.779213,0.029231,Y,0.975677,0.924754,c4d_170517_044237_ooi_Y_v1
244.1293798906276,-26.74677338494663,56784.301271403674,21.548971,0.115517,i,1.353961,0.749275,c4d_140507_071553_ooi_i_v1
244.12898863131298,-26.743496935149754,56784.301271403674,20.008657,0.028999,i,1.092465,0.981898,c4d_140507_071553_ooi_i_v1
244.12511071323368,-26.746299300264994,56784.301271403674,20.895414,0.056148,i,1.149553,0.965307,c4d_140507_071553_ooi_i_v1
244.1238372600672,-26.742458465456988,56784.301271403674,17.92687,0.006228,i,1.029554,0.983935,c4d_140507_071553_ooi_i_v1
244.1253110272948,-26.750544464479326,56784.301271403674,19.984137,0.027797,i,1.054252,0.980749,c4d_140507_071553_ooi_i_v1
244.12333135498878,-26.747770837701108,56784.301271403674,22.06175,0.138926,i,1.642056,0.501096,c4d_140507_071553_ooi_i_v1
244.1293846342573,-26.746783818091778,56353.310142841656,21.776243,0.148907,r,2.521999,0.561207,tu2037331
244.1289885573402,-26.743487242726058,56353.310142841656,20.503408,0.057749,r,1.794951,0.957784,tu2037331
244.12874841150517,-26.745199970711205,56353.310142841656,19.311274,0.019954,r,1.477532,0.981739,tu2037331
