ra,dec,mjd,mag_auto,magerr_auto,filter,fwhm,class_star,exposure
259.26166733980665,-32.57374901294388,57624.18272878695,19.529255,0.03977,r,1.428078,0.978026,c4d_160824_042426_ooi_r_v1
259.2607470985236,-32.56543018742,57624.18272878695,17.832418,0.011183,r,1.401883,0.983085,c4d_160824_042426_ooi_r_v1
259.2602691064388,-32.57449025448795,57624.18272878695,19.120022,0.02632,r,1.40911,0.980547,c4d_160824_042426_ooi_r_v1
259.2605128001247,-32.570042392912306,57624.18272878695,20.312885,0.106614,r,1.53691,0.844348,c4d_160824_042426_ooi_r_v1
259.26012891366906,-32.56672891388076,57624.18272878695,20.734514,0.124475,r,2.319536,0.483676,c4d_160824_042426_ooi_r_v1
259.25929421477514,-32.57392305640781,57624.18272878695,20.67796,0.083441,r,1.465883,0.889365,c4d_160824_042426_ooi_r_v1
259.2592645434883,-32.56886508128403,57624.18272878695,21.76357,0.159636,r,1.960423,0.485843,c4d_160824_042426_ooi_r_v1
259.258670053742,-32.57164263705027,57624.18272878695,20.844812,0.135891,r,1.930964,0.667632,c4d_160824_042426_ooi_r_v1
259.2586631983911,-32.56586501294129,57624.18272878695,20.819304,0.085535,r,1.468768,0.851196,c4d_160824_042426_ooi_r_v1
259.2584709720708,-32.57080288731722,57624.18272878695,20.890457,0.088268,r,1.487966,0.872836,c4d_160824_042426_ooi_r_v1
259.2666690175908,-32.569701114186174,57164.42680271296,20.866505,0.094181,VR,2.292759,0.634182,c4d_150522_101606_ooi_VR_v2
259.26788603206626,-32.568575622138326,57164.42680271296,19.36325,0.03022,VR,1.043747,0.978614,c4d_150522_101606_ooi_VR_v2
259.26752618924303,-32.56932204772227,57164.42680271296,18.69859,0.018929,VR,1.113012,0.982213,c4d_150522_101606_ooi_VR_v2
259.26708289783153,-32.567535098146415,57164.42680271296,19.496567,0.03233,VR,1.015909,0.97444,c4d_150522_101606_ooi_VR_v2
259.26506441785324,-32.57129569180298,57164.42680271296,16.58178,0.004789,VR,1.760205,0.981758,c4d_150522_101606_ooi_VR_v2
