ra,dec,mjd,mag_auto,filter,class_star
249.39802775205922,-28.92943042188742,56831.08400567714,18.600649,r,0.986898
249.39819822648656,-28.931357390753423,56831.08400567714,23.366991,r,0.834151
249.39789336499527,-28.935037164750348,56831.08400567714,22.02087,r,0.968114
249.39746759879972,-28.930671061946107,56831.08400567714,20.347748,r,0.981559
249.39702076833095,-28.928770199798294,56831.08400567714,22.638609,r,0.526573
249.39683250735516,-28.927115833187862,56831.08400567714,22.76596,r,0.743462
249.39630141752582,-28.926701670887788,56831.08400567714,22.517084,r,0.902406
249.39667289669737,-28.926034946673177,56831.08400567714,22.40662,r,0.971267
249.39563666655354,-28.934456074739078,56831.08400567714,22.942808,r,0.716461
249.39565696581704,-28.934979278888218,56831.08400567714,21.552542,r,0.974894
249.39522149268626,-28.935327273373886,56831.08400567714,20.69002,r,0.983186
249.39561143381684,-28.930149784336276,56831.08400567714,22.368288,r,0.975299
249.39552361258336,-28.927175358231803,56831.08400567714,23.08862,r,0.918908
249.39494610276685,-28.929103641019978,56831.08400567714,19.14414,r,0.914322
249.3942254162281,-28.933598201009367,56831.08400567714,21.194574,r,0.980695
249.39362726383223,-28.930358457749907,56831.08400567714,23.272108,r,0.940275
249.39265645289098,-28.929226886316012,56831.08400567714,20.09815,r,0.98244
249.39263375713267,-28.932366777962326,56831.08400567714,20.084476,r,0.98191
249.39191674570762,-28.931754240242874,56831.08400567714,19.794756,r,0.983992
249.39276362621393,-28.92786271259004,56831.08400567714,21.748293,r,0.976529
249.39234276773624,-28.928059276093034,56831.08400567714,22.471003,r,0.95974
249.39151150571217,-28.929530560793157,56831.08400567714,20.60081,r,0.981602
249.3912438826734,-28.930021632242173,56831.08400567714,22.5051,r,0.960332
249.3914670498876,-28.928663878200076,56831.08400567714,21.42687,r,0.9782
249.39148024361975,-28.926730467670183,56831.08400567714,21.673933,r,0.983192
249.39106033586015,-28.930698551529122,56831.08400567714,23.215485,r,0.911768
249.3933805214967,-28.928763871509165,56831.08400567714,22.889368,r,0.749807
249.40173454996045,-28.92922695456403,58715.97535911389,19.611143,i,0.982105
249.39954866257258,-28.92550322869317,58715.97535911389,19.810026,i,0.981
249.39787317565438,-28.925057421234136,58715.97535911389,17.074326,i,0.985117
