gaia,set
1047677699001258880,shahaf2024_nonclassI
1048236491426482688,unified:Tier-2 (P-degenerate compact-object cand|v3_acceleration
1048253838798105600,shahaf2024_nonclassI
1048474668836850816,unified:Demoted (failed F#31 phantom RV)|v3_acceleration
1048937498807723136,unified:Demoted (RV-joint short-P mass is WD/low|v3_acceleration
1049002473073801088,unified:Tier-2 (P-degenerate compact-object cand|v3_acceleration
1049295596001558400,shahaf2024_nonclassI
1049486086391100032,shahaf2024_nonclassI
1049511340798780800,unified:Demoted (failed F#30 K-giant chromatic)|v3_acceleration
1050045394212907520,shahaf2024_nonclassI
1050053709269590272,shahaf2024_nonclassI
1050067659323348352,unified:Demoted (failed F#30 K-giant chromatic)|v3_acceleration
1050086385380736768,shahaf2024_nonclassI
1050412936037669504,unified:Demoted (RV-joint short-P mass is WD/low|v3_acceleration
1050435720840784512,unified:Demoted (failed F#30 K-giant chromatic)|v3_acceleration
1050550173128429568,shahaf2024_nonclassI
1051176001403973632,unified:Tier-2 (P-degenerate compact-object cand|v3_acceleration
1051780423560984576,unified:Demoted (failed F#30 K-giant chromatic)|v3_acceleration
1051818734669320320,shahaf2024_nonclassI
1052725934841506176,shahaf2024_nonclassI
1052909862520596608,shahaf2024_nonclassI
1053045858365194624,unified:Demoted (failed F#30 K-giant chromatic)|v3_acceleration
1053218584770328448,shahaf2024_nonclassI
1053852728101546368,shahaf2024_nonclassI
1054045589312981376,shahaf2024_nonclassI
1054323662675206016,unified:Tier-2 (P-degenerate compact-object cand|v3_acceleration
1054873074891991680,unified:Demoted (RV-joint short-P mass is WD/low|v3_acceleration
1054916917918192000,shahaf2024_nonclassI
1055161937211549824,unified:Demoted (failed F#30 K-giant chromatic)|v3_acceleration
1055461725929836544,shahaf2024_nonclassI
1055624453650638336,unified:Demoted (RV-joint short-P mass is WD/low|v3_acceleration
1056258390823411584,shahaf2024_nonclassI
1056306357018175872,unified:Demoted (failed F#30 K-giant chromatic)|v3_acceleration
1056327037284786048,unified:Tier-2 (P-degenerate compact-object cand|v3_acceleration
1056618858838438016,unified:Demoted (RV-joint short-P mass is WD/low|v3_acceleration
1057897075465469952,unified:Demoted (RV-joint short-P mass is WD/low|v3_acceleration
1057925525329308800,unified:Demoted (failed F#30 K-giant chromatic)|v3_acceleration
1058339182219173504,shahaf2024_nonclassI
1058677969239705600,shahaf2024_nonclassI
1058875159778407808,amrf3_halbwachs2023;shahaf2024_nonclassI
1058923641368980352,shahaf2024_nonclassI
1059396225210265472,shahaf2024_nonclassI
1059660073641246080,unified:Tier-2 (P-degenerate compact-object cand|v3_acceleration
1060507419149236992,shahaf2024_nonclassI
1060652279806014208,unified:Demoted (failed F#30 K-giant chromatic)|v3_acceleration
1061034119578929536,shahaf2024_nonclassI
1061145445131194240,shahaf2024_nonclassI
1061220727317908224,unified:Tier-2 (P-degenerate compact-object cand|v3_acceleration
1061280959939235712,unified:Demoted (failed F#30 K-giant chromatic)|v3_acceleration
1061350057372732288,unified:Tier-2 (P-degenerate compact-object cand|v3_acceleration
1061408709446139776,shahaf2024_nonclassI
1061555837846061312,unified:Tier-2 (P-degenerate compact-object cand|v3_acceleration
1061997085606128512,unified:Demoted (failed F#30 K-giant chromatic)|v3_acceleration
1062245540874205952,shahaf2024_nonclassI
1062355148439440512,shahaf2024_nonclassI
1062891675754462976,shahaf2024_nonclassI
1063125115817132416,unified:Tier-2 (P-degenerate compact-object cand|v3_acceleration
1063513483939658112,unified:Demoted (failed F#30 K-giant chromatic)|v3_acceleration
1063982631807598336,shahaf2024_nonclassI
1064138281422397312,unified:Demoted (failed F#30 K-giant chromatic)|v3_acceleration
1064474418446688768,unified:Tier-2 (P-degenerate compact-object cand|v3_acceleration
1064480538776963200,unified:Demoted (RV-joint short-P mass is WD/low|v3_acceleration
1064796510930237440,unified:Demoted (RV-joint short-P mass is WD/low|v3_acceleration
1064841006791573504,unified:Demoted (failed F#30 K-giant chromatic)|v3_acceleration
1065461990342881664,shahaf2024_nonclassI
1065890559359361280,shahaf2024_nonclassI
1066051878330945920,unified:Demoted (RV-joint short-P mass is WD/low|v3_acceleration
1066110289886213248,unified:Tier-2 (P-degenerate compact-object cand|v3_acceleration
1066133139112143360,unified:Tier-2 (P-degenerate compact-object cand|v3_acceleration
1066434027341136768,unified:Tier-2 (P-degenerate compact-object cand|v3_acceleration
1066559951486322048,unified:Demoted (RV-joint short-P mass is WD/low|v3_acceleration
1066713612532078592,unified:Tier-2 (P-degenerate compact-object cand|v3_acceleration
1067822023332386560,unified:Tier-2 (P-degenerate compact-object cand|v3_acceleration
1068137686248687488,unified:Demoted (failed F#30 K-giant chromatic)|v3_acceleration
1069625084962785024,unified:Tier-2 (P-degenerate compact-object cand|v3_acceleration
1069681709811602944,shahaf2024_nonclassI
1069769979979495296,shahaf2024_nonclassI
1069818564649520000,shahaf2024_nonclassI
1070272559872690432,unified:Tier-2 (P-degenerate compact-object cand|v3_acceleration
1070303414917687936,shahaf2024_nonclassI
1070865505877849088,shahaf2024_nonclassI
1070972566526493184,unified:Demoted (failed F#30 K-giant chromatic)|v3_acceleration
1071336715329856768,unified:Tier-2 (P-degenerate compact-object cand|v3_acceleration
1071650110503409280,shahaf2024_nonclassI
1071957694585559296,unified:Demoted (RV-joint short-P mass is WD/low|v3_acceleration
1072352148677725312,unified:Demoted (RV-joint short-P mass is WD/low|v3_acceleration
1072355687730786176,unified:Demoted (failed F#30 K-giant chromatic)|v3_acceleration
1072498619946582016,unified:Demoted (RV-joint short-P mass is WD/low|v3_acceleration
1073443925068521216,shahaf2024_nonclassI
1073479732211726976,shahaf2024_nonclassI
1074467059293639552,unified:Demoted (RV-joint short-P mass is WD/low|v3_acceleration
1074804025247693696,unified:Demoted (failed F#30 K-giant chromatic)|v3_acceleration
1074900747911394560,unified:Tier-2 (P-degenerate compact-object cand|v3_acceleration
1074990972288418432,unified:Demoted (failed F#30 K-giant chromatic)|v3_acceleration
1074993450485374336,unified:Demoted (failed F#30 K-giant chromatic)|v3_acceleration
1075031310621259776,unified:Demoted (failed F#30 K-giant chromatic)|v3_acceleration
1075266919643369088,unified:Tier-2 (P-degenerate compact-object cand|v3_acceleration
1075384017631585792,shahaf2024_nonclassI
1076068012647254784,unified:Demoted (failed F#30 K-giant chromatic)|v3_acceleration
1076087361476162560,shahaf2024_nonclassI
1076118044722017664,unified:Tier-2 (P-degenerate compact-object cand|v3_acceleration
1076145601232164608,unified:Demoted (RV-joint short-P mass is WD/low|v3_acceleration
107614979742188160,unified:Demoted (RV-joint short-P mass is WD/low|v3_acceleration
1076202294800574848,amrf3_halbwachs2023;shahaf2024_nonclassI
1076275171805832064,unified:Demoted (failed F#30 K-giant chromatic)|v3_acceleration
1076468101736833024,unified:Demoted (failed F#30 K-giant chromatic)|v3_acceleration
1076699377136282240,unified:Demoted (failed F#30 K-giant chromatic)|v3_acceleration
1076807369793400704,shahaf2024_nonclassI
1077016414441693440,unified:Tier-2 (P-degenerate compact-object cand|v3_acceleration
1077100561440894720,unified:Demoted (RV-joint short-P mass is WD/low|v3_acceleration
1077184227403801984,unified:Tier-2 (P-degenerate compact-object cand|v3_acceleration
1077284763998216576,shahaf2024_nonclassI
1079564670078194816,shahaf2024_nonclassI
1080111196076768512,shahaf2024_nonclassI
1080545949846246272,unified:Demoted (failed F#30 K-giant chromatic)|v3_acceleration
1080565569256845568,unified:Tier-2 (RV inconclusive — needs follow-u|v2_orbital
1081003582905881856,unified:Tier-2 (P-degenerate compact-object cand|v3_acceleration
1081037530326908672,unified:Demoted (RV-joint short-P mass is WD/low|v3_acceleration
1081716448693408896,unified:Tier-2 (P-degenerate compact-object cand|v3_acceleration
1081869796205654400,shahaf2024_nonclassI
1082252284517368192,unified:Demoted (RV-joint short-P mass is WD/low|v3_acceleration
1082316026127853312,unified:Tier-2 (P-degenerate compact-object cand|v3_acceleration
