gaia,n,nnight,base,insts,chi2_const,dof,drv,set
1351506674817850368,5,5,31.0,APOGEE,7.80234147631834,4,0.6373300000000057,unified:Tier-2 (P-degenerate compact-object cand|v3_acceleration
1352165724663719936,3,3,1447.0,APOGEE,8568.930220766644,2,28.812569999999997,unified:Demoted (failed F#30 K-giant chromatic)|v3_acceleration
1356012606612285312,2,2,1.0,APOGEE,0.5399434853383831,1,0.21114000000000033,shahaf2024_nonclassI
1357022959014294528,7,7,1195.0,APOGEE,81.13936460598168,6,1.9060699999999997,unified:Tier-2 (P-degenerate compact-object cand|v3_acceleration
1357137411302731648,4,4,48.0,APOGEE,2.655953085916041,3,0.692619999999998,unified:Demoted (failed F#30 K-giant chromatic)|v3_acceleration
1360272290752215296,1,1,0.0,BOSS,0.0,0,0.0,shahaf2024_nonclassI
1360281430442486144,2,2,0.9979513888902147,BOSS,0.23108004900893897,1,3.805410000000002,shahaf2024_nonclassI
1360482744154513024,1,1,0.0,BOSS,0.0,0,0.0,shahaf2024_nonclassI
1363205650336460672,2,2,0.9462037037010305,BOSS,0.28434651733374644,1,3.5720600000000005,shahaf2024_nonclassI
1376277331761668736,1,1,0.0,APOGEE,0.0,0,0.0,unified:Demoted (RV-joint short-P mass is WD/low|v3_acceleration
1378352728678824832,4,4,10.0,APOGEE,0.6301410115866375,3,0.20985000000000298,unified:Demoted (failed F#30 K-giant chromatic)|v3_acceleration
1379150557507688960,4,4,741.0,APOGEE,15083.027045066272,3,38.80329,unified:Tier-2 (NSS period non-significant — nee|v2_orbital
1379656676453387136,7,7,22.02453703703941,BOSS,1.0493493974114072,6,6.6491299999999995,unified:Tier-2 (P-degenerate compact-object cand|v3_acceleration
1379769037094732288,2,2,1.0,APOGEE,0.07299790771405966,1,0.0831780000000002,shahaf2024_nonclassI
1380151151744596224,4,4,1122.0,APOGEE,1800.5506037984153,3,9.053560000000001,unified:Demoted (RV-joint short-P mass is WD/low|v3_acceleration
1380329410067173120,3,3,299.0,APOGEE,1362.798561972295,2,9.980739999999997,shahaf2024_nonclassI
1380401806036107648,3,3,26.0,APOGEE,1.009550053629355,2,0.29161999999999466,unified:Demoted (failed F#31 phantom RV)|v3_acceleration
1380637990581925888,4,4,741.0,APOGEE,6576.8183387968675,3,19.467315,shahaf2024_nonclassI
1380924928757097984,12,12,1925.0,APOGEE,41269.346824375985,11,42.07221,shahaf2024_nonclassI
