source_id,nss_solution_type,period,period_error,t_periastron,t_periastron_error,eccentricity,eccentricity_error,a_thiele_innes,b_thiele_innes,f_thiele_innes,g_thiele_innes,a_thiele_innes_error,b_thiele_innes_error,f_thiele_innes_error,g_thiele_innes_error,arg_periastron,semi_amplitude_primary,semi_amplitude_primary_error,center_of_mass_velocity,parallax,parallax_error,significance,goodness_of_fit
1435434905626849280,Orbital,246.82285142293335,1.2215923,-72.661942349957,12.595636,0.1997873784543891,0.09588905,-0.1326792492610473,-0.1346828293873814,-0.0321071365854895,-0.4295044389497103,0.01895587,0.14075002,0.044599056,0.045196217,,,,,1.2776067300411238,0.012191487,19.279394,-3.0535438
1380329410067173120,Orbital,993.9518581071824,19.883947,384.6328427921558,27.586573,0.0931162493562506,0.018688018,1.7741765963600145,-1.4179458941877854,-2.242971746398447,-2.257698220968287,0.5146257,0.4599715,0.33160418,0.3166688,,,,,3.5938217702534265,0.018349394,43.863464,2.7259579
1528621780256720256,Orbital,588.4145363663968,0.69371563,95.84182849979884,8.81889,0.076876102843336,0.005314832,-0.9162028545571248,-2.8427489215069848,-3.3473710742320346,0.6156097292237961,0.3279516,0.06572683,0.09812438,0.2767254,,,,,5.126827939722073,0.016968466,235.94798,1.2537205
1535561309238592384,Orbital,626.2623351304443,2.1234176,-162.87865105700996,4.5849485,0.3364347506115088,0.01536742,1.6625894517274222,1.5198154102808383,-2.0917290449489574,1.325041295401776,0.09162781,0.06349815,0.080867425,0.079090856,,,,,3.071680446757274,0.029537922,88.94487,8.935229
1563780481323958784,Orbital,721.0928283295619,5.2690587,-27.666830354450564,5.221509,0.3722639304373115,0.03418895,-0.8544633968985673,1.0256667122551144,0.9206967429081632,0.7567454041161682,0.04470352,0.03878522,0.05052803,0.05521293,,,,,1.8292843888951151,0.022225369,65.71586,6.303509
1593152388271709824,Orbital,597.3647138061286,3.6057744,87.5522071111738,5.098548,0.4039904374551468,0.02697989,1.8988270743360869,-0.3755468572245139,-0.1277078790196978,0.6015949410362212,0.020028662,0.03577749,0.09364528,0.0268426,,,,,2.130716293733582,0.015958076,104.54188,9.700254
1141632651223406080,Orbital,732.6244143588896,5.644369,134.70847199590094,10.819688,0.2143261852790598,0.019034993,0.1279719027461312,-1.2287144390075526,1.4978224020783102,0.3528794288750487,0.13811922,0.039187618,0.02876507,0.11834899,,,,,2.3463082077559583,0.015141847,77.35373,1.7096595
1626481304425104128,Orbital,974.5299455866976,15.601968,-332.478097417539,7.354217,0.2916374212806716,0.009916905,-0.8453120502658334,2.522837443787117,-2.92909759029503,-0.0608958958861353,0.19784322,0.07827201,0.05275853,0.15945044,,,,,3.509862489499414,0.014309885,44.827236,-0.78395635
1380637990581925888,AstroSpectroSB1,205.60117856524255,0.5207707,3.5071942792395183,1.2994733,0.6666471830186974,0.04545275,0.5237795987848037,0.529949231094301,-0.4010662243821945,0.6376334065671653,0.021779208,0.0395419,0.035419248,0.053412132,,,,7.447730857610607,1.9686845507116129,0.012617821,20.404272,3.934344
1033788599399355904,Orbital,698.5586373201884,1.278905,-225.3612709093209,10.031289,0.1692248207270154,0.008101481,-3.1750984211736797,1.3277091472744935,2.478949196051511,1.8963280152827544,0.21496828,0.16203672,0.27733314,0.118717246,,,,,5.264707711642268,0.026018845,254.56723,0.37627524
1541763761706424320,SB1,1052.7888526241793,117.90115,-400.54385478609134,35.6044,0.4288743808881325,0.06832154,,,,,,,,,351.6382648499465,7.920442483997717,0.6324918,-1.2816117659069906,,,12.5226,-0.6534416
1296047548831206144,Orbital,185.48338463357325,0.7150594,-58.60592878436171,5.365626,0.2238352727266509,0.09734046,0.794338820976887,0.1715324726245427,-0.398779039492672,-0.1187757409671913,0.07449001,0.030692773,0.17525601,0.037810545,,,,,3.127852136775695,0.018785533,26.559597,4.2560935
1586639224986627968,SB1,1008.5114768921412,42.280094,-442.54188962668246,15.5422535,0.6400793862846156,0.06687619,,,,,,,,,177.78283114310003,6.793080569652881,1.123622,-82.9685462662763,,,6.0456996,2.7569284
1472549882695600896,SB1,997.516213907845,16.583569,475.896386759217,12.02991,0.7436976975111335,0.084433466,,,,,,,,,66.1818140069656,2.5844171133228997,0.48019782,-13.1709279131838,,,5.381984,0.8835186
