source_id,nss_solution_type,K1_kms,period_d,period_yr,eccentricity,M_host_assumed_msun,M2_sini_msun_assumed,M2_sini_mjup_assumed,significance,PMaRAH2G2,PMaDEH2G2,snrPMaH2G2,dVt,e_dVt
1592515053781393920,SB1,0.5668692015220174,498.4169106885252,1.364591131248529,0.11918712542371143,0.7,0.016785595612680764,17.588472246881416,11.491037,0.03,-0.148,1.62,293.09,89.49
6615678867812677120,SB1,0.8398896168964446,392.4792715408931,1.074549682521268,0.45078730582313536,0.7,0.02072283054199578,21.714030188441384,11.426705,-0.707,0.076,4.06,1333.0,142.62
6417800035042636544,SB1,0.5286891469057566,328.3475806265144,0.8989666820712235,0.17055113294196286,0.7,0.013476959390416298,14.121579697274045,11.287761,-0.051,0.063,0.76,410.88,151.21
4317681836183366656,SB1,0.6747856482412887,556.1624317749655,1.5226897516083928,0.3479103441379391,0.7,0.019621103010608997,20.559605611765498,11.283979,-0.039,-0.038,0.46,388.71,126.3
6416088439035175424,SB1,0.5874716799039619,493.81702017615504,1.351997317388515,0.08823061854604612,0.7,0.017408440168200496,18.241108258832288,11.126168,-0.023,0.094,0.76,115.81,123.83
3710786979933623424,SB1,0.5067231786190842,441.08248796136104,1.2076180368551979,0.2760292076097374,0.7,0.013908063859386045,14.573304447645889,11.067956,-0.188,0.112,1.44,408.74,400.62
6701360407357600128,SB1,0.5544836280594307,419.2281397166569,1.1477840923111757,0.41349258516176457,0.7,0.014178507581729283,14.856683841176844,11.0038,0.105,-0.054,0.79,271.78,212.58
3175994797745347712,SB1,0.6515651237451278,559.8754937311886,1.5328555612079087,0.33086428003360957,0.7,0.019103376628746102,20.017115710960628,10.957564,0.069,0.072,1.03,240.11,154.08
2977653860852113152,SB1,0.5558059955419378,863.7392806558746,2.3647892694206014,0.14834214922503078,0.7,0.01974428645436636,20.688681078123384,10.923729,0.197,0.008,2.04,199.2,108.68
1846430531030410496,SB1,0.7838831887620044,61.99941457293619,0.16974514599024282,0.2241597748467741,0.7,0.011315248689106784,11.856471591902695,10.837909,1.415,-2.719,13.59,1715.87,61.09
6454395870822867456,SB1,0.5588974140400826,665.1504837868229,1.821082775597051,0.1946893628690325,0.7,0.01802089208772071,18.882854541632803,10.807087,0.003,-0.078,0.74,258.86,180.16
2962674458032734976,SB1,0.7695385850451973,44.503321893583454,0.12184345487634074,0.6055208132252577,0.7,0.008097423404846312,8.484733584299772,10.793207,0.095,0.095,1.33,148.39,193.5
5236447324439370496,SB1,0.5678375125107091,664.449300379682,1.8191630400538863,0.05940987116829556,0.7,0.018637476021156344,19.528930477890487,10.720908,-0.076,0.169,1.91,230.41,196.61
6355007918114462720,SB1,0.5574228440860833,391.4559521981263,1.0717479868531863,0.11925721092096683,0.7,0.015206400877696915,15.933742595959679,10.691582,-0.043,0.006,0.44,93.69,136.89
413234097927037184,SB1,0.5782883074501846,564.2221683987619,1.5447561078679313,0.23164267967644467,0.7,0.01749721246436258,18.334126648132646,10.643511,0.135,-0.136,1.83,155.9,84.93
2846469822870413696,SB1,1.7826386307573563,569.4593329010168,1.55909468282277,0.5845878661337325,0.7,0.04632375535552782,48.53948017349517,10.593684,1.873,-1.265,2.42,542.65,98.26
3593243036530582528,SB1,1.0566850926697238,643.0219336819267,1.760498107274269,0.05545685867641689,0.7,0.03482669099346331,36.4924964310764,10.390385,0.48,-0.244,2.51,107.12,50.2
1477665532341347712,SB1,0.9584211471648731,776.3431626744847,2.1255117390129628,0.35353090404822196,0.7,0.031414359116261864,32.91694832994344,10.36959,1.33,-0.83,11.17,496.2,67.26
2985440739638761856,SB1,0.8542440123304702,152.93716864371453,0.41871914755294876,0.2803433417760883,0.7,0.016490073317020175,17.278814739605696,10.30091,-0.59,-0.113,1.85,332.62,59.15
4742988292563801856,SB1,0.6476378086609386,393.4250631591345,1.077139118847733,0.4010083321269543,0.7,0.01634565460716441,17.127488297051013,10.198653,0.133,-0.13,1.87,24.61,136.13
1093731185911782016,SB1,0.537888137860676,913.0772023895895,2.4998691372747146,0.4355616736355991,0.7,0.017683679451153445,18.5295125908068,10.156767,-2.717,-3.119,39.48,3032.3,82.92
1872939103546224640,SB1,1.1693606767082083,63.068478218016594,0.17267208273242052,0.2656350979405205,0.7,0.0168809856157493,17.688424876523786,10.13823,1.01,1.22,10.79,3804.27,169.82
4459874940449780864,SB1,0.5750151000179186,301.8508814676495,0.8264226734227228,0.09647423500859584,0.7,0.014409468602511006,15.098692024732863,10.104426,0.074,-0.008,0.76,42.22,153.45
1984467962424425344,SB1,1.2082357784948088,63.483184644837536,0.17380748704952098,0.22205885067332953,0.7,0.017692391160868556,18.538640992805913,10.097129,0.217,-0.719,7.98,2074.07,151.02
6347711460169865088,SB1,0.5165768202764001,425.8020474862172,1.1657824708726001,0.1209510222733167,0.7,0.014479970236382733,15.17256584245881,10.028902,0.037,-0.034,0.52,310.68,104.81
