frame,band,bjd,airmass,exptime,dx,dy,n_comp,f_target,e_target,f_ens,rel,e_rel,bg,note
MTAA11895422,R,2456603.9273538,1.68473,60.0,-0.013458811649911695,-0.04572672726618521,143,431.0,155.79802368690903,669130.5,0.000644119495374968,0.00023283652992489362,924.6998,
MTAA11895423,I,2456603.9273547996,1.68473,60.0,-0.0012769217636900976,-0.03793258515867137,143,113.0,172.7924436349383,583196.0,0.00019375990233129172,0.00029628537170168915,1634.609,
MTAA11895430,G,2456603.9281137404,1.69298,60.0,-0.06428117150863955,-0.06313410908424544,143,494.0,213.96114118870585,193098.5,0.0025582798416352278,0.001108041446146427,1351.642,
MTAA11895432,R,2456603.92811474,1.69298,60.0,-0.01416454008585788,-0.02771564833167872,143,638.0,164.72993898458978,661319.0,0.0009647386510897161,0.0002490930080408846,922.3984,
MTAA11895433,I,2456603.92811574,1.69298,60.0,-0.006267918277444551,-0.0458855123521289,143,142.0,177.33547921007423,578052.0,0.0002456526402468982,0.0003067811878690399,1637.079,
MTAA11895440,G,2456603.928873681,1.7015,60.0,-0.09072797838132374,0.03081865247929727,143,296.0,209.0808396468377,197191.5,0.0015010789004597054,0.0010602933678522538,1344.338,
MTAA11895442,R,2456603.928874681,1.7015,60.0,0.01488485869856504,-0.07648517372956576,143,551.0,160.47002550840037,688762.0,0.0007999860619488299,0.00023298327362485208,922.8707,
MTAA11895443,I,2456603.928874681,1.7015,60.0,-0.024136448943863797,-0.03797839983337781,143,113.0,172.88405144489184,585648.0,0.0001929486654099391,0.00029520130085801,1603.687,
MTAA11895450,G,2456603.9296336216,1.71035,60.0,-0.03652793578805813,-0.043303828754176266,143,790.0,222.40329051927267,198216.0,0.0039855511159543125,0.0011220249148367067,1339.721,
MTAA11895452,R,2456603.929634622,1.71035,60.0,0.004094670602910355,0.013736101139443235,143,352.0,164.07123109897523,647476.5,0.0005436490745223957,0.00025340105949632957,940.9219,
MTAA11895453,I,2456603.929634622,1.71035,60.0,-0.012363812611738467,-0.031095574660525926,143,91.0,175.48534101715353,558775.5,0.0001628561023165833,0.0003140533917774733,1617.615,
MTAA11895460,G,2456603.9303935627,1.7196,60.0,0.026370407781428185,-0.03366994033672199,143,762.0,230.0762889239132,184412.0,0.004132052144112097,0.0012476210275031625,1329.147,
MTAA11895462,R,2456603.9303945624,1.7196,60.0,0.014802590389990655,-0.002274561987007928,143,397.0,151.85657925204734,621113.5,0.0006391746436037858,0.0002444908688219582,942.8804,
