sdss_id,gaia_dr3_source_id,ra,dec,g_mag,bp_mag,rp_mag,plx,classification,p_da,teff,logg,snr,bp_rp
89273876,4463466804419970304,244.2179,13.57228,15.23632,15.13994,15.43988,7.104032,DA,0.9905295,-9999.0,-9999.0,41.93649,-0.2999400000000012
61293625,1435345089270603776,266.4745,60.70343,16.08255,15.94156,16.38615,5.15654,DA,0.9381013,37228.92,8.378522,41.9177,-0.4445899999999998
87374116,4275150213821212544,271.5013,-0.4558451,15.68179,15.61772,15.82138,6.72497,DA,0.998,24829.55,7.199999,41.89542,-0.20365999999999929
94449343,5087458276159508224,57.45345,-22.78496,14.90497,14.86953,15.00321,19.04785,DA,1.0,14862.01,8.063518,41.85358,-0.13368000000000002
73879862,3044713624783301504,107.6284,-12.68951,17.89297,17.84667,17.99808,3.755208,DA,0.6395795,21586.8,7.667272,41.83411,-0.15141000000000204
70224288,2521867808229983744,33.02059,8.780688,13.97765,13.81891,14.29508,12.09963,DA,0.9483972,-9999.0,-9999.0,41.81913,-0.47616999999999976
78678039,3600419166672583552,176.2576,-3.769465,17.74625,17.70244,17.95856,3.759624,DA,0.998,19364.44,7.692146,41.78847,-0.25611999999999924
69860921,2448701730377382656,1.514762,-2.169677,17.7119,17.66347,17.85456,4.662079,DA,1.0,19375.88,8.043857,41.78626,-0.1910899999999991
57842214,908740248619979520,122.3367,38.56613,18.45066,18.36847,18.47344,3.3017,DA,1.0,19607.63,8.066467,41.77713,-0.10497000000000156
57806207,902884554632220928,123.9855,34.87341,18.63519,18.59843,18.71267,3.699301,DA,0.9902536,13919.73,8.085429,41.75965,-0.11423999999999879
101560783,5757107930316053504,132.6137,-7.031427,17.35224,17.30342,17.53521,5.391124,DA,0.9212148,18713.98,7.300006,41.71507,-0.23179000000000016
68749717,2218860751718869376,336.7313,66.94055,16.26037,16.20828,16.40891,8.443708,DA,1.0,17403.83,7.713908,41.68014,-0.2006300000000003
70330754,2541801743588125312,5.520284,-1.777241,17.97818,17.90568,18.11721,3.759356,DA,1.0,18955.25,7.814835,41.67344,-0.21152999999999977
