sdss_id,gaia_dr3_source_id,ra,dec,g_mag,bp_mag,rp_mag,plx,classification,p_da,teff,logg,snr,bp_rp,FUVmag,e_FUVmag,NUVmag,e_NUVmag,fuv_nuv,M_G,locus,locus_sd,resid,sig
57932288,923409997181448448,115.9733,39.99601,18.68101,18.62201,18.87952,3.500975,DA,0.9228907,16222.04,7.402273,20.40787,-0.2575099999999999,18.4867,0.0583,18.7118,0.0457,-0.2251000000000012,11.4019550476829,-0.30079999999999885,0.12424188000000014,0.07569999999999766,0.5233346542119888
62471930,1648851933643976448,250.099,68.90678,16.48913,16.42475,16.62961,8.21082,DA,0.9862012,18583.19,7.92554,20.39767,-0.20486,16.0334,0.0222,16.2012,0.0166,-0.16779999999999973,11.06106265751679,-0.2311999999999994,0.13321161000000292,0.06339999999999968,0.4659531578208596
92974472,4827383536640230912,78.55492,-31.97294,18.22163,18.15038,18.455,3.160633,DA,0.996,23161.15,8.061518,20.38141,-0.3046199999999999,17.1571,0.0327,17.5221,0.0256,-0.36499999999999844,10.720500351187562,-0.38175000000000026,0.09874116000000163,0.01675000000000182,0.15636824317706075
75671063,3190556931605441152,61.67588,-10.97243,18.29761,18.30775,18.43841,4.609169,DA,0.9544998,13500.0,7.963966,20.36086,-0.1306600000000024,18.8712,0.1284,18.7325,0.0678,0.13870000000000005,11.615723161388342,-0.10844999999999949,0.1407728699999998,0.24714999999999954,1.2220721083043002
71331926,2731583807093590400,341.1492,12.8367,17.73613,17.64754,17.93378,3.780167,DA,0.9960017,-9999.0,-9999.0,20.35418,-0.2862399999999994,16.6513,0.0316,17.0522,0.0242,-0.40090000000000003,10.623684932488247,-0.30079999999999885,0.12424188000000014,-0.10010000000000119,-0.7672752282395731
55747960,573746642210165120,15.86566,85.07807,17.98402,17.94388,18.13713,4.229161,DA,0.9900137,16807.31,8.003803,20.34778,-0.193249999999999,17.6144,0.0461,17.7982,0.0283,-0.18380000000000152,11.115291093127091,-0.14999999999999858,0.15092868000000642,-0.03380000000000294,-0.21081577780332297
92659152,4782980240589395200,75.11109,-53.08562,17.5199,17.50226,17.62904,5.688596,DA,0.978469,15297.33,7.917703,20.33973,-0.1267800000000001,17.5755,0.035,17.5324,0.0267,0.04310000000000258,11.2949254579047,-0.10844999999999949,0.1407728699999998,0.15155000000000207,1.0274897202937248
67579711,2117630812093164928,279.1735,45.00785,18.18283,18.13157,18.36465,3.811132,DA,0.9921906,-9999.0,-9999.0,20.3135,-0.233080000000001,17.8801,0.0725,17.9343,0.0477,-0.05420000000000158,11.08809995493251,-0.2311999999999994,0.13321161000000292,0.17699999999999783,1.1132984202941814
79463651,3737073687317463168,195.8809,11.80673,17.75963,17.65467,18.01838,3.07058,DA,0.994,-9999.0,-9999.0,20.31271,-0.3637100000000011,16.4716,0.0431,16.842,0.0166,-0.37040000000000006,10.19573208423977,-0.4347499999999993,0.08094995999999832,0.06434999999999924,0.6904575583707454
114866897,14141304376849280,49.43016,9.16528,15.84054,15.76636,16.00376,10.30707,DA,0.990265,19383.47,7.87667,20.29084,-0.2373999999999991,15.1735,0.0141,15.4504,0.0102,-0.2768999999999995,10.906216127736808,-0.2311999999999994,0.13321161000000292,-0.045700000000000074,-0.34017269967423347
