sdss_id,gaia_dr3,snowwhite_class,group,plx_ok,G,bp_rp,M_G,snr_cat,z_cat,template,v_kms,noise_scale,z_lines,z_abs,z_fake,ew_A,z_visits,visit_mjds,n3,nneg,ratio
76308221,3300325369294529920,DA,H,True,18.6,0.127,9.5,8.2,10.24,n150,120.0,1.0,3.5/8.3/5.8,4.03,3.21,10.93,,60638,3,0,2.5409429280397022
76894635,3361992818968395264,DA:,H,True,18.55,0.872,14.14,18.4,14.79,n150,100.0,1.34,5.6/9.6/12.3,0.19,2.8,12.77,,60611,3,0,5.2821428571428575
78852079,3632913892801599744,DA/DZ,H,True,19.87,0.899,14.6,21.5,16.4,n150,80.0,2.48,7.1/10.7/11.0,-0.45,4.64,19.44,5.2/12.9/8.9/11.0/11.4/11.1/8.4/17.2/3.1/3.0/12.2/8.1/4.1/-3.5,59245/59246/59267/59268/59269/59270/59271/59272/59273/59304/59305/59324/60374/60376,3,0,3.5344827586206895
103123065,5863475436806877056,DA,H,True,17.57,0.928,13.48,34.7,25.85,n150,20.0,1.45,9.7/17.7/17.5,-0.08,4.31,9.26,4.0/11.3/4.9/5.0/-2.0,60097/60351/60353/60409/60410,3,0,5.997679814385152
94887425,5177373244701442560,DA,H,True,19.52,0.392,10.61,8.1,14.33,n150,-40.0,1.14,6.4/10.4/9.1,0.34,3.75,22.57,7.5/8.0/10.8,60210/60587/60588,3,0,3.8213333333333335
56086149,631308378026893056,DA,H,True,19.64,-0.311,10.46,3.9,19.15,n60,-220.0,1.03,-0.4/27.1/5.0,-0.84,4.07,50.03,,60651,2,0,4.705159705159704
71067205,2686840113408879104,DA:,H,True,19.83,0.792,13.41,14.6,11.71,dp150,280.0,1.07,5.0/10.5/3.7,3.78,2.53,4.42,2.3/3.4/8.0/15.0/2.4,59373/59374/59375/59820/60605,3,0,3.097883597883598
63547992,1807526923420041088,DA:,H,True,19.62,1.102,13.51,8.2,13.27,n150,40.0,1.0,4.9/12.1/4.8,2.67,2.84,12.56,6.2/14.4,60438/60439,3,0,4.672535211267606
64016822,1837152263499938176,DA/DZA,H,True,19.52,0.85,14.4,12.1,12.31,n150,20.0,3.25,5.4/7.0/9.7,0.71,3.64,27.22,,59391,3,0,3.381868131868132
111724804,6638646355752732416,DA,H,True,19.69,-0.047,11.36,2.7,20.07,dp500,-400.0,1.0,4.8/24.9/2.4,0.12,2.48,66.69,,60088,2,0,8.092741935483872
58970576,1077610185080529024,DAO/DA,H,True,15.29,1.851,8.51,49.2,15.95,n60,100.0,1.0,5.0/11.1/11.4,5.1,1.12,1.19,,59952,3,0,3.127450980392157
89777744,4511173514462313728,DA/DZ,H,True,19.56,0.854,10.36,40.5,26.76,n150,20.0,2.02,8.2/18.8/19.5,0.12,6.91,9.03,-9.2/-25.0,60437/60438,3,0,3.8726483357452968
80225107,3888929097950924416,DA,H,True,18.16,0.845,14.14,20.0,11.62,n150,60.0,1.0,5.4/7.5/7.2,-0.16,4.2,3.74,,60676,3,0,2.766666666666666
85460501,4148911676069561728,DA:,H,True,17.76,2.409,9.17,20.9,16.58,n150,20.0,1.0,3.1/8.6/17.3,-1.55,3.52,6.22,,60397,3,0,4.7102272727272725
71754319,2813581162341778176,DAO/DA,H,True,16.44,2.013,9.0,49.2,12.32,n150,120.0,1.0,5.6/6.6/9.4,-0.6,2.51,2.15,4.6/10.6,60578/60579,3,0,4.908366533864543
55353527,517418219142688768,DAO/DA,H,True,16.19,2.027,9.0,44.4,17.11,n60,-80.0,1.0,5.1/13.9/10.3,0.75,2.96,2.36,,59898,3,0,5.780405405405405
57223585,824910492820826624,DA/DC,H,True,17.2,1.856,8.77,32.5,11.17,n150,-20.0,1.0,4.3/9.0/5.8,1.29,2.39,2.89,,59986,3,0,4.673640167364017
93219793,4869157728592614912,DA,H,True,19.31,1.145,13.17,39.5,23.67,n150,-20.0,1.09,9.7/18.9/11.8,-0.35,5.5,5.59,9.3/7.3,60638/60639,3,0,4.303636363636364
79316933,3711047662972690688,DQpec/DZ,nonH,True,19.84,1.116,14.65,6.1,13.46,n150,40.0,1.0,2.8/12.8/7.4,-0.53,5.35,24.73,,60357,2,0,2.51588785046729
76299650,3297624010960666624,DBAZ:,nonH,True,18.23,0.009,11.62,11.9,19.15,dp500,0.0,1.0,9.8/15.6/9.0,1.63,4.46,16.32,,60615,3,0,4.29372197309417
56419685,677094275590414976,DC/DQ,nonH,True,19.83,1.638,11.92,30.3,20.34,n150,-20.0,1.02,7.0/16.3/11.8,0.31,2.67,4.95,5.1/10.9/13.7,59203/59204/59229,3,0,7.617977528089888
110461449,6449738850666799488,DC,nonH,True,17.65,0.1,12.28,26.0,11.28,n150,80.0,2.92,2.5/9.5/7.7,-2.6,3.74,16.51,11.6/3.9/4.0,60142/60143/60145,2,0,3.0160427807486627
116359225,261268495614869888,DC,nonH,True,17.53,0.756,13.51,55.9,16.29,n150,-40.0,1.11,9.5/9.7/9.0,4.79,3.28,1.94,18.0/4.2/10.1/6.4,59206/59212/59971/60625,3,0,3.4008350730688934
61171431,1416764167393932160,DB/DQ,nonH,True,19.58,1.331,14.94,10.7,13.41,n150,160.0,1.34,4.9/11.2/6.9,0.95,4.17,23.65,,60114,3,0,3.2158273381294964
54394901,422688489185463680,DB,nonH,True,15.85,-0.259,10.66,105.6,45.88,n150,120.0,1.0,26.3/30.8/21.8,-1.68,14.54,4.27,27.7/22.1/28.9/10.5/8.2/3.4,59187/59188/59204/59207/60222/60251,3,0,3.1554332874828064
55830396,587953535032442624,DZ:,nonH,True,17.89,0.189,12.7,18.2,13.15,dp500,-360.0,5.59,4.8/11.8/6.2,-2.34,5.2,47.52,14.0/13.1,60612/60625,3,0,2.5288461538461537
75917657,3226634931770505728,DC:,nonH,True,19.51,0.038,12.28,5.6,10.69,n150,100.0,1.05,2.8/8.9/7.3,-1.36,3.63,20.78,7.8/7.4/6.2,60229/60231/60233,2,0,2.9449035812672175
102084785,5806960779658624640,DZ:,nonH,True,19.96,1.2,14.13,8.6,12.35,n150,140.0,1.0,4.7/9.4/7.9,1.19,2.9,15.92,12.6/3.9,60049/60051,3,0,4.258620689655173
70340876,2543379199176576640,DC,nonH,True,18.85,0.059,12.06,27.9,10.63,dp250,120.0,1.36,4.8/6.8/7.7,0.32,3.4,6.63,6.0/8.3/6.1/7.1/3.8/2.8/4.9/0.5/3.1/3.8,59167/59168/59169/59187/59193/59898/59958/60229/60535/60610,3,0,3.1264705882352946
91793782,4677290338203849856,DBA/DA,nonH,True,18.55,-0.153,11.01,6.7,10.09,dp500,20.0,1.0,7.0/7.9/2.5,-1.17,4.0,16.04,4.5/5.0/7.2,60255/60256/60259,2,0,2.5225
77410559,3415269143791730176,DZ:,nonH,True,19.95,1.398,15.26,24.2,16.17,n150,240.0,1.87,4.1/12.0/11.4,0.62,5.91,9.86,13.4/7.9/9.7/0.4/24.5/3.0/2.7/4.1/4.2/10.5/17.5,59186/59214/59215/59216/59267/59268/59269/59270/59271/59272/59274,3,0,2.736040609137056
70259439,2528728726428345216,DC,nonH,True,17.01,1.312,15.15,57.0,22.08,n150,140.0,1.0,8.8/16.3/13.0,-0.39,6.5,2.79,13.4/17.1,59912/60610,3,0,3.3969230769230765
88492015,4358305011212780032,DC:,nonH,True,18.81,0.955,14.54,44.4,11.27,n150,100.0,1.34,5.0/6.2/8.9,1.24,3.82,3.0,4.8/2.0/0.5/-3.8/5.1/5.9/7.5/0.0/2.3/5.0/1.6,59335/59336/59337/59362/59363/59364/59367/59385/59386/59387/59391,3,0,2.950261780104712
70260134,2528877194857837184,DC,nonH,True,16.75,0.846,13.57,128.9,17.05,n150,80.0,1.2,6.1/12.0/11.5,0.71,3.97,1.14,-2.3/1.4/-1.8/2.7/16.1/2.9/2.7/10.4/1.9,59845/59871/59905/60225/60285/60530/60607/60668/60692,3,0,4.2947103274559195
57589080,880122224395759488,DZ/DC,nonH,True,19.87,0.976,14.58,11.8,11.4,n150,0.0,1.66,3.2/8.4/8.7,0.41,2.56,18.0,1.2/4.8/9.9/1.9/11.1/4.4/4.2/6.7,59163/59164/59197/59221/59251/59279/59280/60588,3,0,4.453125
102132487,5810316115490213248,DZ:,nonH,True,20.05,1.15,13.77,5.3,14.2,n150,0.0,1.0,8.0/10.7/5.0,1.38,3.86,23.85,,60088,3,0,3.6787564766839376
60715945,1348795004265872000,DC/DA,nonH,True,17.7,1.056,14.83,46.5,19.69,n150,40.0,1.0,5.6/18.1/9.8,0.8,6.55,3.73,-1.1/15.2/14.5/6.0/-0.8,60466/60471/60472/60476/60477,3,0,3.006106870229008
96920396,5341475458273111296,DZ:,nonH,True,13.34,1.932,8.66,52.3,18.83,n150,80.0,1.0,5.7/14.6/11.8,-2.02,4.25,2.73,,60668,3,0,4.430588235294117
59299397,1131770031921015552,DZ:,nonH,True,14.13,1.999,8.62,86.1,18.31,n150,60.0,1.0,3.9/14.5/12.7,0.75,1.76,1.12,12.2/13.0/12.1,59651/59653/59654,3,0,10.40340909090909
68685814,2210886814219960832,DC/DQ,nonH,True,17.06,2.143,8.66,35.9,21.18,n60,20.0,1.15,6.1/22.0/8.7,4.43,5.06,3.63,,60646,3,0,4.1857707509881426
60362814,1304625350139162496,DB/DC,nonH,True,17.54,2.118,9.52,30.7,18.68,n150,-20.0,1.08,6.6/13.8/11.8,-1.6,6.6,4.31,,60119,3,0,2.8303030303030305
104724450,5934633840865866624,DZ:,nonH,True,15.62,2.007,9.0,85.0,13.88,n150,60.0,1.0,2.7/10.0/11.0,-0.92,2.0,1.16,9.7/9.2/9.7/5.2,60068/60072/60092/60101,2,0,6.94
105423906,5960568159077079040,DC/DAO,nonH,True,16.41,1.935,8.77,41.6,13.77,n150,40.0,1.0,5.3/9.2/9.2,0.39,3.85,2.05,,60498,3,0,3.5766233766233766
79897294,3824425762976216064,DC/DQ,nonH,True,17.66,1.97,8.77,29.4,11.88,n150,0.0,1.0,4.4/9.9/6.0,-3.2,3.68,3.75,,60326,3,0,3.2282608695652173
58563890,1004137927598686592,DZ:,nonH,True,13.05,1.963,8.56,48.5,13.5,n60,-80.0,1.0,3.3/11.6/8.2,1.48,1.8,1.04,,60253,3,0,7.5
80410599,3924250805913342208,DZ:,nonH,True,17.56,1.63,9.09,16.6,10.03,n150,-40.0,1.0,5.4/6.9/4.9,3.38,3.84,2.99,,60075,3,0,2.6119791666666665
56473778,684598618544000384,DQpec/DB,nonH,True,17.78,1.469,14.86,42.1,17.58,n60,260.0,1.23,5.5/13.4/10.9,-0.16,3.29,3.97,,60645,3,0,5.343465045592705
99633825,5598037077707402496,DZ/DZA,nonH,True,18.06,1.509,8.61,16.0,10.47,n60,-40.0,1.0,1.7/8.8/7.9,1.89,2.63,3.89,,60654,2,0,3.980988593155894
88602948,4375889015345425536,DC/DB,nonH,True,19.43,1.059,14.87,13.6,16.76,n150,80.0,1.02,6.8/13.7/7.8,0.6,6.67,10.74,7.5/11.6,59302/59326,3,0,2.5127436281859072
67602254,2119909923600264960,DZ/DQ,nonH,True,19.77,1.042,14.45,8.9,15.31,n150,20.0,1.0,6.5/11.0/9.4,-0.27,2.52,16.79,14.5/5.3,60433/60434,3,0,6.075396825396825
56360994,670801637401191680,DZ/DA,nonH,True,19.99,1.012,14.76,6.3,18.71,n150,120.0,1.7,7.5/11.9/13.8,0.58,4.21,52.08,,60615,3,0,4.444180522565321
110409088,6444457969334583040,DC/DA,nonH,True,19.5,1.019,14.5,6.6,15.3,dp500,-140.0,1.0,2.2/19.3/6.9,2.14,2.5,26.14,,60449,2,0,6.12
79876887,3820708279802560256,DC,nonH,True,18.41,1.143,14.66,32.4,14.7,n150,20.0,1.0,5.7/10.8/9.2,-2.35,5.01,4.31,13.0/-3.5/-4.8/6.9/1.8/8.0,60352/60353/60376/60377/60400/60401,3,0,2.934131736526946
76366383,3316497261193787008,DB:,nonH,True,18.05,2.309,8.58,25.3,20.41,n150,-20.0,1.0,13.1/9.0/13.7,-0.06,5.59,5.66,,60307,3,0,3.6511627906976747
98404698,5487462942808280832,DZ:,nonH,True,15.1,2.028,8.66,107.7,20.2,n150,-40.0,1.04,2.9/17.3/14.1,1.68,2.65,1.22,18.1/11.1,60448/60449,2,0,7.622641509433962
