sdss_id,snr,B,A,sHa,sHb,score,rec
79863045,16.1475772857666,5.0,0.08,1.574074074074074,2.1666666666666665,1.8467522376216288,False
79863045,16.1475772857666,5.0,0.12,2.0,2.5925925925925926,2.2771001702132443,True
79863045,16.1475772857666,10.0,0.03,1.111111111111111,1.259259259259259,1.18286810538306,False
79863045,16.1475772857666,10.0,0.05,1.111111111111111,1.2407407407407407,1.1741383321590635,False
79863045,16.1475772857666,10.0,0.08,1.2962962962962963,1.3148148148148147,1.3055227208899678,False
79863045,16.1475772857666,10.0,0.12,1.7222222222222223,1.6851851851851851,1.7036030566084333,False
79863045,16.1475772857666,15.0,0.03,1.259259259259259,1.3518518518518516,1.3047344410228543,False
79863045,16.1475772857666,15.0,0.05,1.4074074074074072,1.3518518518518516,1.3793499592248941,False
79863045,16.1475772857666,15.0,0.08,1.611111111111111,1.3518518518518516,1.475799288214576,False
79863045,16.1475772857666,15.0,0.12,1.9074074074074074,1.6851851851851851,1.7928565768280087,False
76104361,18.657833099365234,5.0,0.03,1.1764705882352942,1.4901960784313726,1.324073962049736,False
76104361,18.657833099365234,5.0,0.05,1.411764705882353,1.5882352941176472,1.4974025954538654,False
76104361,18.657833099365234,5.0,0.08,1.7647058823529413,1.8823529411764706,1.822580398215255,False
76104361,18.657833099365234,5.0,0.12,2.2549019607843137,2.3333333333333335,2.2937824457643607,True
76104361,18.657833099365234,10.0,0.03,1.2352941176470589,1.3529411764705883,1.2927800574021124,False
76104361,18.657833099365234,10.0,0.05,1.5098039215686276,1.3529411764705883,1.4292221289523077,False
76104361,18.657833099365234,10.0,0.08,1.9215686274509807,1.3333333333333335,1.6006534613300827,False
76104361,18.657833099365234,10.0,0.12,2.4901960784313726,1.843137254901961,2.142375588959048,True
76104361,18.657833099365234,15.0,0.03,1.0980392156862746,1.3725490196078431,1.2276451641175317,False
76104361,18.657833099365234,15.0,0.05,1.0980392156862746,1.607843137254902,1.3287117134194053,False
76104361,18.657833099365234,15.0,0.08,1.411764705882353,2.0,1.6803361008336117,False
76104361,18.657833099365234,15.0,0.12,1.9411764705882355,2.5294117647058827,2.215859788451455,True
62912360,16.904773712158203,5.0,0.03,1.0,0.9384615384615385,0.9687422456265332,False
62912360,16.904773712158203,5.0,0.05,1.0,1.123076923076923,1.059753236879663,False
62912360,16.904773712158203,5.0,0.08,1.2307692307692308,1.3846153846153846,1.3054279037290109,False
62912360,16.904773712158203,5.0,0.12,1.6153846153846154,1.7538461538461538,1.6831922334286586,False
62912360,16.904773712158203,10.0,0.03,1.0461538461538462,0.8307692307692308,0.9322619943103457,False
62912360,16.904773712158203,10.0,0.05,1.0615384615384615,0.9076923076923078,0.9816059779045705,False
62912360,16.904773712158203,10.0,0.08,1.0153846153846153,1.1846153846153846,1.0967407335767148,False
62912360,16.904773712158203,10.0,0.12,1.276923076923077,1.5538461538461539,1.4085957588443605,False
62912360,16.904773712158203,15.0,0.03,1.0615384615384615,0.9846153846153847,1.0223537062053016,False
62912360,16.904773712158203,15.0,0.05,1.2,1.169230769230769,1.1845154803027789,False
62912360,16.904773712158203,15.0,0.08,1.4153846153846152,1.4461538461538461,1.4306865153923285,False
62912360,16.904773712158203,15.0,0.12,1.646153846153846,1.8153846153846156,1.7286996173031062,False
101567830,15.653938293457031,5.0,0.03,1.5614035087719298,1.157894736842105,1.3445969302708574,False
101567830,15.653938293457031,5.0,0.05,1.5614035087719298,1.157894736842105,1.3445969302708574,False
101567830,15.653938293457031,5.0,0.08,1.5614035087719298,1.3157894736842104,1.433345143716508,False
101567830,15.653938293457031,5.0,0.12,1.8070175438596492,1.701754385964912,1.753596313516512,False
101567830,15.653938293457031,10.0,0.03,1.5614035087719298,1.3508771929824561,1.4523306748267704,False
101567830,15.653938293457031,10.0,0.05,1.5614035087719298,1.4736842105263157,1.516909917278406,False
101567830,15.653938293457031,10.0,0.08,1.5614035087719298,1.6842105263157894,1.6216449134443989,False
101567830,15.653938293457031,10.0,0.12,1.5964912280701753,1.9649122807017543,1.7711479949647664,False
101567830,15.653938293457031,15.0,0.03,1.4210526315789473,1.2280701754385965,1.3210421471590668,False
101567830,15.653938293457031,15.0,0.05,1.2456140350877192,1.4210526315789473,1.330444701027846,False
101567830,15.653938293457031,15.0,0.08,1.0701754385964912,1.719298245614035,1.3564478442159793,False
101567830,15.653938293457031,15.0,0.12,1.2456140350877192,2.1228070175438596,1.6260990790340342,False
