source_id,nss_solution_type,P_d,e,significance,ra,dec,l,b,a_phot_mas,parallax,G,bp_rp,ruwe,aen_sig,rv_amplitude_robust,rv_chisq_pvalue,rv_nb_transits,Teff,logg,M1_msun,fM_msun,M2_msun,in_sb2,cbias_risk,filter31,class,filter32,sini_implied,K_pred_i90
1587711248823230848,AstroSpectroSB1,248.30633184010333,0.13899577231690918,99.51808166503906,229.51817247590142,46.705172928252956,77.0433731077769,55.232889183753656,1.5507,2.8452392232412524,11.572547912597656,0.6429729461669922,6.552630424499512,1850.951904296875,21.473453521728516,0.0,20.0,6330.97021484375,4.260700225830078,1.212,0.3503,1.3039,false,false,PASS,dormant_NS_candidate,PASS,0.891,24.11
1972515755646986880,AstroSpectroSB1,785.2381760872385,0.5303125175089102,99.42510986328125,321.17772873418147,47.24497183438773,90.72045193820063,-2.280877084564416,4.0964,3.5650421599395092,10.637921333312988,0.7693033218383789,14.05295467376709,5623.5009765625,10.523443222045898,1.0325074129013956e-14,18.0,6044.5595703125,4.183300018310547,1.251,0.3282,1.2818,false,false,PASS,dormant_NS_candidate,PASS,0.56,18.78
6000525545437147008,AstroSpectroSB1,729.6707729781062,0.47515327522668543,97.24866485595703,231.29170165839062,-44.35146564872093,329.7934879187374,10.355817389597048,4.4293,4.192864190728879,8.634068489074707,1.0993156433105469,4.907105922698975,1529.2694091796875,9.721263885498047,0.0,19.0,5006.78515625,3.1540000438690186,1.771,0.2954,1.4535,false,false,PASS,dormant_NS_candidate,PASS,0.543,17.9
314685970241531392,AstroSpectroSB1,415.59007281295504,0.3706711516564065,85.99424743652344,15.348728849138386,34.06007481300634,125.28438691114036,-28.766190586184813,4.1078,5.075951767640198,9.505868911743164,0.7096719741821289,11.922815322875977,3227.467529296875,21.773677825927734,0.0,10.0,6007.41943359375,3.9779000282287598,1.279,0.4094,1.4501,false,false,PASS,dormant_NS_candidate,PASS,0.954,22.81
4502748540952865024,AstroSpectroSB1,424.3540251670253,0.5462057863954408,83.38619995117188,269.29400172602425,17.407604530628806,42.97040063338308,19.60946642470136,3.0093,3.5170182989873813,10.785248756408691,0.8057451248168945,7.786220550537109,1703.271240234375,24.695110321044922,0.0,28.0,,,1.0,0.4641,1.3802,false,false,PASS,dormant_NS_candidate,PASS,0.943,26.19
6012266783421556992,Orbital,718.1659606524786,0.09142186441173432,82.10816192626953,238.65638891624977,-33.33931861982691,341.36486029861106,15.53221516194233,2.2525,2.0602942766078907,10.644184112548828,0.837061882019043,9.290833473205566,2475.94140625,7.602169036865234,3.552713678800501e-15,18.0,6262.09375,3.835400104522705,1.701,0.338,1.519,false,false,PASS,dormant_NS_candidate,PASS,0.457,16.63
5033794755739102720,AstroSpectroSB1,772.8823056105963,0.3622132680040353,78.88766479492188,18.656062376432534,-26.8194264438512,210.82927376443322,-84.82524760986644,2.3198,1.9137753462160894,11.509528160095215,0.6997156143188477,5.213430881500244,1081.7767333984375,15.590177536010742,2.220446049250313e-16,34.0,,,1.0,0.3978,1.2705,false,false,PASS,dormant_NS_candidate,PASS,0.852,18.31
5761425231441955200,AstroSpectroSB1,647.0206964015564,0.016007519711105256,71.87136840820312,131.67709652058238,-4.813131674342788,231.52455333037992,22.906107460283334,1.8447,2.024962089806482,10.551663398742676,0.659459114074707,6.7883124351501465,1007.3029174804688,7.696849822998047,2.0539125955565396e-12,21.0,6185.6474609375,3.947499990463257,1.612,0.2409,1.256,false,false,PASS,dormant_NS_candidate,PASS,0.502,15.32
5685664722759733888,AstroSpectroSB1,687.8937691857143,0.05937014159487619,70.90841674804688,146.40463579606342,-15.423546725196204,250.60531934288736,28.0203198713991,1.5563,1.873702438360215,9.301359176635742,1.042344093322754,7.010590076446533,992.3040161132812,8.975269317626953,0.0,15.0,6001.45947265625,2.887500047683716,2.57,0.1616,1.3552,false,false,PASS,dormant_NS_candidate,PASS,0.682,13.16
2802622875406704256,Orbital,891.1508791721873,0.3449371797098124,70.74995422363281,10.890741133890932,22.34993532258573,120.53765330189148,-40.48520237593146,3.9599,2.573168586169642,11.85991096496582,0.8508434295654297,17.230104446411133,4885.25244140625,9.733339309692383,0.018833424896001816,25.0,5449.60888671875,3.540299892425537,0.971,0.6122,1.5891,false,false,PASS,dormant_NS_candidate,PASS,0.486,20.02
6819715000061028736,Orbital,423.5610444184809,0.13098165941313272,70.34992980957031,330.5524305348845,-22.101814102560198,30.873072528028448,-51.387909111295954,3.3045,3.93904740562448,9.2515287399292,0.6551294326782227,9.532798767089844,2295.867431640625,20.975534439086914,0.0,9.0,6218.24462890625,3.555299997329712,1.594,0.439,1.6737,false,false,PASS,dormant_NS_candidate,PASS,0.965,21.74
786354159088087424,Orbital,896.0290157977969,0.5593676977036153,70.1611557006836,176.22222754546894,47.28189258146256,151.44811469607643,65.99312288073203,2.1169,1.2011605031582417,12.357779502868652,0.7120466232299805,6.9436116218566895,847.0955200195312,26.292390823364258,2.047368941049399e-9,36.0,5965.40283203125,3.9707000255584717,1.383,0.9095,2.318,false,false,PASS,dormant_NS_candidate,PASS,1.019,25.81
2860763370952207872,AstroSpectroSB1,512.7758495646472,0.03593429839424824,69.98300170898438,3.494969258545483,30.416803095738796,113.43254532284227,-31.763075211178705,1.916,2.1407682000121504,9.105123519897461,1.1984834671020508,9.082901000976562,2043.830078125,14.155254364013672,0.0,18.0,,,1.0,0.3638,1.2118,false,false,PASS,dormant_NS_candidate,PASS,0.745,19.0
812483881124340608,Orbital,600.0746964943644,0.310910340556653,69.0279541015625,141.22550793416707,39.6885559002828,182.77418868971193,45.7485949705044,1.6865,1.4934694596927232,9.417723655700684,1.1489229202270508,5.308159828186035,533.451904296875,9.058952331542969,0.0,32.0,,,1.0,0.5335,1.4899,false,false,PASS,dormant_NS_candidate,PASS,0.421,21.54
5890056748881979776,AstroSpectroSB1,510.648098065587,0.075925334910022,67.36421203613281,230.67563794062272,-50.3639870484319,326.07238871709944,5.585918819975777,1.186,1.2639381940435401,9.027235984802246,0.38193416595458984,3.656764507293701,397.8528747558594,6.976022720336914,5.20687933658337e-7,13.0,,,1.0,0.4226,1.3122,false,false,PASS,dormant_NS_candidate,PASS,0.348,20.05
5542190408227892864,Orbital,621.2032199939854,0.10272502896416988,65.81208801269531,126.04785707872044,-36.52381923926392,255.3086803020704,0.5863256767450797,1.0863,1.2915235867924428,11.65103530883789,1.0701894760131836,4.695484161376953,800.159912109375,14.245050430297852,0.0,23.0,5301.13720703125,3.2590999603271484,1.75,0.2057,1.2196,false,false,PASS,dormant_NS_candidate,PASS,0.962,14.81
811261052394634240,Orbital,1037.35698840091,0.40726317231188514,65.48267364501953,142.4881154868353,37.960427029061044,185.28129148658095,46.72174566040364,3.5427,1.54337322941061,9.639352798461914,0.7580089569091797,11.264142036437988,3164.113525390625,21.84929656982422,0.0,20.0,,,1.0,1.4994,2.7749,false,false,PASS,dormant_NS_candidate,PASS,0.829,26.36
3633619813626022784,Orbital,551.2495608267625,0.2652724846589745,65.25224304199219,203.29281629661335,-4.721155473415034,322.0663598240181,56.59221877550889,2.3755,2.2050683488612517,12.08150577545166,0.8355216979980469,11.678709030151367,1447.406494140625,19.91745948791504,0.00002075145675917156,24.0,5606.0595703125,3.620800018310547,0.99,0.5489,1.5068,false,false,PASS,dormant_NS_candidate,PASS,0.903,22.05
6812951178188429824,AstroSpectroSB1,523.3297465022713,0.44789621704677146,64.19123077392578,327.4337775122715,-24.896329330257053,25.491760782650722,-49.33538113970984,1.2562,1.2883491750437654,12.523056983947754,1.0133209228515625,4.6679606437683105,397.8541564941406,22.67325210571289,1.2897549694912414e-10,27.0,,,1.0,0.4516,1.3599,false,false,PASS,dormant_NS_candidate,PASS,1.0,22.67
5793924389984541184,AstroSpectroSB1,394.62336901757806,0.04839353108099579,59.026790618896484,234.7255069661194,-74.6821385441562,313.46646511020646,-15.348875000386265,1.5619,1.7113247970899788,11.628193855285645,0.7902154922485352,5.003499507904053,1005.894287109375,22.319828033447266,0.0,25.0,,,1.0,0.6513,1.6671,false,false,PASS,dormant_NS_candidate,PASS,0.886,25.19
6486909391726470400,AstroSpectroSB1,794.9209813814355,0.4080244149445632,58.39323425292969,354.8866300470119,-62.918355523589554,316.2171596687316,-52.31591822601353,1.2238,1.0334094387222268,11.320496559143066,1.1113576889038086,4.883701324462891,1251.4241943359375,7.6192097663879395,0.0,29.0,4959.01806640625,2.9755001068115234,2.103,0.3506,1.7257,false,false,PASS,dormant_NS_candidate,PASS,0.429,17.75
5728438400844128128,AstroSpectroSB1,637.6590628168715,0.6768091114058846,58.052940368652344,123.74951545862741,-10.754634136677263,232.47526506861456,13.102022093916249,2.7907,3.0217861272404587,9.64980697631836,0.6753654479980469,9.890829086303711,2948.301025390625,6.108398914337158,4.81306472011056e-7,10.0,6306.19287109375,3.7435998916625977,1.679,0.2584,1.3266,false,false,PASS,dormant_NS_candidate,PASS,0.285,21.41
4478882610297970944,Orbital,459.51765196535246,0.30758070090627726,57.83193588256836,278.6142993349865,7.645461267517716,37.844439838903234,7.236239920256061,3.1257,3.805791863381218,9.808204650878906,0.6780023574829102,7.9267168045043945,799.1475830078125,9.530315399169922,6.972200594645983e-14,3.0,6377.07763671875,3.7367000579833984,1.492,0.35,1.4457,false,false,PASS,dormant_NS_candidate,PASS,0.466,20.44
2086499201207107072,AstroSpectroSB1,550.6389562606531,0.262281327561394,57.67606735229492,298.5271300071311,48.41860353613372,82.40352007955043,10.461076439805742,1.0952,1.070910698031137,10.260632514953613,1.1607475280761719,4.9931535720825195,680.9440307617188,15.961344718933105,0.0,25.0,4826.45556640625,2.7053000926971436,2.802,0.4706,2.3073,false,false,PASS,dormant_NS_candidate,PASS,0.762,20.94
169620254367229056,AstroSpectroSB1,459.0689056780278,0.03267186935589181,56.53522872924805,63.96322049060016,32.63940119878596,165.19764574779185,-12.982261895739004,3.92,4.606931685105145,10.330296516418457,0.7741756439208984,6.7926740646362305,1234.832275390625,16.422927856445312,0.0,26.0,5823.01513671875,4.2932000160217285,1.063,0.39,1.2937,false,false,PASS,dormant_NS_candidate,PASS,0.814,20.17
4494712725861730176,AstroSpectroSB1,568.5843164299546,0.38726815753541777,55.79277420043945,270.05093955231007,10.51634277891342,36.69425494202405,16.09406072622119,1.1652,1.862404300494866,8.195854187011719,1.1177759170532227,3.940361261367798,480.8648681640625,9.25899887084961,0.0,33.0,6098.5966796875,2.7657999992370605,3.572,0.1011,1.3474,false,false,PASS,dormant_NS_candidate,PASS,0.713,12.99
