tid,mjd,fid,diffmaglim
ztf,60099.41295140004,2,18.9889
ztf,60099.41925929999,1,18.6905
ztf,60099.44307869999,1,18.8998
ztf,60101.41378469998,2,18.8265
ztf,60101.4142593001,2,18.9078
ztf,60101.44050930021,1,18.775
ztf,60101.441446799785,1,18.8101
ztf,60108.41472220002,1,20.0825
ztf,60108.41567130014,1,19.8727
ztf,60108.4400578998,2,20.1835
ztf,60108.44053239981,2,20.1675
ztf,60110.441701400094,2,19.8972
ztf,60110.4421759001,2,20.2575
ztf,60126.41856480017,1,19.7866
ztf,60128.438298599795,1,19.0137
ztf,60133.394861099776,2,19.7464
ztf,60133.441701400094,1,19.6967
ztf,60134.41329859989,1,20.1819
ztf,60134.44013890019,2,20.0893
ztf,60135.39964119997,1,20.196
ztf,60135.41960649984,2,19.9941
ztf,60136.44175929995,1,20.2375
ztf,60137.41827550018,2,19.9043
ztf,60138.4109259001,1,20.1614
ztf,60138.44300930016,2,20.1187
ztf,60139.37674769992,2,19.915
ztf,60139.43841439998,1,20.103
ztf,60140.39799770014,1,20.5558
ztf,60141.33502310002,1,20.2136
ztf,60141.39751160005,2,20.303
ztf,60142.4193171002,2,17.7777
ztf,60144.35619209986,2,20.1867
ztf,60144.40131939994,1,20.374
ztf,60147.399178199936,1,20.4755
ztf,60154.35593750002,1,19.1542
ztf,60160.27239579987,2,19.1923
ztf,60160.36594909988,1,19.3226
ztf,60162.412488400005,1,19.9032
ztf,60181.31194439996,2,20.1303
ztf,60181.33561340021,1,20.0999
ztf,60181.35199069977,1,20.2516
ztf,60181.41491900012,2,19.8871
ztf,60183.40188660007,1,20.0774
ztf,60191.29157410003,1,19.6138
ztf,60192.32377310004,1,19.9818
ztf,60193.391944400035,1,19.6982
ztf,60194.29494210007,1,20.1508
ztf,60196.231608800124,2,17.9536
ztf,60196.26475689979,1,20.108
ztf,60198.35113430023,1,19.9132
ztf,60201.303588000126,1,20.3139
ztf,60202.23211809993,2,20.2349
ztf,60211.18466439983,2,19.9088
ztf,60211.24136570003,1,19.8698
ztf,60211.29504630016,1,19.8026
ztf,60215.22811339982,1,19.1149
ztf,60215.22858799994,1,19.1114
ztf,60215.231875000056,2,19.2379
ztf,60215.251296299975,2,19.2761
ztf,60217.14500000002,1,19.2605
ztf,60217.14546300005,1,19.1669
ztf,60217.189375000075,2,19.4708
ztf,60217.210706000216,2,19.3264
ztf,60223.32856479986,2,19.2152
ztf,60226.190798600204,1,20.3441
ztf,60226.211087999865,2,20.3123
ztf,60227.2118981001,1,20.0936
ztf,60228.22077549994,1,20.2189
ztf,60228.29201389989,2,19.884
ztf,60231.16872690013,1,20.1011
ztf,60231.18979169987,1,20.2577
ztf,60231.2240046002,2,19.8228
ztf,60233.189988399856,1,19.926
ztf,60233.19045139989,1,20.0851
ztf,60235.168310199864,1,20.2104
ztf,60452.48224540008,1,19.3129
ztf,60456.48408559989,1,18.9937
ztf,60457.43543979991,1,18.9281
ztf,60462.41349539999,2,20.0154
ztf,60462.44333329983,1,20.1292
ztf,60462.44379629986,1,20.2578
ztf,60464.420520800166,2,20.0602
ztf,60482.438518499956,1,19.3947
ztf,60483.35820600018,2,18.6005
ztf,60483.41744210012,1,19.1056
ztf,60488.37271990022,2,19.5118
ztf,60488.417974499986,1,19.5955
ztf,60489.48254630016,1,19.0131
ztf,60508.324548599776,2,19.3774
ztf,60510.39978010021,1,15.5549
ztf,60512.30951389996,2,19.3578
ztf,60519.45638890006,1,19.9294
ztf,60529.334988399874,1,16.7157
ztf,60543.33599539986,1,19.2353
ztf,60543.33646989986,1,19.2075
ztf,60559.289861099795,1,20.0998
ztf,60571.24598379992,2,19.0594
ztf,60571.246458299924,2,18.9311
ztf,60571.290381900035,1,18.8662
ztf,60577.299942099955,3,19.4539
ztf,60578.29673610022,1,20.0883
ztf,60598.19093749998,1,19.2154
ztf,60600.25285879988,1,18.4479
ztf,60600.27827550005,1,18.3475
ztf,60603.26458329987,1,19.096
ztf,60626.09104169998,1,19.1332
ztf,60628.088368100114,1,19.3771
ztf,60629.126875000075,2,19.1613
ztf,60629.12734950008,2,19.2117
ztf,60629.2084144,1,18.5894
ztf,60634.2161921002,2,15.9099
ztf,60639.16576390015,2,19.1197
ztf,60639.166238400154,2,19.1899
ztf,60646.10005789995,1,19.9878
ztf,60648.17497690022,1,19.5331
ztf,60653.0864467998,2,19.4876
ztf,60655.106944399886,1,18.6284
ztf,60658.1340855998,1,18.6198
