mjd,jd,band,mag,magerr,source,note
58734.3695602,2458734.8695602,zr,19.5544605,0.100888491,ZTF-DR,oid=391204300017629
58744.3373264,2458744.8373264,zi,20.0321159,0.176765904,ZTF-DR,oid=391304300038171
58747.2533912,2458747.7533912,zr,20.5101871,0.182727695,ZTF-DR,oid=340214200010651
58747.2538426,2458747.7538426,zr,20.5917301,0.197701097,ZTF-DR,oid=391204300017629
58757.2746528,2458757.7746528,zr,19.4133224,0.0909731835,ZTF-DR,oid=391204300017629
58758.29471059982,2458758.7947106,zr,20.2648,0.26943,ZTF-alert/ALeRCE,magpsf (difference image)
58758.2947106,2458758.7947106,zr,20.134861,0.145603836,ZTF-DR,oid=340214200010651
58761.2048264,2458761.7048264,zr,19.8938332,0.12338037,ZTF-DR,oid=340214200010651
58761.20482640015,2458761.7048264,zr,20.097,0.296662,ZTF-alert/ALeRCE,magpsf (difference image)
58761.2052894,2458761.7052894,zr,19.8773003,0.127177551,ZTF-DR,oid=391204300017629
58761.3043403,2458761.8043403,zi,19.3097496,0.118750855,ZTF-DR,oid=340314200012538
58762.205463,2458762.705463,zi,19.3853188,0.118002027,ZTF-DR,oid=391304300038171
58774.18269680021,2458774.6826968,zg,19.179407,0.15085985,ZTF-alert/ALeRCE,magpsf (difference image)
58774.18314810004,2458774.6831481,zg,19.266098,0.16618283,ZTF-alert/ALeRCE,magpsf (difference image)
58774.19109949982,2458774.6910995,zr,19.440912,0.17526469,ZTF-alert/ALeRCE,magpsf (difference image)
58774.1910995,2458774.6910995,zr,19.2708244,0.0777266622,ZTF-DR,oid=340214200010651
58774.19155090023,2458774.6915509,zr,19.417778,0.18426453,ZTF-alert/ALeRCE,magpsf (difference image)
58777.1895486,2458777.6895486,zr,19.7389545,0.110364288,ZTF-DR,oid=340214200010651
58785.2321295999,2458785.7321296,zr,19.8974,0.304227,ZTF-alert/ALeRCE,magpsf (difference image)
58785.2321296,2458785.7321296,zr,19.7097683,0.112907574,ZTF-DR,oid=391204300017629
58785.23258099984,2458785.732581,zr,19.8738,0.243711,ZTF-alert/ALeRCE,magpsf (difference image)
58801.232338,2458801.732338,zr,19.5562344,0.101019159,ZTF-DR,oid=391204300017629
58802.17194439983,2458802.6719444,zg,19.6723,0.285715,ZTF-alert/ALeRCE,magpsf (difference image)
58812.0895139,2458812.5895139,zr,19.3378448,0.0817885622,ZTF-DR,oid=340214200010651
58812.089513900224,2458812.5895139,zr,19.515833,0.20666277,ZTF-alert/ALeRCE,magpsf (difference image)
58812.12598379981,2458812.6259838,zg,19.382963,0.18282656,ZTF-alert/ALeRCE,magpsf (difference image)
59114.20884260023,2459114.7088426,zg,19.326263,0.12426178,ZTF-alert/ALeRCE,magpsf (difference image)
59114.231932899915,2459114.7319329,zg,19.260452,0.11180255,ZTF-alert/ALeRCE,magpsf (difference image)
59114.27295139991,2459114.7729514,zr,19.17636,0.114194036,ZTF-alert/ALeRCE,magpsf (difference image)
59114.2729514,2459114.7729514,zr,19.1375809,0.0702219307,ZTF-DR,oid=340214200010651
59114.27342589991,2459114.7734259,zr,19.251038,0.11361715,ZTF-alert/ALeRCE,magpsf (difference image)
59114.2734259,2459114.7734259,zr,19.1961823,0.0775159597,ZTF-DR,oid=391204300017629
59114.2931366,2459114.7931366,zr,18.7611961,0.0564053468,ZTF-DR,oid=391204300017629
59124.166504600085,2459124.6665046,zg,18.8886,0.170735,ZTF-alert/ALeRCE,magpsf (difference image)
59124.16696760012,2459124.6669676,zg,18.756165,0.17804046,ZTF-alert/ALeRCE,magpsf (difference image)
59124.248206,2459124.748206,zr,18.8347988,0.0594842359,ZTF-DR,oid=391204300017629
59128.2281481,2459128.7281481,zi,18.5799103,0.0652968958,ZTF-DR,oid=391304300038171
59128.23203699989,2459128.732037,zr,18.591412,0.08695244,ZTF-alert/ALeRCE,magpsf (difference image)
59128.232037,2459128.732037,zr,18.5629253,0.0455069914,ZTF-DR,oid=340214200010651
59128.263044,2459128.763044,zr,18.9741402,0.0658387616,ZTF-DR,oid=391204300017629
59128.2639815,2459128.7639815,zr,19.1711559,0.0760984346,ZTF-DR,oid=391204300017629
59128.263981500175,2459128.7639815,zr,19.16785,0.1386132,ZTF-alert/ALeRCE,magpsf (difference image)
59128.28037039982,2459128.7803704,zg,19.339693,0.18180738,ZTF-alert/ALeRCE,magpsf (difference image)
59128.29081019992,2459128.7908102,zg,19.020956,0.14739735,ZTF-alert/ALeRCE,magpsf (difference image)
59129.2271065,2459129.7271065,zr,19.0577736,0.0700037554,ZTF-DR,oid=391204300017629
59130.16858799989,2459130.668588,zg,19.074583,0.115544334,ZTF-alert/ALeRCE,magpsf (difference image)
59130.169999999925,2459130.67,zg,18.927326,0.09262604,ZTF-alert/ALeRCE,magpsf (difference image)
59130.1899074,2459130.6899074,zr,18.4233894,0.0444578491,ZTF-DR,oid=391204300017629
59130.1922454,2459130.6922454,zr,18.604578,0.0504436307,ZTF-DR,oid=391204300017629
59130.192245400045,2459130.6922454,zr,18.645767,0.07781187,ZTF-alert/ALeRCE,magpsf (difference image)
59130.2701157,2459130.7701157,zr,18.9277649,0.0598497614,ZTF-DR,oid=340214200010651
59130.270115700085,2459130.7701157,zr,18.980747,0.103696495,ZTF-alert/ALeRCE,magpsf (difference image)
59134.1904977,2459134.6904977,zr,18.6384525,0.0481299423,ZTF-DR,oid=340214200010651
59134.190497700125,2459134.6904977,zr,18.669127,0.079454094,ZTF-alert/ALeRCE,magpsf (difference image)
59134.1909606,2459134.6909606,zr,18.506361,0.0470848233,ZTF-DR,oid=391204300017629
59134.1932986,2459134.6932986,zr,18.5386639,0.0481588803,ZTF-DR,oid=391204300017629
59134.19329860015,2459134.6932986,zr,18.5575,0.07284845,ZTF-alert/ALeRCE,magpsf (difference image)
59134.22653939994,2459134.7265394,zg,18.956276,0.08688644,ZTF-alert/ALeRCE,magpsf (difference image)
59135.2711227,2459135.7711227,zr,19.265419,0.0815782547,ZTF-DR,oid=391204300017629
59136.12950230017,2459136.6295023,zg,18.838175,0.09144357,ZTF-alert/ALeRCE,magpsf (difference image)
59136.1908796,2459136.6908796,zr,18.6805592,0.0532391146,ZTF-DR,oid=391204300017629
59136.19087960012,2459136.6908796,zr,18.740799,0.07946088,ZTF-alert/ALeRCE,magpsf (difference image)
59136.212303199805,2459136.7123032,zg,19.0652,0.10225845,ZTF-alert/ALeRCE,magpsf (difference image)
59138.1202662,2459138.6202662,zr,18.8812027,0.0615220703,ZTF-DR,oid=391204300017629
59138.12026620004,2459138.6202662,zr,18.926962,0.09384578,ZTF-alert/ALeRCE,magpsf (difference image)
59138.127199099865,2459138.6271991,zr,19.28568,0.12369571,ZTF-alert/ALeRCE,magpsf (difference image)
59138.1271991,2459138.6271991,zr,19.1887703,0.073017098,ZTF-DR,oid=340214200010651
59138.19053239981,2459138.6905324,zg,19.304348,0.14336385,ZTF-alert/ALeRCE,magpsf (difference image)
59138.19427079987,2459138.6942708,zg,19.225111,0.14434488,ZTF-alert/ALeRCE,magpsf (difference image)
59140.1267593,2459140.6267593,zr,19.0533428,0.0658529773,ZTF-DR,oid=340214200010651
59140.12675930001,2459140.6267593,zr,19.129915,0.10332606,ZTF-alert/ALeRCE,magpsf (difference image)
59140.1272338,2459140.6272338,zr,19.0142441,0.06780193,ZTF-DR,oid=391204300017629
59140.1281713,2459140.6281713,zr,18.9625092,0.0652808994,ZTF-DR,oid=391204300017629
59140.12817130005,2459140.6281713,zr,19.009174,0.1023806,ZTF-alert/ALeRCE,magpsf (difference image)
59140.176666699816,2459140.6766667,zg,19.64592,0.13874999,ZTF-alert/ALeRCE,magpsf (difference image)
59140.1771296002,2459140.6771296,zg,19.565435,0.1212697,ZTF-alert/ALeRCE,magpsf (difference image)
59141.170544,2459141.670544,zr,18.9351597,0.0639891922,ZTF-DR,oid=391204300017629
59142.147118099965,2459142.6471181,zr,19.033653,0.1315685,ZTF-alert/ALeRCE,magpsf (difference image)
59142.147118099965,2459142.6471181,zr,19.033653,0.1315685,ZTF-alert/ALeRCE,magpsf (difference image)
59142.1471181,2459142.6471181,zr,18.966383,0.065466091,ZTF-DR,oid=391204300017629
59142.16989579983,2459142.6698958,zg,19.221647,0.10439366,ZTF-alert/ALeRCE,magpsf (difference image)
59142.16989579983,2459142.6698958,zg,19.221647,0.10439366,ZTF-alert/ALeRCE,magpsf (difference image)
59143.12997689983,2459143.6299769,zr,18.613007,0.07359892,ZTF-alert/ALeRCE,magpsf (difference image)
59143.1299769,2459143.6299769,zr,18.5705013,0.0457625762,ZTF-DR,oid=340214200010651
59143.19180560019,2459143.6918056,zg,18.834602,0.09286146,ZTF-alert/ALeRCE,magpsf (difference image)
59143.227581,2459143.727581,zr,18.5252018,0.0477076918,ZTF-DR,oid=391204300017629
59144.1650231001,2459144.6650231,zg,18.762667,0.17367792,ZTF-alert/ALeRCE,magpsf (difference image)
59145.1691204,2459145.6691204,zr,18.6917763,0.0500850268,ZTF-DR,oid=340214200010651
59145.16912040021,2459145.6691204,zr,18.747707,0.06810042,ZTF-alert/ALeRCE,magpsf (difference image)
59145.21844909992,2459145.7184491,zg,19.367882,0.14784986,ZTF-alert/ALeRCE,magpsf (difference image)
59146.16839119978,2459146.6683912,zr,19.035248,0.18197483,ZTF-alert/ALeRCE,magpsf (difference image)
59146.1683912,2459146.6683912,zr,18.9971352,0.0669568256,ZTF-DR,oid=391204300017629
59149.1904861,2459149.6904861,zr,18.9277058,0.059847109,ZTF-DR,oid=340214200010651
59149.19048610004,2459149.6904861,zr,19.1142,0.28754,ZTF-alert/ALeRCE,magpsf (difference image)
59150.16555560008,2459150.6655556,zg,19.180777,0.15074979,ZTF-alert/ALeRCE,magpsf (difference image)
59150.190347199794,2459150.6903472,zr,18.774181,0.14814354,ZTF-alert/ALeRCE,magpsf (difference image)
59150.1903472,2459150.6903472,zr,18.7381897,0.0554804169,ZTF-DR,oid=391204300017629
59150.221226899885,2459150.7212269,zr,18.878561,0.19500977,ZTF-alert/ALeRCE,magpsf (difference image)
59150.2212269,2459150.7212269,zr,18.8122559,0.0548348576,ZTF-DR,oid=340214200010651
59151.14781250013,2459151.6478125,zg,18.95798,0.17933959,ZTF-alert/ALeRCE,magpsf (difference image)
59151.14827550016,2459151.6482755,zg,19.078503,0.1786389,ZTF-alert/ALeRCE,magpsf (difference image)
59151.243761599995,2459151.7437616,zr,19.2952,0.321931,ZTF-alert/ALeRCE,magpsf (difference image)
59151.2437616,2459151.7437616,zr,18.9485474,0.0646179989,ZTF-DR,oid=391204300017629
59151.2442361,2459151.7442361,zr,19.1247635,0.0695388317,ZTF-DR,oid=340214200010651
59151.2442361,2459151.7442361,zr,19.3084,0.259379,ZTF-alert/ALeRCE,magpsf (difference image)
59152.1899306,2459152.6899306,zr,18.6589851,0.0488724113,ZTF-DR,oid=340214200010651
59152.189930600114,2459152.6899306,zr,18.6644,0.098575,ZTF-alert/ALeRCE,magpsf (difference image)
59152.202442099806,2459152.7024421,zr,18.7931,0.147262,ZTF-alert/ALeRCE,magpsf (difference image)
59152.2024421,2459152.7024421,zr,18.6739731,0.0529897176,ZTF-DR,oid=391204300017629
59153.0852431,2459153.5852431,zr,19.3426018,0.0820844099,ZTF-DR,oid=340214200010651
59153.147963,2459153.647963,zg,19.5188,0.253124,ZTF-alert/ALeRCE,magpsf (difference image)
59154.14755789982,2459154.6475579,zr,18.733843,0.09891094,ZTF-alert/ALeRCE,magpsf (difference image)
59154.1475579,2459154.6475579,zr,18.7239304,0.0549158566,ZTF-DR,oid=391204300017629
59154.1948958,2459154.6948958,zr,18.6977558,0.0503097475,ZTF-DR,oid=340214200010651
59154.1948958002,2459154.6948958,zr,18.828365,0.1417331,ZTF-alert/ALeRCE,magpsf (difference image)
59155.1096296,2459155.6096296,zr,18.5566788,0.0487707667,ZTF-DR,oid=391204300017629
59157.171192099806,2459157.6711921,zg,19.131834,0.15743345,ZTF-alert/ALeRCE,magpsf (difference image)
59157.2250347,2459157.7250347,zr,19.5731277,0.102271266,ZTF-DR,oid=391204300017629
59157.2259722,2459157.7259722,zr,19.7586956,0.116936401,ZTF-DR,oid=391204300017629
59158.126921299845,2459158.6269213,zr,19.043629,0.117807105,ZTF-alert/ALeRCE,magpsf (difference image)
59158.1269213,2459158.6269213,zr,18.9488525,0.0608166791,ZTF-DR,oid=340214200010651
59158.1393866,2459158.6393866,zr,19.0418739,0.0691908672,ZTF-DR,oid=391204300017629
59158.14406249998,2459158.6440625,zr,18.791403,0.093659244,ZTF-alert/ALeRCE,magpsf (difference image)
59158.1440625,2459158.6440625,zr,18.6966286,0.0538533516,ZTF-DR,oid=391204300017629
59164.1261227,2459164.6261227,zr,19.2972641,0.079305701,ZTF-DR,oid=340214200010651
59164.12612270005,2459164.6261227,zr,19.364054,0.15942857,ZTF-alert/ALeRCE,magpsf (difference image)
59164.1265972,2459164.6265972,zr,19.2981339,0.0835710168,ZTF-DR,oid=391204300017629
59164.1275347,2459164.6275347,zr,19.5256653,0.0987883359,ZTF-DR,oid=391204300017629
59164.12753470009,2459164.6275347,zr,19.553244,0.15554313,ZTF-alert/ALeRCE,magpsf (difference image)
59165.0867708,2459165.5867708,zr,18.7713013,0.0568171777,ZTF-DR,oid=391204300017629
59165.0872454,2459165.5872454,zr,18.7501659,0.0523279645,ZTF-DR,oid=340214200010651
59165.087245400064,2459165.5872454,zr,18.791864,0.09159944,ZTF-alert/ALeRCE,magpsf (difference image)
59165.08770829998,2459165.5877083,zr,18.864548,0.09865692,ZTF-alert/ALeRCE,magpsf (difference image)
59165.0877083,2459165.5877083,zr,18.8239193,0.05901739,ZTF-DR,oid=391204300017629
59165.15053239977,2459165.6505324,zg,18.97974,0.101295166,ZTF-alert/ALeRCE,magpsf (difference image)
59165.15193289984,2459165.6519329,zg,19.155287,0.1040888,ZTF-alert/ALeRCE,magpsf (difference image)
59167.10644679982,2459167.6064468,zr,19.37097,0.15922678,ZTF-alert/ALeRCE,magpsf (difference image)
59167.1064468,2459167.6064468,zr,19.2419472,0.0760365725,ZTF-DR,oid=340214200010651
59167.12071759999,2459167.6207176,zr,19.015354,0.1045308,ZTF-alert/ALeRCE,magpsf (difference image)
59167.1207176,2459167.6207176,zr,18.9139519,0.063006781,ZTF-DR,oid=391204300017629
59167.147465299815,2459167.6474653,zg,19.103632,0.124599144,ZTF-alert/ALeRCE,magpsf (difference image)
59167.14793979982,2459167.6479398,zg,19.01421,0.10821329,ZTF-alert/ALeRCE,magpsf (difference image)
59168.09714120021,2459168.5971412,zg,19.7729,0.260478,ZTF-alert/ALeRCE,magpsf (difference image)
59168.10238429997,2459168.6023843,zg,19.93361,0.18573642,ZTF-alert/ALeRCE,magpsf (difference image)
59168.1247685,2459168.6247685,zr,18.6343002,0.0515160747,ZTF-DR,oid=391204300017629
59168.125231499784,2459168.6252315,zr,18.714548,0.07198232,ZTF-alert/ALeRCE,magpsf (difference image)
59168.1252315,2459168.6252315,zr,18.6469021,0.0484339334,ZTF-DR,oid=340214200010651
59168.1670833,2459168.6670833,zr,19.5107174,0.0977138802,ZTF-DR,oid=391204300017629
59168.167083300184,2459168.6670833,zr,19.533613,0.15425737,ZTF-alert/ALeRCE,magpsf (difference image)
59170.102881900035,2459170.6028819,zg,19.591467,0.133087,ZTF-alert/ALeRCE,magpsf (difference image)
59170.1097569,2459170.6097569,zr,19.358088,0.123973705,ZTF-alert/ALeRCE,magpsf (difference image)
59170.1097569,2459170.6097569,zr,19.2904892,0.0831010863,ZTF-DR,oid=391204300017629
59170.1102199,2459170.6102199,zr,19.2101517,0.0742168427,ZTF-DR,oid=340214200010651
59170.11021990003,2459170.6102199,zr,19.290417,0.11882808,ZTF-alert/ALeRCE,magpsf (difference image)
59170.1106829,2459170.6106829,zr,19.2672215,0.0816868171,ZTF-DR,oid=391204300017629
59170.16424770001,2459170.6642477,zg,19.532856,0.18638471,ZTF-alert/ALeRCE,magpsf (difference image)
59172.09439809993,2459172.5943981,zg,19.478277,0.14285098,ZTF-alert/ALeRCE,magpsf (difference image)
59172.10642360011,2459172.6064236,zg,19.68665,0.13243586,ZTF-alert/ALeRCE,magpsf (difference image)
59177.127419000026,2459177.627419,zg,19.222746,0.19760123,ZTF-alert/ALeRCE,magpsf (difference image)
59178.10670140013,2459178.6067014,zg,19.264435,0.17418575,ZTF-alert/ALeRCE,magpsf (difference image)
59178.16113429982,2459178.6611343,zr,18.856386,0.121415436,ZTF-alert/ALeRCE,magpsf (difference image)
59178.1611343,2459178.6611343,zr,18.8017826,0.0544030219,ZTF-DR,oid=340214200010651
59179.0841088,2459179.5841088,zr,19.2817154,0.08256495,ZTF-DR,oid=391204300017629
59179.08410880016,2459179.5841088,zr,19.3734,0.150112,ZTF-alert/ALeRCE,magpsf (difference image)
59179.16466439981,2459179.6646644,zg,19.2847,0.224901,ZTF-alert/ALeRCE,magpsf (difference image)
59180.09224539995,2459180.5922454,zr,18.7947,0.230781,ZTF-alert/ALeRCE,magpsf (difference image)
59180.0922454,2459180.5922454,zr,18.6104527,0.0471379273,ZTF-DR,oid=340214200010651
59181.0682639,2459181.5682639,zr,18.769985,0.1785526,ZTF-alert/ALeRCE,magpsf (difference image)
59181.0682639,2459181.5682639,zr,18.8194084,0.058825057,ZTF-DR,oid=391204300017629
59182.09163190005,2459182.5916319,zr,19.327,0.283019,ZTF-alert/ALeRCE,magpsf (difference image)
59183.0686458,2459183.5686458,zr,18.681309,0.10478999,ZTF-alert/ALeRCE,magpsf (difference image)
59183.0686458,2459183.5686458,zr,18.6504498,0.052110061,ZTF-DR,oid=391204300017629
59184.10843749996,2459184.6084375,zr,18.610973,0.080241,ZTF-alert/ALeRCE,magpsf (difference image)
59184.1084375,2459184.6084375,zr,18.5626221,0.0454967692,ZTF-DR,oid=340214200010651
59184.12729169987,2459184.6272917,zg,19.6186,0.275171,ZTF-alert/ALeRCE,magpsf (difference image)
59187.093599500135,2459187.5935995,zg,18.96721,0.121735066,ZTF-alert/ALeRCE,magpsf (difference image)
59187.17037039995,2459187.6703704,zr,19.1594,0.233078,ZTF-alert/ALeRCE,magpsf (difference image)
59187.1703704,2459187.6703704,zr,19.0568352,0.0699555129,ZTF-DR,oid=391204300017629
59189.1700116,2459189.6700116,zr,18.7979088,0.0579179637,ZTF-DR,oid=391204300017629
59189.1709491,2459189.6709491,zr,18.6297016,0.0513484217,ZTF-DR,oid=391204300017629
59189.17094910005,2459189.6709491,zr,18.639029,0.14061257,ZTF-alert/ALeRCE,magpsf (difference image)
59190.11001159996,2459190.6100116,zr,19.13672,0.15262288,ZTF-alert/ALeRCE,magpsf (difference image)
59190.1100116,2459190.6100116,zr,19.0888653,0.0676608533,ZTF-DR,oid=340214200010651
59194.1286574,2459194.6286574,zr,18.8983212,0.0622932836,ZTF-DR,oid=391204300017629
59195.0926042,2459195.5926042,zr,18.9359779,0.0640274659,ZTF-DR,oid=391204300017629
59199.0929861,2459199.5929861,zr,18.8910599,0.061964862,ZTF-DR,oid=391204300017629
59204.1272222,2459204.6272222,zr,18.7264614,0.0550156198,ZTF-DR,oid=391204300017629
59205.1290741,2459205.6290741,zr,18.8044071,0.0581904501,ZTF-DR,oid=391204300017629
59218.0778819,2459218.5778819,zr,17.9755058,0.0331312791,ZTF-DR,oid=391204300017629
59218.087662,2459218.587662,zr,18.6753311,0.0530410223,ZTF-DR,oid=391204300017629
59219.0779167,2459219.5779167,zr,18.3787575,0.0431202054,ZTF-DR,oid=391204300017629
59219.0803704,2459219.5803704,zr,18.5804558,0.0495927185,ZTF-DR,oid=391204300017629
59219.0828125,2459219.5828125,zr,18.367197,0.0427820683,ZTF-DR,oid=391204300017629
59219.0852546,2459219.5852546,zr,18.4179974,0.0442935079,ZTF-DR,oid=391204300017629
59219.0877083,2459219.5877083,zr,18.5345612,0.0480208136,ZTF-DR,oid=391204300017629
59220.0920718,2459220.5920718,zr,18.9261799,0.0635712221,ZTF-DR,oid=391204300017629
59220.094537,2459220.594537,zr,18.9825592,0.0662457496,ZTF-DR,oid=391204300017629
59220.0970139,2459220.5970139,zr,18.8233547,0.0589933097,ZTF-DR,oid=391204300017629
59453.295081,2459453.795081,zr,20.8289185,0.219479442,ZTF-DR,oid=391204300017629
59461.3113079,2459461.8113079,zr,21.1904316,0.25267303,ZTF-DR,oid=391204300017629
59732.4592245,2459732.9592245,zr,21.0498028,0.230876684,ZTF-DR,oid=340214200010651
59759.3832986,2459759.8832986,zi,19.442522,0.122798353,ZTF-DR,oid=391304300038171
59768.38085650001,2459768.8808565,zg,20.39117,0.19704941,ZTF-alert/ALeRCE,magpsf (difference image)
59795.3652662,2459795.8652662,zr,21.6933937,0.298854232,ZTF-DR,oid=391204300017629
59808.2925926,2459808.7925926,zi,20.2515945,0.19830139,ZTF-DR,oid=340314200012538
59808.3373727,2459808.8373727,zr,20.5261021,0.191675305,ZTF-DR,oid=391204300017629
59811.3347454,2459811.8347454,zr,20.5725403,0.188291311,ZTF-DR,oid=340214200010651
59815.25143520022,2459815.7514352,zg,20.185839,0.21274935,ZTF-alert/ALeRCE,magpsf (difference image)
59815.3025579,2459815.8025579,zr,20.3512077,0.166979343,ZTF-DR,oid=340214200010651
59818.2936343,2459818.7936343,zr,20.6083164,0.191483617,ZTF-DR,oid=340214200010651
59841.21059030015,2459841.7105903,zg,20.28739,0.20012258,ZTF-alert/ALeRCE,magpsf (difference image)
59841.21200230019,2459841.7120023,zg,20.092396,0.170799,ZTF-alert/ALeRCE,magpsf (difference image)
59853.2383102,2459853.7383102,zr,20.742939,0.211584926,ZTF-DR,oid=391204300017629
59896.1051042,2459896.6051042,zr,20.7410126,0.211408019,ZTF-DR,oid=391204300017629
59897.1696181,2459897.6696181,zr,20.0659847,0.139037326,ZTF-DR,oid=340214200010651
59898.1432986,2459898.6432986,zi,20.1691704,0.188708454,ZTF-DR,oid=391304300038171
59903.1491782,2459903.6491782,zr,20.2638168,0.164664239,ZTF-DR,oid=391204300017629
59904.1065972,2459904.6065972,zr,20.7837524,0.207137465,ZTF-DR,oid=340214200010651
60113.3994444,2460113.8994444,zi,19.2071972,0.110314667,ZTF-DR,oid=340314200012538
60113.4003935,2460113.9003935,zi,19.190855,0.102705017,ZTF-DR,oid=391304300038171
60113.42089120019,2460113.9208912,zg,19.755005,0.16028629,ZTF-alert/ALeRCE,magpsf (difference image)
60113.421354200225,2460113.9213542,zg,19.9912,0.25228,ZTF-alert/ALeRCE,magpsf (difference image)
60113.44175929995,2460113.9417593,zr,19.398872,0.12750953,ZTF-alert/ALeRCE,magpsf (difference image)
60113.4417593,2460113.9417593,zr,19.3191261,0.0806343034,ZTF-DR,oid=340214200010651
60113.44223379996,2460113.9422338,zr,19.471859,0.11472552,ZTF-alert/ALeRCE,magpsf (difference image)
60113.4422338,2460113.9422338,zr,19.3436413,0.0864229575,ZTF-DR,oid=391204300017629
60116.39993060008,2460116.8999306,zg,19.8587,0.293586,ZTF-alert/ALeRCE,magpsf (difference image)
60116.43375,2460116.93375,zi,19.1086273,0.0967297032,ZTF-DR,oid=391304300038171
60116.4342245,2460116.9342245,zi,19.0408497,0.0975505263,ZTF-DR,oid=340314200012538
60116.43630790012,2460116.9363079,zg,19.367924,0.15568757,ZTF-alert/ALeRCE,magpsf (difference image)
60116.44108799985,2460116.941088,zr,19.625565,0.16323747,ZTF-alert/ALeRCE,magpsf (difference image)
60116.441088,2460116.941088,zr,19.5099983,0.0931429416,ZTF-DR,oid=340214200010651
60116.44156249985,2460116.9415625,zr,19.49034,0.1313691,ZTF-alert/ALeRCE,magpsf (difference image)
60116.4415625,2460116.9415625,zr,19.4690971,0.0947784483,ZTF-DR,oid=391204300017629
60119.3938542,2460119.8938542,zi,19.7903709,0.154207349,ZTF-DR,oid=391304300038171
60119.419803199824,2460119.9198032,zg,19.785765,0.16329364,ZTF-alert/ALeRCE,magpsf (difference image)
60119.420277799945,2460119.9202778,zg,19.9761,0.24706,ZTF-alert/ALeRCE,magpsf (difference image)
60119.44211809989,2460119.9421181,zr,19.310926,0.09854686,ZTF-alert/ALeRCE,magpsf (difference image)
60119.4421181,2460119.9421181,zr,19.3156624,0.084658429,ZTF-DR,oid=391204300017629
