mjd,fid,magpsf,sigmapsf,ra,dec,isdiffpos,distnr,magpsf_corr,band,yr
59178.16113429982,2,18.856386,0.121415436,326.8283231,-13.4747083,1,0.5786089,18.797916,r,2020
59179.08410880016,2,19.3734,0.150112,326.8282913,-13.4746897,1,0.283724,19.264668,r,2020
59179.16466439981,1,19.2847,0.224901,326.8283238,-13.4747581,1,11.7722,,g,2020
59180.09224539995,2,18.7947,0.230781,326.8285233,-13.4746521,1,0.170751,18.73938,r,2020
59181.0682639,2,18.769985,0.1785526,326.8283045,-13.4747808,1,0.19307561,18.70629,r,2020
59182.09163190005,2,19.327,0.283019,326.8284269,-13.4746041,1,0.21258,19.238075,r,2020
59183.0686458,2,18.681309,0.10478999,326.828386,-13.474705,1,0.509697,18.622475,r,2020
59184.10843749996,2,18.610973,0.080241,326.828325,-13.4747378,1,0.6225728,18.564081,r,2020
59184.12729169987,1,19.6186,0.275171,326.8283528,-13.4746334,1,3.8206,,g,2020
59187.093599500135,1,18.96721,0.121735066,326.8283388,-13.4746546,1,12.058336,,g,2020
59187.17037039995,2,19.1594,0.233078,326.8284351,-13.4750458,1,1.18738,19.069338,r,2020
59189.17094910005,2,18.639029,0.14061257,326.8284252,-13.474683,1,0.66491354,18.582384,r,2020
59190.11001159996,2,19.13672,0.15262288,326.8283366,-13.4746885,1,0.50373834,19.06161,r,2020
59768.38085650001,1,20.39117,0.19704941,326.8283454,-13.4747854,1,11.646555,,g,2022
59815.25143520022,1,20.185839,0.21274935,326.8284298,-13.4746483,1,4.006468,,g,2022
59841.21059030015,1,20.28739,0.20012258,326.82842,-13.4746881,1,4.1072397,,g,2022
59841.21200230019,1,20.092396,0.170799,326.8284072,-13.4747028,1,11.800861,,g,2022
60113.42089120019,1,19.755005,0.16028629,326.8284128,-13.4747071,1,4.1504583,,g,2023
60113.421354200225,1,19.9912,0.25228,326.8283661,-13.4746318,1,12.0932,,g,2023
60113.44175929995,2,19.398872,0.12750953,326.8283579,-13.4747062,1,0.46674934,19.304121,r,2023
60113.44223379996,2,19.471859,0.11472552,326.8283154,-13.4746709,1,0.4026953,19.35335,r,2023
60116.39993060008,1,19.8587,0.293586,326.8283693,-13.4747918,1,4.3382,,g,2023
60116.43630790012,1,19.367924,0.15568757,326.8283585,-13.4746933,1,11.90508,,g,2023
60116.44108799985,2,19.625565,0.16323747,326.8283772,-13.4746691,1,0.35260203,19.509947,r,2023
60116.44156249985,2,19.49034,0.1313691,326.828367,-13.4746909,1,0.47900414,19.369905,r,2023
