mjd,survey,band,kind,mag,magerr,limit,note
58303.41836810019,ZTF-forced,g,forced_diff,,,19.6318,ZFPS req479166 snr=-0.6
58303.46274309978,ZTF-forced,r,forced_diff,20.61633231113851,0.3029793418974973,19.8301,ZFPS req479166 snr=3.6
58311.3558565001,ZTF-forced,g,forced_diff,,,20.1664,ZFPS req479166 snr=0.3
58314.37789350003,ZTF-forced,g,forced_diff,,,20.4892,ZFPS req479166 snr=-0.3
58314.37835650006,ZTF-forced,g,forced_diff,,,20.2076,ZFPS req479166 snr=-0.1
58314.418750000186,ZTF-forced,r,forced_diff,,,20.4153,ZFPS req479166 snr=-2.3
58314.41966440016,ZTF-forced,r,forced_diff,,,20.3515,ZFPS req479166 snr=-1.5
58317.376354199834,ZTF-forced,g,forced_diff,,,20.2834,ZFPS req479166 snr=0.1
58317.41832179995,ZTF-forced,r,forced_diff,,,20.3975,ZFPS req479166 snr=-1.5
58317.41877309978,ZTF-forced,r,forced_diff,,,20.2518,ZFPS req479166 snr=0.3
58320.37791670021,ZTF-forced,r,forced_diff,,,20.6165,ZFPS req479166 snr=-3.3
58320.37837960012,ZTF-forced,r,forced_diff,,,20.5538,ZFPS req479166 snr=-0.7
58320.41756939981,ZTF-forced,g,forced_diff,,,20.675,ZFPS req479166 snr=1.4
58320.44172450015,ZTF-forced,g,forced_diff,,,20.0947,ZFPS req479166 snr=-1.0
58321.35703699989,ZTF-forced,i,forced_diff,,,19.013,ZFPS req479166 snr=0.3
58323.41996529978,ZTF-forced,g,forced_diff,,,20.3317,ZFPS req479166 snr=1.1
58323.42041670019,ZTF-forced,g,forced_diff,,,20.2169,ZFPS req479166 snr=-0.3
58323.462511599995,ZTF-forced,r,forced_diff,,,20.3587,ZFPS req479166 snr=1.0
58326.3760879999,ZTF-forced,r,forced_diff,,,18.4589,ZFPS req479166 snr=-0.6
58326.386435199995,ZTF-forced,r,forced_diff,,,18.5262,ZFPS req479166 snr=-0.5
58326.440069399774,ZTF-forced,g,forced_diff,,,18.5131,ZFPS req479166 snr=-0.5
58330.37628469989,ZTF-forced,r,forced_diff,,,18.9543,ZFPS req479166 snr=0.3
58331.37628469989,ZTF-forced,r,forced_diff,,,19.3799,ZFPS req479166 snr=-0.5
58331.442256900016,ZTF-forced,g,forced_diff,,,19.4502,ZFPS req479166 snr=-1.0
58333.30767360004,ZTF-forced,g,forced_diff,,,19.5135,ZFPS req479166 snr=-0.8
58333.33454860002,ZTF-forced,r,forced_diff,,,19.7909,ZFPS req479166 snr=-0.3
58334.33188659977,ZTF-forced,g,forced_diff,,,20.2921,ZFPS req479166 snr=0.6
58334.37035880005,ZTF-forced,r,forced_diff,,,20.2322,ZFPS req479166 snr=-0.9
58336.31423609983,ZTF-forced,g,forced_diff,,,20.6745,ZFPS req479166 snr=-0.3
58336.336388899945,ZTF-forced,r,forced_diff,,,20.3185,ZFPS req479166 snr=0.1
58338.34635420004,ZTF-forced,r,forced_diff,,,20.3822,ZFPS req479166 snr=0.5
58340.33405089984,ZTF-forced,g,forced_diff,,,19.9133,ZFPS req479166 snr=-0.6
58342.3513656999,ZTF-forced,r,forced_diff,,,20.2652,ZFPS req479166 snr=0.3
58342.357222199906,ZTF-forced,i,forced_diff,,,19.3899,ZFPS req479166 snr=0.1
58342.400590300094,ZTF-forced,g,forced_diff,,,20.1929,ZFPS req479166 snr=-0.3
58344.365312499925,ZTF-forced,g,forced_diff,,,20.5976,ZFPS req479166 snr=-0.0
58344.42237270018,ZTF-forced,r,forced_diff,,,20.0055,ZFPS req479166 snr=-1.0
58345.34032410011,ZTF-forced,r,forced_diff,,,20.2905,ZFPS req479166 snr=-0.1
58347.35121530015,ZTF-forced,g,forced_diff,,,20.4061,ZFPS req479166 snr=-0.7
58347.35638889996,ZTF-forced,i,forced_diff,,,19.4793,ZFPS req479166 snr=0.0
58348.356331000105,ZTF-forced,g,forced_diff,,,20.3346,ZFPS req479166 snr=-0.2
58350.33449070016,ZTF-forced,g,forced_diff,,,20.5722,ZFPS req479166 snr=-0.4
58350.356377299875,ZTF-forced,r,forced_diff,,,20.3631,ZFPS req479166 snr=-1.0
58351.31508099986,ZTF-forced,i,forced_diff,,,19.4417,ZFPS req479166 snr=-1.1
58353.38262729999,ZTF-forced,r,forced_diff,,,19.2803,ZFPS req479166 snr=-0.1
58354.31471059984,ZTF-forced,r,forced_diff,,,19.3657,ZFPS req479166 snr=-0.2
58354.39379630005,ZTF-forced,r,forced_diff,,,18.994,ZFPS req479166 snr=1.0
58357.361319399904,ZTF-forced,r,forced_diff,,,18.7468,ZFPS req479166 snr=1.3
58359.310972199775,ZTF-forced,r,forced_diff,,,19.274,ZFPS req479166 snr=0.4
58359.336412,ZTF-forced,r,forced_diff,,,19.5676,ZFPS req479166 snr=0.6
58360.29347220017,ZTF-forced,r,forced_diff,,,19.956,ZFPS req479166 snr=-1.7
58360.35620369995,ZTF-forced,g,forced_diff,,,19.3833,ZFPS req479166 snr=-0.2
58362.27035879996,ZTF-forced,g,forced_diff,,,20.2468,ZFPS req479166 snr=0.8
58362.33310189983,ZTF-forced,r,forced_diff,,,20.1102,ZFPS req479166 snr=1.6
58363.27215280011,ZTF-forced,r,forced_diff,,,20.0175,ZFPS req479166 snr=1.5
58363.31393520022,ZTF-forced,g,forced_diff,,,20.0975,ZFPS req479166 snr=0.1
58365.27505790023,ZTF-forced,g,forced_diff,,,20.2247,ZFPS req479166 snr=-0.7
58365.317187500186,ZTF-forced,i,forced_diff,,,19.2623,ZFPS req479166 snr=-0.7
58365.335833299905,ZTF-forced,r,forced_diff,,,19.9291,ZFPS req479166 snr=0.0
58366.251354199834,ZTF-forced,g,forced_diff,,,20.7138,ZFPS req479166 snr=1.1
58366.315196800046,ZTF-forced,r,forced_diff,20.292589540398104,0.1191454426773688,20.5725,ZFPS req479166 snr=9.1
58369.29271990014,ZTF-forced,g,forced_diff,,,20.3692,ZFPS req479166 snr=1.6
58369.29317130009,ZTF-forced,g,forced_diff,,,20.6612,ZFPS req479166 snr=0.0
58369.3375694002,ZTF-forced,i,forced_diff,,,19.5143,ZFPS req479166 snr=1.5
58369.33802080015,ZTF-forced,i,forced_diff,,,19.3568,ZFPS req479166 snr=-0.2
58369.36217590002,ZTF-forced,r,forced_diff,20.623317698190903,0.2440210410796604,20.0768,ZFPS req479166 snr=4.4
58369.36310190009,ZTF-forced,r,forced_diff,21.003502833763445,0.336952236574527,19.9974,ZFPS req479166 snr=3.2
58372.09764800966,NSC-DR2,r,direct_auto,23.132608,0.124684,,c4d_180911_022036_ooi_r_ls9
58372.106702204794,NSC-DR2,r,direct_auto,22.025906,0.072615,,c4d_180911_023339_ooi_r_ls9
58372.27195600001,ZTF-forced,g,forced_diff,,,20.5566,ZFPS req479166 snr=-0.3
58372.27287039999,ZTF-forced,g,forced_diff,,,20.7478,ZFPS req479166 snr=1.0
58372.29802080011,ZTF-forced,r,forced_diff,,,20.4281,ZFPS req479166 snr=-0.5
58372.298472200055,ZTF-forced,r,forced_diff,,,20.5034,ZFPS req479166 snr=-0.2
58373.33771990007,ZTF-forced,i,forced_diff,,,19.4326,ZFPS req479166 snr=0.9
58375.28346059984,ZTF-forced,g,forced_diff,,,20.6314,ZFPS req479166 snr=-0.2
58375.28391199978,ZTF-forced,g,forced_diff,,,20.6224,ZFPS req479166 snr=-0.8
58375.33857640019,ZTF-forced,r,forced_diff,,,20.1636,ZFPS req479166 snr=0.6
58375.33947920008,ZTF-forced,r,forced_diff,,,20.1568,ZFPS req479166 snr=-0.4
58377.31643520016,ZTF-forced,i,forced_diff,,,19.3959,ZFPS req479166 snr=-0.1
58377.31689810008,ZTF-forced,i,forced_diff,,,19.8288,ZFPS req479166 snr=-0.5
58378.01707357261,NSC-DR2,z,direct_auto,21.393673,0.089978,,c4d_180917_002435_ooi_z_ls9
58378.27226850018,ZTF-forced,r,forced_diff,,,20.1474,ZFPS req479166 snr=-1.5
58378.27273150021,ZTF-forced,r,forced_diff,,,20.0454,ZFPS req479166 snr=-0.3
58378.29398149997,ZTF-forced,g,forced_diff,,,19.9932,ZFPS req479166 snr=-1.3
58378.29488429986,ZTF-forced,g,forced_diff,,,20.5603,ZFPS req479166 snr=-0.6
58386.18547450006,ZTF-forced,g,forced_diff,,,19.0204,ZFPS req479166 snr=1.3
58386.251365699805,ZTF-forced,r,forced_diff,,,19.1238,ZFPS req479166 snr=0.7
58388.23033560021,ZTF-forced,r,forced_diff,,,19.7581,ZFPS req479166 snr=0.6
58388.2946295999,ZTF-forced,g,forced_diff,,,19.2824,ZFPS req479166 snr=0.5
58389.20866899984,ZTF-forced,g,forced_diff,,,19.67,ZFPS req479166 snr=-0.4
58389.22978009982,ZTF-forced,r,forced_diff,,,19.7649,ZFPS req479166 snr=-2.0
58390.28989579994,ZTF-forced,i,forced_diff,,,19.2977,ZFPS req479166 snr=0.8
58400.24745369982,ZTF-forced,i,forced_diff,,,19.3589,ZFPS req479166 snr=-1.5
58406.02395952726,NSC-DR2,z,direct_auto,21.488087,0.108436,,c4d_181015_003430_ooi_z_ls9
58423.077453699894,ZTF-forced,r,forced_diff,,,19.3206,ZFPS req479166 snr=-0.2
58423.14528940013,ZTF-forced,r,forced_diff,,,19.0552,ZFPS req479166 snr=-1.8
58426.105173599906,ZTF-forced,r,forced_diff,,,17.5275,ZFPS req479166 snr=1.0
58426.16753470013,ZTF-forced,g,forced_diff,,,19.6869,ZFPS req479166 snr=0.4
58426.186770800035,ZTF-forced,g,forced_diff,,,18.874,ZFPS req479166 snr=1.7
58429.12780090002,ZTF-forced,r,forced_diff,,,20.1151,ZFPS req479166 snr=-0.2
58429.167338000145,ZTF-forced,g,forced_diff,,,20.4409,ZFPS req479166 snr=0.2
58429.1904397998,ZTF-forced,g,forced_diff,,,20.5286,ZFPS req479166 snr=-0.6
58430.2144559999,ZTF-forced,i,forced_diff,,,19.316,ZFPS req479166 snr=-0.2
58432.105682900175,ZTF-forced,r,forced_diff,,,19.7858,ZFPS req479166 snr=-1.1
58432.1276273001,ZTF-forced,r,forced_diff,,,19.6263,ZFPS req479166 snr=-0.7
58435.086168999784,ZTF-forced,r,forced_diff,,,19.2732,ZFPS req479166 snr=-0.4
58443.1237269002,ZTF-forced,r,forced_diff,,,19.5775,ZFPS req479166 snr=-1.0
58443.141319400165,ZTF-forced,r,forced_diff,,,19.3672,ZFPS req479166 snr=0.7
58456.06842589984,ZTF-forced,r,forced_diff,,,19.3588,ZFPS req479166 snr=0.6
58456.13016200019,ZTF-forced,r,forced_diff,,,19.5257,ZFPS req479166 snr=-0.6
58469.14410880022,ZTF-forced,g,forced_diff,,,18.8809,ZFPS req479166 snr=0.1
58472.14592589997,ZTF-forced,g,forced_diff,,,18.4938,ZFPS req479166 snr=-0.5
58482.07763889991,ZTF-forced,r,forced_diff,,,18.3821,ZFPS req479166 snr=-0.8
58482.07966439985,ZTF-forced,r,forced_diff,,,18.4863,ZFPS req479166 snr=0.1
58482.08256939985,ZTF-forced,r,forced_diff,,,18.6308,ZFPS req479166 snr=-0.1
58482.08459489979,ZTF-forced,r,forced_diff,,,18.6783,ZFPS req479166 snr=0.0
58482.08748839982,ZTF-forced,r,forced_diff,,,18.5455,ZFPS req479166 snr=-0.1
58482.089502300136,ZTF-forced,r,forced_diff,,,18.4863,ZFPS req479166 snr=1.4
58482.09240739979,ZTF-forced,r,forced_diff,,,18.4133,ZFPS req479166 snr=-2.3
58482.094432900194,ZTF-forced,r,forced_diff,,,18.5597,ZFPS req479166 snr=1.2
58483.07714120019,ZTF-forced,r,forced_diff,,,18.872,ZFPS req479166 snr=-0.3
58483.07916670013,ZTF-forced,r,forced_diff,,,19.0935,ZFPS req479166 snr=0.9
58483.08214120008,ZTF-forced,r,forced_diff,,,19.246,ZFPS req479166 snr=0.4
58483.08415509993,ZTF-forced,r,forced_diff,,,19.28,ZFPS req479166 snr=-2.0
58483.08712959988,ZTF-forced,r,forced_diff,,,19.3726,ZFPS req479166 snr=0.1
58483.08915509982,ZTF-forced,r,forced_diff,,,19.3892,ZFPS req479166 snr=1.1
58483.09212959977,ZTF-forced,r,forced_diff,,,19.3445,ZFPS req479166 snr=-0.3
58483.094143500086,ZTF-forced,r,forced_diff,,,19.2561,ZFPS req479166 snr=0.4
58486.08179400023,ZTF-forced,r,forced_diff,,,18.8772,ZFPS req479166 snr=1.1
58486.08670140011,ZTF-forced,r,forced_diff,,,18.8589,ZFPS req479166 snr=0.1
58486.091608799994,ZTF-forced,r,forced_diff,,,19.0399,ZFPS req479166 snr=0.6
58486.09650459979,ZTF-forced,r,forced_diff,,,19.0558,ZFPS req479166 snr=-0.2
58487.07873839978,ZTF-forced,r,forced_diff,,,18.8673,ZFPS req479166 snr=0.0
58487.08359949989,ZTF-forced,r,forced_diff,,,19.0927,ZFPS req479166 snr=-1.1
58487.08844910003,ZTF-forced,r,forced_diff,,,19.3063,ZFPS req479166 snr=-0.3
58487.09331020014,ZTF-forced,r,forced_diff,,,19.2469,ZFPS req479166 snr=-0.6
58488.079143499956,ZTF-forced,r,forced_diff,,,18.8082,ZFPS req479166 snr=0.3
58491.08489579987,ZTF-forced,r,forced_diff,,,18.7268,ZFPS req479166 snr=0.9
58491.08976850007,ZTF-forced,r,forced_diff,,,18.9054,ZFPS req479166 snr=-0.7
58491.0946411998,ZTF-forced,r,forced_diff,,,18.8556,ZFPS req479166 snr=-0.1
58491.0995139,ZTF-forced,r,forced_diff,,,18.8998,ZFPS req479166 snr=0.1
58636.42116900021,ZTF-forced,r,forced_diff,,,20.1155,ZFPS req479166 snr=0.3
58639.40475689992,ZTF-forced,r,forced_diff,,,20.0223,ZFPS req479166 snr=0.6
58639.43832179997,ZTF-forced,g,forced_diff,,,20.3466,ZFPS req479166 snr=1.4
58642.41925929999,ZTF-forced,g,forced_diff,,,20.6591,ZFPS req479166 snr=0.2
58642.41971059982,ZTF-forced,g,forced_diff,,,20.4626,ZFPS req479166 snr=-0.0
58646.41901620012,ZTF-forced,g,forced_diff,,,20.4084,ZFPS req479166 snr=-1.0
58646.43990739994,ZTF-forced,g,forced_diff,,,20.2497,ZFPS req479166 snr=0.2
58649.382407399826,ZTF-forced,g,forced_diff,,,18.9345,ZFPS req479166 snr=-0.5
58649.38285879977,ZTF-forced,g,forced_diff,,,18.9457,ZFPS req479166 snr=-0.2
58652.43863430014,ZTF-forced,r,forced_diff,,,19.1025,ZFPS req479166 snr=0.9
58652.439097200055,ZTF-forced,r,forced_diff,,,19.0101,ZFPS req479166 snr=-0.4
58652.48006939981,ZTF-forced,g,forced_diff,,,18.9004,ZFPS req479166 snr=-0.1
58652.48052080022,ZTF-forced,g,forced_diff,,,18.8744,ZFPS req479166 snr=-0.9
58658.45925930003,ZTF-forced,g,forced_diff,,,19.7067,ZFPS req479166 snr=-0.1
58658.48049770016,ZTF-forced,g,forced_diff,,,19.3593,ZFPS req479166 snr=0.5
58661.421747699846,ZTF-forced,r,forced_diff,,,20.1452,ZFPS req479166 snr=0.1
58661.42219909979,ZTF-forced,r,forced_diff,,,20.0227,ZFPS req479166 snr=0.3
58661.459074100014,ZTF-forced,g,forced_diff,,,20.3468,ZFPS req479166 snr=-0.5
58661.45952549996,ZTF-forced,g,forced_diff,,,20.293,ZFPS req479166 snr=-0.3
58665.438194400165,ZTF-forced,r,forced_diff,,,20.2923,ZFPS req479166 snr=-0.6
58665.47984950011,ZTF-forced,g,forced_diff,,,19.7091,ZFPS req479166 snr=-0.3
58667.43496529991,ZTF-forced,g,forced_diff,,,20.6489,ZFPS req479166 snr=-0.6
58667.46112270001,ZTF-forced,r,forced_diff,,,20.1824,ZFPS req479166 snr=-0.9
58668.44137729984,ZTF-forced,g,forced_diff,,,20.4281,ZFPS req479166 snr=0.2
58668.46084489999,ZTF-forced,i,forced_diff,,,19.4562,ZFPS req479166 snr=-1.6
58668.46129629994,ZTF-forced,i,forced_diff,,,19.8345,ZFPS req479166 snr=1.3
58670.43635419989,ZTF-forced,g,forced_diff,,,20.6833,ZFPS req479166 snr=-0.5
58672.42263890011,ZTF-forced,g,forced_diff,,,20.4711,ZFPS req479166 snr=-0.2
58672.440219900105,ZTF-forced,i,forced_diff,,,19.7551,ZFPS req479166 snr=-2.1
58672.460243099835,ZTF-forced,r,forced_diff,,,20.2083,ZFPS req479166 snr=0.6
58674.42434029979,ZTF-forced,g,forced_diff,,,20.6256,ZFPS req479166 snr=0.8
58674.48035879992,ZTF-forced,r,forced_diff,,,20.0839,ZFPS req479166 snr=2.2
58675.48620369984,ZTF-forced,r,forced_diff,,,19.9656,ZFPS req479166 snr=-0.4
58677.33443289995,ZTF-forced,g,forced_diff,,,19.6925,ZFPS req479166 snr=0.8
58678.48138889996,ZTF-forced,r,forced_diff,,,20.2085,ZFPS req479166 snr=0.2
58680.31484950008,ZTF-forced,r,forced_diff,,,19.0687,ZFPS req479166 snr=-0.6
58681.41960649984,ZTF-forced,r,forced_diff,,,19.0597,ZFPS req479166 snr=0.5
58686.460821799934,ZTF-forced,g,forced_diff,,,19.5304,ZFPS req479166 snr=-0.6
58686.46127310023,ZTF-forced,g,forced_diff,,,19.4525,ZFPS req479166 snr=1.0
58690.380671299994,ZTF-forced,r,forced_diff,,,20.1545,ZFPS req479166 snr=-0.6
58690.382071800064,ZTF-forced,r,forced_diff,,,20.2688,ZFPS req479166 snr=-0.7
58690.44105320005,ZTF-forced,g,forced_diff,,,20.0945,ZFPS req479166 snr=1.1
58690.44150459999,ZTF-forced,g,forced_diff,,,20.2989,ZFPS req479166 snr=0.5
58691.33487269981,ZTF-forced,i,forced_diff,,,19.6237,ZFPS req479166 snr=0.1
58693.327326400205,ZTF-forced,g,forced_diff,,,20.4201,ZFPS req479166 snr=0.3
58693.35714119999,ZTF-forced,r,forced_diff,,,20.2786,ZFPS req479166 snr=1.6
58693.395381900016,ZTF-forced,r,forced_diff,,,20.0243,ZFPS req479166 snr=-0.1
58693.40047449991,ZTF-forced,g,forced_diff,,,20.3909,ZFPS req479166 snr=0.6
58696.36615739995,ZTF-forced,r,forced_diff,,,20.4583,ZFPS req479166 snr=2.9
58696.39237269992,ZTF-forced,r,forced_diff,,,20.3816,ZFPS req479166 snr=0.4
58696.400023099966,ZTF-forced,g,forced_diff,,,20.629,ZFPS req479166 snr=1.1
58698.3900462999,ZTF-forced,i,forced_diff,,,19.8513,ZFPS req479166 snr=-0.8
58699.37236109981,ZTF-forced,r,forced_diff,,,20.3226,ZFPS req479166 snr=-0.1
58699.37281250022,ZTF-forced,r,forced_diff,,,20.2914,ZFPS req479166 snr=-0.2
58699.42546299985,ZTF-forced,g,forced_diff,,,20.2763,ZFPS req479166 snr=0.4
58699.42591439979,ZTF-forced,g,forced_diff,,,20.4503,ZFPS req479166 snr=-0.7
58702.376944399904,ZTF-forced,r,forced_diff,,,18.1535,ZFPS req479166 snr=0.7
58702.37739579985,ZTF-forced,r,forced_diff,,,18.1052,ZFPS req479166 snr=0.9
58703.378576400224,ZTF-forced,i,forced_diff,,,19.7618,ZFPS req479166 snr=-0.8
58705.23448367976,NSC-DR2,i,direct_auto,20.579052,0.03715,,c4d_190810_053739_ooi_i_v1
58705.23875514185,NSC-DR2,i,direct_auto,20.62024,0.034133,,c4d_190810_054348_ooi_i_v1
58705.3928704001,ZTF-forced,g,forced_diff,,,20.4004,ZFPS req479166 snr=-0.9
58705.393321800046,ZTF-forced,g,forced_diff,,,20.2618,ZFPS req479166 snr=0.2
58705.44094910007,ZTF-forced,r,forced_diff,,,19.8497,ZFPS req479166 snr=-0.9
58705.44230319979,ZTF-forced,r,forced_diff,,,19.8642,ZFPS req479166 snr=-0.6
58708.42054399988,ZTF-forced,g,forced_diff,,,19.1243,ZFPS req479166 snr=-0.5
58708.4214583002,ZTF-forced,g,forced_diff,,,19.1519,ZFPS req479166 snr=0.0
58714.24196759984,ZTF-forced,g,forced_diff,,,19.515,ZFPS req479166 snr=-0.6
58714.24243059987,ZTF-forced,g,forced_diff,,,19.5807,ZFPS req479166 snr=1.1
58716.32954860013,ZTF-forced,i,forced_diff,,,19.6487,ZFPS req479166 snr=-1.2
58717.37760420004,ZTF-forced,g,forced_diff,,,19.8581,ZFPS req479166 snr=0.3
58717.378611099906,ZTF-forced,g,forced_diff,,,19.762,ZFPS req479166 snr=-0.2
58720.37096060021,ZTF-forced,r,forced_diff,,,19.9907,ZFPS req479166 snr=-0.5
58720.3993286998,ZTF-forced,g,forced_diff,,,19.9938,ZFPS req479166 snr=-1.5
58720.39978010021,ZTF-forced,g,forced_diff,,,19.9209,ZFPS req479166 snr=0.7
58724.32515050005,ZTF-forced,i,forced_diff,20.50810724536725,0.3514511601883916,19.537,ZFPS req479166 snr=3.1
58724.37180559989,ZTF-forced,r,forced_diff,,,19.9882,ZFPS req479166 snr=0.2
58724.372256900184,ZTF-forced,r,forced_diff,,,19.483,ZFPS req479166 snr=-0.0
58725.30988429999,ZTF-forced,i,forced_diff,20.636654245322497,0.3088456371849228,19.8292,ZFPS req479166 snr=3.5
58732.23034719983,ZTF-forced,r,forced_diff,19.283054455548005,0.0770606897230562,20.0865,ZFPS req479166 snr=14.1
58732.23034719983,ZTF-alert,r,diff_psf,19.341192,0.1058014,,ZTF19abxfaon alert
58732.30011569988,ZTF-forced,g,forced_diff,19.80301250607732,0.0893492947229746,20.3033,ZFPS req479166 snr=12.2
58732.30011569988,ZTF-alert,g,diff_psf,19.79835,0.1954671,,ZTF19abxfaon alert
58732.314398100134,ZTF-forced,i,forced_diff,19.957141765784392,0.1764334730974657,19.7795,ZFPS req479166 snr=6.2
58732.31484950008,ZTF-forced,i,forced_diff,19.912402464171887,0.3142866499376073,18.9859,ZFPS req479166 snr=3.5
58734.36956019979,ZTF-forced,r,forced_diff,19.793357614341534,0.1898592968349002,19.4476,ZFPS req479166 snr=5.7
58734.377442100085,ZTF-forced,g,forced_diff,,,19.4461,ZFPS req479166 snr=2.5
58735.30444440013,ZTF-forced,r,forced_diff,,,19.2246,ZFPS req479166 snr=-1.3
58740.35504630022,ZTF-forced,r,forced_diff,,,18.5489,ZFPS req479166 snr=0.9
58740.35549770016,ZTF-forced,r,forced_diff,,,18.5096,ZFPS req479166 snr=0.3
58743.38325229986,ZTF-forced,g,forced_diff,,,18.317,ZFPS req479166 snr=0.5
58744.3577430998,ZTF-forced,r,forced_diff,,,19.4187,ZFPS req479166 snr=0.7
58747.25339120021,ZTF-forced,r,forced_diff,20.794515445980757,0.2619224079109676,20.0927,ZFPS req479166 snr=4.1
58747.25384260016,ZTF-forced,r,forced_diff,,,19.8476,ZFPS req479166 snr=3.0
58747.29802080011,ZTF-forced,g,forced_diff,,,19.7756,ZFPS req479166 snr=1.4
58747.2989236,ZTF-forced,g,forced_diff,,,19.8258,ZFPS req479166 snr=-2.2
58747.33650460001,ZTF-forced,i,forced_diff,,,19.5716,ZFPS req479166 snr=-0.5
58750.25578700006,ZTF-forced,r,forced_diff,,,19.6486,ZFPS req479166 snr=1.2
58750.256238400005,ZTF-forced,r,forced_diff,,,19.5321,ZFPS req479166 snr=-0.2
58751.108009300195,ZTF-forced,i,forced_diff,,,18.2786,ZFPS req479166 snr=0.8
58754.20432869997,ZTF-forced,r,forced_diff,,,19.6825,ZFPS req479166 snr=-0.3
58754.27231479995,ZTF-forced,g,forced_diff,,,20.3462,ZFPS req479166 snr=0.6
58757.27465280006,ZTF-forced,r,forced_diff,19.638728360540593,0.1147077848825053,19.9739,ZFPS req479166 snr=9.5
58758.29471059982,ZTF-alert,r,diff_psf,20.2648,0.26943,,ZTF19abxfaon alert
58758.29471059982,ZTF-forced,r,forced_diff,20.2662464386504,0.1985792976991186,19.9018,ZFPS req479166 snr=5.5
58761.20482640015,ZTF-alert,r,diff_psf,20.097,0.296662,,ZTF19abxfaon alert
