mjd,m,dm,uJy,duJy,filter,err,chiN,ra,dec,mag5sig,obs
59179.271690,18.915,1.560,99,154,o,0,0.82,334.24962,-18.20795,17.26,01a59179o0140o
59179.272611,-18.829,0.483,-107,52,o,0,1.07,334.24962,-18.20795,17.89,01a59179o0142o
59179.278138,18.871,2.881,103,296,o,0,1.25,334.24962,-18.20795,15.12,01a59179o0154o
59179.286890,21.065,2.673,14,36,o,0,1.20,334.24962,-18.20795,18.21,01a59179o0173o
59179.287811,-20.445,1.088,-24,26,o,0,1.28,334.24962,-18.20795,18.82,01a59179o0175o
59180.225117,20.530,1.732,22,39,o,0,1.07,334.24962,-18.20795,18.79,01a59180o0099o
59180.230672,-22.561,8.406,-3,29,o,0,0.94,334.24962,-18.20795,18.92,01a59180o0111o
59180.247295,-21.072,1.958,-14,26,o,0,1.00,334.24962,-18.20795,18.83,01a59180o0147o
59181.273871,21.698,4.957,8,38,o,0,1.08,334.24962,-18.20795,18.51,02a59181o0182o
59181.278016,20.302,1.639,28,45,o,0,0.92,334.24962,-18.20795,18.48,02a59181o0191o
59181.283978,20.313,1.274,27,35,o,0,1.37,334.24962,-18.20795,18.52,02a59181o0204o
59181.295881,20.969,3.010,15,45,o,0,1.09,334.24962,-18.20795,18.65,02a59181o0230o
59182.237234,-21.126,2.894,-13,37,o,0,0.89,334.24962,-18.20795,18.74,02a59182o0123o
59182.240919,20.514,1.503,23,34,o,0,0.97,334.24962,-18.20795,18.70,02a59182o0131o
59182.249665,-19.881,0.951,-40,38,o,0,1.24,334.24962,-18.20795,18.71,02a59182o0150o
59182.259788,-19.477,0.550,-59,32,o,0,1.24,334.24962,-18.20795,18.73,02a59182o0172o
59183.203527,20.532,1.267,22,28,o,0,0.91,334.24962,-18.20795,18.82,01a59183o0050o
59183.206753,-21.946,4.365,-6,26,o,0,1.08,334.24962,-18.20795,18.83,01a59183o0057o
59183.209989,-19.952,0.965,-38,37,o,0,0.83,334.24962,-18.20795,18.76,01a59183o0064o
59183.212291,20.817,1.714,17,29,o,0,0.89,334.24962,-18.20795,18.76,01a59183o0069o
59183.213211,-23.392,20.389,-2,32,o,0,0.95,334.24962,-18.20795,18.79,01a59183o0071o
59183.222886,21.483,2.869,9,27,o,0,1.01,334.24962,-18.20795,18.68,01a59183o0092o
59183.231189,-20.166,0.921,-31,29,o,0,0.84,334.24962,-18.20795,18.76,01a59183o0110o
59185.241581,-20.308,0.766,-27,21,o,0,1.78,334.24962,-18.20795,18.94,02a59185o0132o
59185.244785,22.079,5.225,5,28,o,0,0.92,334.24962,-18.20795,18.90,02a59185o0139o
59185.251692,-19.262,0.448,-72,32,o,0,0.86,334.24962,-18.20795,18.83,02a59185o0154o
59185.264128,-20.060,0.918,-34,32,o,0,1.42,334.24962,-18.20795,18.74,02a59185o0181o
59187.243363,-22.441,3.289,-4,13,o,0,1.06,334.24962,-18.20795,19.35,01a59187o0106o
59187.246138,-21.001,1.183,-14,17,o,0,0.83,334.24962,-18.20795,19.24,01a59187o0112o
59187.252588,22.338,3.794,4,16,o,0,0.83,334.24962,-18.20795,19.19,01a59187o0126o
59187.264101,21.941,2.347,6,14,o,0,1.09,334.24962,-18.20795,19.19,01a59187o0151o
59189.236949,24.921,26.333,0,10,c,0,0.99,334.24962,-18.20795,19.47,02a59189o0118c
59189.241079,21.360,1.087,10,11,c,0,0.87,334.24962,-18.20795,19.49,02a59189o0127c
59189.246586,-20.722,0.676,-19,13,c,0,0.74,334.24962,-18.20795,19.51,02a59189o0139c
59189.261294,-23.000,4.824,-2,11,c,0,1.11,334.24962,-18.20795,19.51,02a59189o0171c
59191.212193,-21.248,0.975,-12,11,o,0,1.17,334.24962,-18.20795,19.50,01a59191o0067o
59191.215419,-21.188,0.880,-12,11,o,0,1.07,334.24962,-18.20795,19.60,01a59191o0074o
59191.222789,-22.257,2.636,-4,12,o,0,0.75,334.24962,-18.20795,19.51,01a59191o0090o
59191.235227,-22.542,3.710,-4,13,o,0,0.76,334.24962,-18.20795,19.46,01a59191o0117o
59193.223712,-20.853,0.576,-17,10,c,0,1.35,334.24962,-18.20795,19.45,02a59193o0093c
59193.226477,-21.111,0.948,-13,12,c,0,0.87,334.24962,-18.20795,19.46,02a59193o0099c
59193.231979,-20.795,0.748,-18,13,c,0,1.05,334.24962,-18.20795,19.45,02a59193o0111c
59193.245268,-21.498,1.283,-9,12,c,0,1.20,334.24962,-18.20795,19.38,02a59193o0140c
59195.224653,-22.229,2.500,-5,12,c,0,1.12,334.24962,-18.20795,19.46,01a59195o0091c
59195.228353,22.125,2.286,5,12,c,0,1.06,334.24962,-18.20795,19.39,01a59195o0099c
59195.234355,-21.527,1.343,-9,12,c,0,0.86,334.24962,-18.20795,19.50,01a59195o0112c
59195.246793,-21.481,1.508,-9,14,c,0,0.82,334.24962,-18.20795,19.38,01a59195o0139c
59197.196332,-20.055,0.627,-34,22,c,0,1.19,334.24962,-18.20795,18.64,02a59197o0003c
59197.199533,-20.189,0.483,-30,15,c,0,1.20,334.24962,-18.20795,19.03,02a59197o0010c
59197.205521,-20.500,0.607,-23,14,c,0,0.89,334.24962,-18.20795,19.38,02a59197o0023c
59197.217886,-22.168,3.156,-5,16,c,0,0.76,334.24962,-18.20795,19.35,02a59197o0050c
59205.222319,-22.711,7.375,-3,22,o,0,1.00,334.24962,-18.20795,18.88,02a59205o0062o
59205.226508,-21.318,2.197,-11,24,o,0,0.77,334.24962,-18.20795,18.80,02a59205o0071o
59205.236590,-22.754,5.957,-3,17,o,0,1.72,334.24962,-18.20795,18.89,02a59205o0093o
59205.243022,-21.672,2.393,-8,19,o,0,1.22,334.24962,-18.20795,18.88,02a59205o0107o
59207.195807,-19.453,0.794,-60,48,o,0,1.16,334.24962,-18.20795,17.73,01a59207o0002o
59207.199035,20.612,1.684,21,35,o,0,1.15,334.24962,-18.20795,18.29,01a59207o0009o
59207.206405,-20.301,0.688,-28,19,o,0,1.15,334.24962,-18.20795,18.91,01a59207o0025o
59207.216552,22.094,4.351,5,23,o,0,0.85,334.24962,-18.20795,18.91,01a59207o0047o
59209.197539,19.285,0.713,70,50,o,0,0.92,334.24962,-18.20795,17.92,02a59209o0003o
59209.200749,-20.140,1.092,-32,35,o,0,0.77,334.24962,-18.20795,18.34,02a59209o0010o
59209.206239,21.412,2.330,10,23,o,0,0.83,334.24962,-18.20795,18.78,02a59209o0022o
59209.217699,-20.531,0.900,-22,20,o,0,0.88,334.24962,-18.20795,18.88,02a59209o0047o
59211.211610,-20.804,1.184,-17,20,o,0,1.47,334.24962,-18.20795,18.75,01a59211o0052o
59211.215755,20.735,1.050,18,19,o,0,1.19,334.24962,-18.20795,18.70,01a59211o0061o
59211.229602,22.477,6.862,4,26,o,0,1.02,334.24962,-18.20795,18.50,01a59211o0091o
59211.235150,22.416,7.276,4,28,o,0,0.97,334.24962,-18.20795,18.43,01a59211o0103o
59213.210564,18.832,1.011,106,108,o,0,1.12,334.24962,-18.20795,18.15,02a59213o0021o
59213.216053,18.548,0.589,138,82,o,0,1.58,334.24962,-18.20795,18.17,02a59213o0033o
59213.232166,-19.230,1.411,-74,104,o,0,1.67,334.24962,-18.20795,18.07,02a59213o0068o
59213.235373,20.451,5.275,24,126,o,0,0.95,334.24962,-18.20795,18.06,02a59213o0075o
59219.202771,-19.390,0.724,-64,46,c,0,1.37,334.24962,-18.20795,17.78,01a59219o0025c
59219.205996,-20.987,2.280,-15,33,c,0,0.93,334.24962,-18.20795,18.41,01a59219o0032c
59219.213827,-20.575,0.843,-21,18,c,0,1.06,334.24962,-18.20795,18.96,01a59219o0049c
59219.224431,-20.396,0.628,-25,16,c,0,1.08,334.24962,-18.20795,19.09,01a59219o0072c
59221.201960,22.564,28.211,3,97,c,0,1.38,334.24962,-18.20795,16.96,02a59221o0020c
59221.205161,19.111,0.641,82,53,c,0,1.20,334.24962,-18.20795,17.76,02a59221o0027c
59221.212035,21.498,2.404,9,22,c,0,1.29,334.24962,-18.20795,18.71,02a59221o0042c
59221.222099,25.025,52.500,0,19,c,0,0.82,334.24962,-18.20795,19.01,02a59221o0064c
59332.598184,19.768,0.643,45,29,o,0,1.18,334.24962,-18.20795,18.34,01a59332o0714o
59332.602326,21.180,1.779,12,22,o,0,2.17,334.24962,-18.20795,18.42,01a59332o0723o
59332.610161,-19.696,0.540,-48,26,o,0,0.97,334.24962,-18.20795,18.58,01a59332o0740o
59332.626339,-20.611,1.437,-21,30,o,0,0.83,334.24962,-18.20795,18.50,01a59332o0774o
59335.589896,20.269,1.284,28,36,o,0,1.04,334.24962,-18.20795,18.22,01a59335o0686o
59335.600034,-20.548,1.153,-22,25,o,0,1.69,334.24962,-18.20795,18.31,01a59335o0708o
