ra,dec,glon,glat,instrument,filter,depth95,mjd
141.29968446363182,-28.609375874609057,257.4023377460875,15.50999005255384,c4d,r,23.81808,56679.22489863122
141.3008860476598,-28.609231893060404,257.40298545876226,15.510852586610236,c4d,z,22.617422,56679.24929799978
141.2981953234745,-28.60879795052587,257.40096718287504,15.509443269821908,c4d,r,22.932213,56702.23774830904
141.29624209472166,-28.608505202970996,257.39951883600054,15.508404821617868,c4d,z,22.650135,56702.25374479918
141.29665533946957,-28.608441611097504,257.39973101408395,15.508711189777456,c4d,i,23.008596,56702.24536609044
141.2972304107626,-28.608350276648636,257.40002415192646,15.509139491049025,c4d,z,22.66568,56702.25794276735
141.29827599957775,-28.607900376251273,257.40034403969963,15.510114175338328,c4d,z,22.705029,56702.26211906364
141.29713871633427,-28.6077882159097,257.3995444842822,15.509469282296603,c4d,i,23.013664,56702.2495464338
141.29693384857467,-28.60751378404447,257.39920958133524,15.509528621594582,c4d,g,23.695406,56683.31032319134
141.29813701878516,-28.606057250782623,257.39887281004724,15.511298351271046,c4d,g,23.763414,56683.31373642897
141.29786048077068,-28.60437024364525,257.3974322498333,15.512287364663775,c4d,g,23.817497,56683.31716530165
141.46232342305387,-28.540771563281805,257.4533090084238,15.660641579096843,c4d,i,22.604937,56678.35366482334
141.4661724098214,-28.53528768457212,257.4516236724045,15.666876404525958,c4d,g,22.856798,56683.306218662765
141.46902920276978,-28.534773459857888,257.4530405868437,15.669044842626414,c4d,i,22.196924,56702.22572423145
141.46817489455248,-28.534030527833387,257.45194416617767,15.669016531151238,c4d,r,22.183208,56702.22470436478
250.0559007861412,-28.532914348400283,351.9219716124808,11.875857932251876,c4d,r,22.97604,56417.261369201355
253.65754036452364,-28.529212159095913,353.9550697449417,9.422269804769796,c4d,r,22.459417,56417.299746301025
246.4552904139917,-28.52865808655865,349.7844765478926,14.257344065853292,c4d,r,22.4138,56353.32833553897
253.65922175194305,-28.528046742727543,353.95692294619647,9.42182473084098,c4d,r,22.140713,57193.23816967989
246.45920294836745,-28.527434686285048,349.787798581992,14.255627558147069,c4d,r,23.072113,57193.20837813616
250.03725411283324,-28.51709346470094,351.9235349413004,11.898581643378767,c4d,r,23.047527,56417.25929708313
246.43373297221297,-28.516794341452854,349.7803562733133,14.27933413760836,c4d,r,23.030102,56814.29113683989
246.4353611294697,-28.516392893285246,349.7816570141108,14.278547465367996,c4d,r,22.826244,56814.12763638608
246.4345561509143,-28.51587174497983,349.7815626345922,14.279421268881588,c4d,r,23.086056,56814.29301063903
250.03701588721657,-28.51586242383507,351.924358583172,11.899535442530812,c4d,r,22.616272,56814.13543812651
250.03692557548868,-28.513646250119145,351.92603738533444,11.90102513715878,c4d,r,22.71513,56814.30355290463
253.63909413786345,-28.513181839572603,353.9577390851392,9.444913204579375,c4d,r,22.555302,56417.29767639283
250.0404743015839,-28.512948519391003,351.92863725911417,11.899091586882264,c4d,r,23.452978,56831.08400567714
282.44061576909075,-28.51285163250139,6.973759761952364,-12.236620808196728,c4d,r,22.120098,56417.43058588868
246.43994167154688,-28.512170595837503,349.7876748024443,14.278417875348769,c4d,r,23.584366,56831.07619659882
246.43623207054452,-28.511996329621077,349.7855415327706,14.280944129395074,c4d,r,22.326431,56353.32685341686
246.44108313496832,-28.511623270195408,349.78878945170743,14.278045378012283,c4d,r,23.13342,57193.20632490702
253.63945891187848,-28.511537697483355,353.95925179553024,9.445674306856851,c4d,r,22.16239,57193.2361003398
240.56812283553597,-28.47482810426985,346.0661425218815,18.0005073793455,c4d,i,22.737415,56785.28825684637
103.72255384288388,-28.462073349033865,239.0083830095778,-11.860283302894594,c4d,i,23.275635,56658.33960488392
147.93171787080513,-28.447962674386066,261.67240097783935,19.682717984428724,c4d,g,24.609564,57094.14005418075
147.93179649497807,-28.44525082927371,261.6705330687678,19.684783328645786,c4d,r,23.862934,57094.1601074636
147.95075946600815,-28.43885708124957,261.67918813220496,19.70067365939747,c4d,g,24.642754,57094.13626601081
147.9115464547308,-28.438836361148574,261.65190613192885,19.677671003579047,c4d,g,24.581638,57094.14384228317
147.91191432964007,-28.437423107457768,261.651159650386,19.678939025576263,c4d,r,23.893375,57094.16216778429
147.95070411511583,-28.43738158041335,261.6781036865777,19.701740008431372,c4d,r,23.860374,57094.158048435114
147.9306311567052,-28.43018876012596,261.6590434458722,19.69531380269309,c4d,r,23.90417,57094.15187341347
243.9899970860945,-28.429672106128265,348.32518150273273,15.90664709344698,c4d,i,22.29339,56784.349552914966
147.9314007159686,-28.42935056234921,261.65898427630816,19.69638965800864,c4d,g,24.650684,57094.12488721311
147.91218878387406,-28.42246517785982,261.6407421862646,19.69023449848335,c4d,g,24.479246,57094.1480636904
147.95144305262158,-28.42160509059613,261.66743330463026,19.71392240040134,c4d,g,24.601936,57094.13247628976
147.9120615841762,-28.420926434888685,261.63956237470035,19.691305161423756,c4d,r,23.942919,57094.164219179656
147.95013827857466,-28.420815093239984,261.66596548563723,19.71374480229685,c4d,r,23.87688,57094.15598433371
